CommitNumber;Entity;Class;Change;Superclass
34e698c7149041ce3d2fff42de68c2acf41eb72b;CLASS;org.apache.juli.JdkLoggerFormatter;ADDED*;java.util.logging.Formatter
0b4931a7721ccb342c23875ae9e547b7aabae8c1;CLASS;org.apache.catalina.tribes.membership.RecoveryThread;ADDED;Thread
2c9f79ca84cfd47f97bdec91f626fbba2ecc7aa7;CLASS;org.apache.catalina.core.TaskQueue;ADDED;LinkedBlockingQueue
0408368d311924237c71c417ad355985f25e99ef;CLASS;org.apache.catalina.valves.WebdavFixValve;ADDED*;org.apache.catalina.valves.ValveBase
6bf407a064aaf236ac8ae82a87f4140a64dd0a6a;CLASS;org.apache.catalina.startup.ExistingStandardWrapper;ADDED*;org.apache.catalina.core.StandardWrapper
83fe69aa5befa2ef6dd8e6b06f5c59869d5ea38d;CLASS;org.apache.cometd.bayeux.Message;ADDED*;Map
83fe69aa5befa2ef6dd8e6b06f5c59869d5ea38d;CLASS;org.apache.tomcat.bayeux.BayeuxException;ADDED*;Exception
83fe69aa5befa2ef6dd8e6b06f5c59869d5ea38d;CLASS;org.apache.tomcat.bayeux.MessageImpl;ADDED*;HashMap
83fe69aa5befa2ef6dd8e6b06f5c59869d5ea38d;CLASS;org.apache.tomcat.bayeux.request.MetaConnectRequest;ADDED*;org.apache.tomcat.bayeux.RequestBase
83fe69aa5befa2ef6dd8e6b06f5c59869d5ea38d;CLASS;org.apache.tomcat.bayeux.request.MetaDisconnectRequest;ADDED*;org.apache.tomcat.bayeux.RequestBase
83fe69aa5befa2ef6dd8e6b06f5c59869d5ea38d;CLASS;org.apache.tomcat.bayeux.request.MetaHandshakeRequest;ADDED*;org.apache.tomcat.bayeux.RequestBase
83fe69aa5befa2ef6dd8e6b06f5c59869d5ea38d;CLASS;org.apache.tomcat.bayeux.request.MetaSubscribeRequest;ADDED*;org.apache.tomcat.bayeux.RequestBase
83fe69aa5befa2ef6dd8e6b06f5c59869d5ea38d;CLASS;org.apache.tomcat.bayeux.request.MetaUnsubscribeRequest;ADDED*;org.apache.tomcat.bayeux.RequestBase
83fe69aa5befa2ef6dd8e6b06f5c59869d5ea38d;CLASS;org.apache.tomcat.bayeux.request.PublishRequest;ADDED*;org.apache.tomcat.bayeux.RequestBase
7f12777c51ddaefd4d54517991b7dfd1a711cc43;CLASS;org.apache.catalina.realm.CombinedRealm;ADDED*;RealmBase
7f12777c51ddaefd4d54517991b7dfd1a711cc43;CLASS;org.apache.catalina.startup.RealmRuleSet;ADDED*;org.apache.tomcat.util.digester.RuleSetBase
6ad2075f344b656fea4e5ef3c51a40da57ce6910;CLASS;org.apache.catalina.realm.LockOutRealm;ADDED*;CombinedRealm
baa492f1dcf5cad6a7ae41ebd90ca5d1055f71b7;CLASS;org.apache.tomcat.jdbc.pool.DataSource;ADDED*;org.apache.tomcat.jdbc.pool.DataSourceProxy
baa492f1dcf5cad6a7ae41ebd90ca5d1055f71b7;CLASS;org.apache.tomcat.jdbc.pool.ProxyConnection;ADDED*;org.apache.tomcat.jdbc.pool.JdbcInterceptor
baa492f1dcf5cad6a7ae41ebd90ca5d1055f71b7;CLASS;org.apache.tomcat.jdbc.pool.interceptor.ConnectionState;ADDED*;org.apache.tomcat.jdbc.pool.JdbcInterceptor
baa492f1dcf5cad6a7ae41ebd90ca5d1055f71b7;CLASS;org.apache.tomcat.jdbc.pool.interceptor.SlowQueryReport;ADDED*;org.apache.tomcat.jdbc.pool.JdbcInterceptor
0aff6d2b603efd4270a6257ce82dd95daed3e2df;CLASS;org.apache.juli.AsyncFileHandler;ADDED*;org.apache.juli.FileHandler
0aff6d2b603efd4270a6257ce82dd95daed3e2df;CLASS;org.apache.juli.LoggerThread;ADDED*;Thread
d7ba6316dfb2ad31881162826e643d8dd98eb75a;CLASS;org.apache.tomcat.util.digester.ArrayStack;ADDED;ArrayList
bbc3423c93515e27c1e605492209b4022f42f35c;CLASS;org.apache.tomcat.util.net.jsse.NioX509KeyManager;ADDED*;javax.net.ssl.X509ExtendedKeyManager
12f7a9f5a54cd2366da7fc01c8594c34f203786d;CLASS;org.apache.juli.OneLineFormatter;ADDED*;java.util.logging.Formatter
019f7803ebfb4c793f64704f5c3f3247444baaba;CLASS;org.apache.catalina.util.ParameterMap;ADDED;HashMap
019f7803ebfb4c793f64704f5c3f3247444baaba;CLASS;org.apache.catalina.util.ResourceSet;ADDED;HashSet
1ce59fe30727fa2e0b3c6efe9430a813e62f825c;CLASS;org.apache.tomcat.util.threads.TaskQueue;ADDED*;LinkedBlockingQueue
1ce59fe30727fa2e0b3c6efe9430a813e62f825c;CLASS;org.apache.tomcat.util.threads.ThreadPoolExecutor;ADDED*;java.util.concurrent.ThreadPoolExecutor.java.util.concurrent.ThreadPoolExecutor
d1fb7bf23660eddaa642dcaea17edb626de3322e;CLASS;org.apache.catalina.tribes.group.interceptors.SimpleCoordinator;ADDED*;org.apache.catalina.tribes.group.ChannelInterceptorBase
1dbb58d93fc8fad235f37d0cd35965fabde7c38e;CLASS;javax.servlet.jsp.el.ScopeMap;ADDED;AbstractMap
f4cc618d1d8fc1804eca6de8aec365a1a6d7b717;CLASS;org.apache.catalina.valves.AddDefaultCharsetValve;ADDED*;org.apache.catalina.valves.ValveBase
50a1d0b550e318572636b409e55a4e1329029932;CLASS;javax.servlet.FilterRegistration;ADDED*;javax.servlet.Registration
50a1d0b550e318572636b409e55a4e1329029932;CLASS;javax.servlet.ServletRegistration;ADDED*;javax.servlet.Registration
686cd70ece282cc9b46b96db2db462f55c489ecc;CLASS;org.apache.catalina.startup.TaglibLocationRule;ADDED;org.apache.tomcat.util.digester.Rule
c28b33c648f77586266ef00b4f11de0daa73fa26;CLASS;org.apache.catalina.startup.TaglibUriRule;ADDED;org.apache.tomcat.util.digester.Rule
c28b33c648f77586266ef00b4f11de0daa73fa26;CLASS;org.apache.catalina.startup.TaglibListenerRule;ADDED;org.apache.tomcat.util.digester.Rule
bc5dda7a5adc1f8800d619e5134bb30b0ce40bc6;CLASS;org.apache.catalina.filters.RemoteAddrFilter;ADDED*;org.apache.catalina.filters.RequestFilter
bc5dda7a5adc1f8800d619e5134bb30b0ce40bc6;CLASS;org.apache.catalina.filters.RemoteHostFilter;ADDED*;org.apache.catalina.filters.RequestFilter
bc5dda7a5adc1f8800d619e5134bb30b0ce40bc6;CLASS;org.apache.catalina.filters.RequestFilter;ADDED*;org.apache.catalina.filters.FilterBase
f6ff9263da4f70b8fdd3c97280f306514c381b18;CLASS;org.apache.catalina.startup.TaglibRule;ADDED;org.apache.tomcat.util.digester.Rule
f95ba1cdffa53fcac66a55255bd53b8e9fc95fa2;CLASS;org.apache.juli.VerbatimFormatter;ADDED*;java.util.logging.Formatter
61a2e35b83afbeb96c091728540b9ee06243171d;CLASS;org.apache.tomcat.util.threads.ResizableExecutor;ADDED*;java.util.concurrent.Executor
d66cee0dec938d92e434c23a2237406c09ff7d51;CLASS;org.apache.catalina.startup.WebXml;ADDED*;org.apache.catalina.startup.WebXmlCommon
d66cee0dec938d92e434c23a2237406c09ff7d51;CLASS;org.apache.catalina.startup.WebXmlFragment;ADDED*;org.apache.catalina.startup.WebXmlCommon
a5b512b26cec25323c7639a7cc8990c790ea5c38;CLASS;org.apache.catalina.startup.ServletDefCreateRule;ADDED;org.apache.tomcat.util.digester.Rule
e302964be625f05d3536da01299c7f66b436beb9;CLASS;org.apache.tomcat.util.net.Handler;ADDED;AbstractEndpoint.Handler.AbstractEndpoint.Handler
2f22987f6bdc8b505a151b72913d9d916018e15d;CLASS;javax.servlet.HttpMethodConstraintElement;ADDED*;javax.servlet.HttpConstraintElement
2f22987f6bdc8b505a151b72913d9d916018e15d;CLASS;javax.servlet.ServletSecurityElement;ADDED*;javax.servlet.HttpConstraintElement
513d08c9728e9d012a2043a5ef25759dfb5b852c;CLASS;org.apache.catalina.startup.AbsoluteOrderingRule;ADDED;org.apache.tomcat.util.digester.Rule
513d08c9728e9d012a2043a5ef25759dfb5b852c;CLASS;org.apache.catalina.startup.RelativeOrderingRule;ADDED;org.apache.tomcat.util.digester.Rule
fa803a6439833b207444d79ee376188093fe990a;CLASS;org.apache.catalina.valves.RemoteIpValve;ADDED*;org.apache.catalina.valves.ValveBase
f99ee02b332b7b0499ab79bc2acd2a434c325ceb;CLASS;org.apache.catalina.comet.CometFilter;ADDED*;javax.servlet.Filter
