SmellMetrics,Seg, 4 jun 2018 18:15:49 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"org.apache.felix.gogo.commands.converter.GenericType.GenericType(Type)",3,13,n/a,3,0,1,1,1
"org.apache.felix.gogo.commands.converter.GenericType.collapse(Type)",14,7,n/a,20,1,1,15,8
"org.apache.felix.gogo.commands.converter.GenericType.getActualTypeArgument(int)",1,7,n/a,7,1,1,3,2
"org.apache.felix.gogo.commands.converter.GenericType.getConcreteClass(Type)",5,2,n/a,8,0,1,6,3
"org.apache.felix.gogo.commands.converter.GenericType.parametersOf(Type)",9,1,n/a,28,3,1,20,7
"org.apache.felix.gogo.commands.converter.GenericType.parse(String,Object)",28,5,n/a,34,2,2,23,8
"org.apache.felix.gogo.commands.converter.GenericType.size()",0,3,n/a,4,0,0,1,1
"org.apache.felix.gogo.commands.converter.GenericType.toString()",15,160,n/a,25,3,0,18,6
"org.apache.felix.gogo.commands.converter.ReifiedType.ReifiedType(Class)",0,2,n/a,11,0,1,1,1
"org.apache.felix.gogo.commands.converter.ReifiedType.getActualTypeArgument(int)",0,7,n/a,30,0,1,1,1
"org.apache.felix.gogo.commands.converter.ReifiedType.getRawClass()",0,7,n/a,18,0,0,1,1
"org.apache.felix.gogo.commands.converter.ReifiedType.size()",0,2,n/a,11,0,0,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.JaasSecurityProvider()",1,1,n/a,3,0,0,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.authenticate(HttpServletRequest,HttpServletResponse)",21,0,n/a,60,5,2,26,8
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.authenticate(String,String)",1,0,n/a,3,0,2,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.authorize(Object,String)",0,0,n/a,3,0,2,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.base64Decode(String)",3,1,n/a,12,1,1,4,2
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.doAuthenticate(String,String)",22,2,n/a,11,5,2,33,14
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.getRealm()",0,0,n/a,3,0,0,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.getRole()",0,0,n/a,3,0,0,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.getString(Dictionary<String, ?>,String,String)",2,2,n/a,9,2,3,5,3
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.setRealm(String)",0,0,n/a,3,0,1,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.setRole(String)",0,0,n/a,3,0,1,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.updated(Dictionary<String, ?>)",4,1,n/a,8,1,1,4,2
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManager.KarafOsgiManager(BundleContext)",1,1,n/a,3,0,1,1,1
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManager.doService(HttpServletRequest,HttpServletResponse)",1,1,n/a,3,0,2,1,1
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManager.service(ServletRequest,ServletResponse)",7,0,n/a,4,4,2,13,5
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManagerActivator.start(BundleContext)",8,0,n/a,14,0,1,4,1
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManagerActivator.stop(BundleContext)",2,0,n/a,14,1,1,4,3
"org.apache.karaf.bundle.command.BundleCommand.doExecute(Bundle)",n/a,1,5,n/a,n/a,1,n/a,n/a
"org.apache.karaf.bundle.command.BundleCommand.execute()",2,1,n/a,4,0,0,2,1
"org.apache.karaf.bundle.command.BundleCommand.setBundleService(BundleService)",0,0,n/a,3,0,1,1,1
"org.apache.karaf.bundle.command.BundlesCommand.doExecute(List<Bundle>)",9,1,n/a,15,2,1,9,4
"org.apache.karaf.bundle.command.BundlesCommand.execute()",2,4,n/a,5,0,0,2,1
"org.apache.karaf.bundle.command.BundlesCommand.executeOnBundle(Bundle)",n/a,1,14,n/a,n/a,1,n/a,n/a
"org.apache.karaf.bundle.command.BundlesCommand.setBundleContext(BundleContext)",0,1,n/a,3,0,1,1,1
"org.apache.karaf.bundle.command.BundlesCommand.setBundleService(BundleService)",0,1,n/a,3,0,1,1,1
"org.apache.karaf.bundle.command.Capabilities.aggregateCapabilities(Pattern,List<BundleWire>)",10,1,n/a,21,3,2,9,4
"org.apache.karaf.bundle.command.Capabilities.doExecute(List<Bundle>)",14,1,n/a,40,3,1,18,6
"org.apache.karaf.bundle.command.Capabilities.executeOnBundle(Bundle)",0,1,n/a,3,0,1,0,1
"org.apache.karaf.bundle.command.Capabilities.getVersionFromCapability(BundleCapability)",5,2,n/a,9,1,1,4,3
"org.apache.karaf.bundle.command.Capabilities.matchNamespace(Pattern,String)",2,3,n/a,4,0,2,1,1
"org.apache.karaf.bundle.command.Capabilities.printMatchingCapabilities(BundleWiring,Pattern)",23,1,n/a,55,4,2,22,7
"org.apache.karaf.bundle.command.Capabilities.printServiceCapabilities(Bundle)",14,1,n/a,47,5,1,19,10
