Complexity metrics,Qua, 13 dez 2017 16:15:53 BRST
Method,ev(G),iv(G),v(G)
"csidekick.parser.cpp.SymtabManager.IsCtor(String)",4,3,5
"csidekick.parser.cpp.SymtabManager.IsFullyScopedTypeName(String)",4,3,4
"csidekick.parser.cpp.SymtabManager.IsGlobalScope()",1,1,2
"csidekick.parser.cpp.SymtabManager.IsTypeName(String)",3,2,3
"csidekick.parser.cpp.SymtabManager.OpenScope(Scope)",1,1,1
"csidekick.parser.cpp.SymtabManager.OpenScope(String,boolean)",1,3,3
"csidekick.parser.cpp.SymtabManager.PutTypeName(String)",1,1,1
"sidekick.java.node.ExtendsNode.ExtendsNode(Type)",1,1,1
"sidekick.java.node.ExtendsNode.getOrdinal()",1,1,1
"sidekick.java.node.ExtendsNode.toString()",1,1,1
"sidekick.java.node.MethodNode.MethodNode()",1,1,1
"sidekick.java.node.MethodNode.MethodNode(String,int,String,List,String)",1,1,1
"sidekick.java.node.MethodNode.canAdd(TigerNode)",1,2,2
"sidekick.java.node.MethodNode.getFormalParams()",1,1,1
"sidekick.java.node.MethodNode.getFormalParams(boolean,boolean,boolean,boolean)",2,15,16
"sidekick.java.node.MethodNode.getOrdinal()",1,1,1
"sidekick.java.node.MethodNode.getReturnType()",1,1,2
"sidekick.java.node.MethodNode.getTypeParams()",1,1,2
"sidekick.java.node.MethodNode.setFormalParams(List)",1,1,1
"sidekick.java.node.MethodNode.setReturnType(String)",1,1,1
"sidekick.java.node.MethodNode.setThrows(List)",2,2,3
"sidekick.java.node.MethodNode.setTypeParams(String)",1,1,1
"sidekick.java.node.MethodNode.toString()",1,3,3
"sidekick.java.node.Parameter.Parameter()",1,1,1
"sidekick.java.node.Parameter.Parameter(String,Type)",1,1,1
"sidekick.java.node.Parameter.getOrdinal()",1,1,1
"sidekick.java.node.Parameter.isFinal()",1,1,1
"sidekick.java.node.Parameter.isVarArg()",1,1,1
"sidekick.java.node.Parameter.setFinal(boolean)",1,1,1
"sidekick.java.node.Parameter.setVarArg(boolean)",1,1,1
"textfilter.ActionManager.ActionManager()",1,4,5
"textfilter.ActionManager.addAction(FilterAction)",1,2,2
"textfilter.ActionManager.fireMenuChange()",1,1,1
"textfilter.ActionManager.getActionSet()",1,1,1
"textfilter.ActionManager.getInstance()",1,1,1
"textfilter.ActionManager.hasAction(String)",1,1,1
"textfilter.ActionManager.removeAction(FilterAction)",1,2,2
"textfilter.ActionManager.saveConfig()",1,5,5
"textfilter.ActionManager.unload()",1,1,1
"textfilter.ApplicationChooserDialog.ApplicationChooserDialog(boolean)",1,7,7
"textfilter.ApplicationChooserDialog.actionPerformed(ActionEvent)",1,3,3
"textfilter.ApplicationChooserDialog.cancel()",1,1,1
"textfilter.ApplicationChooserDialog.ok()",6,11,15
"textfilter.ApplicationRunner.runApp(View,String,int,int,int)",6,13,23
"textfilter.ApplicationRunner.showError(View,String,boolean)",2,3,3
"textfilter.CmdExec.CmdExec()",1,1,1
"textfilter.CmdExec.CmdExec(String)",1,1,1
"textfilter.CmdExec.InputTask.run()",1,6,7
"textfilter.CmdExec.OutputTask.run()",1,4,5
"textfilter.CmdExec.Timeout.run()",1,1,1
"textfilter.CmdExec.addArgument(String)",1,1,2
"textfilter.CmdExec.execute()",1,10,10
"textfilter.CmdExec.getStderr()",2,2,3
"textfilter.CmdExec.getStdout()",2,2,3
"textfilter.CmdExec.pipe(InputStream,OutputStream)",1,3,3
"textfilter.CmdExec.setArgumentLine(String)",1,1,1
"textfilter.CmdExec.setCommand(String)",1,1,1
"textfilter.CmdExec.setStdin(InputStream)",1,1,2
"textfilter.CmdExec.setStdin(String)",1,1,2
"textfilter.CmdExec.setTimeout(int)",1,1,1
"textfilter.EditActionComparator.compare(Object,Object)",1,1,1
"textfilter.FilterAction.FilterAction(String,String,int,int,int)",1,1,1
"textfilter.FilterAction.getCode()",1,1,1
"textfilter.FilterAction.getCommand()",1,1,1
"textfilter.FilterAction.getDataSourceType()",1,1,1
"textfilter.FilterAction.getDestination()",1,1,1
"textfilter.FilterAction.getTextSource()",1,1,1
"textfilter.FilterAction.invoke(View)",1,1,1
"textfilter.RemoveFilterDialog.EAListRenderer.getListCellRendererComponent(JList,Object,int,boolean,boolean)",1,1,1
"textfilter.RemoveFilterDialog.RemoveFilterDialog()",2,3,3
"textfilter.RemoveFilterDialog.cancel()",1,1,1
"textfilter.RemoveFilterDialog.ok()",1,3,3
"textfilter.TFMenuProvider.update(JMenu)",1,6,6
"textfilter.TFMenuProvider.updateEveryTime()",1,1,1
"textfilter.TextFilterPlugin.start()",1,1,1
"textfilter.TextFilterPlugin.stop()",1,1,1
"xml.CatalogManager.Entry.Entry(int,String,String)",1,1,1
"xml.CatalogManager.Entry.equals(Object)",2,3,3
"xml.CatalogManager.Entry.hashCode()",1,1,1
"xml.CatalogManager.VFSUpdateHandler.handleMessage(EBMessage)",2,2,4
"xml.CatalogManager.addUserResource(String,String,String)",1,2,2
"xml.CatalogManager.clearCache()",1,3,3
"xml.CatalogManager.copyToLocalFile(Object,VFS,String)",2,3,4
"xml.CatalogManager.init()",1,1,1
"xml.CatalogManager.isLocal(Entry)",2,2,4
"xml.CatalogManager.load()",1,11,11
"xml.CatalogManager.propertiesChanged()",1,3,3
"xml.CatalogManager.reloadCatalogs()",1,1,1
"xml.CatalogManager.resolve(String,String,String)",9,22,29
"xml.CatalogManager.resolvePublic(String,String)",3,2,3
"xml.CatalogManager.resolveSystem(String)",3,2,3
"xml.CatalogManager.save()",4,4,5
"xml.CatalogManager.showDownloadResourceDialog(Component,String)",3,2,3
"xml.CatalogManager.uninit()",1,1,1
"xml.EditTagDialog.ActionHandler.actionPerformed(ActionEvent)",1,4,4
"xml.EditTagDialog.Attribute.Attribute(boolean,String,String,ArrayList,String,boolean)",1,1,1
"xml.EditTagDialog.Attribute.Value.Value(String,ArrayList)",1,1,1
"xml.EditTagDialog.Attribute.Value.toString()",1,1,1
