Complexity metrics,Ter, 12 dez 2017 11:11:32 BRST
Method,ev(G),iv(G),v(G)
"org.apache.qpid.qmf2.common.BooleanExists.BooleanExists(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanExists.create(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanExists.evaluate(QmfData)",1,1,1
"org.apache.qpid.qmf2.common.BooleanExpression.BooleanExpression()",1,1,1
"org.apache.qpid.qmf2.common.BooleanExpression.BooleanExpression(int,List)",9,7,10
"org.apache.qpid.qmf2.common.BooleanExpression.createExpression(List)",3,1,3
"org.apache.qpid.qmf2.common.BooleanExpression.populateOperands(QmfData)",1,10,10
"org.apache.qpid.qmf2.common.BooleanFalse.BooleanFalse()",1,1,1
"org.apache.qpid.qmf2.common.BooleanFalse.create(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanFalse.evaluate(QmfData)",1,1,1
"org.apache.qpid.qmf2.common.BooleanGreaterEqual.BooleanGreaterEqual()",1,1,1
"org.apache.qpid.qmf2.common.BooleanGreaterEqual.BooleanGreaterEqual(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanGreaterEqual.create(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanGreaterEqual.evaluate(QmfData)",2,2,4
"org.apache.qpid.qmf2.common.BooleanGreaterThan.BooleanGreaterThan()",1,1,1
"org.apache.qpid.qmf2.common.BooleanGreaterThan.BooleanGreaterThan(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanGreaterThan.create(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanGreaterThan.evaluate(QmfData)",2,2,4
"org.apache.qpid.qmf2.common.BooleanLessEqual.BooleanLessEqual()",1,1,1
"org.apache.qpid.qmf2.common.BooleanLessEqual.BooleanLessEqual(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanLessEqual.create(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanLessEqual.evaluate(QmfData)",2,2,4
"org.apache.qpid.qmf2.common.BooleanLessThan.BooleanLessThan()",1,1,1
"org.apache.qpid.qmf2.common.BooleanLessThan.BooleanLessThan(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanLessThan.create(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanLessThan.evaluate(QmfData)",2,2,4
"org.apache.qpid.qmf2.common.BooleanNotEquals.BooleanNotEquals()",1,1,1
"org.apache.qpid.qmf2.common.BooleanNotEquals.BooleanNotEquals(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanNotEquals.create(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanNotEquals.evaluate(QmfData)",2,1,3
"org.apache.qpid.qmf2.common.BooleanRegexMatch.BooleanRegexMatch()",1,1,1
"org.apache.qpid.qmf2.common.BooleanRegexMatch.BooleanRegexMatch(List)",1,2,2
"org.apache.qpid.qmf2.common.BooleanRegexMatch.create(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanRegexMatch.evaluate(QmfData)",2,1,4
"org.apache.qpid.qmf2.common.BooleanTrue.BooleanTrue()",1,1,1
"org.apache.qpid.qmf2.common.BooleanTrue.create(List)",1,1,1
"org.apache.qpid.qmf2.common.BooleanTrue.evaluate(QmfData)",1,1,1
"org.apache.qpid.qmf2.common.Expression.createExpression(List)",5,1,5
"org.apache.qpid.qmf2.common.Handle.Handle(String)",1,1,1
"org.apache.qpid.qmf2.common.Handle.Handle(String,Destination)",1,1,1
"org.apache.qpid.qmf2.common.Handle.getCorrelationId()",1,1,1
"org.apache.qpid.qmf2.common.Handle.getReplyTo()",1,1,1
"org.apache.qpid.qmf2.common.Handle.getRoutingKey()",1,1,2
"org.apache.qpid.qmf2.common.LogicalAnd.LogicalAnd(List)",1,1,1
"org.apache.qpid.qmf2.common.LogicalAnd.evaluate(QmfData)",3,2,3
"org.apache.qpid.qmf2.common.LogicalExpression.LogicalExpression(List)",3,3,3
"org.apache.qpid.qmf2.common.LogicalNot.LogicalNot(List)",1,1,1
"org.apache.qpid.qmf2.common.LogicalNot.evaluate(QmfData)",3,2,3
"org.apache.qpid.qmf2.common.LogicalOr.LogicalOr(List)",1,1,1
"org.apache.qpid.qmf2.common.LogicalOr.evaluate(QmfData)",3,2,3
"org.apache.qpid.qmf2.common.NotifierWrapper.NotifierWrapper(Notifier,WorkQueue)",1,1,1
"org.apache.qpid.qmf2.common.NotifierWrapper.onEvent(WorkItem)",1,1,1
"org.apache.qpid.qmf2.common.NullQmfEventListener.onEvent(WorkItem)",1,1,1
"org.apache.qpid.qmf2.common.ObjectId.ObjectId(Map)",1,1,1
"org.apache.qpid.qmf2.common.ObjectId.ObjectId(QmfData)",1,1,1
"org.apache.qpid.qmf2.common.ObjectId.ObjectId(String)",1,2,4
"org.apache.qpid.qmf2.common.ObjectId.ObjectId(String,String,long)",1,1,1
"org.apache.qpid.qmf2.common.ObjectId.equals(Object)",2,2,2
"org.apache.qpid.qmf2.common.ObjectId.getAgentEpoch()",1,1,1
"org.apache.qpid.qmf2.common.ObjectId.getAgentName()",1,1,1
"org.apache.qpid.qmf2.common.ObjectId.getObjectName()",1,1,1
"org.apache.qpid.qmf2.common.ObjectId.hashCode()",1,1,1
"org.apache.qpid.qmf2.common.ObjectId.toString()",1,1,1
"org.apache.qpid.qmf2.common.QmfData.QmfData()",1,1,1
"org.apache.qpid.qmf2.common.QmfData.QmfData(Map)",1,2,3
"org.apache.qpid.qmf2.common.QmfData.getBoolean(Object)",7,7,7
"org.apache.qpid.qmf2.common.QmfData.getBooleanValue(String)",1,1,1
"org.apache.qpid.qmf2.common.QmfData.getDouble(Object)",4,4,4
"org.apache.qpid.qmf2.common.QmfData.getDoubleValue(String)",1,1,1
"org.apache.qpid.qmf2.common.QmfData.getLong(Object)",5,5,5
"org.apache.qpid.qmf2.common.QmfData.getLongValue(String)",1,1,1
"org.apache.qpid.qmf2.common.QmfData.getRefValue(String)",1,1,1
"org.apache.qpid.qmf2.common.QmfData.getString(Object)",4,4,4
"org.apache.qpid.qmf2.common.QmfData.getStringValue(String)",1,1,1
"org.apache.qpid.qmf2.common.QmfData.getSubtype(String)",2,1,2
"org.apache.qpid.qmf2.common.QmfData.getSubtypes()",1,1,1
"org.apache.qpid.qmf2.common.QmfData.getValue(String)",1,1,1
"org.apache.qpid.qmf2.common.QmfData.hasValue(String)",1,1,1
"org.apache.qpid.qmf2.common.QmfData.listValues()",1,4,4
"org.apache.qpid.qmf2.common.QmfData.mapEncode()",1,1,1
"org.apache.qpid.qmf2.common.QmfData.setRefValue(String,ObjectId)",1,1,1
"org.apache.qpid.qmf2.common.QmfData.setRefValue(String,ObjectId,String)",1,1,1
"org.apache.qpid.qmf2.common.QmfData.setSubtype(String,String)",1,1,2
"org.apache.qpid.qmf2.common.QmfData.setSubtypes(Map)",1,1,1
"org.apache.qpid.qmf2.common.QmfData.setValue(String,Object)",1,1,1
"org.apache.qpid.qmf2.common.QmfData.setValue(String,Object,String)",1,1,1
"org.apache.qpid.qmf2.common.QmfDescribed.QmfDescribed()",1,1,1
"org.apache.qpid.qmf2.common.QmfDescribed.QmfDescribed(Map)",1,2,2
"org.apache.qpid.qmf2.common.QmfDescribed.getSchemaClassId()",1,1,1
"org.apache.qpid.qmf2.common.QmfDescribed.listValues()",1,1,1
"org.apache.qpid.qmf2.common.QmfDescribed.setSchemaClassId(SchemaClassId)",1,1,1
"org.apache.qpid.qmf2.common.QmfEvent.QmfEvent(Map)",1,3,3
"org.apache.qpid.qmf2.common.QmfEvent.QmfEvent(SchemaEventClass)",1,1,1
"org.apache.qpid.qmf2.common.QmfEvent.getSeverity()",1,1,1
"org.apache.qpid.qmf2.common.QmfEvent.getTimestamp()",1,1,1
"org.apache.qpid.qmf2.common.QmfEvent.listValues()",1,1,1
"org.apache.qpid.qmf2.common.QmfEvent.mapEncode()",1,2,2
"org.apache.qpid.qmf2.common.QmfEvent.setSeverity(String)",3,2,3
"org.apache.qpid.qmf2.common.QmfEvent.setSeverity(int)",2,1,3
"org.apache.qpid.qmf2.common.QmfEvent.toString()",2,2,4
"org.apache.qpid.qmf2.common.QmfException.QmfException(String)",1,1,1
"org.apache.qpid.qmf2.common.QmfManaged.QmfManaged()",1,1,1
"org.apache.qpid.qmf2.common.QmfManaged.QmfManaged(Map)",1,2,2
"org.apache.qpid.qmf2.common.QmfManaged.getObjectId()",1,1,1
"org.apache.qpid.qmf2.common.QmfManaged.listValues()",1,1,1
"org.apache.qpid.qmf2.common.QmfManaged.setObjectId(ObjectId)",1,1,1
"org.apache.qpid.qmf2.common.QmfQuery.QmfQuery()",1,1,1
"org.apache.qpid.qmf2.common.QmfQuery.QmfQuery(Map)",1,4,4
"org.apache.qpid.qmf2.common.QmfQuery.QmfQuery(QmfQueryTarget)",1,1,1
"org.apache.qpid.qmf2.common.QmfQuery.QmfQuery(QmfQueryTarget,ObjectId)",1,1,1
"org.apache.qpid.qmf2.common.QmfQuery.QmfQuery(QmfQueryTarget,SchemaClassId)",1,1,1
"org.apache.qpid.qmf2.common.QmfQuery.QmfQuery(QmfQueryTarget,String)",2,2,2
"org.apache.qpid.qmf2.common.QmfQuery.evaluate(QmfData)",8,10,13
"org.apache.qpid.qmf2.common.QmfQuery.getObjectId()",1,1,1
"org.apache.qpid.qmf2.common.QmfQuery.getPredicate()",1,1,1
"org.apache.qpid.qmf2.common.QmfQuery.getSchemaClassId()",1,1,1
"org.apache.qpid.qmf2.common.QmfQuery.getSelector()",3,1,4
"org.apache.qpid.qmf2.common.QmfQuery.getTarget()",1,1,1
