Complexity metrics,Sex, 17 nov 2017 11:09:50 BRST
Method,ev(G),iv(G),v(G)
"org.apache.tools.ant.AntTypeDefinition.createAndSet(Project,Class<?>)",1,3,7
"org.apache.tools.ant.AntTypeDefinition.extractClassname(Class<?>)",1,2,2
"org.apache.tools.ant.AntTypeDefinition.getClassLoader()",1,1,1
"org.apache.tools.ant.AntTypeDefinition.getClassName()",1,1,1
"org.apache.tools.ant.AntTypeDefinition.getExposedClass(Project)",3,4,5
"org.apache.tools.ant.AntTypeDefinition.getName()",1,1,1
"org.apache.tools.ant.AntTypeDefinition.getTypeClass(Project)",1,3,3
"org.apache.tools.ant.AntTypeDefinition.icreate(Project)",6,2,7
"org.apache.tools.ant.AntTypeDefinition.innerCreateAndSet(Class<T>,Project)",1,2,3
"org.apache.tools.ant.AntTypeDefinition.innerGetTypeClass()",2,2,3
"org.apache.tools.ant.AntTypeDefinition.isRestrict()",1,1,1
"org.apache.tools.ant.AntTypeDefinition.sameDefinition(AntTypeDefinition,Project)",1,7,7
"org.apache.tools.ant.AntTypeDefinition.setAdaptToClass(Class<?>)",1,1,1
"org.apache.tools.ant.AntTypeDefinition.setAdapterClass(Class<?>)",1,1,1
"org.apache.tools.ant.AntTypeDefinition.setClass(Class<?>)",2,3,4
"org.apache.tools.ant.AntTypeDefinition.setClassLoader(ClassLoader)",1,1,1
"org.apache.tools.ant.AntTypeDefinition.setClassName(String)",1,1,1
"org.apache.tools.ant.AntTypeDefinition.setName(String)",1,1,1
"org.apache.tools.ant.AntTypeDefinition.setRestrict(boolean)",1,1,1
"org.apache.tools.ant.AntTypeDefinition.similarDefinition(AntTypeDefinition,Project)",2,9,10
"org.apache.tools.ant.ArgumentProcessorRegistry.ArgumentProcessorRegistry()",1,1,1
"org.apache.tools.ant.ArgumentProcessorRegistry.collectArgumentProcessors()",1,6,6
"org.apache.tools.ant.ArgumentProcessorRegistry.getInstance()",1,1,1
"org.apache.tools.ant.ArgumentProcessorRegistry.getProcessor(Class<? extends ArgumentProcessor>)",1,2,2
"org.apache.tools.ant.ArgumentProcessorRegistry.getProcessor(String)",1,1,2
"org.apache.tools.ant.ArgumentProcessorRegistry.getProcessorByService(InputStream)",2,3,5
"org.apache.tools.ant.ArgumentProcessorRegistry.getProcessors()",1,1,1
"org.apache.tools.ant.ArgumentProcessorRegistry.registerArgumentProcessor(ArgumentProcessor)",2,2,3
