SmellMetrics,Seg, 4 jun 2018 18:21:24 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"fr.jayasoft.ivy.DefaultDependencyDescriptor.doesExclude(String[],ArtifactId)",6,1,n/a,15,2,2,9,4
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getAllDependencyArtifacts(Map)",8,2,n/a,8,1,1,6,2
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getAllDependencyArtifactsExcludes()",1,4,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getAllDependencyArtifactsIncludes()",1,2,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getAttribute(String)",1,6,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getAttributes()",1,2,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyArtifacts(String,Map)",8,2,n/a,15,1,2,10,4
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyArtifactsExcludes(String)",1,3,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyArtifactsExcludes(String[])",6,3,n/a,7,1,1,6,2
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyArtifactsIncludes(String)",1,5,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyArtifactsIncludes(String[])",6,1,n/a,7,1,1,6,2
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyConfigurations(String)",1,58,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyConfigurations(String,String)",23,2,n/a,53,3,2,29,10
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyConfigurations(String[])",7,9,n/a,10,1,1,8,3
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyId()",2,29,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getDependencyRevisionId()",0,75,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getExtraAttribute(String)",1,0,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getExtraAttributes()",1,12,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getModuleConfigurations()",4,43,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getNamespace()",0,0,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getParentRevisionId()",1,3,n/a,3,0,0,1,2
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getStandardAttribute(String)",1,0,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.getStandardAttributes()",1,0,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.isChanging()",0,8,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.isForce()",0,5,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.isTransitive()",0,7,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.replaceFallbackConfigurationPattern(Pattern,String,String)",4,2,n/a,18,2,3,6,3
"fr.jayasoft.ivy.DefaultDependencyDescriptor.replaceSelfFallbackPattern(String,String)",1,4,n/a,3,0,2,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.replaceThisFallbackPattern(String,String)",1,4,n/a,3,0,2,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.toString()",0,8,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.transformInstance(DependencyDescriptor,Namespace)",3,1,n/a,21,1,2,6,2
"fr.jayasoft.ivy.DefaultDependencyDescriptor.transformInstance(DependencyDescriptor,NamespaceTransformer,boolean)",26,2,n/a,40,2,3,25,6
"fr.jayasoft.ivy.DefaultModuleDescriptor.DefaultModuleDescriptor(ModuleDescriptorParser,Resource)",0,3,n/a,9,0,2,2,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.DefaultModuleDescriptor(ModuleRevisionId,String,Date)",1,10,n/a,3,0,3,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.DefaultModuleDescriptor(ModuleRevisionId,String,Date,boolean)",3,6,n/a,14,1,4,10,4
"fr.jayasoft.ivy.DefaultModuleDescriptor.ModuleIdMatcher.ModuleIdMatcher(PatternMatcher,ModuleId)",0,1,n/a,4,0,2,2,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.ModuleIdMatcher.matches(ModuleId)",1,1,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.addArtifact(String,Artifact)",5,10,n/a,15,1,2,6,2
"fr.jayasoft.ivy.DefaultModuleDescriptor.addConfiguration(Configuration)",2,10,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.addConflictManager(ModuleId,PatternMatcher,ConflictManager)",2,2,n/a,11,0,3,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.addDependency(DependencyDescriptor)",1,14,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.addLicense(License)",1,1,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.check()",9,1,n/a,15,3,0,9,4
"fr.jayasoft.ivy.DefaultModuleDescriptor.dependsOn(VersionMatcher,ModuleDescriptor)",11,0,n/a,13,3,2,9,5
"fr.jayasoft.ivy.DefaultModuleDescriptor.getAllArtifacts()",2,2,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getArtifacts(String)",3,37,n/a,8,1,1,4,2
"fr.jayasoft.ivy.DefaultModuleDescriptor.getAttribute(String)",1,4,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getAttributes()",1,2,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getConfiguration(String)",1,15,n/a,7,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getConfigurations()",3,30,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getConfigurationsNames()",3,30,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getConflictManager(ModuleId)",6,5,n/a,9,2,1,6,3
"fr.jayasoft.ivy.DefaultModuleDescriptor.getDependencies()",2,40,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getExtraAttribute(String)",1,0,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getExtraAttributes()",1,12,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getHomePage()",0,4,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getLastModified()",0,3,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getLicenses()",2,3,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getModuleRevisionId()",0,163,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getNamespace()",1,4,n/a,6,1,0,3,3
"fr.jayasoft.ivy.DefaultModuleDescriptor.getParser()",0,1,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getPublicConfigurationsNames()",10,2,n/a,10,2,0,7,3
"fr.jayasoft.ivy.DefaultModuleDescriptor.getPublicationDate()",0,7,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getResolvedModuleRevisionId()",0,30,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getResolvedPublicationDate()",0,7,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getResource()",0,1,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getStandardAttribute(String)",1,0,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getStandardAttributes()",1,0,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.getStatus()",0,17,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.isDefault()",0,13,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.isMappingOverride()",0,2,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.isNamespaceUseful()",4,2,n/a,9,2,0,6,3
"fr.jayasoft.ivy.DefaultModuleDescriptor.newBasicInstance(ModuleRevisionId,Date)",6,1,n/a,6,0,2,4,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.newCallerInstance(ModuleRevisionId,String[],boolean,boolean)",11,4,n/a,13,1,4,13,3
"fr.jayasoft.ivy.DefaultModuleDescriptor.newCallerInstance(ModuleRevisionId[],boolean,boolean)",9,1,n/a,11,1,3,10,2
"fr.jayasoft.ivy.DefaultModuleDescriptor.newDefaultInstance(ModuleRevisionId)",1,3,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.newDefaultInstance(ModuleRevisionId,DependencyArtifactDescriptor[])",14,2,n/a,13,2,2,10,4
"fr.jayasoft.ivy.DefaultModuleDescriptor.setDefault(boolean)",0,2,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.setHomePage(String)",0,1,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.setLastModified(long)",0,4,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.setMappingOverride(boolean)",0,3,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.setModuleRevisionId(ModuleRevisionId)",1,3,n/a,9,1,1,5,3
"fr.jayasoft.ivy.DefaultModuleDescriptor.setNamespace(Namespace)",0,1,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.setPublicationDate(Date)",1,3,n/a,6,1,1,3,3
"fr.jayasoft.ivy.DefaultModuleDescriptor.setResolvedModuleRevisionId(ModuleRevisionId)",0,6,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.setResolvedPublicationDate(Date)",1,5,n/a,6,1,1,3,2
"fr.jayasoft.ivy.DefaultModuleDescriptor.setStatus(String)",0,1,n/a,3,0,1,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.toIvyFile(File)",3,1,n/a,7,1,1,3,3
"fr.jayasoft.ivy.DefaultModuleDescriptor.toString()",0,8,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleDescriptor.transformInstance(ModuleDescriptor,Namespace)",32,1,n/a,47,2,2,34,6
"fr.jayasoft.ivy.DefaultModuleRevision.DefaultModuleRevision(DependencyResolver,DependencyResolver,ModuleDescriptor,boolean,boolean,URL)",0,5,n/a,8,0,6,6,1
"fr.jayasoft.ivy.DefaultModuleRevision.equals(Object)",3,24,n/a,6,1,1,3,2
"fr.jayasoft.ivy.DefaultModuleRevision.getArtifactResolver()",0,7,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleRevision.getDescriptor()",0,35,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleRevision.getId()",1,45,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleRevision.getLocalMDUrl()",0,4,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleRevision.getPublicationDate()",1,30,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleRevision.getResolver()",0,26,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleRevision.hashCode()",2,2,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleRevision.isDownloaded()",0,6,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleRevision.isSearched()",0,4,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultModuleRevision.toString()",2,8,n/a,3,0,0,1,1
"fr.jayasoft.ivy.DefaultPublishingDRResolver.resolve(ModuleDescriptor,String,ModuleRevisionId,String)",1,3,n/a,3,0,4,1,1
"fr.jayasoft.ivy.DependencyArtifactDescriptor.getConfigurations()",n/a,2,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyArtifactDescriptor.getDependency()",n/a,0,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyArtifactDescriptor.getExt()",n/a,4,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyArtifactDescriptor.getId()",n/a,7,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyArtifactDescriptor.getMatcher()",n/a,2,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyArtifactDescriptor.getName()",n/a,6,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyArtifactDescriptor.getType()",n/a,4,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyArtifactDescriptor.getUrl()",n/a,2,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.asSystem()",n/a,0,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.canExclude()",n/a,2,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.doesExclude(String[],ArtifactId)",n/a,1,1,n/a,n/a,2,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getAllDependencyArtifactsExcludes()",n/a,4,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getAllDependencyArtifactsIncludes()",n/a,2,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getDependencyArtifactsExcludes(String)",n/a,2,1,n/a,n/a,1,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getDependencyArtifactsExcludes(String[])",n/a,2,1,n/a,n/a,1,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getDependencyArtifactsIncludes(String)",n/a,4,1,n/a,n/a,1,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getDependencyArtifactsIncludes(String[])",n/a,1,1,n/a,n/a,1,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getDependencyConfigurations(String)",n/a,57,1,n/a,n/a,1,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getDependencyConfigurations(String,String)",n/a,1,1,n/a,n/a,2,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getDependencyConfigurations(String[])",n/a,9,1,n/a,n/a,1,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getDependencyId()",n/a,27,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getDependencyRevisionId()",n/a,71,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getModuleConfigurations()",n/a,41,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getNamespace()",n/a,0,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.getParentRevisionId()",n/a,3,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.isChanging()",n/a,8,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.isForce()",n/a,5,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyDescriptor.isTransitive()",n/a,7,1,n/a,n/a,0,n/a,n/a
"fr.jayasoft.ivy.DependencyResolver.download(Artifact[],Ivy,File,boolean)",n/a,6,7,n/a,n/a,4,n/a,n/a
