smells_analysis,Sex, 18 mai 2018 16:12:20 BRT
Method,CALL,CALLED,CALLEDp,CDENS,CONTROL,ev(G),EXEC,EXP,IF_NEST,IMP,iv(G),LOC,LOOP,LOOP_NEST,NBD,NCLOC,NP,NTP,RLOC,STAT,v(G)
"org.apache.tools.ant.AntClassLoader.getResourceStream(File,String)",15,2,2,"35,29%",6,6,11,72,3,n/a,7,43,0,0,4,29,2,0,"2,94%",17,8
"org.apache.tools.ant.AntClassLoader.getResourceURL(File,String)",18,2,2,"31,03%",9,7,20,100,4,n/a,9,59,0,0,5,46,2,0,"4,03%",29,11
"org.apache.tools.ant.AntClassLoader.getRootLoader()",4,6,6,"25,00%",1,1,3,19,0,n/a,3,11,1,1,1,7,0,0,"0,75%",4,3
"org.apache.tools.ant.AntClassLoader.initializeClass(Class<?>)",2,0,0,"50,00%",3,1,3,25,2,n/a,3,42,0,0,3,13,1,0,"2,87%",6,5
"org.apache.tools.ant.AntClassLoader.isInPath(File)",1,1,1,"0,00%",0,1,1,4,0,n/a,1,10,0,0,0,3,1,0,"0,68%",1,1
"org.apache.tools.ant.AntClassLoader.isParentFirst(String)",8,6,6,"42,86%",6,5,8,34,1,n/a,3,36,2,1,2,18,1,0,"2,46%",14,5
"org.apache.tools.ant.AntClassLoader.isZip(File)",6,1,1,"20,00%",1,2,4,28,1,n/a,5,11,0,0,1,11,1,0,"0,75%",5,5
"org.apache.tools.ant.AntClassLoader.loadBaseResource(String)",2,2,2,"0,00%",0,1,1,12,0,n/a,2,13,0,0,0,3,1,0,"0,89%",1,2
"org.apache.tools.ant.AntClassLoader.loadClass(String,boolean)",11,1,1,"31,58%",6,4,13,71,2,n/a,5,57,0,0,3,34,2,0,"3,90%",19,7
"org.apache.tools.ant.AntClassLoader.loadResource(String)",4,1,1,"16,67%",1,1,5,21,0,n/a,3,20,1,1,1,9,1,0,"1,37%",6,3
"org.apache.tools.ant.AntClassLoader.log(String,int)",1,21,21,"50,00%",1,1,1,8,1,n/a,2,13,0,0,1,5,2,0,"0,89%",2,2
"org.apache.tools.ant.AntClassLoader.messageLogged(BuildEvent)",0,9,9,"0,00%",0,1,0,0,0,n/a,1,8,0,0,0,2,1,0,"0,55%",0,1
"org.apache.tools.ant.AntClassLoader.newAntClassLoader(ClassLoader,Project,Path,boolean)",3,8,7,"33,33%",1,2,2,23,1,n/a,2,18,0,0,1,15,4,0,"1,23%",3,2
"org.apache.tools.ant.AntClassLoader.readFully(File,byte[])",3,1,1,"36,36%",4,3,7,31,1,n/a,2,17,1,1,3,17,2,0,"1,16%",11,3
"org.apache.tools.ant.AntClassLoader.resetThreadContextLoader()",2,4,4,"25,00%",1,1,3,15,1,n/a,3,10,0,0,1,7,0,0,"0,68%",4,3
"org.apache.tools.ant.AntClassLoader.setClassPath(Path)",4,2,2,"33,33%",3,1,6,25,1,n/a,3,22,1,1,3,13,1,0,"1,50%",9,4
"org.apache.tools.ant.AntClassLoader.setIsolated(boolean)",0,3,2,"0,00%",0,1,1,3,0,n/a,1,12,0,0,0,3,1,0,"0,82%",1,1
"org.apache.tools.ant.AntClassLoader.setParent(ClassLoader)",1,7,7,"0,00%",0,1,1,11,0,n/a,2,9,0,0,0,3,1,0,"0,62%",1,2
"org.apache.tools.ant.AntClassLoader.setParentFirst(boolean)",0,6,6,"0,00%",0,1,1,4,0,n/a,1,11,0,0,0,3,1,0,"0,75%",1,1
"org.apache.tools.ant.AntClassLoader.setProject(Project)",1,2,2,"33,33%",1,1,2,11,1,n/a,2,11,0,0,1,6,1,0,"0,75%",3,2
"org.apache.tools.ant.AntClassLoader.setThreadContextLoader()",8,4,4,"33,33%",3,2,6,37,2,n/a,4,18,0,0,2,14,0,0,"1,23%",9,5
