Martin packaging metrics,Qua, 13 dez 2017 11:49:12 BRST
Package,A,Ca,Ce,D,I
"net.sourceforge.atunes.kernel.controllers.fileProperties","0,00",3,11,"0,21","0,79"
"net.sourceforge.atunes.kernel.controllers.menu","0,00",5,19,"0,21","0,79"
"net.sourceforge.atunes.kernel.controllers.model","1,00",28,6,"0,18","0,18"
"net.sourceforge.atunes.kernel.controllers.navigation","0,00",30,40,"0,43","0,59"
"net.sourceforge.atunes.kernel.controllers.navigation.listeners","0,00",8,65,"0,11","0,89"
"net.sourceforge.atunes.kernel.controllers.playList","0,00",10,26,"0,28","0,72"
"net.sourceforge.atunes.kernel.controllers.playListControls","0,00",5,7,"0,42","0,58"
"net.sourceforge.atunes.kernel.controllers.playListFilter","0,00",3,5,"0,38","0,62"
"net.sourceforge.atunes.kernel.controllers.playerControls","0,00",5,15,"0,25","0,75"
"net.sourceforge.atunes.kernel.controllers.stats","0,00",4,6,"0,40","0,60"
"net.sourceforge.atunes.kernel.controllers.toolbar","0,00",3,9,"0,25","0,75"
"net.sourceforge.atunes.kernel.executors","0,00",10,14,"0,42","0,58"
"net.sourceforge.atunes.kernel.executors.processes","0,00",11,50,"0,18","0,82"
"net.sourceforge.atunes.kernel.handlers","0,06",122,188,"0,33","0,61"
"net.sourceforge.atunes.kernel.modules.amazon","0,00",10,9,"0,53","0,47"
"net.sourceforge.atunes.kernel.modules.audioscrobbler","0,08",27,27,"0,42","0,50"
"net.sourceforge.atunes.kernel.modules.audioscrobbler.submitter","0,00",3,10,"0,23","0,77"
"net.sourceforge.atunes.kernel.modules.castor","0,00",1,0,"1,00","0,00"
"net.sourceforge.atunes.kernel.modules.cdripper","0,50",5,8,"0,12","0,62"
"net.sourceforge.atunes.kernel.modules.cdripper.cdda2wav","0,50",4,7,"0,14","0,64"
"net.sourceforge.atunes.kernel.modules.cdripper.cdda2wav.model","0,00",4,1,"0,80","0,20"
"net.sourceforge.atunes.kernel.modules.cdripper.encoders","0,25",6,28,"0,07","0,82"
"net.sourceforge.atunes.kernel.modules.device","0,60",10,9,"0,07","0,47"
"net.sourceforge.atunes.kernel.modules.favorites","0,00",1,2,"0,33","0,67"
"net.sourceforge.atunes.kernel.modules.lyrics","0,25",2,12,"0,11","0,86"
"net.sourceforge.atunes.kernel.modules.mplayer","0,00",5,28,"0,15","0,85"
"net.sourceforge.atunes.kernel.modules.playlist","0,00",11,29,"0,28","0,72"
"net.sourceforge.atunes.kernel.modules.podcast","0,00",22,15,"0,59","0,41"
"net.sourceforge.atunes.kernel.modules.proxy","0,00",14,1,"0,93","0,07"
"net.sourceforge.atunes.kernel.modules.radio","0,00",12,2,"0,86","0,14"
"net.sourceforge.atunes.kernel.modules.regexp","0,00",1,2,"0,33","0,67"
"net.sourceforge.atunes.kernel.modules.repository","0,14",17,22,"0,29","0,56"
"net.sourceforge.atunes.kernel.modules.repository.audio","0,00",33,4,"0,89","0,11"
"net.sourceforge.atunes.kernel.modules.repository.tags.reader","0,20",5,16,"0,04","0,76"
"net.sourceforge.atunes.kernel.modules.repository.tags.tag","0,33",28,6,"0,49","0,18"
"net.sourceforge.atunes.kernel.modules.repository.tags.writer","0,00",4,14,"0,22","0,78"
"net.sourceforge.atunes.kernel.modules.search","0,00",3,2,"0,60","0,40"
"net.sourceforge.atunes.kernel.modules.state","0,00",23,6,"0,79","0,21"
"net.sourceforge.atunes.kernel.modules.updates","0,00",3,10,"0,23","0,77"
"net.sourceforge.atunes.kernel.utils","0,00",48,23,"0,68","0,36"
"net.sourceforge.atunes.model.info","0,20",42,11,"0,59","0,21"
"net.sourceforge.atunes.model.player","0,50",6,5,"0,05","0,45"
"net.sourceforge.atunes.model.search","1,00",5,0,"0,00","0,00"
"net.sourceforge.atunes.utils","0,00",67,4,"0,94","0,04"
"net.sourceforge.atunes.utils.language","0,00",36,9,"0,80","0,20"
"net.sourceforge.atunes.utils.log4j","0,00",77,7,"0,92","0,08"

