Complexity metrics,Seg, 11 dez 2017 18:53:32 BRST
Method,ev(G),iv(G),v(G)
"org.apache.nutch.crawl.MapWritable.size()",1,1,1
"org.apache.nutch.crawl.MapWritable.toString()",2,3,3
"org.apache.nutch.crawl.MapWritable.values()",1,2,2
"org.apache.nutch.crawl.MapWritable.write(DataOutput)",1,5,5
"org.apache.nutch.crawl.MimeAdaptiveFetchSchedule.AdaptiveRate.AdaptiveRate(Float,Float)",1,1,1
"org.apache.nutch.crawl.MimeAdaptiveFetchSchedule.main(String[])",1,3,8
"org.apache.nutch.crawl.MimeAdaptiveFetchSchedule.readMimeFile(Reader)",1,5,5
"org.apache.nutch.crawl.MimeAdaptiveFetchSchedule.setConf(Configuration)",2,2,3
"org.apache.nutch.crawl.MimeAdaptiveFetchSchedule.setFetchSchedule(Text,CrawlDatum,long,long,long,long,int)",1,3,3
"org.apache.nutch.crawl.NutchWritable.NutchWritable()",1,1,1
"org.apache.nutch.crawl.NutchWritable.NutchWritable(Writable)",1,1,1
"org.apache.nutch.crawl.NutchWritable.getTypes()",1,1,1
"org.apache.nutch.crawl.Signature.getConf()",1,1,1
"org.apache.nutch.crawl.Signature.setConf(Configuration)",1,1,1
"org.apache.nutch.crawl.SignatureComparator._compare(Object,Object)",6,1,7
"org.apache.nutch.crawl.SignatureComparator._compare(byte[],int,int,byte[],int,int)",5,1,5
"org.apache.nutch.crawl.SignatureComparator.compare(Object,Object)",1,1,1
"org.apache.nutch.crawl.SignatureFactory.SignatureFactory()",1,1,1
"org.apache.nutch.crawl.SignatureFactory.getSignature(Configuration)",2,3,4
"org.apache.nutch.crawl.TextMD5Signature.calculate(Content,Parse)",2,3,3
"org.apache.nutch.crawl.TextProfileSignature.Token.Token(int,String)",1,1,1
"org.apache.nutch.crawl.TextProfileSignature.Token.toString()",1,1,1
"org.apache.nutch.crawl.TextProfileSignature.TokenComparator.compare(Token,Token)",1,1,1
