Complexity metrics,Seg, 11 dez 2017 18:53:32 BRST
Method,ev(G),iv(G),v(G)
"org.apache.nutch.plugin.Extension.getExtensionInstance()",1,2,5
"org.apache.nutch.plugin.Extension.getId()",1,1,1
"org.apache.nutch.plugin.Extension.getTargetPoint()",1,1,1
"org.apache.nutch.plugin.Extension.setClazz(String)",1,1,1
"org.apache.nutch.plugin.Extension.setDescriptor(PluginDescriptor)",1,1,1
"org.apache.nutch.plugin.Extension.setExtensionPoint(String)",1,1,1
"org.apache.nutch.plugin.Extension.setId(String)",1,1,1
"org.apache.nutch.plugin.ExtensionPoint.ExtensionPoint(String,String,String)",1,1,1
"org.apache.nutch.plugin.ExtensionPoint.addExtension(Extension)",1,1,1
"org.apache.nutch.plugin.ExtensionPoint.getExtensions()",1,1,1
"org.apache.nutch.plugin.ExtensionPoint.getId()",1,1,1
"org.apache.nutch.plugin.ExtensionPoint.getName()",1,1,1
"org.apache.nutch.plugin.ExtensionPoint.getSchema()",1,1,1
"org.apache.nutch.plugin.ExtensionPoint.setId(String)",1,1,1
"org.apache.nutch.plugin.ExtensionPoint.setName(String)",1,1,1
"org.apache.nutch.plugin.ExtensionPoint.setSchema(String)",1,1,1
"org.apache.nutch.plugin.MissingDependencyException.MissingDependencyException(String)",1,1,1
"org.apache.nutch.plugin.MissingDependencyException.MissingDependencyException(Throwable)",1,1,1
"org.apache.nutch.plugin.Plugin.Plugin(PluginDescriptor,Configuration)",1,1,1
"org.apache.nutch.plugin.Plugin.finalize()",1,1,1
"org.apache.nutch.plugin.Plugin.getDescriptor()",1,1,1
"org.apache.nutch.plugin.Plugin.setDescriptor(PluginDescriptor)",1,1,1
"org.apache.nutch.plugin.Plugin.shutDown()",1,1,1
"org.apache.nutch.plugin.Plugin.startUp()",1,1,1
"org.apache.nutch.plugin.PluginClassLoader.PluginClassLoader(URL[],ClassLoader)",1,1,1
"org.apache.nutch.plugin.PluginClassLoader.equals(Object)",8,2,8
"org.apache.nutch.plugin.PluginClassLoader.hashCode()",1,2,2
"org.apache.nutch.plugin.PluginDescriptor.PluginDescriptor(String,String,String,String,String,String,Configuration)",1,2,2
"org.apache.nutch.plugin.PluginDescriptor.addDependency(String)",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.addExportedLibRelative(String)",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.addExtension(Extension)",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.addExtensionPoint(ExtensionPoint)",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.addNotExportedLibRelative(String)",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.collectLibs(ArrayList<URL>,PluginDescriptor)",1,3,3
"org.apache.nutch.plugin.PluginDescriptor.getClassLoader()",2,4,5
"org.apache.nutch.plugin.PluginDescriptor.getDependencies()",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.getDependencyLibs()",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.getExportedLibUrls()",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.getExtensions()",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.getExtenstionPoints()",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.getName()",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.getNotExportedLibUrls()",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.getPluginClass()",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.getPluginId()",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.getPluginPath()",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.getProviderName()",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.getResourceString(String,Locale)",2,2,4
"org.apache.nutch.plugin.PluginDescriptor.getVersion()",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.setName(String)",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.setPath(String)",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.setPluginClass(String)",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.setPluginId(String)",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.setProvidername(String)",1,1,1
"org.apache.nutch.plugin.PluginDescriptor.setVersion(String)",1,1,1
"org.apache.nutch.plugin.PluginManifestParser.PluginManifestParser(Configuration,PluginRepository)",1,1,1
"org.apache.nutch.plugin.PluginManifestParser.getPluginFolder(String)",6,11,12
"org.apache.nutch.plugin.PluginManifestParser.parseExtension(Element,PluginDescriptor)",6,7,8
"org.apache.nutch.plugin.PluginManifestParser.parseExtensionPoints(Element,PluginDescriptor)",1,3,3
"org.apache.nutch.plugin.PluginManifestParser.parseLibraries(Element,PluginDescriptor)",1,4,4
"org.apache.nutch.plugin.PluginManifestParser.parseManifestFile(String)",1,1,1
"org.apache.nutch.plugin.PluginManifestParser.parsePlugin(Document,String)",1,2,2
"org.apache.nutch.plugin.PluginManifestParser.parsePluginFolder(String[])",4,5,7
"org.apache.nutch.plugin.PluginManifestParser.parseRequires(Element,PluginDescriptor)",1,4,4
"org.apache.nutch.plugin.PluginManifestParser.parseXML(URL)",1,1,1
"org.apache.nutch.plugin.PluginRepository.PluginRepository(Configuration)",1,3,4
"org.apache.nutch.plugin.PluginRepository.displayStatus()",1,7,7
"org.apache.nutch.plugin.PluginRepository.filter(Pattern,Pattern,Map<String, PluginDescriptor>)",7,4,7
"org.apache.nutch.plugin.PluginRepository.finalize()",1,1,1
"org.apache.nutch.plugin.PluginRepository.get(Configuration)",1,3,3
"org.apache.nutch.plugin.PluginRepository.getCachedClass(PluginDescriptor,String)",1,3,3
"org.apache.nutch.plugin.PluginRepository.getDependencyCheckedPlugins(Map<String, PluginDescriptor>,Map<String, PluginDescriptor>)",2,4,5
"org.apache.nutch.plugin.PluginRepository.getExtensionPoint(String)",1,1,1
"org.apache.nutch.plugin.PluginRepository.getOrderedPlugins(Class<?>,String,String)",5,11,13
"org.apache.nutch.plugin.PluginRepository.getPluginCheckedDependencies(PluginDescriptor,Map<String, PluginDescriptor>)",1,1,1
"org.apache.nutch.plugin.PluginRepository.getPluginCheckedDependencies(PluginDescriptor,Map<String, PluginDescriptor>,Map<String, PluginDescriptor>,Map<String, PluginDescriptor>)",4,4,6
"org.apache.nutch.plugin.PluginRepository.getPluginDescriptor(String)",3,2,3
"org.apache.nutch.plugin.PluginRepository.getPluginDescriptors()",1,1,1
"org.apache.nutch.plugin.PluginRepository.getPluginInstance(PluginDescriptor)",2,2,7
"org.apache.nutch.plugin.PluginRepository.installExtensionPoints(List<PluginDescriptor>)",2,3,4
"org.apache.nutch.plugin.PluginRepository.installExtensions(List<PluginDescriptor>)",4,4,4
"org.apache.nutch.plugin.PluginRepository.main(String[])",3,5,5
"org.apache.nutch.plugin.PluginRepository.shutDownActivatedPlugins()",1,2,2
"org.apache.nutch.plugin.PluginRuntimeException.PluginRuntimeException(String)",1,1,1
"org.apache.nutch.plugin.PluginRuntimeException.PluginRuntimeException(Throwable)",1,1,1
"org.apache.nutch.protocol.Content.Content()",1,1,1
"org.apache.nutch.protocol.Content.Content(String,String,byte[],String,Metadata,Configuration)",5,1,5
"org.apache.nutch.protocol.Content.equals(Object)",2,5,6
"org.apache.nutch.protocol.Content.getBaseUrl()",1,1,1
"org.apache.nutch.protocol.Content.getContent()",1,1,1
"org.apache.nutch.protocol.Content.getContentType()",1,1,1
"org.apache.nutch.protocol.Content.getContentType(String,String,byte[])",1,1,1
"org.apache.nutch.protocol.Content.getMetadata()",1,1,1
"org.apache.nutch.protocol.Content.getUrl()",1,1,1
"org.apache.nutch.protocol.Content.main(String[])",2,2,2
"org.apache.nutch.protocol.Content.read(DataInput)",1,1,1
"org.apache.nutch.protocol.Content.readFields(DataInput)",3,3,4
"org.apache.nutch.protocol.Content.readFieldsCompressed(DataInput)",2,4,6
"org.apache.nutch.protocol.Content.setContent(byte[])",1,1,1
"org.apache.nutch.protocol.Content.setContentType(String)",1,1,1
"org.apache.nutch.protocol.Content.setMetadata(Metadata)",1,1,1
"org.apache.nutch.protocol.Content.toString()",1,1,1
"org.apache.nutch.protocol.Content.write(DataOutput)",1,1,1
"org.apache.nutch.protocol.ProtocolException.ProtocolException()",1,1,1
"org.apache.nutch.protocol.ProtocolException.ProtocolException(String)",1,1,1
"org.apache.nutch.protocol.ProtocolException.ProtocolException(String,Throwable)",1,1,1
"org.apache.nutch.protocol.ProtocolException.ProtocolException(Throwable)",1,1,1
"org.apache.nutch.protocol.ProtocolFactory.ProtocolFactory(Configuration)",2,1,2
"org.apache.nutch.protocol.ProtocolFactory.contains(String,String)",3,2,3
"org.apache.nutch.protocol.ProtocolFactory.findExtension(String)",3,2,3
"org.apache.nutch.protocol.ProtocolFactory.getProtocol(String)",4,3,6
"org.apache.nutch.protocol.ProtocolNotFound.ProtocolNotFound(String)",1,1,1
"org.apache.nutch.protocol.ProtocolNotFound.ProtocolNotFound(String,String)",1,1,1
"org.apache.nutch.protocol.ProtocolNotFound.getUrl()",1,1,1
"org.apache.nutch.protocol.ProtocolOutput.ProtocolOutput(Content)",1,1,1
"org.apache.nutch.protocol.ProtocolOutput.ProtocolOutput(Content,ProtocolStatus)",1,1,1
"org.apache.nutch.protocol.ProtocolOutput.getContent()",1,1,1
"org.apache.nutch.protocol.ProtocolOutput.getStatus()",1,1,1
"org.apache.nutch.protocol.ProtocolOutput.setContent(Content)",1,1,1
"org.apache.nutch.protocol.ProtocolOutput.setStatus(ProtocolStatus)",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.ProtocolStatus()",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.ProtocolStatus(Throwable)",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.ProtocolStatus(int)",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.ProtocolStatus(int,Object)",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.ProtocolStatus(int,Object,long)",1,2,2
"org.apache.nutch.protocol.ProtocolStatus.ProtocolStatus(int,String[])",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.ProtocolStatus(int,String[],long)",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.ProtocolStatus(int,long)",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.equals(Object)",10,3,11
"org.apache.nutch.protocol.ProtocolStatus.getArgs()",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.getCode()",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.getLastModified()",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.getMessage()",2,1,3
"org.apache.nutch.protocol.ProtocolStatus.getName()",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.isPermanentFailure()",1,1,5
"org.apache.nutch.protocol.ProtocolStatus.isRedirect()",1,1,2
"org.apache.nutch.protocol.ProtocolStatus.isSuccess()",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.isTransientFailure()",1,1,7
"org.apache.nutch.protocol.ProtocolStatus.read(DataInput)",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.readFields(DataInput)",2,2,4
"org.apache.nutch.protocol.ProtocolStatus.setArgs(String[])",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.setCode(int)",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.setLastModified(long)",1,1,1
"org.apache.nutch.protocol.ProtocolStatus.setMessage(String)",1,1,3
"org.apache.nutch.protocol.ProtocolStatus.toString()",1,5,5
"org.apache.nutch.protocol.ProtocolStatus.write(DataOutput)",1,2,2
"org.apache.nutch.protocol.RobotRulesParser.RobotRulesParser()",1,1,1
"org.apache.nutch.protocol.RobotRulesParser.RobotRulesParser(Configuration)",1,1,1
"org.apache.nutch.protocol.RobotRulesParser.TestRobotRulesParser.TestRobotRulesParser(Configuration)",1,2,2
"org.apache.nutch.protocol.RobotRulesParser.TestRobotRulesParser.getRobotRulesSet(Protocol,URL)",1,2,2
"org.apache.nutch.protocol.RobotRulesParser.getConf()",1,1,1
"org.apache.nutch.protocol.RobotRulesParser.getRobotRulesSet(Protocol,Text)",1,1,2
"org.apache.nutch.protocol.RobotRulesParser.isWhiteListed(URL)",1,2,2
"org.apache.nutch.protocol.RobotRulesParser.main(String[])",1,1,1
"org.apache.nutch.protocol.RobotRulesParser.parseRules(String,byte[],String,String)",1,1,1
"org.apache.nutch.protocol.RobotRulesParser.run(String[])",1,7,9
"org.apache.nutch.protocol.RobotRulesParser.setConf(Configuration)",5,11,12
"org.apache.nutch.scoring.AbstractScoringFilter.distributeScoreToOutlinks(Text,ParseData,Collection<Entry<Text, CrawlDatum>>,CrawlDatum,int)",1,1,1
"org.apache.nutch.scoring.AbstractScoringFilter.generatorSortValue(Text,CrawlDatum,float)",1,1,1
"org.apache.nutch.scoring.AbstractScoringFilter.getConf()",1,1,1
"org.apache.nutch.scoring.AbstractScoringFilter.indexerScore(Text,NutchDocument,CrawlDatum,CrawlDatum,Parse,Inlinks,float)",1,1,1
"org.apache.nutch.scoring.AbstractScoringFilter.initialScore(Text,CrawlDatum)",1,1,1
"org.apache.nutch.scoring.AbstractScoringFilter.injectedScore(Text,CrawlDatum)",1,1,1
"org.apache.nutch.scoring.AbstractScoringFilter.passScoreAfterParsing(Text,Content,Parse)",1,1,1
"org.apache.nutch.scoring.AbstractScoringFilter.passScoreBeforeParsing(Text,CrawlDatum,Content)",1,1,1
"org.apache.nutch.scoring.AbstractScoringFilter.setConf(Configuration)",1,1,1
"org.apache.nutch.scoring.AbstractScoringFilter.updateDbScore(Text,CrawlDatum,CrawlDatum,List<CrawlDatum>)",1,1,1
"org.apache.nutch.scoring.ScoringFilterException.ScoringFilterException()",1,1,1
"org.apache.nutch.scoring.ScoringFilterException.ScoringFilterException(String)",1,1,1
"org.apache.nutch.scoring.ScoringFilterException.ScoringFilterException(String,Throwable)",1,1,1
"org.apache.nutch.scoring.ScoringFilterException.ScoringFilterException(Throwable)",1,1,1
"org.apache.nutch.scoring.ScoringFilters.ScoringFilters(Configuration)",1,1,1
"org.apache.nutch.scoring.ScoringFilters.distributeScoreToOutlinks(Text,ParseData,Collection<Entry<Text, CrawlDatum>>,CrawlDatum,int)",1,2,2
"org.apache.nutch.scoring.ScoringFilters.generatorSortValue(Text,CrawlDatum,float)",1,2,2
"org.apache.nutch.scoring.ScoringFilters.indexerScore(Text,NutchDocument,CrawlDatum,CrawlDatum,Parse,Inlinks,float)",1,2,2
"org.apache.nutch.scoring.ScoringFilters.initialScore(Text,CrawlDatum)",1,2,2
"org.apache.nutch.scoring.ScoringFilters.injectedScore(Text,CrawlDatum)",1,2,2
"org.apache.nutch.scoring.ScoringFilters.passScoreAfterParsing(Text,Content,Parse)",1,2,2
"org.apache.nutch.scoring.ScoringFilters.passScoreBeforeParsing(Text,CrawlDatum,Content)",1,2,2
"org.apache.nutch.scoring.ScoringFilters.updateDbScore(Text,CrawlDatum,CrawlDatum,List<CrawlDatum>)",1,2,2
"org.apache.nutch.scoring.webgraph.LinkDatum.LinkDatum()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.LinkDatum(String)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.LinkDatum(String,String)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.LinkDatum(String,String,long)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.getAnchor()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.getLinkType()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.getScore()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.getTimestamp()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.getUrl()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.readFields(DataInput)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.setAnchor(String)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.setLinkType(byte)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.setScore(float)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.setTimestamp(long)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.setUrl(String)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDatum.toString()",1,1,3
"org.apache.nutch.scoring.webgraph.LinkDatum.write(DataOutput)",1,1,2
"org.apache.nutch.scoring.webgraph.LinkDumper.Inverter.close()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.Inverter.configure(JobConf)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.Inverter.map(Text,Writable,OutputCollector<Text, ObjectWritable>,Reporter)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.Inverter.reduce(Text,Iterator<ObjectWritable>,OutputCollector<Text, LinkNode>,Reporter)",4,8,10
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNode.LinkNode()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNode.LinkNode(String,Node)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNode.getNode()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNode.getUrl()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNode.readFields(DataInput)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNode.setNode(Node)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNode.setUrl(String)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNode.write(DataOutput)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNodes.LinkNodes()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNodes.LinkNodes(LinkNode[])",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNodes.getLinks()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNodes.readFields(DataInput)",1,3,3
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNodes.setLinks(LinkNode[])",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.LinkNodes.write(DataOutput)",1,3,4
"org.apache.nutch.scoring.webgraph.LinkDumper.Merger.close()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.Merger.configure(JobConf)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.Merger.reduce(Text,Iterator<LinkNode>,OutputCollector<Text, LinkNodes>,Reporter)",3,3,3
"org.apache.nutch.scoring.webgraph.LinkDumper.Reader.main(String[])",2,3,4
"org.apache.nutch.scoring.webgraph.LinkDumper.dumpLinks(Path)",1,4,4
"org.apache.nutch.scoring.webgraph.LinkDumper.main(String[])",1,1,1
"org.apache.nutch.scoring.webgraph.LinkDumper.run(String[])",2,4,4
"org.apache.nutch.scoring.webgraph.LinkRank.Analyzer.close()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.Analyzer.configure(JobConf)",1,2,2
"org.apache.nutch.scoring.webgraph.LinkRank.Analyzer.map(Text,Writable,OutputCollector<Text, ObjectWritable>,Reporter)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.Analyzer.reduce(Text,Iterator<ObjectWritable>,OutputCollector<Text, Node>,Reporter)",5,8,8
"org.apache.nutch.scoring.webgraph.LinkRank.Counter.close()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.Counter.configure(JobConf)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.Counter.map(Text,Node,OutputCollector<Text, LongWritable>,Reporter)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.Counter.reduce(Text,Iterator<LongWritable>,OutputCollector<Text, LongWritable>,Reporter)",1,2,2
"org.apache.nutch.scoring.webgraph.LinkRank.Initializer.close()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.Initializer.configure(JobConf)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.Initializer.map(Text,Node,OutputCollector<Text, Node>,Reporter)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.Inverter.close()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.Inverter.configure(JobConf)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.Inverter.map(Text,Writable,OutputCollector<Text, ObjectWritable>,Reporter)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.Inverter.reduce(Text,Iterator<ObjectWritable>,OutputCollector<Text, LinkDatum>,Reporter)",5,10,12
"org.apache.nutch.scoring.webgraph.LinkRank.LinkRank()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.LinkRank(Configuration)",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.analyze(Path)",1,4,5
"org.apache.nutch.scoring.webgraph.LinkRank.close()",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.main(String[])",1,1,1
"org.apache.nutch.scoring.webgraph.LinkRank.run(String[])",2,4,4
"org.apache.nutch.scoring.webgraph.LinkRank.runAnalysis(Path,Path,Path,int,int,float)",1,2,2
"org.apache.nutch.scoring.webgraph.LinkRank.runCounter(FileSystem,Path)",2,4,4
"org.apache.nutch.scoring.webgraph.LinkRank.runInitializer(Path,Path)",1,2,2
"org.apache.nutch.scoring.webgraph.LinkRank.runInverter(Path,Path,Path,Path)",1,3,3
"org.apache.nutch.scoring.webgraph.LoopReader.LoopReader()",1,1,1
"org.apache.nutch.scoring.webgraph.LoopReader.LoopReader(Configuration)",1,1,1
"org.apache.nutch.scoring.webgraph.LoopReader.dumpUrl(Path,String)",1,2,2
"org.apache.nutch.scoring.webgraph.LoopReader.main(String[])",2,5,5
"org.apache.nutch.scoring.webgraph.Loops.Finalizer.Finalizer()",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Finalizer.Finalizer(Configuration)",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Finalizer.close()",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Finalizer.configure(JobConf)",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Finalizer.map(Text,Route,OutputCollector<Text, Route>,Reporter)",1,2,2
"org.apache.nutch.scoring.webgraph.Loops.Finalizer.reduce(Text,Iterator<Route>,OutputCollector<Text, LoopSet>,Reporter)",1,2,2
"org.apache.nutch.scoring.webgraph.Loops.Initializer.Initializer()",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Initializer.Initializer(Configuration)",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Initializer.close()",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Initializer.configure(JobConf)",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Initializer.map(Text,Writable,OutputCollector<Text, ObjectWritable>,Reporter)",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Initializer.reduce(Text,Iterator<ObjectWritable>,OutputCollector<Text, Route>,Reporter)",1,6,7
"org.apache.nutch.scoring.webgraph.Loops.LoopSet.LoopSet()",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.LoopSet.getLoopSet()",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.LoopSet.readFields(DataInput)",1,2,2
"org.apache.nutch.scoring.webgraph.Loops.LoopSet.setLoopSet(Set<String>)",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.LoopSet.toString()",1,2,2
"org.apache.nutch.scoring.webgraph.Loops.LoopSet.write(DataOutput)",1,3,3
"org.apache.nutch.scoring.webgraph.Loops.Looper.Looper()",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Looper.Looper(Configuration)",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Looper.close()",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Looper.configure(JobConf)",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Looper.map(Text,Writable,OutputCollector<Text, ObjectWritable>,Reporter)",1,2,2
"org.apache.nutch.scoring.webgraph.Loops.Looper.reduce(Text,Iterator<ObjectWritable>,OutputCollector<Text, Route>,Reporter)",1,11,11
"org.apache.nutch.scoring.webgraph.Loops.Route.Route()",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Route.getLookingFor()",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Route.getOutlinkUrl()",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Route.isFound()",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Route.readFields(DataInput)",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Route.setFound(boolean)",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Route.setLookingFor(String)",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Route.setOutlinkUrl(String)",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.Route.write(DataOutput)",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.findLoops(Path)",2,6,6
"org.apache.nutch.scoring.webgraph.Loops.main(String[])",1,1,1
"org.apache.nutch.scoring.webgraph.Loops.run(String[])",2,4,4
"org.apache.nutch.scoring.webgraph.Node.Node()",1,1,1
"org.apache.nutch.scoring.webgraph.Node.getInlinkScore()",1,1,1
"org.apache.nutch.scoring.webgraph.Node.getMetadata()",1,1,1
"org.apache.nutch.scoring.webgraph.Node.getNumInlinks()",1,1,1
"org.apache.nutch.scoring.webgraph.Node.getNumOutlinks()",1,1,1
"org.apache.nutch.scoring.webgraph.Node.getOutlinkScore()",1,1,2
"org.apache.nutch.scoring.webgraph.Node.readFields(DataInput)",1,1,1
"org.apache.nutch.scoring.webgraph.Node.setInlinkScore(float)",1,1,1
"org.apache.nutch.scoring.webgraph.Node.setMetadata(Metadata)",1,1,1
"org.apache.nutch.scoring.webgraph.Node.setNumInlinks(int)",1,1,1
"org.apache.nutch.scoring.webgraph.Node.setNumOutlinks(int)",1,1,1
"org.apache.nutch.scoring.webgraph.Node.toString()",1,1,1
"org.apache.nutch.scoring.webgraph.Node.write(DataOutput)",1,1,1
"org.apache.nutch.scoring.webgraph.NodeDumper.Dumper.close()",1,1,1
"org.apache.nutch.scoring.webgraph.NodeDumper.Dumper.configure(JobConf)",1,1,1
"org.apache.nutch.scoring.webgraph.NodeDumper.Dumper.map(Text,Node,OutputCollector<Text, FloatWritable>,Reporter)",1,4,4
"org.apache.nutch.scoring.webgraph.NodeDumper.Dumper.reduce(Text,Iterator<FloatWritable>,OutputCollector<Text, FloatWritable>,Reporter)",1,3,5
"org.apache.nutch.scoring.webgraph.NodeDumper.Sorter.close()",1,1,1
"org.apache.nutch.scoring.webgraph.NodeDumper.Sorter.configure(JobConf)",1,1,1
"org.apache.nutch.scoring.webgraph.NodeDumper.Sorter.map(Text,Node,OutputCollector<FloatWritable, Text>,Reporter)",1,3,3
"org.apache.nutch.scoring.webgraph.NodeDumper.Sorter.reduce(FloatWritable,Iterator<Text>,OutputCollector<Text, FloatWritable>,Reporter)",1,3,4
"org.apache.nutch.scoring.webgraph.NodeDumper.dumpNodes(Path,DumpType,long,Path,boolean,NameType,AggrType,boolean)",1,5,5
"org.apache.nutch.scoring.webgraph.NodeDumper.main(String[])",1,1,1
"org.apache.nutch.scoring.webgraph.NodeDumper.run(String[])",2,8,13
"org.apache.nutch.scoring.webgraph.NodeReader.NodeReader()",1,1,1
"org.apache.nutch.scoring.webgraph.NodeReader.NodeReader(Configuration)",1,1,1
"org.apache.nutch.scoring.webgraph.NodeReader.dumpUrl(Path,String)",1,1,1
"org.apache.nutch.scoring.webgraph.NodeReader.main(String[])",2,5,5
"org.apache.nutch.scoring.webgraph.ScoreUpdater.close()",1,1,1
"org.apache.nutch.scoring.webgraph.ScoreUpdater.configure(JobConf)",1,1,1
"org.apache.nutch.scoring.webgraph.ScoreUpdater.main(String[])",1,1,1
"org.apache.nutch.scoring.webgraph.ScoreUpdater.map(Text,Writable,OutputCollector<Text, ObjectWritable>,Reporter)",1,1,1
"org.apache.nutch.scoring.webgraph.ScoreUpdater.reduce(Text,Iterator<ObjectWritable>,OutputCollector<Text, CrawlDatum>,Reporter)",1,4,6
