Complexity metrics,Qua, 13 dez 2017 16:37:32 BRST
Method,ev(G),iv(G),v(G)
"net.sourceforge.jvlt.core.Entry.setDateAdded(Calendar)",1,1,1
"net.sourceforge.jvlt.core.Entry.setEntryClass(EntryClass)",1,1,1
"net.sourceforge.jvlt.core.Entry.setID(String)",1,1,1
"net.sourceforge.jvlt.core.Entry.setLastQueried(Calendar)",1,1,1
"net.sourceforge.jvlt.core.Entry.setLastQuizResult(Boolean)",1,1,1
"net.sourceforge.jvlt.core.Entry.setLesson(String)",1,1,1
"net.sourceforge.jvlt.core.Entry.setMultimediaFiles(String[])",1,1,1
"net.sourceforge.jvlt.core.Entry.setNumMistakes(int)",1,1,1
"net.sourceforge.jvlt.core.Entry.setNumQueried(int)",1,1,1
"net.sourceforge.jvlt.core.Entry.setOrthography(String)",1,1,1
"net.sourceforge.jvlt.core.Entry.setPronunciations(List<String>)",1,1,1
"net.sourceforge.jvlt.core.Entry.setStats(Stats)",1,1,1
"net.sourceforge.jvlt.core.Entry.setUserFlags(int)",1,1,1
"net.sourceforge.jvlt.core.Entry.toString()",1,2,2
"net.sourceforge.jvlt.core.Entry.updateBatch()",1,2,2
"net.sourceforge.jvlt.core.EntryAttributeSchema.EntryAttributeSchema(String)",1,1,1
"net.sourceforge.jvlt.core.EntryAttributeSchema.addEntryClass(EntryClass)",1,1,1
"net.sourceforge.jvlt.core.EntryAttributeSchema.getEntryClass(String)",1,1,1
"net.sourceforge.jvlt.core.EntryAttributeSchema.getEntryClasses()",1,1,1
"net.sourceforge.jvlt.core.EntryAttributeSchema.getLanguage()",1,1,1
"net.sourceforge.jvlt.core.EntryAttributeSchema.removeEntryClass(String)",1,1,1
"net.sourceforge.jvlt.core.EntryAttributeSchema.toString()",1,3,3
"net.sourceforge.jvlt.core.EntryClass.EntryClass(String)",1,1,1
"net.sourceforge.jvlt.core.EntryClass.addAttribute(SchemaAttribute)",2,2,3
"net.sourceforge.jvlt.core.EntryClass.addAttributes(SchemaAttribute[])",1,2,2
"net.sourceforge.jvlt.core.EntryClass.clone()",1,2,2
"net.sourceforge.jvlt.core.EntryClass.compareTo(EntryClass)",1,1,1
"net.sourceforge.jvlt.core.EntryClass.equals(Object)",2,1,2
"net.sourceforge.jvlt.core.EntryClass.getAttribute(String)",1,1,1
"net.sourceforge.jvlt.core.EntryClass.getAttributes()",1,1,1
"net.sourceforge.jvlt.core.EntryClass.getAttributes(String)",2,1,2
"net.sourceforge.jvlt.core.EntryClass.getChildClasses()",1,1,1
"net.sourceforge.jvlt.core.EntryClass.getGroups()",1,1,1
"net.sourceforge.jvlt.core.EntryClass.getName()",1,1,1
"net.sourceforge.jvlt.core.EntryClass.getParentClass()",1,1,1
"net.sourceforge.jvlt.core.EntryClass.hashCode()",1,1,1
"net.sourceforge.jvlt.core.EntryClass.setParentClass(EntryClass)",1,2,2
"net.sourceforge.jvlt.core.EntryClass.toString()",1,1,1
"net.sourceforge.jvlt.core.Example.Comparator.compare(Example,Example)",1,1,1
"net.sourceforge.jvlt.core.Example.Comparator.equals(Object)",1,1,1
"net.sourceforge.jvlt.core.Example.Example(String)",1,1,1
"net.sourceforge.jvlt.core.Example.Example(String,TextFragment[],String)",1,1,1
"net.sourceforge.jvlt.core.Example.TextFragment.TextFragment()",1,1,1
"net.sourceforge.jvlt.core.Example.TextFragment.TextFragment(String)",1,1,1
"net.sourceforge.jvlt.core.Example.TextFragment.TextFragment(String,Sense)",1,1,1
"net.sourceforge.jvlt.core.Example.TextFragment.TextFragment(TextFragment)",1,1,1
"net.sourceforge.jvlt.core.Example.TextFragment.getSense()",1,1,1
"net.sourceforge.jvlt.core.Example.TextFragment.getText()",1,1,1
"net.sourceforge.jvlt.core.Example.TextFragment.setSense(Sense)",1,1,1
"net.sourceforge.jvlt.core.Example.TextFragment.setText(String)",1,1,1
"net.sourceforge.jvlt.core.Example.TextFragment.toString()",1,1,1
"net.sourceforge.jvlt.core.Example.addTextFragment(TextFragment)",1,1,1
