Martin packaging metrics,Seg, 4 dez 2017 18:31:24 BRST
Package,A,Ca,Ce,D,I
"hcatalog.webhcat.svr.src.main.java.org.apache.hive.hcatalog.templeton.tool","0,14",15,15,"0,36","0,57"
"hcatalog.webhcat.svr.src.test.java.org.apache.hive.hcatalog.templeton","0,00",2,5,"0,29","1,00"
"hcatalog.webhcat.svr.src.test.java.org.apache.hive.hcatalog.templeton.mock","0,00",1,2,"0,33","0,67"
"hcatalog.webhcat.svr.src.test.java.org.apache.hive.hcatalog.templeton.tool","0,00",0,2,"0,00","1,00"
"hwi.src.java.org.apache.hadoop.hive.hwi","0,00",1,10,"0,09","1,00"
"hwi.src.test.org.apache.hadoop.hive.hwi","0,00",0,3,"0,00","1,00"
"itests.custom-serde.src.main.java.org.apache.hadoop.hive.serde2","0,00",1,29,"0,03","1,00"
"itests.hcatalog-unit.src.test.java.org.apache.hive.hcatalog.hbase","0,20",4,15,"0,01","0,85"
"itests.hcatalog-unit.src.test.java.org.apache.hive.hcatalog.mapreduce","0,00",1,15,"0,06","1,00"
"itests.hive-minikdc.src.test.java.org.apache.hive.minikdc","0,09",4,27,"0,04","0,96"
"itests.hive-unit-hadoop2.src.test.java.org.apache.hadoop.hive.ql.security","0,00",0,4,"0,00","1,00"
"itests.hive-unit.src.main.java.org.apache.hive.jdbc.miniHS2","0,33",7,10,"0,08","0,62"
"itests.hive-unit.src.test.java.org.apache.hadoop.hive.hooks","0,00",2,6,"0,25","1,00"
"itests.hive-unit.src.test.java.org.apache.hadoop.hive.jdbc","0,00",0,2,"0,00","1,00"
"itests.hive-unit.src.test.java.org.apache.hadoop.hive.metastore","0,09",4,107,"0,06","1,00"
"itests.hive-unit.src.test.java.org.apache.hadoop.hive.ql","0,17",1,13,"0,10","1,00"
"itests.hive-unit.src.test.java.org.apache.hadoop.hive.ql.history","0,00",0,11,"0,00","1,00"
"itests.hive-unit.src.test.java.org.apache.hadoop.hive.ql.metadata","0,00",0,5,"0,00","1,00"
"itests.hive-unit.src.test.java.org.apache.hadoop.hive.ql.security","0,10",0,60,"0,10","1,00"
"itests.hive-unit.src.test.java.org.apache.hadoop.hive.ql.security.authorization.plugin","0,00",2,10,"0,17","0,88"
"itests.hive-unit.src.test.java.org.apache.hadoop.hive.serde2","0,00",0,3,"0,00","1,00"
"itests.hive-unit.src.test.java.org.apache.hadoop.hive.serde2.dynamic_type","0,00",0,3,"0,00","1,00"
"itests.hive-unit.src.test.java.org.apache.hadoop.hive.service","0,00",0,5,"0,00","1,00"
"itests.hive-unit.src.test.java.org.apache.hadoop.hive.thrift","0,00",3,11,"0,21","0,90"
"itests.hive-unit.src.test.java.org.apache.hive.beeline","0,00",0,5,"0,00","1,00"
"itests.hive-unit.src.test.java.org.apache.hive.jdbc","0,00",3,20,"0,13","0,94"
"itests.hive-unit.src.test.java.org.apache.hive.jdbc.authorization","0,00",6,32,"0,16","0,87"
"itests.hive-unit.src.test.java.org.apache.hive.jdbc.miniHS2","0,00",0,3,"0,00","1,00"
"itests.hive-unit.src.test.java.org.apache.hive.service","0,00",0,3,"0,00","1,00"
"itests.hive-unit.src.test.java.org.apache.hive.service.auth","0,00",0,2,"0,00","1,00"
"itests.hive-unit.src.test.java.org.apache.hive.service.cli","0,00",0,1,"0,00","1,00"
"itests.hive-unit.src.test.java.org.apache.hive.service.cli.thrift","0,00",0,5,"0,00","1,00"
"itests.hive-unit.src.test.java.org.apache.hive.service.server","0,00",0,2,"0,00","1,00"
"itests.qtest.src.test.java.org.apache.hive","0,00",0,0,"0,00","1,00"
"itests.test-serde.src.main.java.org.apache.hadoop.hive.serde2","0,00",0,1,"0,00","1,00"
"itests.util.src.main.java.org.apache.hadoop.hive.accumulo","0,00",0,3,"0,00","1,00"
"itests.util.src.main.java.org.apache.hadoop.hive.hbase","0,00",0,4,"0,00","1,00"
"itests.util.src.main.java.org.apache.hadoop.hive.ql","0,00",10,16,"0,38","0,80"
"itests.util.src.main.java.org.apache.hadoop.hive.ql.hooks","0,00",1,57,"0,02","0,97"
