Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"android.provider.Telephony.CanonicalAddressesColumns",0,1,1,0,0
"android.provider.Telephony.TextBasedSmsColumns",0,0,0,6,7
"android.provider.Telephony.ThreadsColumns",0,1,1,1,2
"android.speech.RecognitionListener",0,1,1.416,2,6
"android.speech.tts.TextToSpeech.OnInitListener",0,0,0,1,2.386
"android.speech.tts.TextToSpeech.OnUtteranceCompletedListener",0,0,0,1,2.386
"android.test.PerformanceTestCase",0,1,1,11,75
"android.test.PerformanceTestCase.Intermediates",0,0,0,13,78
"android.text.Editable",0,3,4,31,2.388
"android.text.GetChars",0,0,0,13,2.393
"android.text.GraphicsOperations",0,0,0,3,2.387
"android.text.Html.ImageGetter",0,0,0,2,3
"android.text.Html.TagHandler",0,1,5,2,3
"android.text.InputFilter",0,1,1,10,2.390
"android.text.InputType",0,0,0,19,2.386
"android.text.NoCopySpan",0,0,0,10,2.398
"android.text.ParcelableSpan",1.027,1,1.415,20,2.385
"android.text.SpanWatcher",0,2,3,7,2.390
"android.text.Spannable",0,1,1,52,2.394
"android.text.Spanned",0,0,0,54,2.397
"android.text.TextUtils.EllipsizeCallback",0,0,0,2,2.386
"android.text.TextUtils.StringSplitter",0,0,0,2,2.387
"android.text.TextWatcher",0,2,6,11,2.386
"android.text.method.KeyListener",1.027,3,1.415,7,2.385
"android.text.method.MovementMethod",1.027,4,1.415,9,2.385
"android.text.method.TransformationMethod",1.027,1,1.415,3,2.385
"android.text.style.AlignmentSpan",0,2,2,3,2.386
"android.text.style.LeadingMarginSpan",1.027,2,1.415,8,2.385
"android.text.style.LeadingMarginSpan.LeadingMarginSpan2",1.027,2,1.415,2,2.385
"android.text.style.LineBackgroundSpan",0,1,1,1,2.386
"android.text.style.LineHeightSpan",0,2,2,4,2.388
"android.text.style.LineHeightSpan.WithDensity",0,2,4,2,2.387
"android.text.style.ParagraphStyle",0,0,0,11,2.395
"android.text.style.TabStopSpan",0,1,1,4,2.388
