Package,PDcy,PDpt
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.preferences",9,17
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.project",16,26
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.properties",6,0
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.refactoring.changes",5,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.refactoring.core",7,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.refactorings.extractstring",13,2
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.refactorings.renamepackage",5,0
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.resources",17,11
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.resources.manager",14,16
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.sdk",25,38
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.sourcelookup",2,0
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.ui",14,8
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.wizards.actions",6,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.wizards.export",6,2
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.wizards.newproject",13,5
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.wizards.newxmlfile",17,5
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.io",1,8
"eclipse.plugins.com.android.ide.eclipse.adt.templates",0,0
"eclipse.plugins.com.android.ide.eclipse.ddms",0,0
"eclipse.plugins.com.android.ide.eclipse.ddms..settings",0,0
"eclipse.plugins.com.android.ide.eclipse.ddms.META-INF",0,0
"eclipse.plugins.com.android.ide.eclipse.ddms.libs",0,0
"eclipse.plugins.com.android.ide.eclipse.ddms.schema",0,0
"eclipse.plugins.com.android.ide.eclipse.ddms.src.com.android.ide.eclipse.ddms",6,8
"eclipse.plugins.com.android.ide.eclipse.ddms.src.com.android.ide.eclipse.ddms.i18n",0,3
"eclipse.plugins.com.android.ide.eclipse.ddms.src.com.android.ide.eclipse.ddms.preferences",6,2
"eclipse.plugins.com.android.ide.eclipse.ddms.src.com.android.ide.eclipse.ddms.views",10,2
"eclipse.plugins.com.android.ide.eclipse.hierarchyviewer",0,0
"eclipse.plugins.com.android.ide.eclipse.hierarchyviewer..settings",0,0
"eclipse.plugins.com.android.ide.eclipse.hierarchyviewer.META-INF",0,0
"eclipse.plugins.com.android.ide.eclipse.hierarchyviewer.libs",0,0
"eclipse.plugins.com.android.ide.eclipse.hierarchyviewer.src.com.android.ide.eclipse.hierarchyviewer",5,1
"eclipse.plugins.com.android.ide.eclipse.hierarchyviewer.src.com.android.ide.eclipse.hierarchyviewer.views",6,1
"eclipse.plugins.com.android.ide.eclipse.pdt",0,0
"eclipse.plugins.com.android.ide.eclipse.pdt..settings",0,0
"eclipse.plugins.com.android.ide.eclipse.pdt.META-INF",0,0
"eclipse.plugins.com.android.ide.eclipse.pdt.src.com.android.ide.eclipse.pdt",2,2
"eclipse.plugins.com.android.ide.eclipse.pdt.src.com.android.ide.eclipse.pdt.internal",2,0
"eclipse.plugins.com.android.ide.eclipse.pdt.src.com.android.ide.eclipse.pdt.internal.preferences",1,1
"eclipse.plugins.com.android.ide.eclipse.tests",0,0
"eclipse.plugins.com.android.ide.eclipse.tests..settings",0,0
"eclipse.plugins.com.android.ide.eclipse.tests.META-INF",0,0
"eclipse.plugins.com.android.ide.eclipse.tests.not_source_folder.jar.example",0,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.build",5,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.editors",10,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.editors.formatting",2,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.editors.layout.gle2",6,0
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.editors.layout.refactoring",17,5
"eclipse.plugins.com.android.ide.eclipse.tests.src.com.android.ide.eclipse.adt.internal.editors.layout.refactoring.testdata",0,0
