Complexity metrics,Ter, 10 out 2017 11:43:01 BRT
Class,OCavg,WMC
"org.apache.tools.ant.taskdefs.DependSet.NonExistent","1,00",1
"org.apache.tools.ant.taskdefs.DependSet.Oldest","1,00",1
"org.apache.tools.ant.taskdefs.DependSet.Xest","1,00",1
"org.apache.tools.ant.taskdefs.DiagnosticsTask","1,00",1
"org.apache.tools.ant.taskdefs.Dirname","1,67",5
"org.apache.tools.ant.taskdefs.Ear","1,57",11
"org.apache.tools.ant.taskdefs.Echo","1,29",9
"org.apache.tools.ant.taskdefs.Echo.EchoLevel","1,00",2
"org.apache.tools.ant.taskdefs.EchoXML","1,67",5
"org.apache.tools.ant.taskdefs.Exec","2,20",22
"org.apache.tools.ant.taskdefs.Exec.StreamPumper","2,00",6
"org.apache.tools.ant.taskdefs.ExecTask","1,88",79
"org.apache.tools.ant.taskdefs.Execute","2,65",82
"org.apache.tools.ant.taskdefs.Execute.CommandLauncher","2,00",4
"org.apache.tools.ant.taskdefs.Execute.CommandLauncherProxy","1,00",2
"org.apache.tools.ant.taskdefs.Execute.Java13CommandLauncher","2,50",5
"org.apache.tools.ant.taskdefs.Execute.MacCommandLauncher","1,50",3
"org.apache.tools.ant.taskdefs.Execute.OS2CommandLauncher","2,00",4
"org.apache.tools.ant.taskdefs.Execute.PerlScriptCommandLauncher","3,00",6
"org.apache.tools.ant.taskdefs.Execute.ScriptCommandLauncher","3,00",6
"org.apache.tools.ant.taskdefs.Execute.VmsCommandLauncher","1,83",11
"org.apache.tools.ant.taskdefs.Execute.WinNTCommandLauncher","2,00",4
"org.apache.tools.ant.taskdefs.ExecuteJava","2,50",30
"org.apache.tools.ant.taskdefs.ExecuteOn","3,00",90
"org.apache.tools.ant.taskdefs.ExecuteOn.FileDirBoth","1,00",1
"org.apache.tools.ant.taskdefs.ExecuteWatchdog","1,44",13
"org.apache.tools.ant.taskdefs.Exit","2,27",25
"org.apache.tools.ant.taskdefs.Exit.NestedCondition","2,00",2
"org.apache.tools.ant.taskdefs.Expand","3,07",43
"org.apache.tools.ant.taskdefs.Filter","1,60",8
"org.apache.tools.ant.taskdefs.FixCRLF","2,20",33
"org.apache.tools.ant.taskdefs.FixCRLF.AddAsisRemove","1,00",1
"org.apache.tools.ant.taskdefs.FixCRLF.CrLf","1,00",1
"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner","3,12",25
"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine","1,00",19
"org.apache.tools.ant.taskdefs.GUnzip","1,67",5
"org.apache.tools.ant.taskdefs.GZip","1,00",2
"org.apache.tools.ant.taskdefs.GenerateKey","2,31",30
"org.apache.tools.ant.taskdefs.GenerateKey.DistinguishedName","2,00",8
"org.apache.tools.ant.taskdefs.GenerateKey.DnameParam","1,00",4
"org.apache.tools.ant.taskdefs.Get","3,67",33
"org.apache.tools.ant.taskdefs.Get.Base64Converter","2,50",5
"org.apache.tools.ant.taskdefs.Get.NullProgress","1,00",3
"org.apache.tools.ant.taskdefs.Get.VerboseProgress","1,25",5
"org.apache.tools.ant.taskdefs.ImportTask","3,67",11
"org.apache.tools.ant.taskdefs.Input","1,88",15
"org.apache.tools.ant.taskdefs.Input.Handler","1,43",10
"org.apache.tools.ant.taskdefs.Input.HandlerType","1,00",2
"org.apache.tools.ant.taskdefs.JDBCTask","1,62",39
"org.apache.tools.ant.taskdefs.Jar","3,03",88
"org.apache.tools.ant.taskdefs.Jar.FilesetManifestConfig","1,00",1
"org.apache.tools.ant.taskdefs.Java","1,70",102
"org.apache.tools.ant.taskdefs.Javac","1,55",119
"org.apache.tools.ant.taskdefs.Javac.ImplementationSpecificArgument","1,00",1
"org.apache.tools.ant.taskdefs.Javadoc","2,27",195
"org.apache.tools.ant.taskdefs.Javadoc.AccessType","1,00",1
"org.apache.tools.ant.taskdefs.Javadoc.DocletInfo","1,00",2
"org.apache.tools.ant.taskdefs.Javadoc.DocletParam","1,00",4
"org.apache.tools.ant.taskdefs.Javadoc.ExtensionInfo","1,33",8
"org.apache.tools.ant.taskdefs.Javadoc.GroupArgument","1,57",11
"org.apache.tools.ant.taskdefs.Javadoc.Html","1,00",2
"org.apache.tools.ant.taskdefs.Javadoc.JavadocOutputStream","2,67",8
"org.apache.tools.ant.taskdefs.Javadoc.LinkArgument","1,00",9
"org.apache.tools.ant.taskdefs.Javadoc.PackageName","1,00",3
"org.apache.tools.ant.taskdefs.Javadoc.ResourceCollectionContainer","1,00",2
"org.apache.tools.ant.taskdefs.Javadoc.SourceFile","1,00",4
"org.apache.tools.ant.taskdefs.Javadoc.TagArgument","4,00",20
"org.apache.tools.ant.taskdefs.Jikes","2,50",5
"org.apache.tools.ant.taskdefs.JikesOutputParser","1,83",22
"org.apache.tools.ant.taskdefs.KeySubst","2,29",16
"org.apache.tools.ant.taskdefs.Length","2,19",35
"org.apache.tools.ant.taskdefs.Length.AllHandler","1,33",4
"org.apache.tools.ant.taskdefs.Length.ConditionHandler","1,00",3
"org.apache.tools.ant.taskdefs.Length.EachHandler","1,50",3
"org.apache.tools.ant.taskdefs.Length.FileMode","1,00",1
"org.apache.tools.ant.taskdefs.Length.Handler","1,00",2
"org.apache.tools.ant.taskdefs.Length.When",n/a,0
"org.apache.tools.ant.taskdefs.LoadFile","1,00",1
"org.apache.tools.ant.taskdefs.LoadProperties","2,00",22
"org.apache.tools.ant.taskdefs.LoadResource","3,17",19
"org.apache.tools.ant.taskdefs.LogOutputStream","1,00",6
"org.apache.tools.ant.taskdefs.LogStreamHandler","1,00",3
"org.apache.tools.ant.taskdefs.MacroDef","3,11",59
"org.apache.tools.ant.taskdefs.MacroDef.Attribute","1,25",5
"org.apache.tools.ant.taskdefs.MacroDef.DefineAttribute","1,00",3
"org.apache.tools.ant.taskdefs.MacroDef.Member","1,57",11
"org.apache.tools.ant.taskdefs.MacroDef.MyAntTypeDefinition","1,75",7
"org.apache.tools.ant.taskdefs.MacroDef.NestedSequential","2,00",6
"org.apache.tools.ant.taskdefs.MacroDef.TemplateElement","1,33",8
"org.apache.tools.ant.taskdefs.MacroDef.Text","1,00",5
"org.apache.tools.ant.taskdefs.MacroInstance","5,27",58
"org.apache.tools.ant.taskdefs.MacroInstance.Element","1,00",2
"org.apache.tools.ant.taskdefs.MakeUrl","2,15",28
"org.apache.tools.ant.taskdefs.Manifest","2,81",45
"org.apache.tools.ant.taskdefs.Manifest.Attribute","1,81",29
"org.apache.tools.ant.taskdefs.Manifest.Section","2,88",46
"org.apache.tools.ant.taskdefs.ManifestClassPath","4,00",20
"org.apache.tools.ant.taskdefs.ManifestException","1,00",1
"org.apache.tools.ant.taskdefs.ManifestTask","2,29",16
"org.apache.tools.ant.taskdefs.ManifestTask.Mode","1,00",1
"org.apache.tools.ant.taskdefs.MatchingTask","1,12",46
"org.apache.tools.ant.taskdefs.Mkdir","2,67",8
"org.apache.tools.ant.taskdefs.Move","5,44",49
"org.apache.tools.ant.taskdefs.Nice","2,00",6
"org.apache.tools.ant.taskdefs.Pack","1,83",22
"org.apache.tools.ant.taskdefs.Parallel","3,00",39
"org.apache.tools.ant.taskdefs.Parallel.TaskList","1,00",1
"org.apache.tools.ant.taskdefs.Parallel.TaskRunnable","1,25",5
"org.apache.tools.ant.taskdefs.Patch","2,20",22
"org.apache.tools.ant.taskdefs.PathConvert","2,37",45
"org.apache.tools.ant.taskdefs.PathConvert.MapEntry","2,33",7
"org.apache.tools.ant.taskdefs.PathConvert.TargetOs","1,00",1
"org.apache.tools.ant.taskdefs.PreSetDef","2,67",8
"org.apache.tools.ant.taskdefs.PreSetDef.PreSetDefinition","1,06",17
"org.apache.tools.ant.taskdefs.ProcessDestroyer","2,14",15
"org.apache.tools.ant.taskdefs.ProcessDestroyer.ProcessDestroyerImpl","1,33",4
"org.apache.tools.ant.taskdefs.Property","2,06",72
"org.apache.tools.ant.taskdefs.PumpStreamHandler","1,25",20
"org.apache.tools.ant.taskdefs.Recorder","1,72",31
"org.apache.tools.ant.taskdefs.Recorder.ActionChoices","1,00",1
"org.apache.tools.ant.taskdefs.Recorder.VerbosityLevelChoices","1,00",1
"org.apache.tools.ant.taskdefs.RecorderEntry","1,72",43
"org.apache.tools.ant.taskdefs.Redirector","2,18",83
"org.apache.tools.ant.taskdefs.Redirector.PropertyOutputStream","1,50",3
"org.apache.tools.ant.taskdefs.Rename","1,75",7
"org.apache.tools.ant.taskdefs.Replace","2,32",51
"org.apache.tools.ant.taskdefs.Replace.FileInput","1,40",7
"org.apache.tools.ant.taskdefs.Replace.FileOutput","1,17",7
"org.apache.tools.ant.taskdefs.Replace.NestedString","1,00",2
"org.apache.tools.ant.taskdefs.Replace.Replacefilter","1,85",24
"org.apache.tools.ant.taskdefs.ResourceCount","1,86",13
"org.apache.tools.ant.taskdefs.Rmic","1,60",75
"org.apache.tools.ant.taskdefs.Rmic.ImplementationSpecificArgument","1,00",1
"org.apache.tools.ant.taskdefs.SQLExec","2,75",66
"org.apache.tools.ant.taskdefs.SQLExec.DelimiterType","1,00",1
"org.apache.tools.ant.taskdefs.SQLExec.OnError","1,00",1
"org.apache.tools.ant.taskdefs.SQLExec.Transaction","2,60",13
"org.apache.tools.ant.taskdefs.SendEmail","1,00",1
"org.apache.tools.ant.taskdefs.Sequential","1,50",3
"org.apache.tools.ant.taskdefs.SignJar","2,39",43
"org.apache.tools.ant.taskdefs.Sleep","1,20",12
"org.apache.tools.ant.taskdefs.StreamPumper","1,50",15
"org.apache.tools.ant.taskdefs.SubAnt","2,38",69
"org.apache.tools.ant.taskdefs.Sync","2,12",34
"org.apache.tools.ant.taskdefs.Sync.MyCopy","1,50",9
"org.apache.tools.ant.taskdefs.Sync.SyncTarget","1,00",2
"org.apache.tools.ant.taskdefs.Tar","4,29",90
"org.apache.tools.ant.taskdefs.Tar.TarCompressionMethod","1,67",5
"org.apache.tools.ant.taskdefs.Tar.TarFileSet","1,14",8
"org.apache.tools.ant.taskdefs.Tar.TarLongFileMode","1,00",7
"org.apache.tools.ant.taskdefs.TaskOutputStream","1,67",5
"org.apache.tools.ant.taskdefs.Taskdef","1,00",1
"org.apache.tools.ant.taskdefs.TempFile","1,40",7
"org.apache.tools.ant.taskdefs.Touch","2,00",46
"org.apache.tools.ant.taskdefs.Transform",n/a,0
"org.apache.tools.ant.taskdefs.Tstamp","1,50",6
"org.apache.tools.ant.taskdefs.Tstamp.CustomFormat","2,00",18
"org.apache.tools.ant.taskdefs.Tstamp.Unit","1,00",3
"org.apache.tools.ant.taskdefs.Typedef",n/a,0
"org.apache.tools.ant.taskdefs.Unpack","1,90",19
"org.apache.tools.ant.taskdefs.Untar","1,20",6
"org.apache.tools.ant.taskdefs.Untar.UntarCompressionMethod","2,33",7
"org.apache.tools.ant.taskdefs.UpToDate","2,23",29
"org.apache.tools.ant.taskdefs.VerifyJar","3,33",10
"org.apache.tools.ant.taskdefs.VerifyJar.BufferingOutputFilter","1,33",4
"org.apache.tools.ant.taskdefs.VerifyJar.BufferingOutputFilterReader","1,00",5
"org.apache.tools.ant.taskdefs.WaitFor","1,56",14
"org.apache.tools.ant.taskdefs.WaitFor.Unit","1,00",3
"org.apache.tools.ant.taskdefs.War","1,44",13
"org.apache.tools.ant.taskdefs.WhichResource","2,71",19
"org.apache.tools.ant.taskdefs.XSLTProcess","2,21",84
"org.apache.tools.ant.taskdefs.XSLTProcess.Factory","1,00",4
"org.apache.tools.ant.taskdefs.XSLTProcess.Factory.Attribute","2,00",8
"org.apache.tools.ant.taskdefs.XSLTProcess.OutputProperty","1,00",4
"org.apache.tools.ant.taskdefs.XSLTProcess.Param","1,50",12
"org.apache.tools.ant.taskdefs.XSLTProcess.StyleMapper","1,33",4
"org.apache.tools.ant.taskdefs.XmlProperty","2,39",79
"org.apache.tools.ant.taskdefs.Zip","4,00",188
"org.apache.tools.ant.taskdefs.Zip.ArchiveState","2,00",8
"org.apache.tools.ant.taskdefs.Zip.Duplicate","1,00",1
"org.apache.tools.ant.taskdefs.Zip.WhenEmpty","1,00",1
"org.apache.tools.ant.taskdefs.compilers.AptCompilerAdapter","2,50",10
"org.apache.tools.ant.taskdefs.compilers.AptExternalCompilerAdapter","1,00",2
"org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory","4,25",17
"org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter","2,91",67
"org.apache.tools.ant.taskdefs.compilers.Gcj","4,67",14
"org.apache.tools.ant.taskdefs.compilers.Javac12","2,00",2
"org.apache.tools.ant.taskdefs.compilers.Javac13","2,00",2
"org.apache.tools.ant.taskdefs.compilers.JavacExternal","2,50",5
"org.apache.tools.ant.taskdefs.compilers.Jikes","25,00",25
"org.apache.tools.ant.taskdefs.compilers.Jvc","11,00",11
"org.apache.tools.ant.taskdefs.compilers.Kjc","5,50",11
"org.apache.tools.ant.taskdefs.compilers.Sj","1,50",3
"org.apache.tools.ant.taskdefs.condition.And","3,00",3
"org.apache.tools.ant.taskdefs.condition.AntVersion","2,14",15
"org.apache.tools.ant.taskdefs.condition.ConditionBase","1,00",32
"org.apache.tools.ant.taskdefs.condition.Contains","1,50",6
"org.apache.tools.ant.taskdefs.condition.Equals","1,60",8
"org.apache.tools.ant.taskdefs.condition.FilesMatch","1,25",5
"org.apache.tools.ant.taskdefs.condition.Http","2,00",6
"org.apache.tools.ant.taskdefs.condition.IsFailure","1,00",3
"org.apache.tools.ant.taskdefs.condition.IsFalse","2,00",4
"org.apache.tools.ant.taskdefs.condition.IsFileSelected","1,75",7
"org.apache.tools.ant.taskdefs.condition.IsReachable","2,20",11
"org.apache.tools.ant.taskdefs.condition.IsReference","2,67",8
"org.apache.tools.ant.taskdefs.condition.IsSet","1,50",3
"org.apache.tools.ant.taskdefs.condition.IsSigned","2,75",11
"org.apache.tools.ant.taskdefs.condition.IsTrue","2,00",4
"org.apache.tools.ant.taskdefs.condition.Not","3,00",3
"org.apache.tools.ant.taskdefs.condition.Or","3,00",3
"org.apache.tools.ant.taskdefs.condition.Os","2,50",30
"org.apache.tools.ant.taskdefs.condition.ParserSupports","1,71",12
"org.apache.tools.ant.taskdefs.condition.ResourcesMatch","3,00",9
"org.apache.tools.ant.taskdefs.condition.Socket","2,00",6
"org.apache.tools.ant.taskdefs.condition.TypeFound","1,75",7
"org.apache.tools.ant.taskdefs.condition.Xor","2,00",2
"org.apache.tools.ant.taskdefs.cvslib.CVSEntry","1,00",9
"org.apache.tools.ant.taskdefs.cvslib.ChangeLogParser","2,50",25
"org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask","2,36",33
"org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter","2,50",5
"org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff","3,27",36
"org.apache.tools.ant.taskdefs.cvslib.CvsTagEntry","1,57",11
"org.apache.tools.ant.taskdefs.cvslib.CvsUser","1,40",7
"org.apache.tools.ant.taskdefs.cvslib.CvsVersion","3,50",21
"org.apache.tools.ant.taskdefs.cvslib.RCSFile","1,20",6
"org.apache.tools.ant.taskdefs.cvslib.RedirectingOutputStream","1,00",2
"org.apache.tools.ant.taskdefs.cvslib.RedirectingStreamHandler","1,00",3
