Package,v(G)avg,v(G)tot
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.uimodel","3,77",509
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.xml","4,49",368
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.xml.descriptors","2,13",32
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.launch","3,35",489
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.launch.junit","2,46",224
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.launch.junit.runtime","1,30",74
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.preferences","2,11",150
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.project","3,43",514
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.properties","3,07",46
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.refactoring.changes","2,95",127
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.refactoring.core","6,54",255
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.refactorings.extractstring","5,92",515
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.refactorings.renamepackage","3,87",89
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.resources","5,40",108
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.resources.manager","3,46",242
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.sdk","2,80",627
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.sourcelookup","10,50",21
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.ui","2,48",406
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.wizards.actions","2,25",36
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.wizards.export","2,82",223
