CommitNumber;Entity;Method;Change
0c5ca088c6eafebae485c7a68e7c3017cae3fc59;METHOD;org.apache.commons.io.IOUtilTestCase.testByteArrayToString();BODY_MODIFIED
0c5ca088c6eafebae485c7a68e7c3017cae3fc59;METHOD;org.apache.commons.io.IOUtilTestCase.testByteArrayToOutputStream();BODY_MODIFIED
0c5ca088c6eafebae485c7a68e7c3017cae3fc59;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readDouble();BODY_MODIFIED
0c5ca088c6eafebae485c7a68e7c3017cae3fc59;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readFloat();BODY_MODIFIED
0c5ca088c6eafebae485c7a68e7c3017cae3fc59;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readInt();BODY_MODIFIED
0c5ca088c6eafebae485c7a68e7c3017cae3fc59;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readLong();BODY_MODIFIED
0c5ca088c6eafebae485c7a68e7c3017cae3fc59;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readShort();BODY_MODIFIED
0c5ca088c6eafebae485c7a68e7c3017cae3fc59;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readUnsignedShort();BODY_MODIFIED
6a3cdeffa31d13e769600cba8b78706466164f58;METHOD;org.apache.commons.io.IOTestSuite.suite();BODY_MODIFIED
eecf90336a46fb4313a8f9fb5d895fa0bf3147cc;METHOD;org.apache.commons.io.filefilter.FileFilterUtils.FileFilterUtils();BODY_MODIFIED
4a1b681e8510c36d64a483c8b41bd522aaf48de9;METHOD;org.apache.commons.io.input.SwappedDataInputStream.SwappedDataInputStream(final);BODY_MODIFIED
4a1b681e8510c36d64a483c8b41bd522aaf48de9;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readByte();BODY_MODIFIED
4a1b681e8510c36d64a483c8b41bd522aaf48de9;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readDouble();BODY_MODIFIED
4a1b681e8510c36d64a483c8b41bd522aaf48de9;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readFloat();BODY_MODIFIED
4a1b681e8510c36d64a483c8b41bd522aaf48de9;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readInt();BODY_MODIFIED
4a1b681e8510c36d64a483c8b41bd522aaf48de9;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readLine();BODY_MODIFIED
4a1b681e8510c36d64a483c8b41bd522aaf48de9;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readLong();BODY_MODIFIED
4a1b681e8510c36d64a483c8b41bd522aaf48de9;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readShort();BODY_MODIFIED
4a1b681e8510c36d64a483c8b41bd522aaf48de9;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readUnsignedByte();BODY_MODIFIED
4a1b681e8510c36d64a483c8b41bd522aaf48de9;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readUnsignedShort();BODY_MODIFIED
4a1b681e8510c36d64a483c8b41bd522aaf48de9;METHOD;org.apache.commons.io.input.SwappedDataInputStream.readUTF();BODY_MODIFIED
4a1b681e8510c36d64a483c8b41bd522aaf48de9;METHOD;org.apache.commons.io.input.SwappedDataInputStream.skipBytes(final);BODY_MODIFIED
2ea53f0e8a84dcb035da98b97ecac509bb241f4d;METHOD;org.apache.commons.io.FileUtils.fileWrite(String,String);BODY_MODIFIED
d9d353082503a217fa6c6510622973d018db0e26;METHOD;org.apache.commons.io.FileUtils.basename(String,String);BODY_MODIFIED
d9d353082503a217fa6c6510622973d018db0e26;METHOD;org.apache.commons.io.FileUtils.fileWrite(String,String);BODY_MODIFIED
d9d353082503a217fa6c6510622973d018db0e26;METHOD;org.apache.commons.io.FileUtils.fileCopy(String,String);BODY_MODIFIED
d9d353082503a217fa6c6510622973d018db0e26;METHOD;org.apache.commons.io.FileUtils.waitFor(String,int);BODY_MODIFIED
d9d353082503a217fa6c6510622973d018db0e26;METHOD;org.apache.commons.io.FileUtils.getFilesFromExtension(String,String);BODY_MODIFIED
d9d353082503a217fa6c6510622973d018db0e26;METHOD;org.apache.commons.io.FileUtils.isValidFile(String,String);BODY_MODIFIED
d9d353082503a217fa6c6510622973d018db0e26;METHOD;org.apache.commons.io.FileUtils.contentEquals(final,final);BODY_MODIFIED
d9d353082503a217fa6c6510622973d018db0e26;METHOD;org.apache.commons.io.FileUtils.toFile(final);BODY_MODIFIED
