Method,ev(G),iv(G),v(G)
"android.telephony.SmsMessage.isStatusReportMessage()",1,1,1
"android.telephony.SmsMessage.newFromCMT(String[])",1,1,1
"android.telephony.SmsMessage.newFromParcel(Parcel)",1,1,1
"android.telephony.gsm.SmsManager.SmsManager()",1,1,1
"android.telephony.gsm.SmsManager.copyMessageToSim(byte[],byte[],int)",1,1,1
"android.telephony.gsm.SmsManager.deleteMessageFromSim(int)",1,1,1
"android.telephony.gsm.SmsManager.divideMessage(String)",1,1,1
"android.telephony.gsm.SmsManager.getAllMessagesFromSim()",1,1,1
"android.telephony.gsm.SmsManager.getDefault()",1,1,2
"android.telephony.gsm.SmsManager.sendDataMessage(String,String,short,byte[],PendingIntent,PendingIntent)",1,1,1
"android.telephony.gsm.SmsManager.sendMultipartTextMessage(String,String,ArrayList<String>,ArrayList<PendingIntent>,ArrayList<PendingIntent>)",1,1,1
"android.telephony.gsm.SmsManager.sendTextMessage(String,String,String,PendingIntent,PendingIntent)",1,1,1
"android.telephony.gsm.SmsManager.updateMessageOnSim(int,int,byte[])",1,1,1
"android.telephony.gsm.SmsMessage.SmsMessage()",1,1,1
"android.telephony.gsm.SmsMessage.SmsMessage(SmsMessageBase)",1,1,1
"android.telephony.gsm.SmsMessage.SubmitPdu.SubmitPdu()",1,1,1
"android.telephony.gsm.SmsMessage.SubmitPdu.SubmitPdu(SubmitPduBase)",1,1,1
"android.telephony.gsm.SmsMessage.SubmitPdu.toString()",1,1,1
"android.telephony.gsm.SmsMessage.calculateLength(CharSequence,boolean)",1,1,1
"android.telephony.gsm.SmsMessage.calculateLength(String,boolean)",1,1,1
"android.telephony.gsm.SmsMessage.createFromPdu(byte[])",1,2,2
"android.telephony.gsm.SmsMessage.getDisplayMessageBody()",1,1,1
"android.telephony.gsm.SmsMessage.getDisplayOriginatingAddress()",1,1,1
"android.telephony.gsm.SmsMessage.getEmailBody()",1,1,1
"android.telephony.gsm.SmsMessage.getEmailFrom()",1,1,1
"android.telephony.gsm.SmsMessage.getIndexOnIcc()",1,1,1
"android.telephony.gsm.SmsMessage.getIndexOnSim()",1,1,1
"android.telephony.gsm.SmsMessage.getMessageBody()",1,1,1
"android.telephony.gsm.SmsMessage.getMessageClass()",1,1,1
"android.telephony.gsm.SmsMessage.getOriginatingAddress()",1,1,1
"android.telephony.gsm.SmsMessage.getPdu()",1,1,1
"android.telephony.gsm.SmsMessage.getProtocolIdentifier()",1,1,1
"android.telephony.gsm.SmsMessage.getPseudoSubject()",1,1,1
"android.telephony.gsm.SmsMessage.getServiceCenterAddress()",1,1,1
"android.telephony.gsm.SmsMessage.getSmsFacility()",2,1,2
"android.telephony.gsm.SmsMessage.getStatus()",1,1,1
"android.telephony.gsm.SmsMessage.getStatusOnIcc()",1,1,1
"android.telephony.gsm.SmsMessage.getStatusOnSim()",1,1,1
"android.telephony.gsm.SmsMessage.getSubmitPdu(String,String,String,boolean)",1,2,2
"android.telephony.gsm.SmsMessage.getSubmitPdu(String,String,String,boolean,byte[])",1,2,2
"android.telephony.gsm.SmsMessage.getSubmitPdu(String,String,short,byte[],boolean)",1,2,2
"android.telephony.gsm.SmsMessage.getTPLayerLengthForPDU(String)",2,2,2
"android.telephony.gsm.SmsMessage.getTimestampMillis()",1,1,1
"android.telephony.gsm.SmsMessage.getUserData()",1,1,1
"android.telephony.gsm.SmsMessage.isCphsMwiMessage()",1,1,1
"android.telephony.gsm.SmsMessage.isEmail()",1,1,1
"android.telephony.gsm.SmsMessage.isMWIClearMessage()",1,1,1
"android.telephony.gsm.SmsMessage.isMWISetMessage()",1,1,1
"android.telephony.gsm.SmsMessage.isMwiDontStore()",1,1,1
"android.telephony.gsm.SmsMessage.isReplace()",1,1,1
"android.telephony.gsm.SmsMessage.isReplyPathPresent()",1,1,1
"android.telephony.gsm.SmsMessage.isStatusReportMessage()",1,1,1
"com.android.internal.telephony.ATParseEx.ATParseEx()",1,1,1
"com.android.internal.telephony.ATParseEx.ATParseEx(String)",1,1,1
"com.android.internal.telephony.ATResponseParser.ATResponseParser(String)",1,1,1
"com.android.internal.telephony.ATResponseParser.hasMore()",1,1,1
"com.android.internal.telephony.ATResponseParser.nextBoolean()",4,1,4
"com.android.internal.telephony.ATResponseParser.nextInt()",3,2,4
"com.android.internal.telephony.ATResponseParser.nextString()",1,1,1
"com.android.internal.telephony.ATResponseParser.nextTok()",8,6,14
"com.android.internal.telephony.ATResponseParser.skipPrefix()",3,2,3
"com.android.internal.telephony.ATResponseParser.skipWhiteSpace(char)",2,3,4
"com.android.internal.telephony.AdnRecord.AdnRecord(String,String)",1,1,1
