Class,OCavg,WMC
"org.gjt.sp.jedit.buffer.BufferAutosaveRequest","2,50",5
"org.gjt.sp.jedit.buffer.BufferChangeAdapter","1,00",7
"org.gjt.sp.jedit.buffer.BufferChangeListener.Adapter","1,00",9
"org.gjt.sp.jedit.buffer.BufferIORequest","8,50",51
"org.gjt.sp.jedit.buffer.BufferInsertRequest","2,00",6
"org.gjt.sp.jedit.buffer.BufferLoadRequest","4,33",13
"org.gjt.sp.jedit.buffer.BufferSaveRequest","6,00",18
"org.gjt.sp.jedit.buffer.ContentManager","2,00",20
"org.gjt.sp.jedit.buffer.DummyFoldHandler","1,00",2
"org.gjt.sp.jedit.buffer.ExplicitFoldHandler","5,00",10
"org.gjt.sp.jedit.buffer.FoldHandler","1,14",8
"org.gjt.sp.jedit.buffer.IndentFoldHandler","4,00",8
"org.gjt.sp.jedit.buffer.JEditBuffer","2,70",270
"org.gjt.sp.jedit.buffer.JEditBuffer.Listener","1,00",1
"org.gjt.sp.jedit.buffer.JEditBuffer.PropValue","1,50",3
"org.gjt.sp.jedit.buffer.KillRing","3,43",48
"org.gjt.sp.jedit.buffer.KillRing.KillRingHandler","1,75",7
"org.gjt.sp.jedit.buffer.LineManager","3,29",56
"org.gjt.sp.jedit.buffer.PositionManager","2,25",9
"org.gjt.sp.jedit.buffer.PositionManager.PosBottomHalf","1,88",15
"org.gjt.sp.jedit.buffer.PositionManager.PosTopHalf","1,00",3
"org.gjt.sp.jedit.buffer.UndoManager","2,93",41
"org.gjt.sp.jedit.buffer.UndoManager.CompoundEdit","2,00",6
"org.gjt.sp.jedit.buffer.UndoManager.Edit",n/a,0
"org.gjt.sp.jedit.buffer.UndoManager.Insert","1,67",5
"org.gjt.sp.jedit.buffer.UndoManager.Remove","1,50",6
"org.gjt.sp.jedit.gui.AbbrevEditor","3,38",27
"org.gjt.sp.jedit.gui.AboutDialog","1,00",3
"org.gjt.sp.jedit.gui.AboutDialog.AboutPanel","1,60",8
"org.gjt.sp.jedit.gui.AboutDialog.AboutPanel.AnimationThread","2,00",6
"org.gjt.sp.jedit.gui.AboutDialog.ActionHandler","1,00",1
"org.gjt.sp.jedit.gui.ActionBar","4,29",30
"org.gjt.sp.jedit.gui.ActionBar.ActionHandler","2,00",2
"org.gjt.sp.jedit.gui.ActionBar.ActionTextField","2,86",20
"org.gjt.sp.jedit.gui.ActionBar.CompletionPopup","1,00",4
"org.gjt.sp.jedit.gui.ActionBar.CompletionPopup.CompletionList","1,00",2
"org.gjt.sp.jedit.gui.ActionBar.CompletionPopup.KeyHandler","4,00",8
"org.gjt.sp.jedit.gui.ActionBar.CompletionPopup.MouseHandler","1,00",1
"org.gjt.sp.jedit.gui.ActionBar.DocumentHandler","1,67",5
"org.gjt.sp.jedit.gui.AddAbbrevDialog","2,00",2
"org.gjt.sp.jedit.gui.AddAbbrevDialog.ActionHandler","5,00",5
"org.gjt.sp.jedit.gui.AddAbbrevDialog.KeyHandler","2,00",2
"org.gjt.sp.jedit.gui.AnimatedIcon","1,22",11
"org.gjt.sp.jedit.gui.AnimatedIcon.Animator","1,00",1
"org.gjt.sp.jedit.gui.BeanShellErrorDialog","1,00",2
"org.gjt.sp.jedit.gui.BufferOptions","4,67",14
"org.gjt.sp.jedit.gui.BufferOptions.ActionHandler","4,00",4
"org.gjt.sp.jedit.gui.BufferSwitcher","1,20",6
"org.gjt.sp.jedit.gui.BufferSwitcher.ActionHandler","3,00",3
"org.gjt.sp.jedit.gui.BufferSwitcher.BufferCellRenderer","2,00",2
"org.gjt.sp.jedit.gui.CheckBoxListModel","2,10",21
"org.gjt.sp.jedit.gui.CloseDialog","1,40",7
"org.gjt.sp.jedit.gui.CloseDialog.ActionHandler","11,00",11
"org.gjt.sp.jedit.gui.CloseDialog.ListHandler","3,00",3
"org.gjt.sp.jedit.gui.ColorWellButton","1,33",4
"org.gjt.sp.jedit.gui.ColorWellButton.ActionHandler","2,00",2
"org.gjt.sp.jedit.gui.ColorWellButton.ColorPickerDialog","1,50",9
"org.gjt.sp.jedit.gui.ColorWellButton.ColorWell","1,25",5
"org.gjt.sp.jedit.gui.CompleteWord","3,31",43
"org.gjt.sp.jedit.gui.CompleteWord.Completion","1,25",5
"org.gjt.sp.jedit.gui.CompleteWord.KeyHandler","11,00",22
"org.gjt.sp.jedit.gui.CompleteWord.MouseHandler","1,00",1
"org.gjt.sp.jedit.gui.CompleteWord.Renderer","4,00",4
"org.gjt.sp.jedit.gui.DefaultInputHandler","2,87",43
"org.gjt.sp.jedit.gui.DockableLayout","3,31",43
"org.gjt.sp.jedit.gui.DockablePanel","2,17",13
"org.gjt.sp.jedit.gui.DockablePanel.ResizeMouseHandler","4,67",28
