Method,ev(G),iv(G),v(G)
"uk.ac.ed.ph.aardvark.core.globals.CoreNodeTypes.getDefaultSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreNodeTypes.getDescription()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreNodeTypes.getName()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreNodeTypes.getResourceTypes()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreNodeTypes.isAllowableResourceType(ResourceType)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreNodeTypes.isValidatable()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes.CoreResourceTypes(String,String,String,String,String,ResourceProductionType,int)",2,2,3
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes.allowsInnerResources()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes.getContentType()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes.getDescription()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes.getFileBaseName()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes.getFileExtension()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes.getName()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes.getProductionType()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes.getTitle()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes.isCacheable()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes.isInvariantAsInnerResource()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes.isVariable()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.DynamicRenderingKeys.DynamicRenderingKeys(String,String,String,DynamicRenderingValueSpace,Object...)",5,5,5
"uk.ac.ed.ph.aardvark.core.globals.DynamicRenderingKeys.getCodeName()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.DynamicRenderingKeys.getDescription()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.DynamicRenderingKeys.getName()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.DynamicRenderingKeys.getTitle()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.DynamicRenderingKeys.getValueSpace()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.DynamicRenderingKeys.isSupportedBy(NodeType,ResourceType)",3,1,3
"uk.ac.ed.ph.aardvark.core.globals.NodeTypes.NodeTypes(String,boolean,boolean,boolean,ResourceType...)",3,2,3
"uk.ac.ed.ph.aardvark.core.globals.NodeTypes.getAllowsChildren()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NodeTypes.getDefaultSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NodeTypes.getDescription()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NodeTypes.getName()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NodeTypes.getResourceTypes()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NodeTypes.isAllowableResourceType(ResourceType)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NodeTypes.isCoreContent()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NodeTypes.isValidatable()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPattern.NumberingGroupPattern(String,String,NumberingGroup,String)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPattern.computeNumber(StringBuilder,int)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPattern.equals(Object)",2,2,2
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPattern.fromString(String)",4,4,4
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPattern.getNumberingGroup()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPattern.getPrefix()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPattern.getSuffix()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPattern.hashCode()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPattern.toString()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern.NumberingPattern(String,String[],NumberingGroup[])",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern.computeNumber(StringBuilder,List<Integer>)",1,2,2
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern.computeNumber(StringBuilder,int[])",1,2,2
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern.equals(Object)",2,2,2
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern.fromString(String)",9,8,23
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern.getMaxDepth()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern.getNumberingGroup(int)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern.getNumberingGroups()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern.getPrefix(int)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern.getPrefixes()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern.hashCode()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern.toString()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingScheme.appendCharacterIndices(StringBuilder,int,char[])",1,2,3
"uk.ac.ed.ph.aardvark.core.globals.NumberingScheme.computeNumber(StringBuilder,int)",3,2,7
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes.ResourceTypes(String,String,String,String,String,ResourceProductionType,int)",2,2,3
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes.allowsInnerResources()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes.getContentType()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes.getDescription()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes.getFileBaseName()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes.getFileExtension()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes.getName()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes.getProductionType()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes.getTitle()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes.isCacheable()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes.isInvariantAsInnerResource()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes.isVariable()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.Roles.Roles(boolean)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.Roles.allowsFullContentAccess()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.Roles.getName()",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.StructuralElementType.StructuralElementType(String,String)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.StructuralElementType.byXMLLocalName(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.globals.StructuralElementType.getDescription()",1,1,1
