Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"com.android.ddmlib.AllocationInfo.AllocationSorter.isDescending()",0,0,n/a,3,0,0,1,1
"com.android.ddmlib.AllocationInfo.AllocationSorter.setSortMode(SortMode)",0,0,n/a,7,1,1,3,2
"com.android.ddmlib.AllocationInfo.compareTo(AllocationInfo)",0,0,n/a,3,0,1,1,1
"com.android.ddmlib.AllocationInfo.filter(String,boolean,Locale)",8,0,n/a,22,3,3,12,7
"com.android.ddmlib.AllocationInfo.getAllocNumber()",0,0,n/a,7,0,0,1,1
"com.android.ddmlib.AllocationInfo.getAllocatedClass()",0,1,n/a,6,0,0,1,1
"com.android.ddmlib.AllocationInfo.getFirstTraceClassName()",1,2,n/a,6,1,0,3,2
"com.android.ddmlib.AllocationInfo.getFirstTraceMethodName()",1,2,n/a,6,1,0,3,2
"com.android.ddmlib.AllocationInfo.getSize()",0,1,n/a,6,0,0,1,1
"com.android.ddmlib.AllocationInfo.getStackTrace()",0,1,n/a,8,0,0,1,1
"com.android.ddmlib.AllocationInfo.getThreadId()",0,1,n/a,6,0,0,1,1
"com.android.ddmlib.AndroidDebugBridge.AndroidDebugBridge()",0,1,n/a,5,0,0,0,1
"com.android.ddmlib.AndroidDebugBridge.AndroidDebugBridge(String)",3,1,n/a,12,1,1,4,3
"com.android.ddmlib.AndroidDebugBridge.IClientChangeListener.clientChanged(Client,int)",n/a,8,0,n/a,n/a,2,n/a,n/a
"com.android.ddmlib.AndroidDebugBridge.IDebugBridgeChangeListener.bridgeChanged(AndroidDebugBridge)",n/a,4,0,n/a,n/a,1,n/a,n/a
"com.android.ddmlib.AndroidDebugBridge.IDeviceChangeListener.deviceChanged(IDevice,int)",n/a,1,0,n/a,n/a,2,n/a,n/a
"com.android.ddmlib.AndroidDebugBridge.IDeviceChangeListener.deviceConnected(IDevice)",n/a,1,0,n/a,n/a,1,n/a,n/a
"com.android.ddmlib.AndroidDebugBridge.IDeviceChangeListener.deviceDisconnected(IDevice)",n/a,1,0,n/a,n/a,1,n/a,n/a
"com.android.ddmlib.AndroidDebugBridge.addClientChangeListener(IClientChangeListener)",2,0,n/a,13,2,1,3,2
"com.android.ddmlib.AndroidDebugBridge.addDebugBridgeChangeListener(IDebugBridgeChangeListener)",4,0,n/a,22,4,1,7,4
"com.android.ddmlib.AndroidDebugBridge.addDeviceChangeListener(IDeviceChangeListener)",2,0,n/a,13,2,1,3,2
"com.android.ddmlib.AndroidDebugBridge.checkAdbVersion()",28,1,n/a,81,3,0,50,15
"com.android.ddmlib.AndroidDebugBridge.clientChanged(Client,int)",4,1,n/a,35,2,2,7,3
"com.android.ddmlib.AndroidDebugBridge.createBridge()",6,0,n/a,38,3,0,13,5
"com.android.ddmlib.AndroidDebugBridge.createBridge(String,boolean)",8,4,n/a,46,3,2,15,8
"com.android.ddmlib.AndroidDebugBridge.determineAndValidateAdbPort()",9,1,n/a,49,3,0,15,7
"com.android.ddmlib.AndroidDebugBridge.deviceChanged(IDevice,int)",4,3,n/a,34,2,2,7,3
"com.android.ddmlib.AndroidDebugBridge.deviceConnected(IDevice)",4,1,n/a,34,2,1,7,3
"com.android.ddmlib.AndroidDebugBridge.deviceDisconnected(IDevice)",4,2,n/a,34,2,1,7,3
"com.android.ddmlib.AndroidDebugBridge.disconnectBridge()",5,0,n/a,30,4,0,9,4
"com.android.ddmlib.AndroidDebugBridge.getBridge()",0,2,n/a,6,0,0,1,1
"com.android.ddmlib.AndroidDebugBridge.getClientSupport()",0,5,n/a,7,0,0,1,1
"com.android.ddmlib.AndroidDebugBridge.getConnectionAttemptCount()",1,0,n/a,10,1,0,3,2
"com.android.ddmlib.AndroidDebugBridge.getDeviceMonitor()",0,1,n/a,6,0,0,1,1
"com.android.ddmlib.AndroidDebugBridge.getDevices()",1,6,n/a,12,2,0,4,2
"com.android.ddmlib.AndroidDebugBridge.getLock()",0,10,n/a,9,0,0,1,1
"com.android.ddmlib.AndroidDebugBridge.getRestartAttemptCount()",1,0,n/a,10,1,0,3,2
"com.android.ddmlib.AndroidDebugBridge.getSocketAddress()",0,13,n/a,6,0,0,1,1
"com.android.ddmlib.AndroidDebugBridge.grabProcessOutput(Process,ArrayList<String>,ArrayList<String>,boolean)",19,2,n/a,18,5,4,30,10
"com.android.ddmlib.AndroidDebugBridge.hasInitialDeviceList()",1,1,n/a,15,1,0,3,2
"com.android.ddmlib.AndroidDebugBridge.init(boolean)",12,3,n/a,44,1,1,15,2
"com.android.ddmlib.AndroidDebugBridge.initAdbSocketAddr()",3,1,n/a,12,1,0,4,2
"com.android.ddmlib.AndroidDebugBridge.isConnected()",3,0,n/a,10,1,0,4,4
"com.android.ddmlib.AndroidDebugBridge.removeClientChangeListener(IClientChangeListener)",1,0,n/a,10,1,1,2,1
"com.android.ddmlib.AndroidDebugBridge.removeDebugBridgeChangeListener(IDebugBridgeChangeListener)",1,0,n/a,10,1,1,2,1
"com.android.ddmlib.AndroidDebugBridge.removeDeviceChangeListener(IDeviceChangeListener)",1,0,n/a,11,1,1,2,1
"com.android.ddmlib.AndroidDebugBridge.restart()",6,0,n/a,25,2,0,13,5
"com.android.ddmlib.AndroidDebugBridge.scanVersionLine(String)",12,2,n/a,44,3,1,15,6
"com.android.ddmlib.AndroidDebugBridge.setSelectedClient(Client)",2,2,n/a,10,1,1,3,2
"com.android.ddmlib.AndroidDebugBridge.start()",3,2,n/a,14,1,0,6,4
"com.android.ddmlib.AndroidDebugBridge.startAdb()",19,3,n/a,48,3,0,27,8
"com.android.ddmlib.AndroidDebugBridge.stop()",2,2,n/a,18,1,0,8,3
"com.android.ddmlib.AndroidDebugBridge.stopAdb()",6,2,n/a,33,1,0,16,5
"com.android.ddmlib.AndroidDebugBridge.terminate()",3,1,n/a,15,1,0,7,4
"com.android.ddmlib.BadPacketException.BadPacketException()",1,1,n/a,4,0,0,1,1
"com.android.ddmlib.BadPacketException.BadPacketException(String)",1,0,n/a,4,0,1,1,1
"com.android.ddmlib.CanceledException.CanceledException(String)",1,2,n/a,3,0,1,1,1
"com.android.ddmlib.CanceledException.CanceledException(String,Throwable)",1,3,n/a,3,0,2,1,1
"com.android.ddmlib.CanceledException.wasCanceled()",n/a,1,2,n/a,n/a,0,n/a,n/a
"com.android.ddmlib.ChunkHandler.ChunkHandler()",0,9,n/a,1,0,0,0,1
"com.android.ddmlib.ChunkHandler.allocBuffer(int)",2,21,n/a,13,0,1,3,1
"com.android.ddmlib.ChunkHandler.checkDebuggerPortForAppName(Client,String)",7,2,n/a,27,4,2,12,6
"com.android.ddmlib.ChunkHandler.clientDisconnected(Client)",n/a,1,9,n/a,n/a,1,n/a,n/a
"com.android.ddmlib.ChunkHandler.clientReady(Client)",n/a,1,9,n/a,n/a,1,n/a,n/a
"com.android.ddmlib.ChunkHandler.finishChunkPacket(JdwpPacket,int,int)",4,21,n/a,11,0,3,4,1
"com.android.ddmlib.ChunkHandler.getChunkDataBuf(ByteBuffer)",5,21,n/a,13,0,1,7,1
"com.android.ddmlib.ChunkHandler.getString(ByteBuffer,int)",2,11,n/a,12,0,2,6,2
"com.android.ddmlib.ChunkHandler.handleChunk(Client,int,ByteBuffer,boolean,int)",n/a,1,9,n/a,n/a,5,n/a,n/a
"com.android.ddmlib.ChunkHandler.handleUnknownChunk(Client,int,ByteBuffer,boolean,int)",9,9,n/a,20,1,5,9,2
"com.android.ddmlib.ChunkHandler.name(int)",1,33,n/a,11,0,1,6,1
"com.android.ddmlib.ChunkHandler.putString(ByteBuffer,String)",3,2,n/a,8,0,2,5,2
"com.android.ddmlib.ChunkHandler.type(String)",4,33,n/a,15,1,1,10,3
"com.android.ddmlib.Client.Client(Device,SocketChannel,int)",6,1,n/a,18,0,3,9,1
"com.android.ddmlib.Client.addRequestId(int,ChunkHandler)",3,1,n/a,11,1,2,4,2
"com.android.ddmlib.Client.close(boolean)",7,4,n/a,29,2,1,11,4
"com.android.ddmlib.Client.ddmSeen()",1,1,n/a,19,1,0,6,3
"com.android.ddmlib.Client.dumpHprof()",6,0,n/a,18,2,0,7,3
"com.android.ddmlib.Client.enableAllocationTracker(boolean)",2,1,n/a,15,1,1,3,2
"com.android.ddmlib.Client.executeGarbageCollector()",2,0,n/a,11,1,0,3,2
"com.android.ddmlib.Client.forwardPacketToDebugger(JdwpPacket)",3,1,n/a,15,1,1,5,2
"com.android.ddmlib.Client.getClientData()",0,42,n/a,6,0,0,1,1
"com.android.ddmlib.Client.getDebugger()",0,3,n/a,6,0,0,1,1
"com.android.ddmlib.Client.getDebuggerListenPort()",0,3,n/a,6,0,0,1,1
"com.android.ddmlib.Client.getDevice()",0,0,n/a,6,0,0,1,1
"com.android.ddmlib.Client.getDeviceImpl()",0,4,n/a,5,0,0,1,1
"com.android.ddmlib.Client.getJdwpPacket()",19,3,n/a,72,3,0,30,12
"com.android.ddmlib.Client.isDdmAware()",0,3,n/a,23,1,0,14,4
"com.android.ddmlib.Client.isDebuggerAttached()",1,0,n/a,6,0,0,1,1
"com.android.ddmlib.Client.isHeapUpdateEnabled()",0,1,n/a,7,0,0,1,1
"com.android.ddmlib.Client.isResponseToUs(int)",3,2,n/a,16,2,1,7,3
"com.android.ddmlib.Client.isSelectedClient()",2,0,n/a,15,1,0,4,2
"com.android.ddmlib.Client.isThreadUpdateEnabled()",0,3,n/a,6,0,0,1,1
"com.android.ddmlib.Client.isValid()",0,1,n/a,6,0,0,1,1
"com.android.ddmlib.Client.kill()",2,0,n/a,11,1,0,3,2
"com.android.ddmlib.Client.listenForDebugger(int)",1,1,n/a,8,0,1,2,1
"com.android.ddmlib.Client.packetFailed(JdwpPacket)",2,1,n/a,12,1,1,5,3
"com.android.ddmlib.Client.read()",14,1,n/a,30,2,0,15,5
"com.android.ddmlib.Client.register(Selector)",1,1,n/a,8,1,1,2,2
"com.android.ddmlib.Client.removeRequestId(int)",3,2,n/a,12,1,1,4,2
"com.android.ddmlib.Client.requestAllocationDetails()",2,3,n/a,16,1,0,3,2
"com.android.ddmlib.Client.requestAllocationStatus()",2,3,n/a,15,1,0,3,2
"com.android.ddmlib.Client.requestMethodProfilingStatus()",2,2,n/a,15,1,0,3,2
"com.android.ddmlib.Client.requestNativeHeapInformation()",2,2,n/a,16,1,0,5,2
"com.android.ddmlib.Client.requestThreadStackTrace(int)",1,0,n/a,11,0,1,1,1
"com.android.ddmlib.Client.requestThreadUpdate()",1,2,n/a,10,0,0,1,1
"com.android.ddmlib.Client.sendAndConsume(JdwpPacket)",1,1,n/a,8,0,1,1,1
"com.android.ddmlib.Client.sendAndConsume(JdwpPacket,ChunkHandler)",6,22,n/a,35,2,2,10,4
"com.android.ddmlib.Client.sendHandshake()",10,1,n/a,27,1,0,14,3
"com.android.ddmlib.Client.setAsSelectedClient()",2,1,n/a,12,1,0,3,2
"com.android.ddmlib.Client.setHeapUpdateEnabled(boolean)",3,1,n/a,22,1,1,5,4
"com.android.ddmlib.Client.setThreadUpdateEnabled(boolean)",4,0,n/a,19,1,1,7,3
"com.android.ddmlib.Client.toString()",1,1,n/a,7,0,0,1,1
"com.android.ddmlib.Client.toggleMethodProfiling()",10,0,n/a,25,3,0,12,5
"com.android.ddmlib.Client.update(int)",1,23,n/a,3,0,1,1,1
"com.android.ddmlib.ClientData.ClientData(int)",1,1,n/a,8,0,1,3,1
"com.android.ddmlib.ClientData.HeapData.addHeapData(ByteBuffer)",5,2,n/a,18,1,1,8,3
"com.android.ddmlib.ClientData.HeapData.clearHeapData()",1,3,n/a,10,0,0,2,1
"com.android.ddmlib.ClientData.HeapData.getHeapSegments()",1,1,n/a,11,1,0,3,2
"com.android.ddmlib.ClientData.HeapData.getProcessedHeapData()",0,0,n/a,8,0,0,1,1
"com.android.ddmlib.ClientData.HeapData.getProcessedHeapMap()",0,0,n/a,3,0,0,1,1
"com.android.ddmlib.ClientData.HeapData.isHeapDataComplete()",0,2,n/a,6,0,0,1,1
"com.android.ddmlib.ClientData.HeapData.sealHeapData()",0,2,n/a,6,0,0,1,1
"com.android.ddmlib.ClientData.HeapData.setProcessedHeapData(byte[])",0,0,n/a,8,0,1,1,1
"com.android.ddmlib.ClientData.HeapData.setProcessedHeapMap(Map<Integer, ArrayList<HeapSegmentElement>>)",0,0,n/a,3,0,1,1,1
"com.android.ddmlib.ClientData.IHprofDumpHandler.onEndFailure(Client,String)",n/a,1,0,n/a,n/a,2,n/a,n/a
"com.android.ddmlib.ClientData.IHprofDumpHandler.onSuccess(String,Client)",n/a,1,0,n/a,n/a,2,n/a,n/a
"com.android.ddmlib.ClientData.IHprofDumpHandler.onSuccess(byte[],Client)",n/a,1,0,n/a,n/a,2,n/a,n/a
"com.android.ddmlib.ClientData.IMethodProfilingHandler.onEndFailure(Client,String)",n/a,2,0,n/a,n/a,2,n/a,n/a
"com.android.ddmlib.ClientData.IMethodProfilingHandler.onStartFailure(Client,String)",n/a,1,0,n/a,n/a,2,n/a,n/a
"com.android.ddmlib.ClientData.IMethodProfilingHandler.onSuccess(String,Client)",n/a,1,0,n/a,n/a,2,n/a,n/a
"com.android.ddmlib.ClientData.IMethodProfilingHandler.onSuccess(byte[],Client)",n/a,1,0,n/a,n/a,2,n/a,n/a
"com.android.ddmlib.ClientData.addFeature(String)",1,1,n/a,3,0,1,1,1
"com.android.ddmlib.ClientData.addNativeAllocation(NativeAllocationInfo)",1,1,n/a,7,0,1,1,1
"com.android.ddmlib.ClientData.addNativeLibraryMapInfo(long,long,String)",2,2,n/a,3,0,3,1,1
"com.android.ddmlib.ClientData.addThread(int,String)",2,1,n/a,7,0,2,2,1
"com.android.ddmlib.ClientData.clearNativeAllocationInfo()",1,1,n/a,6,0,0,1,1
"com.android.ddmlib.ClientData.clearThreads()",1,1,n/a,3,0,0,1,1
"com.android.ddmlib.ClientData.getAllocationStatus()",0,2,n/a,7,0,0,1,1
"com.android.ddmlib.ClientData.getAllocations()",0,1,n/a,7,0,0,1,1
"com.android.ddmlib.ClientData.getClientDescription()",0,4,n/a,11,0,0,1,1
"com.android.ddmlib.ClientData.getDebuggerConnectionStatus()",0,0,n/a,6,0,0,1,1
"com.android.ddmlib.ClientData.getHprofDumpHandler()",0,2,n/a,3,0,0,1,1
"com.android.ddmlib.ClientData.getMappedNativeLibraries()",1,0,n/a,6,0,0,1,1
"com.android.ddmlib.ClientData.getMethodProfilingHandler()",0,4,n/a,3,0,0,1,1
"com.android.ddmlib.ClientData.getMethodProfilingStatus()",0,1,n/a,7,0,0,1,1
"com.android.ddmlib.ClientData.getNativeAllocationList()",1,1,n/a,7,0,0,1,1
"com.android.ddmlib.ClientData.getNativeHeapData()",0,3,n/a,6,0,0,1,1
"com.android.ddmlib.ClientData.getPendingHprofDump()",0,1,n/a,6,0,0,1,1
"com.android.ddmlib.ClientData.getPendingMethodProfiling()",0,2,n/a,6,0,0,1,1
"com.android.ddmlib.ClientData.getPid()",0,9,n/a,6,0,0,1,1
"com.android.ddmlib.ClientData.getThread(int)",1,3,n/a,6,0,1,1,1
"com.android.ddmlib.ClientData.getThreads()",3,2,n/a,9,0,0,2,1
"com.android.ddmlib.ClientData.getTotalNativeMemory()",0,0,n/a,7,0,0,1,1
"com.android.ddmlib.ClientData.getUserId()",0,0,n/a,7,0,0,1,1
"com.android.ddmlib.ClientData.getVmHeapData()",0,4,n/a,6,0,0,1,1
"com.android.ddmlib.ClientData.getVmHeapIds()",2,0,n/a,10,0,0,1,1
"com.android.ddmlib.ClientData.getVmHeapInfo(int)",1,4,n/a,10,0,1,1,1
"com.android.ddmlib.ClientData.getVmIdentifier()",0,0,n/a,6,0,0,1,1
"com.android.ddmlib.ClientData.hasFeature(String)",1,6,n/a,11,0,1,1,1
"com.android.ddmlib.ClientData.hasPendingHprofDump()",0,0,n/a,3,0,0,1,1
"com.android.ddmlib.ClientData.isDdmAware()",0,0,n/a,6,0,0,1,1
"com.android.ddmlib.ClientData.isDdmAware(boolean)",0,1,n/a,6,0,1,1,1
"com.android.ddmlib.ClientData.isValidUserId()",0,0,n/a,8,0,0,1,1
"com.android.ddmlib.ClientData.removeThread(int)",1,1,n/a,6,0,1,1,1
"com.android.ddmlib.ClientData.setAllocationStatus(AllocationTrackingStatus)",0,1,n/a,3,0,1,1,1
"com.android.ddmlib.ClientData.setAllocations(AllocationInfo[])",0,1,n/a,3,0,1,1,1
"com.android.ddmlib.ClientData.setClientDescription(String)",2,2,n/a,21,2,1,3,4
"com.android.ddmlib.ClientData.setDebuggerConnectionStatus(DebuggerStatus)",0,4,n/a,6,0,1,1,1
"com.android.ddmlib.ClientData.setHeapInfo(int,long,long,long,long)",6,1,n/a,19,0,5,6,1
"com.android.ddmlib.ClientData.setHprofDumpHandler(IHprofDumpHandler)",0,0,n/a,6,0,1,1,1
"com.android.ddmlib.ClientData.setMethodProfilingHandler(IMethodProfilingHandler)",0,0,n/a,6,0,1,1,1
"com.android.ddmlib.ClientData.setMethodProfilingStatus(MethodProfilingStatus)",0,4,n/a,3,0,1,1,1
"com.android.ddmlib.ClientData.setPendingHprofDump(String)",0,2,n/a,7,0,1,1,1
"com.android.ddmlib.ClientData.setPendingMethodProfiling(String)",0,3,n/a,7,0,1,1,1
"com.android.ddmlib.ClientData.setTotalNativeMemory(int)",0,1,n/a,3,0,1,1,1
"com.android.ddmlib.ClientData.setUserId(int)",0,2,n/a,4,0,1,2,1
"com.android.ddmlib.ClientData.setVmIdentifier(String)",0,1,n/a,6,0,1,1,1
"com.android.ddmlib.CollectingOutputReceiver.CollectingOutputReceiver()",0,1,n/a,2,0,0,0,1
"com.android.ddmlib.CollectingOutputReceiver.CollectingOutputReceiver(CountDownLatch)",0,0,n/a,3,0,1,1,1
"com.android.ddmlib.CollectingOutputReceiver.addOutput(byte[],int,int)",4,1,n/a,16,2,3,6,3
"com.android.ddmlib.CollectingOutputReceiver.cancel()",0,0,n/a,6,0,0,1,1
"com.android.ddmlib.CollectingOutputReceiver.flush()",1,1,n/a,9,1,0,2,2
"com.android.ddmlib.CollectingOutputReceiver.getOutput()",1,1,n/a,3,0,0,1,1
"com.android.ddmlib.CollectingOutputReceiver.isCancelled()",0,5,n/a,7,0,0,1,1
"com.android.ddmlib.DdmConstants.currentPlatform()",4,1,n/a,17,1,0,8,4
"com.android.ddmlib.DdmPreferences.DdmPreferences()",0,0,n/a,6,0,0,0,1
