Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"javax.servlet.ServletResponse",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,n/a
"javax.servlet.ServletResponseWrapper",10,1,35,36,2,0,1,1,183,82,2,0,0,"1,30",10,35,26
"javax.servlet.ServletSecurityElement",10,4,15,19,8,1,0,1,93,62,0,3,0,"1,62",2,24,13
"javax.servlet.SessionCookieConfig",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14,n/a
"javax.servlet.SessionTrackingMode",9,3,0,3,0,n/a,0,0,9,5,n/a,0,0,n/a,0,0,0
"javax.servlet.SingleThreadModel",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"javax.servlet.UnavailableException",12,3,12,15,38,1,0,2,167,44,0,1,0,"1,43",3,8,10
"javax.servlet.annotation.HandlesTypes",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"javax.servlet.annotation.HttpConstraint",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"javax.servlet.annotation.HttpMethodConstraint",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"javax.servlet.annotation.MultipartConfig",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"javax.servlet.annotation.ServletSecurity",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"javax.servlet.annotation.ServletSecurity.EmptyRoleSemantic",5,2,0,2,0,n/a,0,0,15,4,n/a,0,0,n/a,0,0,0
"javax.servlet.annotation.ServletSecurity.TransportGuarantee",5,2,0,2,0,n/a,0,0,13,4,n/a,0,0,n/a,0,0,0
"javax.servlet.annotation.WebFilter",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,n/a
"javax.servlet.annotation.WebInitParam",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"javax.servlet.annotation.WebListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"javax.servlet.annotation.WebServlet",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a
"javax.servlet.descriptor.JspConfigDescriptor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"javax.servlet.descriptor.JspPropertyGroupDescriptor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12,n/a
"javax.servlet.descriptor.TaglibDescriptor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"javax.servlet.http.Cookie",27,19,20,39,0,0,0,10,477,144,0,0,0,"1,35",11,20,27
"javax.servlet.http.HttpServlet",57,12,35,47,49,1,2,1,625,214,46,11,0,"3,77",2,30,49
"javax.servlet.http.HttpServletRequest",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,n/a
"javax.servlet.http.HttpServletRequestWrapper",9,1,139,140,45,1,2,1,242,102,2,40,0,"1,00",29,64,32
"javax.servlet.http.HttpServletResponse",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21,n/a
"javax.servlet.http.HttpServletResponseWrapper",11,1,79,80,5,1,2,1,179,74,8,19,0,"1,00",10,46,23
