Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"org.apache.tools.ant.BuildEvent.BuildEvent(Target)",2,3,n/a,14,0,1,4,1
"org.apache.tools.ant.BuildEvent.BuildEvent(Task)",3,3,n/a,14,0,1,4,1
"org.apache.tools.ant.BuildEvent.getException()",0,30,n/a,15,0,0,1,1
"org.apache.tools.ant.BuildEvent.getMessage()",0,24,n/a,12,0,0,1,1
"org.apache.tools.ant.BuildEvent.getPriority()",0,18,n/a,12,0,0,1,1
"org.apache.tools.ant.BuildEvent.getProject()",0,21,n/a,8,0,0,1,1
"org.apache.tools.ant.BuildEvent.getTarget()",0,30,n/a,9,0,0,1,1
"org.apache.tools.ant.BuildEvent.getTask()",0,20,n/a,9,0,0,1,1
"org.apache.tools.ant.BuildEvent.setException(Throwable)",0,4,n/a,15,0,1,1,1
"org.apache.tools.ant.BuildEvent.setMessage(String,int)",0,3,n/a,15,0,2,2,1
"org.apache.tools.ant.BuildException.BuildException()",1,1,n/a,6,0,0,1,1
"org.apache.tools.ant.BuildException.BuildException(String)",1,787,n/a,9,0,1,1,1
"org.apache.tools.ant.BuildException.BuildException(String,Location)",1,199,n/a,13,0,2,2,1
"org.apache.tools.ant.BuildException.BuildException(String,Throwable)",1,96,n/a,13,0,2,2,1
"org.apache.tools.ant.BuildException.BuildException(String,Throwable,Location)",1,61,n/a,15,0,3,2,1
"org.apache.tools.ant.BuildException.BuildException(Throwable)",2,128,n/a,10,0,1,2,1
"org.apache.tools.ant.BuildException.BuildException(Throwable,Location)",1,39,n/a,13,0,2,2,1
"org.apache.tools.ant.BuildException.getCause()",1,8,n/a,9,0,0,1,1
"org.apache.tools.ant.BuildException.getException()",0,19,n/a,9,0,0,1,1
"org.apache.tools.ant.BuildException.getLocation()",0,18,n/a,8,0,0,1,1
"org.apache.tools.ant.BuildException.printStackTrace()",1,29,n/a,7,0,0,1,1
"org.apache.tools.ant.BuildException.printStackTrace(PrintStream)",3,8,n/a,16,2,1,5,2
"org.apache.tools.ant.BuildException.printStackTrace(PrintWriter)",3,5,n/a,16,2,1,5,2
"org.apache.tools.ant.BuildException.setLocation(Location)",0,6,n/a,9,0,1,1,1
"org.apache.tools.ant.BuildException.toString()",2,97,n/a,8,0,0,1,1
"org.apache.tools.ant.BuildListener.buildFinished(BuildEvent)",n/a,5,21,n/a,n/a,1,n/a,n/a
"org.apache.tools.ant.BuildListener.buildStarted(BuildEvent)",n/a,3,20,n/a,n/a,1,n/a,n/a
"org.apache.tools.ant.BuildListener.messageLogged(BuildEvent)",n/a,6,23,n/a,n/a,1,n/a,n/a
"org.apache.tools.ant.BuildListener.targetFinished(BuildEvent)",n/a,5,21,n/a,n/a,1,n/a,n/a
"org.apache.tools.ant.BuildListener.targetStarted(BuildEvent)",n/a,3,21,n/a,n/a,1,n/a,n/a
"org.apache.tools.ant.BuildListener.taskFinished(BuildEvent)",n/a,5,20,n/a,n/a,1,n/a,n/a
"org.apache.tools.ant.BuildListener.taskStarted(BuildEvent)",n/a,3,20,n/a,n/a,1,n/a,n/a
"org.apache.tools.ant.BuildLogger.setEmacsMode(boolean)",n/a,2,4,n/a,n/a,1,n/a,n/a
"org.apache.tools.ant.BuildLogger.setErrorPrintStream(PrintStream)",n/a,2,4,n/a,n/a,1,n/a,n/a
"org.apache.tools.ant.BuildLogger.setMessageOutputLevel(int)",n/a,2,4,n/a,n/a,1,n/a,n/a
"org.apache.tools.ant.BuildLogger.setOutputPrintStream(PrintStream)",n/a,2,4,n/a,n/a,1,n/a,n/a
"org.apache.tools.ant.ComponentHelper.AntTypeTable.AntTypeTable(Project)",0,1,n/a,3,0,1,1,1
"org.apache.tools.ant.ComponentHelper.AntTypeTable.contains(Object)",5,5,n/a,10,2,1,6,4
"org.apache.tools.ant.ComponentHelper.AntTypeTable.containsValue(Object)",1,0,n/a,3,0,1,1,1
"org.apache.tools.ant.ComponentHelper.AntTypeTable.create(String)",2,0,n/a,4,0,1,2,2
"org.apache.tools.ant.ComponentHelper.AntTypeTable.get(Object)",1,158,n/a,3,0,1,1,1
"org.apache.tools.ant.ComponentHelper.AntTypeTable.getDefinition(String)",1,5,n/a,3,0,1,1,1
"org.apache.tools.ant.ComponentHelper.AntTypeTable.getExposedClass(String)",2,3,n/a,4,0,1,2,2
"org.apache.tools.ant.ComponentHelper.AntTypeTable.getTypeClass(String)",2,3,n/a,4,0,1,2,2
"org.apache.tools.ant.ComponentHelper.ComponentHelper()",0,1,n/a,5,0,0,0,1
"org.apache.tools.ant.ComponentHelper.addCreatedTask(String,Task)",5,2,n/a,20,2,2,6,2
"org.apache.tools.ant.ComponentHelper.addDataTypeDefinition(AntTypeDefinition)",1,4,n/a,8,0,1,1,1
"org.apache.tools.ant.ComponentHelper.addDataTypeDefinition(String,Class)",6,1,n/a,21,0,2,5,1
"org.apache.tools.ant.ComponentHelper.addTaskDefinition(String,Class)",11,2,n/a,31,0,2,9,1
"org.apache.tools.ant.ComponentHelper.checkNamespace(String)",15,1,n/a,29,1,1,16,4
"org.apache.tools.ant.ComponentHelper.checkTaskClass(Class)",13,3,n/a,37,1,1,15,5
"org.apache.tools.ant.ComponentHelper.createComponent(String)",2,5,n/a,12,0,1,2,2
"org.apache.tools.ant.ComponentHelper.createComponent(UnknownElement,String,String)",10,1,n/a,28,1,3,10,2
"org.apache.tools.ant.ComponentHelper.createDataType(String)",1,1,n/a,15,0,1,1,1
"org.apache.tools.ant.ComponentHelper.createNewTask(String)",9,2,n/a,32,1,1,13,5
"org.apache.tools.ant.ComponentHelper.createTask(String)",5,1,n/a,31,1,1,7,4
"org.apache.tools.ant.ComponentHelper.diagnoseCreationFailure(String,String)",66,2,n/a,138,3,2,88,17
"org.apache.tools.ant.ComponentHelper.enterAntLib(String)",1,1,n/a,8,0,1,2,1
"org.apache.tools.ant.ComponentHelper.exitAntLib()",3,1,n/a,8,0,0,2,2
"org.apache.tools.ant.ComponentHelper.getAntTypeTable()",0,0,n/a,10,0,0,1,1
"org.apache.tools.ant.ComponentHelper.getClassLoader(ClassLoader)",4,2,n/a,8,1,1,4,3
"org.apache.tools.ant.ComponentHelper.getComponentClass(String)",2,2,n/a,12,0,1,2,2
"org.apache.tools.ant.ComponentHelper.getComponentHelper(Project)",4,24,n/a,18,1,1,7,2
"org.apache.tools.ant.ComponentHelper.getCurrentAntlibUri()",0,1,n/a,6,0,0,1,1
"org.apache.tools.ant.ComponentHelper.getDataTypeDefinitions()",9,1,n/a,30,5,0,14,5
"org.apache.tools.ant.ComponentHelper.getDefinition(String)",2,6,n/a,9,0,1,2,1
"org.apache.tools.ant.ComponentHelper.getElementName(Object)",1,1,n/a,15,0,1,1,1
"org.apache.tools.ant.ComponentHelper.getElementName(Object,boolean)",10,2,n/a,29,2,2,10,5
"org.apache.tools.ant.ComponentHelper.getNext()",0,0,n/a,8,0,0,1,1
"org.apache.tools.ant.ComponentHelper.getTaskDefinitions()",9,1,n/a,30,5,0,14,5
"org.apache.tools.ant.ComponentHelper.initDefaultDefinitions()",2,1,n/a,9,0,0,2,1
"org.apache.tools.ant.ComponentHelper.initSubProject(ComponentHelper)",10,1,n/a,18,1,1,8,3
"org.apache.tools.ant.ComponentHelper.initTasks()",19,1,n/a,33,2,0,23,4
"org.apache.tools.ant.ComponentHelper.initTypes()",17,1,n/a,37,3,0,23,6
"org.apache.tools.ant.ComponentHelper.invalidateCreatedTasks(String)",8,1,n/a,25,4,1,11,4
"org.apache.tools.ant.ComponentHelper.sameDefinition(AntTypeDefinition,AntTypeDefinition)",3,1,n/a,13,0,2,3,3
"org.apache.tools.ant.ComponentHelper.setNext(ComponentHelper)",0,0,n/a,8,0,1,1,1
"org.apache.tools.ant.ComponentHelper.setProject(Project)",1,1,n/a,9,0,1,2,1
"org.apache.tools.ant.ComponentHelper.updateDataTypeDefinition(AntTypeDefinition)",11,3,n/a,31,3,1,15,7
"org.apache.tools.ant.ComponentHelper.validDefinition(AntTypeDefinition)",2,2,n/a,10,0,1,1,2
"org.apache.tools.ant.DefaultLogger.DefaultLogger()",0,5,n/a,5,0,0,0,1
"org.apache.tools.ant.DefaultLogger.buildFinished(BuildEvent)",23,6,n/a,36,2,1,19,5
"org.apache.tools.ant.DefaultLogger.buildStarted(BuildEvent)",1,3,n/a,8,0,1,1,1
"org.apache.tools.ant.DefaultLogger.formatTime(long)",1,4,n/a,12,0,1,1,1
"org.apache.tools.ant.DefaultLogger.getBuildFailedMessage()",0,2,n/a,8,0,0,1,1
"org.apache.tools.ant.DefaultLogger.getBuildSuccessfulMessage()",0,2,n/a,8,0,0,1,1
"org.apache.tools.ant.DefaultLogger.log(String)",0,3,n/a,8,0,1,0,1
"org.apache.tools.ant.DefaultLogger.messageLogged(BuildEvent)",27,10,n/a,54,5,1,31,9
"org.apache.tools.ant.DefaultLogger.printMessage(String,PrintStream,int)",1,6,n/a,15,0,3,1,1
"org.apache.tools.ant.DefaultLogger.setEmacsMode(boolean)",0,2,n/a,9,0,1,1,1
"org.apache.tools.ant.DefaultLogger.setErrorPrintStream(PrintStream)",1,3,n/a,9,0,1,1,1
"org.apache.tools.ant.DefaultLogger.setMessageOutputLevel(int)",0,3,n/a,19,0,1,1,1
"org.apache.tools.ant.DefaultLogger.setOutputPrintStream(PrintStream)",1,3,n/a,9,0,1,1,1
