Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"com.android.internal.telephony.IccCardStatus.PinState",2,6,3,9,0,n/a,0,3,17,17,n/a,0,0,"1,00",3,3,3
"com.android.internal.telephony.IccConstants",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.android.internal.telephony.IccException",2,0,2,2,0,0,0,0,10,7,0,0,0,"1,00",0,2,2
"com.android.internal.telephony.IccFileHandler",12,41,17,58,2,0,0,4,416,309,3,0,0,"3,29",2,19,46
"com.android.internal.telephony.IccFileHandler.LoadLinearFixedContext",1,7,2,9,0,0,0,0,19,19,0,0,0,"1,00",0,2,2
"com.android.internal.telephony.IccFileNotFound",0,0,3,3,0,0,0,0,13,10,0,0,0,"1,00",0,3,3
"com.android.internal.telephony.IccFileTypeMismatch",0,0,2,2,0,0,0,0,10,7,0,0,0,"1,00",0,2,2
"com.android.internal.telephony.IccIoResult",1,3,5,8,0,0,0,1,45,34,0,0,0,"1,80",3,5,9
"com.android.internal.telephony.IccPhoneBookInterfaceManager",5,12,12,24,0,0,0,4,231,166,2,0,0,"2,73",5,12,30
"com.android.internal.telephony.IccPhoneBookInterfaceManagerProxy",0,1,6,7,0,0,0,1,38,34,0,0,0,"1,17",4,6,7
"com.android.internal.telephony.IccProvider",3,11,13,24,3,0,0,2,323,294,0,0,0,"5,31",11,17,69
"com.android.internal.telephony.IccRecords",9,34,40,74,6,0,0,24,319,184,2,0,0,"1,27",18,42,38
"com.android.internal.telephony.IccRecords.IccRecordLoaded",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.android.internal.telephony.IccRefreshResponse",3,6,1,7,0,0,0,0,20,12,0,0,0,"1,00",1,1,1
"com.android.internal.telephony.IccServiceTable",2,1,5,6,1,0,0,2,55,44,1,0,0,"3,00",4,5,9
"com.android.internal.telephony.IccSmsInterfaceManager",7,3,8,11,4,0,0,4,172,78,2,0,0,"2,00",2,8,14
"com.android.internal.telephony.IccSmsInterfaceManagerProxy",0,1,12,13,0,0,0,1,53,53,0,0,0,"1,08",7,12,13
"com.android.internal.telephony.IccUtils",23,1,15,16,1,0,0,7,424,303,0,0,0,"4,53",15,15,68
"com.android.internal.telephony.IccVmFixedException",1,0,2,2,0,0,0,0,12,9,0,0,0,"1,00",0,2,2
"com.android.internal.telephony.IccVmNotSupportedException",2,0,2,2,0,0,0,0,12,9,0,0,0,"1,00",0,2,2
"com.android.internal.telephony.IntRangeManager",4,2,9,11,2,0,0,1,415,262,1,0,0,"9,67",6,14,58
"com.android.internal.telephony.IntRangeManager.ClientRange",2,3,3,6,0,0,0,0,28,25,0,0,0,"1,33",2,3,4
"com.android.internal.telephony.IntRangeManager.IntRange",2,3,4,7,2,0,0,1,76,38,0,0,0,"2,00",0,6,8
"com.android.internal.telephony.MccTable",9,2,10,12,2,0,0,1,479,402,0,0,0,"3,30",5,12,33
"com.android.internal.telephony.MccTable.MccEntry",1,4,3,7,0,0,0,1,20,20,0,0,0,"1,00",1,3,3
"com.android.internal.telephony.MmiCode",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"com.android.internal.telephony.MmiCode.State",2,4,0,4,0,n/a,0,0,9,6,n/a,0,0,n/a,0,0,0
"com.android.internal.telephony.OperatorInfo",5,5,10,15,1,0,0,3,102,81,0,0,0,"1,33",7,10,16
"com.android.internal.telephony.OperatorInfo.State",1,4,0,4,0,n/a,0,0,6,6,n/a,0,0,n/a,0,0,0
"com.android.internal.telephony.Phone",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,175,n/a
"com.android.internal.telephony.Phone.DataActivityState",1,5,0,5,0,n/a,0,0,14,3,n/a,0,0,n/a,0,0,0
"com.android.internal.telephony.Phone.SuppService",3,7,0,7,0,n/a,0,0,3,3,n/a,0,0,n/a,0,0,0
"com.android.internal.telephony.PhoneBase",14,64,140,204,6,0,0,6,947,688,3,0,0,"1,15",42,140,157
"com.android.internal.telephony.PhoneFactory",6,10,6,16,125,0,0,1,158,135,0,0,0,"3,83",4,10,23
"com.android.internal.telephony.PhoneNotifier",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,n/a
"com.android.internal.telephony.PhoneProxy",8,13,183,196,20,0,0,1,719,698,0,0,0,"1,12",66,186,205
"com.android.internal.telephony.PhoneStateIntentReceiver",0,17,17,34,0,0,0,1,148,127,0,0,0,"1,65",7,17,28
"com.android.internal.telephony.PhoneSubInfo",4,6,17,23,1,0,0,2,159,112,0,0,0,"1,24",13,20,21
"com.android.internal.telephony.PhoneSubInfoProxy",0,1,16,17,0,0,0,1,91,54,0,0,0,"1,06",13,16,17
"com.android.internal.telephony.RIL",18,27,172,199,31,0,0,1,2.732,2.491,0,0,0,"4,76",32,189,823
"com.android.internal.telephony.RIL.RILReceiver",2,1,2,3,31,0,0,1,88,81,0,0,0,"4,00",0,7,8
"com.android.internal.telephony.RIL.RILSender",3,1,3,4,31,0,0,2,137,101,0,0,0,"5,67",0,8,17
"com.android.internal.telephony.RILRequest",3,12,6,18,31,0,0,1,107,87,0,0,0,"2,33",2,7,14
"com.android.internal.telephony.RestrictedState",1,3,10,13,0,0,0,2,85,58,0,0,0,"1,40",6,10,14
"com.android.internal.telephony.RetryManager",6,9,17,26,2,0,0,1,334,204,0,0,0,"3,71",10,18,63
"com.android.internal.telephony.RetryManager.RetryRec",1,2,1,3,0,0,0,0,11,8,0,0,0,"1,00",0,1,1
"com.android.internal.telephony.SMSDispatcher",14,41,31,72,22,0,0,4,984,621,2,0,0,"4,35",9,37,100
"com.android.internal.telephony.SMSDispatcher.ConfirmDialogListener",2,1,3,4,22,0,0,1,25,22,0,0,0,"1,67",0,3,5
"com.android.internal.telephony.SMSDispatcher.SmsTracker",4,7,2,9,0,0,0,1,32,22,0,0,0,"1,00",1,2,2
"com.android.internal.telephony.ServiceStateTracker",4,70,37,107,0,0,0,8,447,316,2,0,0,"1,89",6,37,53
"com.android.internal.telephony.SmsAddress",3,10,4,14,0,0,0,2,40,24,2,0,0,"1,00",4,4,4
"com.android.internal.telephony.SmsHeader",13,38,4,42,4,0,0,1,229,199,0,0,0,"6,75",3,4,27
"com.android.internal.telephony.SmsHeader.ConcatRef",1,4,0,4,0,0,0,0,6,6,0,0,0,n/a,0,0,0
"com.android.internal.telephony.SmsHeader.MiscElt",1,2,0,2,0,0,0,0,8,4,0,0,0,n/a,0,0,0
"com.android.internal.telephony.SmsHeader.PortAddrs",3,3,0,3,0,0,0,0,5,5,0,0,0,n/a,0,0,0
"com.android.internal.telephony.SmsMessageBase",11,18,27,45,8,0,0,19,265,98,2,0,0,"1,35",25,28,23
"com.android.internal.telephony.SmsMessageBase.SubmitPduBase",8,2,1,3,0,0,0,0,11,10,2,0,0,"1,00",1,1,1
"com.android.internal.telephony.SmsRawData",4,2,4,6,1,0,0,2,34,29,0,0,0,"1,00",2,4,6
"com.android.internal.telephony.SmsResponse",0,3,2,5,0,0,0,0,28,17,0,0,0,"1,00",1,2,2
"com.android.internal.telephony.SmsStorageMonitor",3,11,6,17,14,0,0,1,112,80,0,0,0,"2,00",1,6,14
"com.android.internal.telephony.SmsUsageMonitor",4,25,12,37,3,0,0,1,274,190,0,0,0,"2,83",7,15,34
"com.android.internal.telephony.SmsUsageMonitor.SettingsObserver",1,2,2,4,0,0,0,1,16,13,0,0,0,"1,00",0,2,2
"com.android.internal.telephony.SmsUsageMonitor.SettingsObserverHandler",2,4,2,6,3,0,0,1,40,32,0,0,0,"4,00",0,6,8
"com.android.internal.telephony.SmsUsageMonitor.ShortCodePatternMatcher",1,4,2,6,3,0,0,1,37,34,0,0,0,"5,00",1,2,10
"com.android.internal.telephony.TelephonyCapabilities",1,1,11,12,8,0,0,10,158,46,0,0,0,"1,18",10,13,13
"com.android.internal.telephony.UUSInfo",7,15,8,23,0,0,0,3,57,45,0,0,0,"1,00",3,8,8
"com.android.internal.telephony.WapPushManagerParams",0,8,0,8,0,0,0,0,43,10,0,0,0,n/a,0,0,0
"com.android.internal.telephony.WapPushOverSms",3,7,2,9,15,0,0,1,154,109,0,0,0,"12,00",1,5,24
"com.android.internal.telephony.WapPushOverSms.WapPushConnection",1,2,6,8,15,0,0,1,54,43,0,0,0,"1,86",1,6,13
"com.android.internal.telephony.WspTypeDecoder",2,16,24,40,1,0,0,1,662,457,0,0,0,"2,79",22,24,67
"com.android.internal.telephony.cat.AppInterface",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
