Chidamber-Kemerer metrics,Sex, 6 out 2017 18:57:38 BRT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"android.support.v4.app.ShareCompat.ShareCompatImplICS",4,1,1,1,5,3
"android.support.v4.app.ShareCompat.ShareCompatImplJB",2,2,2,0,2,2
"android.support.v4.app.SuperNotCalledException",1,0,0,0,1,1
"android.support.v4.app.TaskStackBuilder",7,0,2,0,19,21
"android.support.v4.app.TaskStackBuilder.TaskStackBuilderImpl",n/a,n/a,n/a,n/a,1,n/a
"android.support.v4.app.TaskStackBuilder.TaskStackBuilderImplBase",3,0,1,0,1,1
"android.support.v4.app.TaskStackBuilder.TaskStackBuilderImplHoneycomb",3,0,1,0,1,1
"android.support.v4.app.TaskStackBuilder.TaskStackBuilderImplJellybean",2,0,1,0,1,1
"android.support.v4.content.AsyncTaskLoader",5,1,2,1,20,38
"android.support.v4.content.AsyncTaskLoader.LoadTask",2,1,2,0,8,8
"android.support.v4.content.ContextCompat",2,0,1,1,2,4
"android.support.v4.content.CursorLoader",3,2,2,0,31,29
"android.support.v4.content.IntentCompat",5,0,0,0,1,1
"android.support.v4.content.Loader",9,0,3,1,26,29
"android.support.v4.content.Loader.ForceLoadContentObserver",2,0,2,0,4,3
"android.support.v4.content.Loader.OnLoadCompleteListener",n/a,n/a,n/a,n/a,1,n/a
"android.support.v4.content.LocalBroadcastManager",3,0,2,0,9,45
"android.support.v4.content.LocalBroadcastManager.BroadcastRecord",2,0,0,0,1,1
"android.support.v4.content.LocalBroadcastManager.ReceiverRecord",2,0,0,0,2,2
"android.support.v4.content.ModernAsyncTask",6,0,3,1,22,29
"android.support.v4.content.ModernAsyncTask.AsyncTaskResult",2,0,0,0,1,1
"android.support.v4.content.ModernAsyncTask.InternalHandler",2,0,1,0,3,3
"android.support.v4.content.ModernAsyncTask.Status",1,n/a,0,n/a,0,0
"android.support.v4.content.ModernAsyncTask.WorkerRunnable",1,0,0,1,0,0
"android.support.v4.content.pm.ActivityInfoCompat",0,0,0,0,1,1
"android.support.v4.database.DatabaseUtilsCompat",1,0,2,0,3,6
"android.support.v4.net.ConnectivityManagerCompat",5,0,2,0,3,5
"android.support.v4.net.ConnectivityManagerCompat.BaseConnectivityManagerCompatImpl",2,0,1,0,1,5
"android.support.v4.net.ConnectivityManagerCompat.ConnectivityManagerCompatImpl",n/a,n/a,n/a,n/a,1,n/a
"android.support.v4.net.ConnectivityManagerCompat.GingerbreadConnectivityManagerCompatImpl",2,0,1,0,1,1
"android.support.v4.net.ConnectivityManagerCompat.HoneycombMR2ConnectivityManagerCompatImpl",2,0,1,0,1,1
"android.support.v4.net.ConnectivityManagerCompat.JellyBeanConnectivityManagerCompatImpl",2,0,1,0,1,1
"android.support.v4.net.TrafficStatsCompat",3,0,1,0,14,8
"android.support.v4.net.TrafficStatsCompat.BaseTrafficStatsCompatImpl",3,0,5,0,7,8
"android.support.v4.net.TrafficStatsCompat.BaseTrafficStatsCompatImpl.SocketTags",1,0,0,0,0,0
"android.support.v4.net.TrafficStatsCompat.IcsTrafficStatsCompatImpl",2,0,7,0,7,7
"android.support.v4.net.TrafficStatsCompat.TrafficStatsCompatImpl",n/a,n/a,n/a,n/a,7,n/a
"android.support.v4.os.ParcelableCompat",2,0,1,0,2,2
"android.support.v4.os.ParcelableCompat.CompatCreator",1,0,1,0,3,3
"android.support.v4.util.AtomicFile",1,0,1,0,9,20
"android.support.v4.util.DebugUtils",5,0,1,0,1,4
"android.support.v4.util.LogWriter",1,0,1,0,5,8
"android.support.v4.util.LongSparseArray",1,0,1,0,22,51
"android.support.v4.util.LruCache",0,0,1,0,19,36
"android.support.v4.util.SparseArrayCompat",5,0,1,0,21,52
"android.support.v4.util.TimeUtils",2,0,1,0,7,28
"android.support.v4.view.AccessibilityDelegateCompat",11,0,2,1,22,13
"android.support.v4.view.AccessibilityDelegateCompat.AccessibilityDelegateIcsImpl",4,1,9,1,10,16
"android.support.v4.view.AccessibilityDelegateCompat.AccessibilityDelegateImpl",n/a,n/a,n/a,n/a,11,n/a
"android.support.v4.view.AccessibilityDelegateCompat.AccessibilityDelegateJellyBeanImpl",4,2,3,0,4,14
"android.support.v4.view.AccessibilityDelegateCompat.AccessibilityDelegateStubImpl",5,0,11,1,11,11
"android.support.v4.view.KeyEventCompat",4,0,1,0,8,6
"android.support.v4.view.KeyEventCompat.BaseKeyEventVersionImpl",2,0,1,0,4,9
"android.support.v4.view.KeyEventCompat.HoneycombKeyEventVersionImpl",2,0,3,0,3,3
"android.support.v4.view.KeyEventCompat.KeyEventVersionImpl",n/a,n/a,n/a,n/a,3,n/a
"android.support.v4.view.MenuCompat",3,0,1,0,2,2
"android.support.v4.view.MenuCompat.BaseMenuVersionImpl",2,0,1,0,1,1
"android.support.v4.view.MenuCompat.HoneycombMenuVersionImpl",2,0,1,0,1,1
"android.support.v4.view.MenuCompat.MenuVersionImpl",n/a,n/a,n/a,n/a,1,n/a
"android.support.v4.view.MenuItemCompat",3,0,1,0,4,3
"android.support.v4.view.MenuItemCompat.BaseMenuVersionImpl",2,0,2,0,2,2
