Martin packaging metrics,Qui, 26 out 2017 16:05:48 BRST
Package,A,Ca,Ce,D,I
"testing.org.apache.derbyTesting.system.optimizer","0,00",2,2,"0,50","0,50"
"testing.org.apache.derbyTesting.system.optimizer.query","0,00",2,3,"0,40","0,60"
"testing.org.apache.derbyTesting.system.optimizer.utils","0,00",3,1,"0,75","0,25"
"testing.org.apache.derbyTesting.system.sttest","0,00",0,3,"0,00","1,00"
"testing.org.apache.derbyTesting.system.sttest.tools","0,00",2,0,"1,00","0,00"
"testing.org.apache.derbyTesting.system.sttest.utils","0,00",3,5,"0,38","0,62"
"testing.org.apache.derbyTesting.unitTests.crypto","0,00",0,3,"0,00","1,00"
"testing.org.apache.derbyTesting.unitTests.harness","0,58",16,20,"0,14","0,56"
"testing.org.apache.derbyTesting.unitTests.junit","0,00",4,19,"0,17","0,94"
"testing.org.apache.derbyTesting.unitTests.lang","0,00",0,9,"0,00","1,00"
"testing.org.apache.derbyTesting.unitTests.services","0,05",0,36,"0,05","1,00"
"testing.org.apache.derbyTesting.unitTests.store","0,00",5,162,"0,03","0,97"
"testing.org.apache.derbyTesting.unitTests.util","0,00",0,3,"0,00","1,00"
"tools.org.apache.derby.iapi.tools","0,00",0,3,"0,00","1,00"
"tools.org.apache.derby.iapi.tools.i18n","0,00",12,0,"1,00","0,00"
"tools.org.apache.derby.impl.tools.dblook","0,00",11,11,"0,50","0,50"
"tools.org.apache.derby.impl.tools.ij","0,09",5,19,"0,11","0,79"
"tools.org.apache.derby.impl.tools.sysinfo","0,00",2,2,"0,50","0,50"
"tools.org.apache.derby.tools","0,00",25,8,"0,76","0,24"

