Method,ev(G),iv(G),v(G)
"android.support.v4.app.Fragment.getString(int,Object...)",1,1,1
"android.support.v4.app.Fragment.getTag()",1,1,1
"android.support.v4.app.Fragment.getTargetFragment()",1,1,1
"android.support.v4.app.Fragment.getTargetRequestCode()",1,1,1
"android.support.v4.app.Fragment.getText(int)",1,1,1
"android.support.v4.app.Fragment.getUserVisibleHint()",1,1,1
"android.support.v4.app.Fragment.getView()",1,1,1
"android.support.v4.app.Fragment.hashCode()",1,1,1
"android.support.v4.app.Fragment.initState()",1,1,1
"android.support.v4.app.Fragment.instantiate(Context,String)",1,1,1
"android.support.v4.app.Fragment.instantiate(Context,String,Bundle)",1,3,6
"android.support.v4.app.Fragment.isAdded()",1,1,2
"android.support.v4.app.Fragment.isDetached()",1,1,1
"android.support.v4.app.Fragment.isHidden()",1,1,1
"android.support.v4.app.Fragment.isInBackStack()",1,1,1
"android.support.v4.app.Fragment.isInLayout()",1,1,1
"android.support.v4.app.Fragment.isRemoving()",1,1,1
"android.support.v4.app.Fragment.isResumed()",1,1,1
"android.support.v4.app.Fragment.isVisible()",1,5,5
"android.support.v4.app.Fragment.onActivityCreated(Bundle)",1,1,1
"android.support.v4.app.Fragment.onActivityResult(int,int,Intent)",1,1,1
"android.support.v4.app.Fragment.onAttach(Activity)",1,1,1
"android.support.v4.app.Fragment.onConfigurationChanged(Configuration)",1,1,1
"android.support.v4.app.Fragment.onContextItemSelected(MenuItem)",1,1,1
"android.support.v4.app.Fragment.onCreate(Bundle)",1,1,1
"android.support.v4.app.Fragment.onCreateAnimation(int,boolean,int)",1,1,1
"android.support.v4.app.Fragment.onCreateContextMenu(ContextMenu,View,ContextMenuInfo)",1,1,1
"android.support.v4.app.Fragment.onCreateOptionsMenu(Menu,MenuInflater)",1,1,1
"android.support.v4.app.Fragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,1,1
"android.support.v4.app.Fragment.onDestroy()",1,3,3
"android.support.v4.app.Fragment.onDestroyOptionsMenu()",1,1,1
"android.support.v4.app.Fragment.onDestroyView()",1,1,1
"android.support.v4.app.Fragment.onDetach()",1,1,1
"android.support.v4.app.Fragment.onHiddenChanged(boolean)",1,1,1
"android.support.v4.app.Fragment.onInflate(Activity,AttributeSet,Bundle)",1,1,1
"android.support.v4.app.Fragment.onLowMemory()",1,1,1
"android.support.v4.app.Fragment.onOptionsItemSelected(MenuItem)",1,1,1
"android.support.v4.app.Fragment.onOptionsMenuClosed(Menu)",1,1,1
"android.support.v4.app.Fragment.onPause()",1,1,1
"android.support.v4.app.Fragment.onPrepareOptionsMenu(Menu)",1,1,1
"android.support.v4.app.Fragment.onResume()",1,1,1
"android.support.v4.app.Fragment.onSaveInstanceState(Bundle)",1,1,1
"android.support.v4.app.Fragment.onStart()",1,4,4
"android.support.v4.app.Fragment.onStop()",1,1,1
"android.support.v4.app.Fragment.onViewCreated(View,Bundle)",1,1,1
"android.support.v4.app.Fragment.performDestroyView()",1,2,2
"android.support.v4.app.Fragment.performReallyStop()",1,5,5
"android.support.v4.app.Fragment.performStart()",1,2,2
"android.support.v4.app.Fragment.performStop()",1,1,1
"android.support.v4.app.Fragment.registerForContextMenu(View)",1,1,1
"android.support.v4.app.Fragment.restoreViewState()",1,2,2
"android.support.v4.app.Fragment.setArguments(Bundle)",2,1,2
"android.support.v4.app.Fragment.setHasOptionsMenu(boolean)",1,4,4
"android.support.v4.app.Fragment.setIndex(int)",1,1,1
"android.support.v4.app.Fragment.setInitialSavedState(SavedState)",2,1,4
"android.support.v4.app.Fragment.setMenuVisibility(boolean)",1,5,5
"android.support.v4.app.Fragment.setRetainInstance(boolean)",1,1,1
"android.support.v4.app.Fragment.setTargetFragment(Fragment,int)",1,1,1
"android.support.v4.app.Fragment.setUserVisibleHint(boolean)",1,2,4
"android.support.v4.app.Fragment.startActivity(Intent)",2,1,2
"android.support.v4.app.Fragment.startActivityForResult(Intent,int)",2,1,2
"android.support.v4.app.Fragment.toString()",1,4,4
"android.support.v4.app.Fragment.unregisterForContextMenu(View)",1,1,1
"android.support.v4.app.FragmentActivity.doReallyStop(boolean)",1,2,2
"android.support.v4.app.FragmentActivity.dump(String,FileDescriptor,PrintWriter,String[])",1,2,3
"android.support.v4.app.FragmentActivity.getLastCustomNonConfigurationInstance()",1,1,2
"android.support.v4.app.FragmentActivity.getLoaderManager(int,boolean,boolean)",1,3,4
"android.support.v4.app.FragmentActivity.getSupportFragmentManager()",1,1,1
"android.support.v4.app.FragmentActivity.getSupportLoaderManager()",2,1,2
"android.support.v4.app.FragmentActivity.invalidateSupportFragmentIndex(int)",1,3,4
"android.support.v4.app.FragmentActivity.onActivityResult(int,int,Intent)",3,6,6
"android.support.v4.app.FragmentActivity.onAttachFragment(Fragment)",1,1,1
"android.support.v4.app.FragmentActivity.onBackPressed()",1,2,2
"android.support.v4.app.FragmentActivity.onConfigurationChanged(Configuration)",1,1,1
"android.support.v4.app.FragmentActivity.onCreate(Bundle)",1,3,5
"android.support.v4.app.FragmentActivity.onCreatePanelMenu(int,Menu)",3,2,3
"android.support.v4.app.FragmentActivity.onCreateView(String,Context,AttributeSet)",6,14,20
"android.support.v4.app.FragmentActivity.onDestroy()",1,2,2
"android.support.v4.app.FragmentActivity.onKeyDown(int,KeyEvent)",2,4,4
"android.support.v4.app.FragmentActivity.onLowMemory()",1,1,1
"android.support.v4.app.FragmentActivity.onMenuItemSelected(int,MenuItem)",5,4,5
"android.support.v4.app.FragmentActivity.onPanelClosed(int,Menu)",2,2,2
"android.support.v4.app.FragmentActivity.onPause()",1,2,2
"android.support.v4.app.FragmentActivity.onPostResume()",1,1,1
"android.support.v4.app.FragmentActivity.onPreparePanel(int,View,Menu)",2,4,5
"android.support.v4.app.FragmentActivity.onReallyStop()",1,4,4
"android.support.v4.app.FragmentActivity.onResume()",1,1,1
"android.support.v4.app.FragmentActivity.onResumeFragments()",1,1,1
"android.support.v4.app.FragmentActivity.onRetainCustomNonConfigurationInstance()",1,1,1
"android.support.v4.app.FragmentActivity.onRetainNonConfigurationInstance()",2,5,8
"android.support.v4.app.FragmentActivity.onSaveInstanceState(Bundle)",1,2,2
"android.support.v4.app.FragmentActivity.onStart()",1,8,9
"android.support.v4.app.FragmentActivity.onStop()",1,1,1
"android.support.v4.app.FragmentActivity.startActivityForResult(Intent,int)",2,1,3
"android.support.v4.app.FragmentActivity.startActivityFromFragment(Fragment,Intent,int)",3,2,3
"android.support.v4.app.FragmentActivity.supportInvalidateOptionsMenu()",2,2,2
"android.support.v4.app.FragmentManager.enableDebugLogging(boolean)",1,1,1
"android.support.v4.app.FragmentManager.openTransaction()",1,1,1
"android.support.v4.app.FragmentManagerImpl.addBackStackState(BackStackRecord)",1,1,2
"android.support.v4.app.FragmentManagerImpl.addFragment(Fragment,boolean)",1,4,7
"android.support.v4.app.FragmentManagerImpl.addOnBackStackChangedListener(OnBackStackChangedListener)",1,1,2
"android.support.v4.app.FragmentManagerImpl.allocBackStackIndex(BackStackRecord)",2,5,6
