CommitNumber;Entity;Method;Change
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.db.index.StandardUpdater.updateRowLevelIndexes();MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.db.index.StandardUpdater.StandardUpdater(DecoratedKey,ColumnFamily);MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.cql3.statements.SelectStatement.getKeys(<name>List);MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.cql3.statements.SelectStatement.getTokenBound(Bound,<name>List,<name>IPartitioner);MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.cql3.statements.SelectStatement.includeKeyBound(Bound);MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.cql3.statements.SelectStatement.isColumnRange();MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.cql3.statements.SelectStatement.getRequestedColumns(<name>List);MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.cql3.statements.SelectStatement.buildBound(Bound,<name>Collection,Restriction,boolean,ColumnNameBuilder,<name>List);MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.cql3.statements.SelectStatement.getIndexExpressions(<name>List);MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.db.RangeSliceCommand.createMessage();MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.db.RangeSliceCommand.toString();MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.db.RangeSliceCommand.RangeSliceCommand(String,String,long,IDiskAtomFilter,<name>AbstractBounds,int);MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.db.RangeSliceCommand.RangeSliceCommand(String,String,long,IDiskAtomFilter,<name>AbstractBounds,<name>List,int);MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.db.RangeSliceCommandSerializer.serialize(RangeSliceCommand,DataOutput,int);MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.db.RangeSliceCommandSerializer.deserialize(DataInput,int);MODIFIED
4e52e0d2add1358c5d80bf9bf805a987dfb4dc5d;METHOD;org.apache.cassandra.db.RangeSliceCommandSerializer.serializedSize(RangeSliceCommand,int);MODIFIED
3380fa7baf76998b7c2fdbcb85b23fa3f0099f7c;METHOD;org.apache.cassandra.service.LocalReadRunnable.runMayThrow();MODIFIED
3380fa7baf76998b7c2fdbcb85b23fa3f0099f7c;METHOD;org.apache.cassandra.service.LocalRangeSliceRunnable.runMayThrow();MODIFIED
3380fa7baf76998b7c2fdbcb85b23fa3f0099f7c;METHOD;org.apache.cassandra.service.DroppableRunnable.run();MODIFIED
3380fa7baf76998b7c2fdbcb85b23fa3f0099f7c;METHOD;org.apache.cassandra.service.WritePerformer.apply(IMutation,<name>Iterable,AbstractWriteResponseHandler,String,ConsistencyLevel);MODIFIED
b14273b4352ac814946d8e1b9f9be479ddae8d0b;METHOD;org.apache.cassandra.db.columniterator.SSTableNamesIterator.read(SSTableReader,FileDataInput,RowIndexEntry);MODIFIED
83a43f121485a66c6862baca52e740cc479910e0;METHOD;org.apache.cassandra.db.index.PerRowSecondaryIndexTest.clearTestStub();MODIFIED
83a43f121485a66c6862baca52e740cc479910e0;METHOD;org.apache.cassandra.db.index.PerRowSecondaryIndexTest.testIndexInsertAndUpdate();MODIFIED
83a43f121485a66c6862baca52e740cc479910e0;METHOD;org.apache.cassandra.db.index.PerRowSecondaryIndexTest.testColumnDelete();MODIFIED
83a43f121485a66c6862baca52e740cc479910e0;METHOD;org.apache.cassandra.db.index.PerRowSecondaryIndexTest.testRowDelete();MODIFIED
