Complexity metrics,Qui, 26 out 2017 14:55:36 BRST
Method,ev(G),iv(G),v(G)
"org.apache.commons.logging.impl.LogKitLogger.error(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.LogKitLogger.fatal(Object)",1,2,2
"org.apache.commons.logging.impl.LogKitLogger.fatal(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.LogKitLogger.getLogger()",1,2,2
"org.apache.commons.logging.impl.LogKitLogger.info(Object)",1,2,2
"org.apache.commons.logging.impl.LogKitLogger.info(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.LogKitLogger.isDebugEnabled()",1,1,1
"org.apache.commons.logging.impl.LogKitLogger.isErrorEnabled()",1,1,1
"org.apache.commons.logging.impl.LogKitLogger.isFatalEnabled()",1,1,1
"org.apache.commons.logging.impl.LogKitLogger.isInfoEnabled()",1,1,1
"org.apache.commons.logging.impl.LogKitLogger.isTraceEnabled()",1,1,1
"org.apache.commons.logging.impl.LogKitLogger.isWarnEnabled()",1,1,1
"org.apache.commons.logging.impl.LogKitLogger.trace(Object)",1,1,1
"org.apache.commons.logging.impl.LogKitLogger.trace(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.LogKitLogger.warn(Object)",1,2,2
"org.apache.commons.logging.impl.LogKitLogger.warn(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.NoOpLog.NoOpLog()",1,1,1
"org.apache.commons.logging.impl.NoOpLog.NoOpLog(String)",1,1,1
"org.apache.commons.logging.impl.NoOpLog.debug(Object)",1,1,1
"org.apache.commons.logging.impl.NoOpLog.debug(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.NoOpLog.error(Object)",1,1,1
"org.apache.commons.logging.impl.NoOpLog.error(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.NoOpLog.fatal(Object)",1,1,1
"org.apache.commons.logging.impl.NoOpLog.fatal(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.NoOpLog.info(Object)",1,1,1
"org.apache.commons.logging.impl.NoOpLog.info(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.NoOpLog.isDebugEnabled()",1,1,1
"org.apache.commons.logging.impl.NoOpLog.isErrorEnabled()",1,1,1
"org.apache.commons.logging.impl.NoOpLog.isFatalEnabled()",1,1,1
"org.apache.commons.logging.impl.NoOpLog.isInfoEnabled()",1,1,1
"org.apache.commons.logging.impl.NoOpLog.isTraceEnabled()",1,1,1
"org.apache.commons.logging.impl.NoOpLog.isWarnEnabled()",1,1,1
"org.apache.commons.logging.impl.NoOpLog.trace(Object)",1,1,1
"org.apache.commons.logging.impl.NoOpLog.trace(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.NoOpLog.warn(Object)",1,1,1
"org.apache.commons.logging.impl.NoOpLog.warn(Object,Throwable)",1,1,1
"org.apache.commons.logging.impl.ServletContextCleaner.contextDestroyed(ServletContextEvent)",1,5,6
"org.apache.commons.logging.impl.ServletContextCleaner.contextInitialized(ServletContextEvent)",1,1,1
"org.apache.commons.logging.impl.SimpleLog.SimpleLog(String)",1,11,12
"org.apache.commons.logging.impl.SimpleLog.debug(Object)",1,2,2
"org.apache.commons.logging.impl.SimpleLog.debug(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.SimpleLog.error(Object)",1,2,2
"org.apache.commons.logging.impl.SimpleLog.error(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.SimpleLog.fatal(Object)",1,2,2
"org.apache.commons.logging.impl.SimpleLog.fatal(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.SimpleLog.getBooleanProperty(String,boolean)",1,2,2
"org.apache.commons.logging.impl.SimpleLog.getContextClassLoader()",3,5,7
"org.apache.commons.logging.impl.SimpleLog.getLevel()",1,1,1
"org.apache.commons.logging.impl.SimpleLog.getResourceAsStream(String)",2,2,2
"org.apache.commons.logging.impl.SimpleLog.getStringProperty(String)",1,2,3
"org.apache.commons.logging.impl.SimpleLog.getStringProperty(String,String)",1,1,2
"org.apache.commons.logging.impl.SimpleLog.info(Object)",1,2,2
"org.apache.commons.logging.impl.SimpleLog.info(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.SimpleLog.isDebugEnabled()",1,1,1
"org.apache.commons.logging.impl.SimpleLog.isErrorEnabled()",1,1,1
"org.apache.commons.logging.impl.SimpleLog.isFatalEnabled()",1,1,1
"org.apache.commons.logging.impl.SimpleLog.isInfoEnabled()",1,1,1
"org.apache.commons.logging.impl.SimpleLog.isLevelEnabled(int)",1,1,1
"org.apache.commons.logging.impl.SimpleLog.isTraceEnabled()",1,1,1
"org.apache.commons.logging.impl.SimpleLog.isWarnEnabled()",1,1,1
"org.apache.commons.logging.impl.SimpleLog.log(int,Object,Throwable)",2,7,12
"org.apache.commons.logging.impl.SimpleLog.setLevel(int)",1,1,1
"org.apache.commons.logging.impl.SimpleLog.trace(Object)",1,2,2
"org.apache.commons.logging.impl.SimpleLog.trace(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.SimpleLog.warn(Object)",1,2,2
"org.apache.commons.logging.impl.SimpleLog.warn(Object,Throwable)",1,2,2
"org.apache.commons.logging.impl.SimpleLog.write(StringBuffer)",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.Entry.Entry(Object,Object)",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.Entry.equals(Object)",1,5,6
"org.apache.commons.logging.impl.WeakHashtable.Entry.getKey()",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.Entry.getValue()",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.Entry.hashCode()",1,3,3
"org.apache.commons.logging.impl.WeakHashtable.Entry.setValue(Object)",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.Referenced.Referenced(Object)",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.Referenced.Referenced(Object,ReferenceQueue)",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.Referenced.equals(Object)",1,4,4
"org.apache.commons.logging.impl.WeakHashtable.Referenced.getValue()",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.Referenced.hashCode()",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.WeakHashtable()",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.WeakKey.WeakKey(Object,ReferenceQueue,Referenced)",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.WeakKey.getReferenced()",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.containsKey(Object)",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.elements()",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.entrySet()",1,3,3
"org.apache.commons.logging.impl.WeakHashtable.get(Object)",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.isEmpty()",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.keySet()",1,3,3
"org.apache.commons.logging.impl.WeakHashtable.keys()",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.purge()",1,2,2
"org.apache.commons.logging.impl.WeakHashtable.purgeOne()",1,2,2
"org.apache.commons.logging.impl.WeakHashtable.put(Object,Object)",3,3,5
"org.apache.commons.logging.impl.WeakHashtable.putAll(Map)",1,3,3
"org.apache.commons.logging.impl.WeakHashtable.rehash()",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.remove(Object)",1,3,3
"org.apache.commons.logging.impl.WeakHashtable.size()",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.toString()",1,1,1
"org.apache.commons.logging.impl.WeakHashtable.values()",1,1,1

Class,OCavg,WMC
"org.apache.commons.logging.LogConfigurationException","1,20",6
"org.apache.commons.logging.LogFactory","4,16",133
"org.apache.commons.logging.LogSource","2,14",15
"org.apache.commons.logging.impl.AvalonLogger","1,59",35
"org.apache.commons.logging.impl.Jdk13LumberjackLogger","1,27",28
"org.apache.commons.logging.impl.Jdk14Logger","1,19",25
"org.apache.commons.logging.impl.Log4JLogger","1,09",24
"org.apache.commons.logging.impl.LogFactoryImpl","3,65",113
"org.apache.commons.logging.impl.LogKitLogger","1,55",31
"org.apache.commons.logging.impl.NoOpLog","1,00",20
"org.apache.commons.logging.impl.ServletContextCleaner","1,50",3
"org.apache.commons.logging.impl.SimpleLog","2,40",72
"org.apache.commons.logging.impl.WeakHashtable","1,74",33
"org.apache.commons.logging.impl.WeakHashtable.Entry","1,83",11
"org.apache.commons.logging.impl.WeakHashtable.Referenced","1,60",8
"org.apache.commons.logging.impl.WeakHashtable.WeakKey","1,00",2

Package,v(G)avg,v(G)tot
"org.apache.commons.logging","4,44",173
"org.apache.commons.logging.impl","1,96",430

Module,v(G)avg,v(G)tot
"apache_logging","2,34",603

Project,v(G)avg,v(G)tot
"project","2,34",603

