CommitNumber;Entity;Class;Change;Superclass
939;CLASS;uk.ac.ed.ph.aardvark.swingui.request.MoveNodeInSiblingsRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
943;CLASS;uk.ac.ed.ph.aardvark.swingui.action.NodeDeleteActionTest;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.AbstractNodeActionTest
943;CLASS;uk.ac.ed.ph.aardvark.swingui.request.DeleteNodeRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
943;CLASS;uk.ac.ed.ph.aardvark.swingui.action.NodeMoveDownActionTest;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.AbstractNodeActionTest
953;CLASS;uk.ac.ed.ph.aardvark.swingui.model.docs.MetadataDocumentModel;ADDED*;uk.ac.ed.ph.aardvark.swingui.model.docs.AbstractDocumentModel
953;CLASS;uk.ac.ed.ph.aardvark.swingui.model.docs.MCQDocumentModel;ADDED*;uk.ac.ed.ph.aardvark.swingui.model.docs.ResourceDocumentModel
953;CLASS;uk.ac.ed.ph.aardvark.swingui.model.docs.TutorialQuestionDocumentModel;ADDED*;uk.ac.ed.ph.aardvark.swingui.model.docs.ResourceDocumentModel
953;CLASS;uk.ac.ed.ph.aardvark.swingui.model.docs.ResourceDocumentModel;ADDED*;uk.ac.ed.ph.aardvark.swingui.model.docs.AbstractDocumentModel
953;CLASS;uk.ac.ed.ph.aardvark.swingui.model.docs.ContentPageDocumentModel;ADDED*;uk.ac.ed.ph.aardvark.swingui.model.docs.ResourceDocumentModel
955;CLASS;uk.ac.ed.ph.aardvark.swingui.request.GetEditingModelRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
955;CLASS;uk.ac.ed.ph.aardvark.swingui.request.CheckoutNodeRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
955;CLASS;uk.ac.ed.ph.aardvark.swingui.action.NodeCheckoutActionTest;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.AbstractNodeActionTest
963;CLASS;uk.ac.ed.ph.aardvark.swingui.model.docs.ResourcesDocumentModel;ADDED*;uk.ac.ed.ph.aardvark.swingui.model.docs.AbstractDocumentModel
963;CLASS;uk.ac.ed.ph.aardvark.swingui.model.AbstractEditableDataModel;ADDED*;uk.ac.ed.ph.aardvark.swingui.model.AbstractNodeDataModel
969;CLASS;uk.ac.ed.ph.aardvark.swingui.request.DeleteNodeRequestTest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractRequestTest
972;CLASS;uk.ac.ed.ph.aardvark.swingui.util.EnumComboBoxModel;ADDED*;uk.ac.ed.ph.aardvark.swingui.util.SimpleUndoableComboBoxModel
985;CLASS;uk.ac.ed.ph.aardvark.swingui.request.InitialDownloadRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
991;CLASS;uk.ac.ed.ph.aardvark.swingui.request.UploadResourceRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
991;CLASS;uk.ac.ed.ph.aardvark.swingui.request.DownloadResourceRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
