CommitNumber;Entity;Method
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.SimpleFilesystemResourceManager(File)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataReader.getFullMetadata(NodeInternalId)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataReader.getCoreMetadata(NodeInternalId)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.MetadataIndex.ensureNotNull(NodeLinkId)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataManager.updateNodeMetadata(FullNodeMetadata)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.MetadataIndex.ensureNotNull(NodeInternalId)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.ensureNotNull(NodeIdentifier)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataReader.existsNodeMetadata(NodeInternalId)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataReader.getNodeInternalId(NodeLinkId)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImpl.saveResource(ResourcePath,InputStream)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.FilesystemMetadataManager.createNodeMetadata(FullNodeMetadata)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.ensureNotNull(ResourcePath)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.MetadataIndex.ensureNotNull(ContentNodePath)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.ensureNotNull(ResourcePath)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataReader.getNodeInternalId(ContentNodePath)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataManager.createNodeMetadata(FullNodeMetadata)
70;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.FilesystemMetadataManager.updateNodeMetadata(FullNodeMetadata)
76;METHOD;uk.ac.ed.ph.aardvark.commons.xml.ClassPathEntityResolver.findClassPathEntity(String)
76;METHOD;uk.ac.ed.ph.aardvark.commons.xml.FilesystemEntityResolver.findLocalEntity(String)
77;METHOD;uk.ac.ed.ph.aardvark.core.databinding.MCQSourceReaderStrategy.embeddedObject(Object,String,String)
77;METHOD;uk.ac.ed.ph.aardvark.core.databinding.MCQSourceReaderStrategy.endContainerElement(String,String)
77;METHOD;uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
77;METHOD;uk.ac.ed.ph.aardvark.core.databinding.Marshaller.Marshaller()
77;METHOD;uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshallingTest.testPrototypeObject()
77;METHOD;uk.ac.ed.ph.aardvark.core.databinding.CoreDatabindingTestSuite.suite()
78;METHOD;uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshaller.writeObject(Object,Result)
80;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.convertNodeType(String)
80;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyMarshaller.LegacyMarshaller()
80;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.convertNodePath(String)
80;METHOD;uk.ac.ed.ph.aardvark.core.globals.NodeType.getResourceTypes()
82;METHOD;uk.ac.ed.ph.aardvark.commons.util.LambdaMap.apply(Collection<X>)
82;METHOD;uk.ac.ed.ph.aardvark.commons.util.LambdaMap.apply(X[])
84;METHOD;uk.ac.ed.ph.aardvark.commons.util.StringUtilities.fromYesNo(String)
90;METHOD;uk.ac.ed.ph.aardvark.commons.xml.SAXErrorHandler.SAXErrorHandler()
91;METHOD;uk.ac.ed.ph.aardvark.commons.xml.XMLPipelineTest.testBadSource()
97;METHOD;uk.ac.ed.ph.aardvark.core.databinding.MCQSourceReaderStrategy.startContainerElement(String,String,Attributes)
97;METHOD;uk.ac.ed.ph.aardvark.core.databinding.MCQSourceWriterStrategy.fireDocumentEvents(Object)
97;METHOD;uk.ac.ed.ph.aardvark.core.databinding.CoreDatabindingTestSuite.suite()
97;METHOD;uk.ac.ed.ph.aardvark.core.databinding.MCQSourceMarshallingTest.checkSampleData(MCQSource)
100;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.SimpleFilesystemResourceManager(File)
103;METHOD;uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataManagerTest.getConfigLocations()
105;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.convertNodePath(String)
105;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LinkConvertingFilter.setCurrentNodePath(FilesNodePath)
105;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy.convertNodeMetadata(LegacyMetadata)
105;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyConverter.main(String[])
105;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyConverter.handleFile(File)
105;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyMCQConversionStrategy.convertResources(LegacyMetadata,FullNodeMetadata,File)
105;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyConverter.LegacyConverter(File,MetadataManager,ResourceManager)
105;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.convertNodeType(String)
105;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.createLinkId(ContentNodePath)
105;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.resolvePath(FilesNodePath,String)
106;METHOD;uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshaller.getObjectWriterStrategy(Object)
106;METHOD;uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshaller.getObjectReaderStrategy(Object)
106;METHOD;uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshaller.AbstractMarshaller(Map<Class,Class<? extends ObjectWriterStrategy>>,Map<Class,Class<? extends ObjectReaderStrategy>>)
106;METHOD;uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshaller.embedObject(Object,ContentHandler)
106;METHOD;uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshaller.writeObject(Object,Result)
107;METHOD;uk.ac.ed.ph.aardvark.commons.util.FileUtilities.recursivelyDelete(File,boolean)
108;METHOD;uk.ac.ed.ph.aardvark.commons.xml.XMLPipeline.execute(InputSource)
112;METHOD;uk.ac.ed.ph.aardvark.core.databinding.ContentPageLearningResourcesWriterStrategy.getNamespaceMappings()
112;METHOD;uk.ac.ed.ph.aardvark.core.databinding.ContentPageLearningResourcesWriterStrategy.fireDocumentEvents(Object)
114;METHOD;uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
115;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.convertNodePath(String)
115;METHOD;uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
115;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.resolveNodePath(FilesNodePath,String)
115;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.transformContent(File,File,ResourceManager,FullNodeMetadata,ResourcePath,String)
115;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.createLinkId(ContentNodePath)
115;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.fixNodePath(FilesNodePath)
115;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LinkConvertingFilter.fixUri(String)
115;METHOD;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyContentPageConversionStrategy.convertResources(LegacyMetadata,FullNodeMetadata,File)
116;METHOD;uk.ac.ed.ph.aardvark.processor.validator.Validator.Validator()
