Complexity metrics,Sex, 27 out 2017 13:55:11 BRST
Method,ev(G),iv(G),v(G)
"com.loomcom.ant.tasks.jarbundler.JarBundler.setVmoptions(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.setWorkingDirectory(String)",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.useOldPropertyNames()",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.writeInfoPlist()",1,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.writePkgInfo()",1,2,3
"com.microstar.xml.HandlerBase.attribute(String,String,boolean)",1,1,1
"com.microstar.xml.HandlerBase.charData(char[],int,int)",1,1,1
"com.microstar.xml.HandlerBase.doctypeDecl(String,String,String)",1,1,1
"com.microstar.xml.HandlerBase.endDocument()",1,1,1
"com.microstar.xml.HandlerBase.endElement(String)",1,1,1
"com.microstar.xml.HandlerBase.endExternalEntity(String)",1,1,1
"com.microstar.xml.HandlerBase.error(String,String,int,int)",1,1,1
"com.microstar.xml.HandlerBase.ignorableWhitespace(char[],int,int)",1,1,1
"com.microstar.xml.HandlerBase.processingInstruction(String,String)",1,1,1
"com.microstar.xml.HandlerBase.resolveEntity(String,String)",1,1,1
"com.microstar.xml.HandlerBase.startDocument()",1,1,1
"com.microstar.xml.HandlerBase.startElement(String)",1,1,1
"com.microstar.xml.HandlerBase.startExternalEntity(String)",1,1,1
"com.microstar.xml.XmlException.XmlException(String,String,int,int)",1,1,1
"com.microstar.xml.XmlException.getColumn()",1,1,1
"com.microstar.xml.XmlException.getLine()",1,1,1
"com.microstar.xml.XmlException.getMessage()",1,1,1
"com.microstar.xml.XmlException.getSystemId()",1,1,1
"com.microstar.xml.XmlParser.XmlParser()",1,1,1
"com.microstar.xml.XmlParser.checkEncoding(String,boolean)",3,7,10
"com.microstar.xml.XmlParser.cleanupVariables()",1,1,1
"com.microstar.xml.XmlParser.copyIso8859_1ReadBuffer(int)",1,1,3
"com.microstar.xml.XmlParser.copyUcs2ReadBuffer(int,int,int)",1,2,5
"com.microstar.xml.XmlParser.copyUcs4ReadBuffer(int,int,int,int,int)",1,5,7
"com.microstar.xml.XmlParser.copyUtf8ReadBuffer(int)",1,6,7
"com.microstar.xml.XmlParser.dataBufferAppend(String)",1,1,1
"com.microstar.xml.XmlParser.dataBufferAppend(char)",1,1,1
"com.microstar.xml.XmlParser.dataBufferAppend(char[],int,int)",1,1,1
"com.microstar.xml.XmlParser.dataBufferFlush()",2,5,7
"com.microstar.xml.XmlParser.dataBufferNormalize()",1,6,9
"com.microstar.xml.XmlParser.dataBufferToString()",1,1,1
"com.microstar.xml.XmlParser.declaredAttributes(String)",2,2,2
"com.microstar.xml.XmlParser.declaredElements()",1,1,1
"com.microstar.xml.XmlParser.declaredEntities()",1,1,1
"com.microstar.xml.XmlParser.declaredNotations()",1,1,1
"com.microstar.xml.XmlParser.detectEncoding()",1,10,10
"com.microstar.xml.XmlParser.doParse(String,String,Reader,InputStream,String)",1,3,3
