SmellsMetrics,Ter, 12 jun 2018 11:18:04 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"uk.ac.ed.ph.aardvark.cms.editors.OrganisationTreeEditingStrategy.doTextSearchAndReplaceOnSourceResource(OrganisationTreeSource,ResourceName,SearchAndReplaceMapper)",6,1,n/a,16,0,3,6,1
"uk.ac.ed.ph.aardvark.cms.editors.OrganisationTreeEditingStrategy.getSourceResourceClass()",0,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.OrganisationTreeEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.OrganisationTreeEditingStrategy.traverseChildNodes(SearchAndReplaceMapper,AbstractOrganisationTreeSourceNode,OrganisationTreeSource,AbstractOrganisationTreeSourceNode)",10,2,n/a,15,1,4,11,2
"uk.ac.ed.ph.aardvark.cms.editors.PNGEditingStrategy.createSourceResourceTemplate()",2,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.PNGEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.SVGEditingStrategy.createSourceResourceTemplate()",2,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.SVGEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.StandardTimeToThinkEditingStrategy.createSourceResourceTemplate()",4,2,n/a,14,1,0,8,2
"uk.ac.ed.ph.aardvark.cms.editors.StandardTimeToThinkEditingStrategy.getSourceResourceClass()",0,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.StandardTimeToThinkEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.TeXMacrosEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.TextEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.TutorialQuestionEditingStrategy.createSourceResourceTemplate()",1,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.TutorialQuestionEditingStrategy.doTextSearchAndReplaceOnSourceResource(TutorialQuestionSource,ResourceName,SearchAndReplaceMapper)",15,1,n/a,11,0,3,6,1
"uk.ac.ed.ph.aardvark.cms.editors.TutorialQuestionEditingStrategy.getSourceResourceClass()",0,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.TutorialQuestionEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.WorkshopEditingStrategy.createSourceResourceTemplate()",1,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.WorkshopEditingStrategy.doTextSearchAndReplaceOnSourceResource(WorkshopSource,ResourceName,SearchAndReplaceMapper)",16,1,n/a,19,2,3,16,3
"uk.ac.ed.ph.aardvark.cms.editors.WorkshopEditingStrategy.getSourceResourceClass()",0,2,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.WorkshopEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.XfigFigureEditingStrategy.getSourceResourceType()",0,5,n/a,4,0,0,1,1
"uk.ac.ed.ph.aardvark.core.globals.AardvarkException.AardvarkException(String)",1,5,n/a,3,0,1,1,1
