SmellsMetrics,Ter, 12 jun 2018 13:51:28 BRT
Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"org.apache.commons.logging.impl.LogFactoryImpl.createLogFromClass(String,String,boolean)",40,3,n/a,187,4,3,57,17
"org.apache.commons.logging.impl.LogFactoryImpl.discoverLogImplementation(String)",20,3,n/a,84,3,1,29,10
"org.apache.commons.logging.impl.LogFactoryImpl.findUserSpecifiedLogClassName()",19,1,n/a,56,3,0,24,13
"org.apache.commons.logging.impl.LogFactoryImpl.getAttribute(String)",1,3,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.getAttributeNames()",7,0,n/a,17,1,0,10,3
"org.apache.commons.logging.impl.LogFactoryImpl.getBaseClassLoader()",9,1,n/a,74,3,0,17,8
"org.apache.commons.logging.impl.LogFactoryImpl.getBooleanConfiguration(String,boolean)",3,3,n/a,10,0,2,4,2
"org.apache.commons.logging.impl.LogFactoryImpl.getClassLoader(Class)",1,3,n/a,8,0,1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.getConfigurationValue(String)",17,1,n/a,46,3,1,22,11
"org.apache.commons.logging.impl.LogFactoryImpl.getContextClassLoader()",1,1,n/a,8,0,0,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.getInstance(Class)",2,2,n/a,12,0,1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.getInstance(String)",3,2,n/a,25,1,1,5,2
"org.apache.commons.logging.impl.LogFactoryImpl.getLogClassName()",3,0,n/a,13,1,0,3,2
"org.apache.commons.logging.impl.LogFactoryImpl.getLogConstructor()",3,0,n/a,23,1,0,3,2
"org.apache.commons.logging.impl.LogFactoryImpl.getLowestClassLoader(ClassLoader,ClassLoader)",2,1,n/a,33,1,2,16,7
"org.apache.commons.logging.impl.LogFactoryImpl.handleFlawedDiscovery(String,ClassLoader,Throwable)",6,1,n/a,28,1,3,4,3
"org.apache.commons.logging.impl.LogFactoryImpl.handleFlawedHierarchy(ClassLoader,Class)",51,1,n/a,98,3,2,47,12
"org.apache.commons.logging.impl.LogFactoryImpl.informUponSimilarName(StringBuffer,String,String)",5,4,n/a,23,1,3,6,3
"org.apache.commons.logging.impl.LogFactoryImpl.initConfiguration()",3,1,n/a,12,0,0,3,1
"org.apache.commons.logging.impl.LogFactoryImpl.initDiagnostics()",4,1,n/a,36,2,0,9,3
"org.apache.commons.logging.impl.LogFactoryImpl.isDiagnosticsEnabled()",1,32,n/a,7,0,0,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.isJdk13LumberjackAvailable()",1,0,n/a,11,0,0,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.isJdk14Available()",1,0,n/a,14,0,0,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.isLog4JAvailable()",1,0,n/a,11,0,0,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.isLogLibraryAvailable(String,String)",11,3,n/a,32,3,2,14,7
"org.apache.commons.logging.impl.LogFactoryImpl.logDiagnostic(String)",2,43,n/a,12,1,1,2,2
"org.apache.commons.logging.impl.LogFactoryImpl.newInstance(String)",7,1,n/a,44,2,1,16,7
"org.apache.commons.logging.impl.LogFactoryImpl.release()",2,4,n/a,12,0,0,2,1
"org.apache.commons.logging.impl.LogFactoryImpl.removeAttribute(String)",1,0,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.LogFactoryImpl.setAttribute(String,Object)",7,1,n/a,37,1,2,7,4
"org.apache.commons.logging.impl.LogKitLogger.LogKitLogger(String)",1,0,n/a,10,0,1,2,1
"org.apache.commons.logging.impl.LogKitLogger.debug(Object)",3,7,n/a,11,1,1,2,2
"org.apache.commons.logging.impl.LogKitLogger.debug(Object,Throwable)",3,7,n/a,12,1,2,2,2
"org.apache.commons.logging.impl.LogKitLogger.error(Object)",3,6,n/a,11,1,1,2,2
"org.apache.commons.logging.impl.LogKitLogger.error(Object,Throwable)",3,6,n/a,12,1,2,2,2
"org.apache.commons.logging.impl.LogKitLogger.fatal(Object)",3,6,n/a,11,1,1,2,2
"org.apache.commons.logging.impl.LogKitLogger.fatal(Object,Throwable)",3,6,n/a,12,1,2,2,2
"org.apache.commons.logging.impl.LogKitLogger.getLogger()",2,17,n/a,9,1,0,3,2
"org.apache.commons.logging.impl.LogKitLogger.info(Object)",3,6,n/a,11,1,1,2,2
"org.apache.commons.logging.impl.LogKitLogger.info(Object,Throwable)",3,6,n/a,12,1,2,2,2
"org.apache.commons.logging.impl.LogKitLogger.isDebugEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.LogKitLogger.isErrorEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.LogKitLogger.isFatalEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.LogKitLogger.isInfoEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.LogKitLogger.isTraceEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.LogKitLogger.isWarnEnabled()",2,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.LogKitLogger.trace(Object)",1,6,n/a,9,0,1,1,1
"org.apache.commons.logging.impl.LogKitLogger.trace(Object,Throwable)",1,6,n/a,10,0,2,1,1
"org.apache.commons.logging.impl.LogKitLogger.warn(Object)",3,6,n/a,11,1,1,2,2
"org.apache.commons.logging.impl.LogKitLogger.warn(Object,Throwable)",3,6,n/a,12,1,2,2,2
"org.apache.commons.logging.impl.NoOpLog.NoOpLog()",0,0,n/a,2,0,0,0,1
"org.apache.commons.logging.impl.NoOpLog.NoOpLog(String)",0,1,n/a,2,0,1,0,1
"org.apache.commons.logging.impl.NoOpLog.debug(Object)",0,6,n/a,2,0,1,0,1
"org.apache.commons.logging.impl.NoOpLog.debug(Object,Throwable)",0,6,n/a,2,0,2,0,1
"org.apache.commons.logging.impl.NoOpLog.error(Object)",0,6,n/a,2,0,1,0,1
"org.apache.commons.logging.impl.NoOpLog.error(Object,Throwable)",0,6,n/a,2,0,2,0,1
"org.apache.commons.logging.impl.NoOpLog.fatal(Object)",0,6,n/a,2,0,1,0,1
"org.apache.commons.logging.impl.NoOpLog.fatal(Object,Throwable)",0,6,n/a,2,0,2,0,1
"org.apache.commons.logging.impl.NoOpLog.info(Object)",0,6,n/a,2,0,1,0,1
"org.apache.commons.logging.impl.NoOpLog.info(Object,Throwable)",0,6,n/a,2,0,2,0,1
"org.apache.commons.logging.impl.NoOpLog.isDebugEnabled()",0,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.NoOpLog.isErrorEnabled()",0,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.NoOpLog.isFatalEnabled()",0,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.NoOpLog.isInfoEnabled()",0,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.NoOpLog.isTraceEnabled()",0,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.NoOpLog.isWarnEnabled()",0,1,n/a,6,0,0,1,1
"org.apache.commons.logging.impl.NoOpLog.trace(Object)",0,6,n/a,2,0,1,0,1
"org.apache.commons.logging.impl.NoOpLog.trace(Object,Throwable)",0,6,n/a,2,0,2,0,1
"org.apache.commons.logging.impl.NoOpLog.warn(Object)",0,6,n/a,2,0,1,0,1
"org.apache.commons.logging.impl.NoOpLog.warn(Object,Throwable)",0,6,n/a,2,0,2,0,1
"org.apache.commons.logging.impl.ServletContextCleaner.contextDestroyed(ServletContextEvent)",11,0,n/a,72,2,1,18,6
"org.apache.commons.logging.impl.ServletContextCleaner.contextInitialized(ServletContextEvent)",0,0,n/a,6,0,1,0,1
"org.apache.commons.logging.impl.SimpleLog.SimpleLog(String)",25,0,n/a,40,1,1,26,12
"org.apache.commons.logging.impl.SimpleLog.debug(Object)",2,6,n/a,12,1,1,2,2
"org.apache.commons.logging.impl.SimpleLog.debug(Object,Throwable)",2,6,n/a,13,1,2,2,2
