Complexity metrics,Sex, 27 out 2017 11:21:48 BRST
Method,ev(G),iv(G),v(G)
"com.google.common.base.Functions.FunctionForMapNoDefault.hashCode()",1,1,1
"com.google.common.base.Functions.FunctionForMapNoDefault.toString()",1,1,1
"com.google.common.base.Functions.Functions()",1,1,1
"com.google.common.base.Functions.IdentityFunction.apply(Object)",1,1,1
"com.google.common.base.Functions.IdentityFunction.toString()",1,1,1
"com.google.common.base.Functions.PredicateFunction.PredicateFunction(Predicate<T>)",1,1,1
"com.google.common.base.Functions.PredicateFunction.apply(T)",1,1,1
"com.google.common.base.Functions.PredicateFunction.equals(Object)",2,2,2
"com.google.common.base.Functions.PredicateFunction.hashCode()",1,1,1
"com.google.common.base.Functions.PredicateFunction.toString()",1,1,1
"com.google.common.base.Functions.SupplierFunction.SupplierFunction(Supplier<T>)",1,1,1
"com.google.common.base.Functions.SupplierFunction.apply(Object)",1,1,1
"com.google.common.base.Functions.SupplierFunction.equals(Object)",2,2,2
"com.google.common.base.Functions.SupplierFunction.hashCode()",1,1,1
"com.google.common.base.Functions.SupplierFunction.toString()",1,1,1
"com.google.common.base.Functions.ToStringFunction.apply(Object)",1,1,1
"com.google.common.base.Functions.ToStringFunction.toString()",1,1,1
"com.google.common.base.Functions.compose(Function<B, C>,Function<A, ? extends B>)",1,1,1
"com.google.common.base.Functions.constant(E)",1,1,1
"com.google.common.base.Functions.forMap(Map<K, ? extends V>,V)",1,1,1
"com.google.common.base.Functions.forMap(Map<K, V>)",1,1,1
"com.google.common.base.Functions.forPredicate(Predicate<T>)",1,1,1
"com.google.common.base.Functions.forSupplier(Supplier<T>)",1,1,1
"com.google.common.base.Functions.identity()",1,1,1
"com.google.common.base.Functions.toStringFunction()",1,1,1
"com.google.common.base.GwtSerializationDependencies.GwtSerializationDependencies()",1,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies.OptionalDependencies()",1,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies.asSet()",1,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies.equals(Object)",1,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies.get()",1,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies.hashCode()",1,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies.isPresent()",1,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies.or(Optional<? extends T>)",1,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies.or(Supplier<? extends T>)",1,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies.or(T)",1,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies.orNull()",1,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies.toString()",1,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies.transform(Function<? super T, V>)",1,1,1
"com.google.common.base.Joiner.Joiner(Joiner)",1,1,1
"com.google.common.base.Joiner.Joiner(String)",1,1,1
"com.google.common.base.Joiner.MapJoiner.MapJoiner(Joiner,String)",1,1,1
"com.google.common.base.Joiner.MapJoiner.appendTo(A,I)",1,1,1
"com.google.common.base.Joiner.MapJoiner.appendTo(A,Iterable<? extends Entry<?, ?>>)",1,1,1
"com.google.common.base.Joiner.MapJoiner.appendTo(A,Iterator<? extends Entry<?, ?>>)",1,3,3
"com.google.common.base.Joiner.MapJoiner.appendTo(A,Map<?, ?>)",1,1,1
"com.google.common.base.Joiner.MapJoiner.appendTo(StringBuilder,I)",1,1,1
"com.google.common.base.Joiner.MapJoiner.appendTo(StringBuilder,Iterable<? extends Entry<?, ?>>)",1,1,1
"com.google.common.base.Joiner.MapJoiner.appendTo(StringBuilder,Iterator<? extends Entry<?, ?>>)",1,1,2
"com.google.common.base.Joiner.MapJoiner.appendTo(StringBuilder,Map<?, ?>)",1,1,1
"com.google.common.base.Joiner.MapJoiner.join(I)",1,1,1
"com.google.common.base.Joiner.MapJoiner.join(Iterable<? extends Entry<?, ?>>)",1,1,1
"com.google.common.base.Joiner.MapJoiner.join(Iterator<? extends Entry<?, ?>>)",1,1,1
"com.google.common.base.Joiner.MapJoiner.join(Map<?, ?>)",1,1,1
"com.google.common.base.Joiner.MapJoiner.useForNull(String)",1,1,1
"com.google.common.base.Joiner.appendTo(A,I)",1,1,1
"com.google.common.base.Joiner.appendTo(A,Iterable<?>)",1,1,1
"com.google.common.base.Joiner.appendTo(A,Iterator<?>)",1,3,3
"com.google.common.base.Joiner.appendTo(A,Object,Object,Object...)",1,1,1
"com.google.common.base.Joiner.appendTo(A,Object[])",1,1,1
"com.google.common.base.Joiner.appendTo(StringBuilder,I)",1,1,1
"com.google.common.base.Joiner.appendTo(StringBuilder,Iterable<?>)",1,1,1
"com.google.common.base.Joiner.appendTo(StringBuilder,Iterator<?>)",1,1,2
"com.google.common.base.Joiner.appendTo(StringBuilder,Object,Object,Object...)",1,1,1
"com.google.common.base.Joiner.appendTo(StringBuilder,Object[])",1,1,1
"com.google.common.base.Joiner.iterable(Object,Object,Object[])",4,2,4
"com.google.common.base.Joiner.join(I)",1,1,1
"com.google.common.base.Joiner.join(Iterable<?>)",1,1,1
"com.google.common.base.Joiner.join(Iterator<?>)",1,1,1
"com.google.common.base.Joiner.join(Object,Object,Object...)",1,1,1
"com.google.common.base.Joiner.join(Object[])",1,1,1
"com.google.common.base.Joiner.on(String)",1,1,1
"com.google.common.base.Joiner.on(char)",1,1,1
"com.google.common.base.Joiner.skipNulls()",3,5,5
"com.google.common.base.Joiner.toString(Object)",1,2,2
"com.google.common.base.Joiner.useForNull(String)",1,2,2
"com.google.common.base.Joiner.withKeyValueSeparator(String)",1,1,1
"com.google.common.base.MediumCharMatcher.MediumCharMatcher(char[],long,boolean,String)",1,1,1
"com.google.common.base.MediumCharMatcher.checkFilter(int)",1,1,1
"com.google.common.base.MediumCharMatcher.chooseTableSize(int)",2,1,3
"com.google.common.base.MediumCharMatcher.from(BitSet,String)",4,1,4
"com.google.common.base.MediumCharMatcher.matches(char)",6,1,6
"com.google.common.base.MediumCharMatcher.setBits(BitSet)",1,4,4
"com.google.common.base.Objects.Objects()",1,1,1
"com.google.common.base.Objects.ToStringHelper.ToStringHelper(String)",1,1,1
"com.google.common.base.Objects.ToStringHelper.add(String,Object)",1,1,1
"com.google.common.base.Objects.ToStringHelper.add(String,boolean)",1,1,1
"com.google.common.base.Objects.ToStringHelper.add(String,char)",1,1,1
"com.google.common.base.Objects.ToStringHelper.add(String,double)",1,1,1
"com.google.common.base.Objects.ToStringHelper.add(String,float)",1,1,1
"com.google.common.base.Objects.ToStringHelper.add(String,int)",1,1,1
"com.google.common.base.Objects.ToStringHelper.add(String,long)",1,1,1
"com.google.common.base.Objects.ToStringHelper.addHolder()",1,1,1
"com.google.common.base.Objects.ToStringHelper.addHolder(Object)",1,1,1
"com.google.common.base.Objects.ToStringHelper.addValue(Object)",1,1,1
"com.google.common.base.Objects.ToStringHelper.addValue(boolean)",1,1,1
"com.google.common.base.Objects.ToStringHelper.addValue(char)",1,1,1
"com.google.common.base.Objects.ToStringHelper.addValue(double)",1,1,1
"com.google.common.base.Objects.ToStringHelper.addValue(float)",1,1,1
"com.google.common.base.Objects.ToStringHelper.addValue(int)",1,1,1
"com.google.common.base.Objects.ToStringHelper.addValue(long)",1,1,1
"com.google.common.base.Objects.ToStringHelper.checkNameAndAppend(String)",1,1,1
"com.google.common.base.Objects.ToStringHelper.omitNullValues()",1,1,1
"com.google.common.base.Objects.ToStringHelper.toString()",1,4,5
"com.google.common.base.Objects.equal(Object,Object)",1,3,3
"com.google.common.base.Objects.firstNonNull(T,T)",1,2,2
"com.google.common.base.Objects.hashCode(Object...)",1,1,1
"com.google.common.base.Objects.simpleName(Class<?>)",1,2,2
"com.google.common.base.Objects.toStringHelper(Class<?>)",1,1,1
"com.google.common.base.Objects.toStringHelper(Object)",1,1,1
"com.google.common.base.Objects.toStringHelper(String)",1,1,1
"com.google.common.base.Optional.Optional()",1,1,1
"com.google.common.base.Optional.absent()",1,1,1
"com.google.common.base.Optional.fromNullable(T)",1,2,2
"com.google.common.base.Optional.of(T)",1,1,1
"com.google.common.base.Optional.presentInstances(Iterable<? extends Optional<? extends T>>)",3,3,3
"com.google.common.base.PairwiseEquivalence.PairwiseEquivalence(Equivalence<? super T>)",1,1,1
"com.google.common.base.PairwiseEquivalence.doEquivalent(Iterable<T>,Iterable<T>)",3,4,5
"com.google.common.base.PairwiseEquivalence.doHash(Iterable<T>)",1,2,2
"com.google.common.base.PairwiseEquivalence.equals(Object)",2,2,2
"com.google.common.base.PairwiseEquivalence.hashCode()",1,1,1
"com.google.common.base.PairwiseEquivalence.toString()",1,1,1
"com.google.common.base.PairwiseEquivalence_CustomFieldSerializer.PairwiseEquivalence_CustomFieldSerializer()",1,1,1
"com.google.common.base.PairwiseEquivalence_CustomFieldSerializer.create(Equivalence<T>)",1,1,1
"com.google.common.base.PairwiseEquivalence_CustomFieldSerializer.deserialize(SerializationStreamReader,PairwiseEquivalence<?>)",1,1,1
"com.google.common.base.PairwiseEquivalence_CustomFieldSerializer.instantiate(SerializationStreamReader)",1,1,1
"com.google.common.base.PairwiseEquivalence_CustomFieldSerializer.serialize(SerializationStreamWriter,PairwiseEquivalence<?>)",1,1,1
"com.google.common.base.Platform.Platform()",1,1,1
"com.google.common.base.Platform.charBufferFromThreadLocal()",1,1,1
"com.google.common.base.Platform.precomputeCharMatcher(CharMatcher)",1,1,1
"com.google.common.base.Platform.systemNanoTime()",1,1,1
"com.google.common.base.Preconditions.Preconditions()",1,1,1
"com.google.common.base.Preconditions.badElementIndex(int,int,String)",3,3,3
"com.google.common.base.Preconditions.badPositionIndex(int,int,String)",3,3,3
"com.google.common.base.Preconditions.badPositionIndexes(int,int,int)",3,3,5
"com.google.common.base.Preconditions.checkArgument(boolean)",2,1,2
"com.google.common.base.Preconditions.checkArgument(boolean,Object)",2,2,2
"com.google.common.base.Preconditions.checkArgument(boolean,String,Object...)",2,2,2
"com.google.common.base.Preconditions.checkElementIndex(int,int)",1,1,1
"com.google.common.base.Preconditions.checkElementIndex(int,int,String)",2,2,3
"com.google.common.base.Preconditions.checkNotNull(T)",2,1,2
"com.google.common.base.Preconditions.checkNotNull(T,Object)",2,2,2
"com.google.common.base.Preconditions.checkNotNull(T,String,Object...)",2,2,2
"com.google.common.base.Preconditions.checkPositionIndex(int,int)",1,1,1
"com.google.common.base.Preconditions.checkPositionIndex(int,int,String)",2,2,3
"com.google.common.base.Preconditions.checkPositionIndexes(int,int,int)",2,2,4
"com.google.common.base.Preconditions.checkState(boolean)",2,1,2
"com.google.common.base.Preconditions.checkState(boolean,Object)",2,2,2
"com.google.common.base.Preconditions.checkState(boolean,String,Object...)",2,2,2
"com.google.common.base.Preconditions.format(String,Object...)",3,4,5
"com.google.common.base.Predicates.AndPredicate.AndPredicate(List<? extends Predicate<? super T>>)",1,1,1
"com.google.common.base.Predicates.AndPredicate.apply(T)",3,2,3
"com.google.common.base.Predicates.AndPredicate.equals(Object)",2,2,2
"com.google.common.base.Predicates.AndPredicate.hashCode()",1,1,1
"com.google.common.base.Predicates.AndPredicate.toString()",1,1,1
"com.google.common.base.Predicates.AssignableFromPredicate.AssignableFromPredicate(Class<?>)",1,1,1
"com.google.common.base.Predicates.AssignableFromPredicate.apply(Class<?>)",1,1,1
"com.google.common.base.Predicates.AssignableFromPredicate.equals(Object)",2,1,2
"com.google.common.base.Predicates.AssignableFromPredicate.hashCode()",1,1,1
"com.google.common.base.Predicates.AssignableFromPredicate.toString()",1,1,1
"com.google.common.base.Predicates.CompositionPredicate.CompositionPredicate(Predicate<B>,Function<A, ? extends B>)",1,1,1
"com.google.common.base.Predicates.CompositionPredicate.apply(A)",1,1,1
"com.google.common.base.Predicates.CompositionPredicate.equals(Object)",2,3,3
"com.google.common.base.Predicates.CompositionPredicate.hashCode()",1,1,1
"com.google.common.base.Predicates.CompositionPredicate.toString()",1,1,1
"com.google.common.base.Predicates.ContainsPatternPredicate.ContainsPatternPredicate(Pattern)",1,1,1
"com.google.common.base.Predicates.ContainsPatternPredicate.ContainsPatternPredicate(String)",1,1,1
"com.google.common.base.Predicates.ContainsPatternPredicate.apply(CharSequence)",1,1,1
"com.google.common.base.Predicates.ContainsPatternPredicate.equals(Object)",2,3,3
"com.google.common.base.Predicates.ContainsPatternPredicate.hashCode()",1,1,1
"com.google.common.base.Predicates.ContainsPatternPredicate.toString()",1,1,1
"com.google.common.base.Predicates.InPredicate.InPredicate(Collection<?>)",1,1,1
"com.google.common.base.Predicates.InPredicate.apply(T)",1,1,3
"com.google.common.base.Predicates.InPredicate.equals(Object)",2,2,2
"com.google.common.base.Predicates.InPredicate.hashCode()",1,1,1
"com.google.common.base.Predicates.InPredicate.toString()",1,1,1
"com.google.common.base.Predicates.InstanceOfPredicate.InstanceOfPredicate(Class<?>)",1,1,1
"com.google.common.base.Predicates.InstanceOfPredicate.apply(Object)",1,1,1
"com.google.common.base.Predicates.InstanceOfPredicate.equals(Object)",2,1,2
"com.google.common.base.Predicates.InstanceOfPredicate.hashCode()",1,1,1
"com.google.common.base.Predicates.InstanceOfPredicate.toString()",1,1,1
"com.google.common.base.Predicates.IsEqualToPredicate.IsEqualToPredicate(T)",1,1,1
"com.google.common.base.Predicates.IsEqualToPredicate.apply(T)",1,1,1
"com.google.common.base.Predicates.IsEqualToPredicate.equals(Object)",2,2,2
"com.google.common.base.Predicates.IsEqualToPredicate.hashCode()",1,1,1
"com.google.common.base.Predicates.IsEqualToPredicate.toString()",1,1,1
"com.google.common.base.Predicates.NotPredicate.NotPredicate(Predicate<T>)",1,1,1
"com.google.common.base.Predicates.NotPredicate.apply(T)",1,1,1
"com.google.common.base.Predicates.NotPredicate.equals(Object)",2,2,2
"com.google.common.base.Predicates.NotPredicate.hashCode()",1,1,1
"com.google.common.base.Predicates.NotPredicate.toString()",1,1,1
"com.google.common.base.Predicates.ObjectPredicate.withNarrowedType()",1,1,1
"com.google.common.base.Predicates.OrPredicate.OrPredicate(List<? extends Predicate<? super T>>)",1,1,1
"com.google.common.base.Predicates.OrPredicate.apply(T)",3,2,3
"com.google.common.base.Predicates.OrPredicate.equals(Object)",2,2,2
