Complexity metrics,Ter, 24 out 2017 16:51:12 BRST
Method,ev(G),iv(G),v(G)
"com.android.chimpchat.adb.AdbChimpDevice.buildIntentArgString(String,String,String,String,Collection<String>,Map<String, Object>,String,int)",1,11,11
"com.android.chimpchat.adb.AdbChimpDevice.convertInstrumentResult(String)",1,4,4
"com.android.chimpchat.adb.AdbChimpDevice.createManager(String,int)",3,12,12
"com.android.chimpchat.adb.AdbChimpDevice.dispose()",1,2,2
"com.android.chimpchat.adb.AdbChimpDevice.drag(int,int,int,int,int,long)",1,6,6
"com.android.chimpchat.adb.AdbChimpDevice.executeAsyncCommand(String,LoggingOutputReceiver)",1,5,5
"com.android.chimpchat.adb.AdbChimpDevice.getHierarchyViewer()",1,1,1
"com.android.chimpchat.adb.AdbChimpDevice.getManager()",1,1,1
"com.android.chimpchat.adb.AdbChimpDevice.getProperty(String)",1,2,2
"com.android.chimpchat.adb.AdbChimpDevice.getPropertyList()",1,2,2
"com.android.chimpchat.adb.AdbChimpDevice.getRootView()",1,2,2
"com.android.chimpchat.adb.AdbChimpDevice.getSystemProperty(String)",1,1,1
"com.android.chimpchat.adb.AdbChimpDevice.getView(ISelector)",1,1,1
"com.android.chimpchat.adb.AdbChimpDevice.getViewIdList()",1,2,2
"com.android.chimpchat.adb.AdbChimpDevice.getViews(IMultiSelector)",1,1,1
"com.android.chimpchat.adb.AdbChimpDevice.installPackage(String)",2,3,3
"com.android.chimpchat.adb.AdbChimpDevice.instrument(String,Map<String, Object>)",1,1,1
"com.android.chimpchat.adb.AdbChimpDevice.isNullOrEmpty(String)",1,2,2
"com.android.chimpchat.adb.AdbChimpDevice.press(PhysicalButton,TouchPressType)",1,1,1
"com.android.chimpchat.adb.AdbChimpDevice.press(String,TouchPressType)",2,3,5
"com.android.chimpchat.adb.AdbChimpDevice.reboot(String)",1,4,4
"com.android.chimpchat.adb.AdbChimpDevice.removePackage(String)",2,3,3
"com.android.chimpchat.adb.AdbChimpDevice.shell(String)",1,5,5
"com.android.chimpchat.adb.AdbChimpDevice.shell(String...)",1,2,2
"com.android.chimpchat.adb.AdbChimpDevice.startActivity(String,String,String,String,Collection<String>,Map<String, Object>,String,int)",1,1,1
"com.android.chimpchat.adb.AdbChimpDevice.takeSnapshot()",1,4,4
"com.android.chimpchat.adb.AdbChimpDevice.touch(int,int,TouchPressType)",2,3,5
"com.android.chimpchat.adb.AdbChimpDevice.type(String)",1,2,2
"com.android.chimpchat.adb.AdbChimpDevice.wake()",1,2,2
"com.android.chimpchat.adb.AdbChimpDeviceTest.getResource(String)",1,1,1
"com.android.chimpchat.adb.AdbChimpDeviceTest.testMultilineResultParse()",1,1,1
"com.android.chimpchat.adb.AdbChimpDeviceTest.testSimpleResultParse()",1,1,1
"com.android.chimpchat.adb.AdbChimpImage.AdbChimpImage(RawImage)",1,1,1
"com.android.chimpchat.adb.AdbChimpImage.createBufferedImage()",1,1,1
"com.android.chimpchat.adb.AdbChimpImage.getRawImage()",1,1,1
"com.android.chimpchat.adb.CommandOutputCapture.addOutput(byte[],int,int)",1,1,1
"com.android.chimpchat.adb.CommandOutputCapture.flush()",1,1,1
"com.android.chimpchat.adb.CommandOutputCapture.isCancelled()",1,1,1
"com.android.chimpchat.adb.CommandOutputCapture.toString()",1,1,1
"com.android.chimpchat.adb.LinearInterpolator.LinearInterpolator(int)",1,1,1
"com.android.chimpchat.adb.LinearInterpolator.Point.Point(int,int)",1,1,1
"com.android.chimpchat.adb.LinearInterpolator.Point.equals(Object)",2,1,3
"com.android.chimpchat.adb.LinearInterpolator.Point.getX()",1,1,1
"com.android.chimpchat.adb.LinearInterpolator.Point.getY()",1,1,1
"com.android.chimpchat.adb.LinearInterpolator.Point.hashCode()",1,1,1
"com.android.chimpchat.adb.LinearInterpolator.Point.toString()",1,1,1
"com.android.chimpchat.adb.LinearInterpolator.interpolate(Point,Point,Callback)",1,2,2
"com.android.chimpchat.adb.LinearInterpolator.lerp(float,float,float)",1,1,1
"com.android.chimpchat.adb.LinearInterpolatorTest.Collector.end(Point)",1,1,1
"com.android.chimpchat.adb.LinearInterpolatorTest.Collector.getPoints()",1,1,1
"com.android.chimpchat.adb.LinearInterpolatorTest.Collector.start(Point)",1,1,1
"com.android.chimpchat.adb.LinearInterpolatorTest.Collector.step(Point)",1,1,1
"com.android.chimpchat.adb.LinearInterpolatorTest.testLerpDown()",1,2,2
"com.android.chimpchat.adb.LinearInterpolatorTest.testLerpLeft()",1,2,2
"com.android.chimpchat.adb.LinearInterpolatorTest.testLerpNE()",1,2,2
"com.android.chimpchat.adb.LinearInterpolatorTest.testLerpNW()",1,2,2
"com.android.chimpchat.adb.LinearInterpolatorTest.testLerpRight()",1,2,2
"com.android.chimpchat.adb.LinearInterpolatorTest.testLerpUp()",1,2,2
"com.android.chimpchat.adb.LoggingOutputReceiver.LoggingOutputReceiver(Logger,Level)",1,1,1
"com.android.chimpchat.adb.LoggingOutputReceiver.addOutput(byte[],int,int)",1,2,2
"com.android.chimpchat.adb.LoggingOutputReceiver.flush()",1,1,1
"com.android.chimpchat.adb.LoggingOutputReceiver.isCancelled()",1,1,1
"com.android.chimpchat.adb.image.CaptureRawAndConvertedImage.ChimpRawImage.ChimpRawImage(RawImage)",1,1,1
"com.android.chimpchat.adb.image.CaptureRawAndConvertedImage.ChimpRawImage.toRawImage()",1,1,1
