Complexity metrics,Qui, 26 out 2017 16:49:18 BRST
Method,ev(G),iv(G),v(G)
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.UnboundedFifoByteBuffer()",1,1,1
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.UnboundedFifoByteBuffer(int)",2,1,2
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.add(byte)",1,1,5
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.decrement(int)",1,1,2
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.get()",2,1,2
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.increment(int)",1,1,2
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.isEmpty()",1,1,1
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.iterator()",4,2,6
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.remove()",2,1,3
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.size()",1,1,2
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.DefaultBodyDescriptor()",1,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.DefaultBodyDescriptor(BodyDescriptor)",1,2,3
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.addField(Field)",1,8,9
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getBoundary()",1,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getCharset()",1,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getContentLength()",1,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getContentTypeParameters()",1,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getMediaType()",1,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getMimeType()",1,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getSubType()",1,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getTransferEncoding()",1,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.parseContentType(String)",1,10,15
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.toString()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.MaximalBodyDescriptor()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.MaximalBodyDescriptor(BodyDescriptor)",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.addField(Field)",1,15,15
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentDescription()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentDispositionCreationDate()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentDispositionCreationDateParseException()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentDispositionFilename()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentDispositionModificationDate()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentDispositionModificationDateParseException()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentDispositionParameters()",1,1,1
