Package,PDcy,PDpt
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.nl",4,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.no",4,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.path",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.payloads",6,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.position",5,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.pt",5,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.query",9,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.reverse",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.ro",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.ru",6,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.shingle",14,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.sinks",4,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.snowball",8,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.sv",4,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.synonym",7,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.th",5,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.tr",3,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.util",1,0
"contrib.analyzers.common.src.test.org.apache.lucene.analysis.wikipedia",5,0
"contrib.analyzers.kuromoji",0,0
"contrib.analyzers.kuromoji.src.java",0,0
"contrib.analyzers.kuromoji.src.java.org.apache.lucene.analysis.ja",8,3
"contrib.analyzers.kuromoji.src.java.org.apache.lucene.analysis.ja.dict",4,4
"contrib.analyzers.kuromoji.src.java.org.apache.lucene.analysis.ja.tokenattributes",3,1
"contrib.analyzers.kuromoji.src.java.org.apache.lucene.analysis.ja.util",0,5
"contrib.analyzers.kuromoji.src.resources.org.apache.lucene.analysis.ja",0,0
"contrib.analyzers.kuromoji.src.test.org.apache.lucene.analysis.ja",7,1
"contrib.analyzers.kuromoji.src.test.org.apache.lucene.analysis.ja.dict",5,0
"contrib.analyzers.kuromoji.src.test.org.apache.lucene.analysis.ja.util",1,0
"contrib.analyzers.kuromoji.src.tools.java.org.apache.lucene.analysis.ja.util",4,1
"contrib.analyzers.kuromoji.src.tools.test.org.apache.lucene.analysis.ja.dict",3,0
"contrib.analyzers.phonetic",0,0
"contrib.analyzers.phonetic.lib",0,0
"contrib.analyzers.phonetic.src.java",0,0
"contrib.analyzers.phonetic.src.java.org.apache.lucene.analysis.phonetic",3,1
"contrib.analyzers.phonetic.src.test.org.apache.lucene.analysis.phonetic",3,0
"contrib.analyzers.smartcn",0,0
"contrib.analyzers.smartcn.src.java",0,0
"contrib.analyzers.smartcn.src.java.org.apache.lucene.analysis.cn.smart",4,2
"contrib.analyzers.smartcn.src.java.org.apache.lucene.analysis.cn.smart.hhmm",1,1
"contrib.analyzers.smartcn.src.resources.org.apache.lucene.analysis.cn.smart",0,0
"contrib.analyzers.smartcn.src.test.org.apache.lucene.analysis.cn.smart",4,0
"contrib.analyzers.stempel",0,0
"contrib.analyzers.stempel.src.java",0,0
"contrib.analyzers.stempel.src.java.org.apache.lucene.analysis.pl",5,0
"contrib.analyzers.stempel.src.java.org.apache.lucene.analysis.stempel",4,2
"contrib.analyzers.stempel.src.java.org.egothor.stemmer",0,3
"contrib.analyzers.stempel.src.resources.org.apache.lucene.analysis.pl",0,0
"contrib.analyzers.stempel.src.test.org.apache.lucene.analysis.pl",3,0
"contrib.analyzers.stempel.src.test.org.egothor.stemmer",1,0
