Class,OCavg,WMC
"org.jhotdraw.draw.action.ImageBevelBorder","4,00",24
"org.jhotdraw.draw.action.IncreaseHandleDetailLevelAction","1,33",4
"org.jhotdraw.draw.action.LineDecorationIcon","1,25",5
"org.jhotdraw.draw.action.MoveAction","2,00",4
"org.jhotdraw.draw.action.MoveAction.East","1,00",1
"org.jhotdraw.draw.action.MoveAction.North","1,00",1
"org.jhotdraw.draw.action.MoveAction.South","1,00",1
"org.jhotdraw.draw.action.MoveAction.West","1,00",1
"org.jhotdraw.draw.action.MoveConstrainedAction","6,50",13
"org.jhotdraw.draw.action.MoveConstrainedAction.East","1,00",1
"org.jhotdraw.draw.action.MoveConstrainedAction.North","1,00",1
"org.jhotdraw.draw.action.MoveConstrainedAction.South","1,00",1
"org.jhotdraw.draw.action.MoveConstrainedAction.West","1,00",1
"org.jhotdraw.draw.action.PickAttributesAction","1,60",8
"org.jhotdraw.draw.action.SelectSameAction","2,00",6
"org.jhotdraw.draw.action.SelectionColorChooserAction","1,33",8
"org.jhotdraw.draw.action.SelectionColorChooserHandler","2,12",17
"org.jhotdraw.draw.action.SelectionColorIcon","1,67",5
"org.jhotdraw.draw.action.SendToBackAction","1,17",7
"org.jhotdraw.draw.action.StrokeIcon","1,25",5
"org.jhotdraw.draw.action.ToggleGridAction","1,33",4
"org.jhotdraw.draw.action.UngroupAction","1,00",2
"org.jhotdraw.draw.action.ZoomAction","1,50",6
"org.jhotdraw.draw.action.ZoomEditorAction","2,00",6
"org.jhotdraw.draw.connector.AbstractConnector","1,29",27
"org.jhotdraw.draw.connector.ChopBezierConnector","1,00",3
"org.jhotdraw.draw.connector.ChopDiamondConnector","4,67",14
"org.jhotdraw.draw.connector.ChopEllipseConnector","2,00",10
"org.jhotdraw.draw.connector.ChopRectangleConnector","2,80",14
"org.jhotdraw.draw.connector.ChopRoundRectangleConnector","2,33",7
"org.jhotdraw.draw.connector.ChopTriangleConnector","1,00",3
"org.jhotdraw.draw.connector.LocatorConnector","1,00",8
"org.jhotdraw.draw.connector.StickyRectangleConnector","1,00",12
"org.jhotdraw.draw.decoration.AbstractLineDecoration","1,82",20
"org.jhotdraw.draw.decoration.ArrowTip","1,30",13
"org.jhotdraw.draw.decoration.CompositeLineDecoration","2,00",16
"org.jhotdraw.draw.decoration.GeneralPathTip","1,00",4
"org.jhotdraw.draw.decoration.PerpendicularBar","1,00",6
"org.jhotdraw.draw.event.AbstractAttributeEditorHandler","2,44",44
"org.jhotdraw.draw.event.AbstractAttributeEditorHandler.EventHandler","4,00",12
"org.jhotdraw.draw.event.AbstractAttributeEditorHandler.UndoableAttributeEdit","1,60",8
"org.jhotdraw.draw.event.AttributeChangeEdit","1,00",4
"org.jhotdraw.draw.event.BezierNodeEdit","1,80",9
"org.jhotdraw.draw.event.CompositeFigureEdit","1,33",8
"org.jhotdraw.draw.event.CompositeFigureEvent","1,00",5
"org.jhotdraw.draw.event.DrawingAttributeEditorHandler","1,50",6
"org.jhotdraw.draw.event.DrawingComponentRepainter","4,50",18
"org.jhotdraw.draw.event.FigureAdapter","1,00",7
"org.jhotdraw.draw.event.FigureAttributeEditorHandler","1,25",5
"org.jhotdraw.draw.event.FigureEvent","1,00",7
"org.jhotdraw.draw.event.FigureSelectionEvent","1,00",4
"org.jhotdraw.draw.event.HandleEvent","1,00",3
"org.jhotdraw.draw.event.HandleMulticaster","1,90",19
"org.jhotdraw.draw.event.SelectionComponentDisplayer","2,25",18
"org.jhotdraw.draw.event.SelectionComponentRepainter","3,80",19
"org.jhotdraw.draw.event.SetBoundsEdit","1,67",10
"org.jhotdraw.draw.event.ToolAdapter","1,00",4
"org.jhotdraw.draw.event.ToolEvent","1,00",4
"org.jhotdraw.draw.event.TransformEdit","1,75",14
"org.jhotdraw.draw.event.TransformRestoreEdit","1,00",4
"org.jhotdraw.draw.gui.JAttributeSlider","1,09",12
"org.jhotdraw.draw.gui.JAttributeSliderBeanInfo","2,27",25
"org.jhotdraw.draw.gui.JAttributeTextArea","1,20",12
"org.jhotdraw.draw.gui.JAttributeTextAreaBeanInfo","2,27",25
"org.jhotdraw.draw.gui.JAttributeTextField","1,20",12
"org.jhotdraw.draw.gui.JAttributeTextFieldBeanInfo","2,27",25
"org.jhotdraw.draw.handle.AbstractConnectionHandle","3,06",55
"org.jhotdraw.draw.handle.AbstractHandle","1,56",61
"org.jhotdraw.draw.handle.AbstractRotateHandle","1,46",19
"org.jhotdraw.draw.handle.BezierControlPointHandle","2,32",44
"org.jhotdraw.draw.handle.BezierNodeHandle","2,23",58
"org.jhotdraw.draw.handle.BezierOutlineHandle","1,56",14
"org.jhotdraw.draw.handle.BezierScaleHandle","1,40",14
"org.jhotdraw.draw.handle.BoundsOutlineHandle","1,89",17
"org.jhotdraw.draw.handle.CloseHandle","1,38",11
"org.jhotdraw.draw.handle.ConnectionEndHandle","1,00",8
"org.jhotdraw.draw.handle.ConnectionStartHandle","1,00",8
"org.jhotdraw.draw.handle.ConnectorHandle","1,76",37
"org.jhotdraw.draw.handle.DragHandle","1,38",11
"org.jhotdraw.draw.handle.FontSizeHandle","1,44",23
"org.jhotdraw.draw.handle.HandleAttributeKeys",n/a,0
"org.jhotdraw.draw.handle.LocatorHandle","1,00",4
"org.jhotdraw.draw.handle.MoveHandle","1,56",25
"org.jhotdraw.draw.handle.NullHandle","1,00",7
"org.jhotdraw.draw.handle.OrientationHandle","3,12",25
"org.jhotdraw.draw.handle.ResizeHandleKit","1,25",15
"org.jhotdraw.draw.handle.ResizeHandleKit.EastHandle","2,50",10
"org.jhotdraw.draw.handle.ResizeHandleKit.NorthEastHandle","3,50",14
"org.jhotdraw.draw.handle.ResizeHandleKit.NorthHandle","2,50",10
"org.jhotdraw.draw.handle.ResizeHandleKit.NorthWestHandle","3,50",14
"org.jhotdraw.draw.handle.ResizeHandleKit.ResizeHandle","1,88",15
"org.jhotdraw.draw.handle.ResizeHandleKit.SouthEastHandle","3,50",14
"org.jhotdraw.draw.handle.ResizeHandleKit.SouthHandle","2,75",11
"org.jhotdraw.draw.handle.ResizeHandleKit.SouthWestHandle","3,50",14
"org.jhotdraw.draw.handle.ResizeHandleKit.WestHandle","2,50",10
"org.jhotdraw.draw.handle.RotateHandle","1,00",3
"org.jhotdraw.draw.handle.RoundRectangleRadiusHandle","1,89",17
"org.jhotdraw.draw.handle.TextOverflowHandle","1,33",12
"org.jhotdraw.draw.handle.TransformHandleKit","1,27",19
"org.jhotdraw.draw.handle.TransformHandleKit.EastHandle","2,50",10
"org.jhotdraw.draw.handle.TransformHandleKit.NorthEastHandle","2,75",11
"org.jhotdraw.draw.handle.TransformHandleKit.NorthHandle","2,50",10
"org.jhotdraw.draw.handle.TransformHandleKit.NorthWestHandle","2,75",11
"org.jhotdraw.draw.handle.TransformHandleKit.SouthEastHandle","2,75",11
"org.jhotdraw.draw.handle.TransformHandleKit.SouthHandle","2,50",10
"org.jhotdraw.draw.handle.TransformHandleKit.SouthWestHandle","2,75",11
"org.jhotdraw.draw.handle.TransformHandleKit.TransformHandle","1,60",16
"org.jhotdraw.draw.handle.TransformHandleKit.WestHandle","2,50",10
"org.jhotdraw.draw.io.DOMStorableInputOutputFormat","1,28",23
"org.jhotdraw.draw.io.ImageInputFormat","1,93",27
"org.jhotdraw.draw.io.ImageOutputFormat","1,73",26
"org.jhotdraw.draw.io.SerializationInputOutputFormat","1,50",27
"org.jhotdraw.draw.io.TextInputFormat","1,69",22
"org.jhotdraw.draw.layouter.AbstractLayouter","2,00",2
"org.jhotdraw.draw.layouter.HorizontalLayouter","5,00",10
"org.jhotdraw.draw.layouter.LocatorLayouter","3,50",14
"org.jhotdraw.draw.layouter.VerticalLayouter","6,00",12
"org.jhotdraw.draw.liner.CurvedLiner","4,29",30
"org.jhotdraw.draw.liner.ElbowLiner","5,00",35
"org.jhotdraw.draw.liner.SlantedLiner","6,71",47
"org.jhotdraw.draw.locator.AbstractLocator","1,00",2
"org.jhotdraw.draw.locator.BezierLabelLocator","2,50",20
"org.jhotdraw.draw.locator.BezierPointLocator","1,20",6
"org.jhotdraw.draw.locator.FontSizeLocator","1,67",5
"org.jhotdraw.draw.locator.RelativeDecoratorLocator","1,15",15
"org.jhotdraw.draw.locator.RelativeLocator","1,35",35
"org.jhotdraw.draw.print.DrawingPageable","1,86",13
"org.jhotdraw.draw.text.FloatingTextArea","1,30",13
"org.jhotdraw.draw.text.FloatingTextField","1,27",14
"org.jhotdraw.draw.tool.AbstractTool","1,68",74
"org.jhotdraw.draw.tool.BezierTool","2,42",58
"org.jhotdraw.draw.tool.ConnectionTool","2,00",48
"org.jhotdraw.draw.tool.CreationTool","1,82",40
"org.jhotdraw.draw.tool.DefaultDragTracker","3,43",24
"org.jhotdraw.draw.tool.DefaultHandleTracker","2,11",40
"org.jhotdraw.draw.tool.DefaultHandleTracker.EventHandler","1,00",3
"org.jhotdraw.draw.tool.DefaultSelectAreaTracker","2,46",32
"org.jhotdraw.draw.tool.DelegationSelectionTool","4,07",57
"org.jhotdraw.draw.tool.DnDTracker","2,14",15
"org.jhotdraw.draw.tool.ImageTool","2,10",21
"org.jhotdraw.draw.tool.SelectionTool","2,00",48
"org.jhotdraw.draw.tool.SelectionTool.TrackerHandler","1,67",5
"org.jhotdraw.draw.tool.TextAreaCreationTool","1,64",23
"org.jhotdraw.draw.tool.TextAreaEditingTool","1,42",17
"org.jhotdraw.draw.tool.TextCreationTool","1,69",27
"org.jhotdraw.draw.tool.TextEditingTool","1,57",22
"org.jhotdraw.geom.Bezier","2,57",95
"org.jhotdraw.geom.BezierPath","3,74",161
"org.jhotdraw.geom.BezierPath.Node","1,28",23
"org.jhotdraw.geom.BezierPathIterator","4,71",33
"org.jhotdraw.geom.ConvexHull","3,36",37
"org.jhotdraw.geom.Dimension2DDouble","1,09",12
"org.jhotdraw.geom.DoubleStroke","5,17",31
"org.jhotdraw.geom.Geom","2,28",98
"org.jhotdraw.geom.GrowStroke","8,00",16
"org.jhotdraw.geom.Insets2D","1,08",13
"org.jhotdraw.geom.Insets2D.Double","1,00",7
"org.jhotdraw.geom.Insets2D.Float","1,00",8
"org.jhotdraw.geom.QuadTree","2,11",19
