Method,CALL,CALLED,LOC,NBD,NP,STAT,v(G)
"xml.CatalogManager.isLocal(Entry)",7,0,16,1,1,7,4
"xml.CatalogManager.load()",31,2,87,5,0,43,11
"xml.CatalogManager.propertiesChanged()",6,0,18,1,0,8,3
"xml.CatalogManager.reloadCatalogs()",0,0,5,0,0,1,1
"xml.CatalogManager.resolve(String,String,String)",53,1,10,4,3,71,29
"xml.CatalogManager.resolvePublic(String,String)",3,1,13,0,2,7,3
"xml.CatalogManager.resolveSystem(String)",3,2,12,0,1,7,3
"xml.CatalogManager.save()",15,0,35,3,0,20,5
"xml.CatalogManager.showDownloadResourceDialog(Component,String)",4,1,17,1,2,8,3
"xml.CatalogManager.uninit()",1,0,5,0,0,1,1
"xml.EditTagDialog.ActionHandler.actionPerformed(ActionEvent)",6,0,9,0,1,6,4
"xml.EditTagDialog.Attribute.Attribute(boolean,String,String,ArrayList,String,boolean)",1,1,11,0,6,5,1
"xml.EditTagDialog.Attribute.Value.Value(String,ArrayList)",0,1,5,0,2,2,1
"xml.EditTagDialog.Attribute.Value.toString()",0,0,4,0,0,1,1
"xml.EditTagDialog.AttributeCompare.compare(Object,Object)",1,0,15,1,2,7,5
"xml.EditTagDialog.AttributeTable.getCellEditor(int,int)",3,0,8,0,2,4,2
"xml.EditTagDialog.AttributeTable.getCellRenderer(int,int)",3,0,8,0,2,4,2
"xml.EditTagDialog.AttributeTableModel.equal(String,String)",3,1,18,1,2,7,6
"xml.EditTagDialog.AttributeTableModel.getColumnClass(int)",0,0,8,0,1,3,2
"xml.EditTagDialog.AttributeTableModel.getColumnCount()",0,0,5,0,0,1,1
"xml.EditTagDialog.AttributeTableModel.getColumnName(int)",5,0,17,1,1,11,6
"xml.EditTagDialog.AttributeTableModel.getRowCount()",1,0,5,0,0,1,1
"xml.EditTagDialog.AttributeTableModel.getValueAt(int,int)",7,0,31,2,2,20,10
"xml.EditTagDialog.AttributeTableModel.isCellEditable(int,int)",0,0,8,0,2,3,3
"xml.EditTagDialog.AttributeTableModel.setValueAt(Object,int,int)",6,0,26,1,3,19,6
"xml.EditTagDialog.ComboValueRenderer.ComboValueRenderer()",2,1,5,0,0,1,1
"xml.EditTagDialog.ComboValueRenderer.ComboValueRenderer(JComboBox)",4,1,11,0,1,5,1
"xml.EditTagDialog.ComboValueRenderer.getTableCellEditorComponent(JTable,Object,boolean,int,int)",4,0,10,0,5,3,1
"xml.EditTagDialog.ComboValueRenderer.getTableCellRendererComponent(JTable,Object,boolean,boolean,int,int)",4,0,11,0,6,4,1
"xml.EditTagDialog.EditTagDialog(View,String,ElementDecl,Map,boolean,Map,List,boolean)",92,0,87,1,8,63,2
"xml.EditTagDialog.cancel()",1,1,6,0,0,2,1
"xml.EditTagDialog.createAttributeModel(List,Map,List)",18,1,47,2,3,29,11
"xml.EditTagDialog.getNewTag()",0,0,5,0,0,1,2
"xml.EditTagDialog.isEmpty()",1,0,5,0,0,1,1
"xml.EditTagDialog.ok()",6,1,13,1,0,7,4
"xml.EditTagDialog.updateTag()",20,3,48,3,0,34,12
"xml.Resolver.Entry.Entry(int,String,String)",0,5,6,0,3,3,1
"xml.Resolver.Entry.equals(Object)",1,0,10,1,1,4,3
"xml.Resolver.Entry.hashCode()",1,0,4,0,0,1,1
"xml.Resolver.Resolver()",13,1,29,2,0,19,5
"xml.Resolver.addUserResource(String,String,String)",5,1,15,1,3,6,2
"xml.Resolver.clearCache()",10,0,15,2,0,8,3
"xml.Resolver.copyToLocalFile(Object,VFS,String)",12,1,25,0,3,14,4
"xml.Resolver.instance()",1,1,10,0,0,3,2
"xml.Resolver.isAskBeforeDownloading()",1,2,3,0,0,1,1
"xml.Resolver.isLocal()",1,2,3,0,0,1,1
"xml.Resolver.isUsingCache()",2,3,4,0,0,3,2
"xml.Resolver.resolve(String,String,String)",53,1,9,4,3,69,29
"xml.Resolver.resolveEntity(XMLResourceIdentifier)",4,1,3,0,1,1,1
"xml.Resolver.resolvePublic(String,String)",3,1,12,0,2,7,3
"xml.Resolver.resolveSystem(String)",3,2,11,0,1,7,3
"xml.Resolver.setAskBeforeDownloading(boolean)",1,1,3,0,1,1,1
"xml.Resolver.setLocal(boolean)",1,1,3,0,1,1,1
"xml.Resolver.setUsingCache(boolean)",1,1,3,0,1,1,1
"xml.Resolver.showDownloadResourceDialog(Component,String)",4,1,16,1,2,8,3
"xml.TagHighlight.getMatch(JEditTextArea)",7,0,25,2,1,13,4
"xml.TagHighlight.selectMatch(JEditTextArea)",2,0,9,0,1,1,1
"xml.XmlActions.charactersToEntities(String,Map)",10,1,28,3,2,15,9
"xml.XmlActions.charactersToEntities(View)",13,0,26,1,1,16,5
"xml.XmlActions.completeClosingTag(View,boolean)",16,1,40,1,2,29,12
"xml.XmlActions.countNewLines(Segment)",2,2,16,2,1,7,3
"xml.XmlActions.entitiesToCharacters(String,Map)",10,2,26,4,2,16,5
"xml.XmlActions.entitiesToCharacters(View)",13,0,26,1,1,16,5
"xml.XmlActions.getNextNonWhitespaceChar(Buffer,int)",5,1,19,1,2,8,3
"xml.XmlActions.getPrevNonWhitespaceChar(Buffer,int)",4,1,18,1,2,8,3
"xml.XmlActions.getStandaloneEnd()",0,2,5,0,0,1,2
"xml.XmlActions.insertClosingTag(View)",15,0,27,1,1,14,5
"xml.XmlActions.insertClosingTagKeyTyped(View)",19,1,40,1,1,30,13
"xml.XmlActions.matchTag(JEditTextArea)",14,0,27,2,1,13,5
"xml.XmlActions.propertiesChanged()",3,0,10,0,0,3,1
"xml.XmlActions.removeTags(Buffer)",14,0,38,3,1,22,4
"xml.XmlActions.showEditTagDialog(View)",42,1,129,5,1,71,20
"xml.XmlActions.showEditTagDialog(View,ElementDecl)",1,0,3,0,2,1,1
"xml.XmlActions.showEditTagDialog(View,ElementDecl,Selection)",24,1,68,4,3,38,11
"xml.XmlActions.split(View)",34,0,64,3,1,36,7
"xml.XmlInsert.ArrayListModel.ArrayListModel(List)",0,3,4,0,1,1,1
"xml.XmlInsert.ArrayListModel.addListDataListener(ListDataListener)",0,0,1,0,1,0,1
"xml.XmlInsert.ArrayListModel.getElementAt(int)",1,0,4,0,1,1,1
"xml.XmlInsert.ArrayListModel.getSize()",1,3,4,0,0,1,1
"xml.XmlInsert.ArrayListModel.removeListDataListener(ListDataListener)",0,0,1,0,1,0,1
"xml.XmlInsert.CaretHandler.caretUpdate(CaretEvent)",3,0,5,0,1,2,2
"xml.XmlInsert.MouseHandler.mouseClicked(MouseEvent)",57,0,119,5,1,73,19
"xml.XmlInsert.XmlInsert(View,boolean)",49,0,4,2,2,30,3
"xml.XmlInsert.addNotify()",5,0,12,1,0,8,2
"xml.XmlInsert.handleMessage(EBMessage)",21,0,46,2,1,20,15
"xml.XmlInsert.removeNotify()",6,0,13,1,0,9,2
"xml.XmlInsert.setDeclaredElements(List)",9,4,25,3,1,11,4
"xml.XmlInsert.setDeclaredEntities(List)",9,3,24,3,1,10,4
"xml.XmlInsert.setDeclaredIDs(List)",9,3,23,3,1,10,4
"xml.XmlInsert.showNotParsedMessage()",3,0,7,0,0,3,1
"xml.XmlInsert.update()",7,5,19,1,0,10,2
"xml.XmlInsert.updateTagList()",13,2,25,2,0,9,3
"xml.XmlInsert.updateTagListWithDelay()",5,1,9,0,0,5,2
"xml.XmlListCellRenderer.ClosingTag.ClosingTag(String)",0,0,4,0,1,1,1
"xml.XmlListCellRenderer.getListCellRendererComponent(JList,Object,int,boolean,boolean)",18,0,60,1,5,27,10
"xml.XmlParsedData.XmlParsedData(String,boolean)",3,4,8,0,2,4,1
"xml.XmlParsedData.getAllowedElements(Buffer,int)",22,0,43,3,2,22,7
"xml.XmlParsedData.getAllowedElements(Buffer,int,int)",31,0,68,4,3,37,13
"xml.XmlParsedData.getElementDecl(String)",7,8,24,1,1,15,5
"xml.XmlParsedData.getElementNamePrefix(String)",2,4,9,0,1,4,2
"xml.XmlParsedData.getNoNamespaceCompletionInfo()",3,8,11,1,0,5,2
"xml.XmlParsedData.setCompletionInfo(String,CompletionInfo)",1,8,3,0,2,1,1
"xml.XmlPlugin.TagMouseHandler.mousePressed(MouseEvent)",17,0,4,3,1,8,7
"xml.XmlPlugin.handleMessage(EBMessage)",11,0,26,2,1,10,5
"xml.XmlPlugin.isDelegated(JEditTextArea)",8,0,18,0,1,7,4
"xml.XmlPlugin.start()",10,0,25,2,0,12,3
"xml.XmlPlugin.stop()",8,0,18,2,0,10,3
"xml.XmlPlugin.uriToFile(String)",13,6,31,3,1,21,8
"xml.completion.AntCompleteTask.areNmtokens(String[])",1,1,23,2,1,6,3
"xml.completion.AntCompleteTask.execute()",44,0,67,2,0,27,7
"xml.completion.AntCompleteTask.getList(Enumeration)",7,2,25,2,1,8,3
"xml.completion.AntCompleteTask.isNmtoken(String)",3,1,23,2,1,8,7
"xml.completion.AntCompleteTask.printAttribute(PrintWriter,String,String,boolean)",7,13,23,0,4,8,2
"xml.completion.AntCompleteTask.printElementClose(PrintWriter)",1,4,10,0,1,1,1
"xml.completion.AntCompleteTask.printElementDecl(PrintWriter,String,Class)",51,3,136,6,3,70,27
"xml.completion.AntCompleteTask.printElementOpen(PrintWriter,String,String)",6,4,28,1,3,9,2
"xml.completion.AntCompleteTask.printProjectDecl(PrintWriter)",6,1,15,0,1,6,1
"xml.completion.AntCompleteTask.printTargetDecl(PrintWriter)",9,1,18,0,1,9,1
"xml.completion.AntCompleteTask.setOutput(File)",0,0,10,0,1,1,1
"xml.completion.CompletionInfo.CompletionInfo()",11,3,12,0,0,6,1
"xml.completion.CompletionInfo.CompletionInfo(ArrayList,HashMap,ArrayList,HashMap,ArrayList)",0,2,11,0,5,5,1
"xml.completion.CompletionInfo.addElement(ElementDecl)",2,7,6,0,1,2,1
"xml.completion.CompletionInfo.addEntity(EntityDecl)",6,2,12,1,1,5,3
"xml.completion.CompletionInfo.addEntity(int,String,String)",2,7,5,0,3,1,1
"xml.completion.CompletionInfo.addEntity(int,String,String,String)",2,2,5,0,4,1,1
"xml.completion.CompletionInfo.clone()",6,0,11,0,0,1,1
"xml.completion.CompletionInfo.getAllElements(String,List)",7,4,14,2,2,8,3
"xml.completion.CompletionInfo.getCompletionInfoForBuffer(Buffer)",13,2,22,1,1,12,5
"xml.completion.CompletionInfo.getCompletionInfoForNamespace(String)",3,2,16,2,1,7,2
"xml.completion.CompletionInfo.getCompletionInfoFromResource(String)",14,3,35,2,1,21,5
"xml.completion.CompletionInfo.toString()",10,0,20,1,0,11,2
"xml.completion.CompletionInfoHandler.CompletionInfoHandler()",11,0,10,0,0,6,1
"xml.completion.CompletionInfoHandler.addEntity(EntityDecl)",6,6,13,1,1,5,3
