Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider",3,6,24,30,6,1,0,2,167,154,0,11,0,"2,15",8,33,28
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManager",5,3,3,6,5,1,0,1,40,40,0,0,0,"1,75",0,6,7
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManagerActivator",2,2,14,16,7,1,0,1,37,27,0,11,0,"2,00",0,7,4
"org.apache.karaf.bundle.command.BundleCommand",7,4,16,20,4,1,1,1,21,18,5,11,0,"1,00",2,4,2
"org.apache.karaf.bundle.command.BundlesCommand",18,6,18,24,6,1,1,2,39,39,14,11,0,"1,50",2,13,6
"org.apache.karaf.bundle.command.Capabilities",3,10,25,35,22,2,1,2,188,178,0,14,1,"4,14",6,22,29
"org.apache.karaf.bundle.command.Classes",1,7,19,26,7,2,1,1,33,33,0,15,0,"6,00",0,3,6
"org.apache.karaf.bundle.command.Diag",5,6,19,25,22,2,1,1,17,17,0,15,0,"2,00",0,9,2
"org.apache.karaf.bundle.command.DynamicImport",2,4,17,21,5,2,1,1,19,15,0,13,0,"2,00",1,4,2
"org.apache.karaf.bundle.command.FindClass",2,2,15,17,17,1,1,1,32,32,0,11,0,"3,00",1,5,6
"org.apache.karaf.bundle.command.Headers",5,15,28,43,23,2,1,1,265,246,0,15,0,"3,75",5,45,60
"org.apache.karaf.bundle.command.Headers.ClauseFormatter",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.apache.karaf.bundle.command.Id",1,4,17,21,5,2,1,1,8,8,0,13,0,"1,00",1,1,1
"org.apache.karaf.bundle.command.Info",2,7,19,26,19,2,1,1,17,10,0,15,0,"1,00",0,2,1
"org.apache.karaf.bundle.command.Install",5,7,14,21,22,1,1,1,74,70,0,11,0,"12,00",1,15,12
"org.apache.karaf.bundle.command.List",9,16,26,42,16,2,1,2,147,139,0,14,1,"4,00",6,35,36
"org.apache.karaf.bundle.command.LoadTest",3,7,15,22,14,1,1,1,144,140,0,11,0,"4,60",2,12,23
"org.apache.karaf.bundle.command.Refresh",1,6,21,27,7,2,1,2,18,18,0,14,1,"1,33",1,4,4
"org.apache.karaf.bundle.command.Requirements",3,10,25,35,22,2,1,2,124,116,0,14,1,"3,43",6,21,24
"org.apache.karaf.bundle.command.Resolve",1,6,20,26,7,2,1,2,12,12,0,14,1,"1,50",1,3,3
"org.apache.karaf.bundle.command.Restart",2,6,21,27,7,2,1,2,34,34,0,14,1,"2,00",1,10,6
"org.apache.karaf.bundle.command.Services",3,10,22,32,22,2,1,1,63,61,0,15,0,"3,75",1,11,15
"org.apache.karaf.bundle.command.ShowBundleTree",4,7,26,33,9,2,1,1,191,161,0,13,0,"4,09",3,33,45
"org.apache.karaf.bundle.command.Start",1,7,20,27,7,2,1,1,14,14,0,15,0,"1,50",0,2,3
"org.apache.karaf.bundle.command.StartLevel",4,7,17,24,22,2,1,1,27,26,0,13,0,"4,00",1,4,4
"org.apache.karaf.bundle.command.Stop",1,7,20,27,7,2,1,1,14,14,0,15,0,"1,50",0,2,3
"org.apache.karaf.bundle.command.Uninstall",1,6,20,26,7,2,1,1,12,12,0,15,0,"1,00",0,2,2
"org.apache.karaf.bundle.command.Update",2,5,18,23,7,2,1,1,28,28,0,13,0,"2,00",1,10,4
