Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.hsqldb.lib.HsqlLinkedList.Node",2,2,3,5,0,0,0,0,23,16,0,0,0,"1,00",0,3,3
"org.hsqldb.lib.HsqlList",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a
"org.hsqldb.lib.HsqlTaskQueue",2,5,9,14,8,0,0,1,73,57,0,0,0,"1,40",2,12,14
"org.hsqldb.lib.HsqlTaskQueue.TaskRunner",2,0,1,1,8,0,0,1,26,26,0,0,0,"4,00",0,4,4
"org.hsqldb.lib.HsqlThreadFactory",1,1,6,7,1,0,1,1,69,23,0,0,0,"1,40",3,6,7
"org.hsqldb.lib.HsqlTimer",8,6,27,33,8,0,2,8,466,220,0,0,0,"2,40",17,40,60
"org.hsqldb.lib.HsqlTimer.Task",3,7,7,14,8,0,0,2,135,54,0,0,0,"1,57",4,10,11
"org.hsqldb.lib.HsqlTimer.TaskQueue",4,3,25,28,8,1,1,5,130,44,0,8,0,"1,38",2,12,11
"org.hsqldb.lib.HsqlTimer.TaskRunner",2,0,1,1,8,0,0,1,58,15,0,0,0,"3,00",0,3,3
"org.hsqldb.lib.InOutUtil",5,0,3,3,16,0,0,3,58,30,0,0,0,"2,00",3,6,6
"org.hsqldb.lib.IntKeyHashMap",13,30,38,68,11,1,0,8,61,55,0,22,2,"1,45",8,16,16
"org.hsqldb.lib.IntKeyHashMap.KeySet",6,0,28,28,9,0,2,8,29,29,0,0,0,"1,00",8,12,9
"org.hsqldb.lib.IntKeyHashMap.Values",5,0,17,17,8,0,1,7,26,26,0,0,0,"1,00",7,11,8
"org.hsqldb.lib.IntKeyHashMapConcurrent",9,33,38,71,11,1,0,4,97,90,0,22,2,"1,45",8,16,16
"org.hsqldb.lib.IntKeyHashMapConcurrent.KeySet",6,0,28,28,9,0,2,8,29,29,0,0,0,"1,00",8,12,9
