Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.jhotdraw.app.action.edit.DuplicateAction",13,4,5,9,5,1,0,1,65,28,0,1,0,"2,00",0,7,6
"org.jhotdraw.app.action.edit.PasteAction",13,4,6,10,12,1,0,1,58,35,0,0,1,"2,00",0,8,8
"org.jhotdraw.app.action.edit.RedoAction",13,11,21,32,10,1,0,1,89,66,0,10,3,"2,00",1,16,16
"org.jhotdraw.app.action.edit.RemoveAction",1,4,8,12,5,1,0,0,34,13,0,2,0,"1,00",0,4,3
"org.jhotdraw.app.action.edit.SelectAllAction",12,4,6,10,5,1,0,1,73,36,0,0,1,"2,25",0,8,9
"org.jhotdraw.app.action.edit.UndoAction",13,11,21,32,10,1,0,1,89,66,0,10,3,"2,00",1,16,16
"org.jhotdraw.app.action.file.ClearFileAction",5,10,22,32,19,2,0,1,42,22,0,17,0,"1,00",0,7,4
"org.jhotdraw.app.action.file.ClearRecentFilesMenuAction",7,5,16,21,10,1,1,2,59,39,0,5,2,"1,29",1,17,9
"org.jhotdraw.app.action.file.CloseFileAction",9,10,22,32,19,2,0,1,38,16,0,17,0,"1,50",0,7,3
"org.jhotdraw.app.action.file.ExportFileAction",15,11,20,31,18,1,0,1,165,123,0,13,0,"2,00",1,21,20
"org.jhotdraw.app.action.file.LoadDirectoryAction",13,10,26,36,20,3,0,1,30,13,0,18,1,"1,00",1,8,2
"org.jhotdraw.app.action.file.LoadFileAction",19,10,24,34,19,2,0,1,122,82,1,16,1,"2,00",1,13,18
"org.jhotdraw.app.action.file.LoadRecentFileAction",10,11,22,33,19,2,0,1,135,98,0,17,0,"2,43",0,22,17
"org.jhotdraw.app.action.file.NewFileAction",7,4,13,17,10,1,1,1,51,32,1,7,0,"1,50",0,15,6
"org.jhotdraw.app.action.file.NewWindowAction",3,4,14,18,11,2,1,0,26,7,0,8,0,"1,00",0,2,1
"org.jhotdraw.app.action.file.OpenDirectoryAction",11,5,18,23,19,2,1,1,34,13,0,11,1,"1,00",1,8,2
"org.jhotdraw.app.action.file.OpenFileAction",15,5,16,21,18,1,1,1,231,174,1,7,0,"3,00",3,39,33
"org.jhotdraw.app.action.file.OpenRecentFileAction",9,5,13,18,16,1,1,1,131,98,0,7,0,"2,71",0,24,19
"org.jhotdraw.app.action.file.PrintFileAction",10,9,20,29,17,1,0,3,194,142,1,12,1,"2,00",1,17,18
"org.jhotdraw.app.action.file.SaveFileAction",14,11,19,30,18,1,0,1,140,109,1,13,0,"2,50",1,18,25
"org.jhotdraw.app.action.file.SaveFileAsAction",6,11,20,31,19,2,0,0,24,9,0,16,0,"1,00",0,4,1
"org.jhotdraw.app.action.view.ToggleViewPropertyAction",7,15,21,36,9,1,0,1,111,99,0,10,3,"1,88",1,13,15
"org.jhotdraw.app.action.view.ViewPropertyAction",7,14,20,34,9,1,0,1,78,68,0,11,2,"1,43",0,12,10
"org.jhotdraw.app.action.window.ArrangeWindowsAction",5,6,2,8,4,0,0,1,39,26,0,0,0,"2,50",0,5,5
"org.jhotdraw.app.action.window.FocusWindowAction",8,4,8,12,9,0,0,1,110,87,0,0,0,"2,22",4,21,20
"org.jhotdraw.app.action.window.MaximizeWindowAction",7,9,17,26,10,1,0,1,30,23,0,13,0,"1,33",1,8,4
"org.jhotdraw.app.action.window.MinimizeWindowAction",7,9,17,26,10,1,0,1,30,23,0,13,0,"1,33",1,8,4
"org.jhotdraw.app.action.window.TogglePaletteAction",2,4,4,8,52,0,0,2,72,51,0,0,0,"2,00",0,6,10
"org.jhotdraw.app.action.window.ToggleToolBarAction",2,3,4,7,1,0,0,1,51,44,0,0,0,"2,20",0,4,11
"org.jhotdraw.app.action.window.ToggleVisibleAction",2,2,2,4,1,0,0,1,31,23,0,0,0,"1,00",0,2,4
"org.jhotdraw.app.osx.OSXAdapter",2,5,14,19,1,0,0,1,250,141,3,0,0,"1,53",3,14,26
"org.jhotdraw.app.osx.OSXPaletteHandler",4,5,11,16,52,0,0,1,114,96,0,0,0,"1,93",2,11,27
"org.jhotdraw.beans.AbstractBean",11,2,9,11,1,0,0,1,108,67,8,0,0,"1,89",2,10,17
"org.jhotdraw.beans.BeansBinding",1,9,10,19,1,0,0,1,137,113,0,0,0,"1,70",3,10,17
