Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.apache.xerces.dom.DeferredNode",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.xerces.dom.DeferredNotationImpl",5,18,82,100,75,2,5,1,73,23,0,47,1,"1,00",1,10,3
"org.apache.xerces.dom.DeferredProcessingInstructionImpl",4,16,82,98,75,2,5,1,53,20,0,46,1,"1,00",1,6,3
"org.apache.xerces.dom.DeferredTextImpl",5,17,100,117,75,3,6,1,79,36,0,56,1,"2,00",1,10,6
"org.apache.xerces.dom.DocumentFragmentImpl",6,15,74,89,53,1,4,3,81,20,0,40,2,"1,00",2,7,5
"org.apache.xerces.dom.DocumentImpl",50,21,132,153,53,1,6,14,970,453,1,36,6,"2,29",37,102,110
"org.apache.xerces.dom.DocumentTypeImpl",13,20,84,104,53,1,4,4,197,82,1,39,3,"1,58",8,20,19
"org.apache.xerces.dom.ElementDefinitionImpl",8,16,73,89,53,1,3,2,65,23,1,40,2,"1,25",3,9,5
"org.apache.xerces.dom.ElementImpl",20,20,108,128,53,1,4,6,654,295,1,32,10,"2,33",18,66,70
"org.apache.xerces.dom.EntityImpl",8,18,82,100,53,1,4,4,150,57,1,40,2,"1,60",5,13,16
"org.apache.xerces.dom.EntityReferenceImpl",7,15,73,88,53,1,4,3,284,18,1,40,2,"1,00",1,7,4
"org.apache.xerces.dom.LCount",3,4,1,5,0,0,0,1,30,12,0,0,0,"2,00",1,1,2
"org.apache.xerces.dom.NamedNodeMapImpl",15,8,19,27,53,0,1,1,607,265,0,0,0,"4,29",10,33,60
"org.apache.xerces.dom.NodeImpl",50,22,69,91,53,0,3,5,1.467,743,11,0,0,"3,78",30,65,170
"org.apache.xerces.dom.NodeImpl.EnclosingAttr",2,2,0,2,53,0,0,0,9,5,0,0,0,n/a,0,0,0
"org.apache.xerces.dom.NodeImpl.LEntry",2,3,1,4,19,0,0,0,25,10,0,0,0,"1,00",0,1,1
"org.apache.xerces.dom.NotationImpl",8,17,78,95,53,1,4,2,116,49,1,41,1,"1,86",3,10,13
"org.apache.xerces.dom.ProcessingInstructionImpl",5,15,78,93,53,1,4,3,91,33,1,41,1,"1,50",4,10,9
"org.apache.xerces.dom.TextImpl",12,16,96,112,53,2,5,3,115,51,2,49,1,"1,86",5,14,13
"org.apache.xerces.dom.events.EventImpl",6,9,18,27,19,0,1,6,90,49,1,0,0,"1,00",6,9,9
"org.apache.xerces.dom.events.MutationEventImpl",7,20,28,48,21,1,2,1,61,40,0,9,0,"1,00",4,6,5
"org.apache.xerces.dom.traversal.NodeIteratorImpl",7,8,18,26,53,0,1,1,268,167,0,0,0,"3,50",9,22,42
"org.apache.xerces.dom.traversal.TreeWalkerImpl",4,5,31,36,18,0,1,1,343,244,0,0,0,"3,63",17,27,69
"org.apache.xerces.domx.DOMException",5,4,2,6,1,1,0,0,26,8,1,0,0,"1,00",0,2,1
"org.apache.xerces.domx.XGrammarWriter",13,8,45,53,180,0,0,2,863,736,0,0,0,"3,38",15,71,152
"org.apache.xerces.domx.XGrammarWriter.OutputFormat",1,3,5,8,0,0,0,1,55,29,0,0,0,"1,60",4,5,8
"org.apache.xerces.domx.events.DocumentEvent",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.xerces.domx.events.Event",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a
