Class,OCavg,WMC
"org.eclipse.jdt.core.dom.QualifiedName","1,87",28
"org.eclipse.jdt.core.dom.QualifiedType","2,19",35
"org.eclipse.jdt.core.dom.RecoveredTypeBinding","1,90",133
"org.eclipse.jdt.core.dom.RecoveredVariableBinding","1,29",27
"org.eclipse.jdt.core.dom.ReturnStatement","1,33",16
"org.eclipse.jdt.core.dom.SimpleName","2,07",31
"org.eclipse.jdt.core.dom.SimplePropertyDescriptor","1,33",4
"org.eclipse.jdt.core.dom.SimpleType","1,93",27
"org.eclipse.jdt.core.dom.SingleMemberAnnotation","1,77",23
"org.eclipse.jdt.core.dom.SingleVariableDeclaration","2,62",68
"org.eclipse.jdt.core.dom.Statement","2,20",11
"org.eclipse.jdt.core.dom.StringLiteral","1,67",25
"org.eclipse.jdt.core.dom.StructuralPropertyDescriptor","1,86",13
"org.eclipse.jdt.core.dom.SuperConstructorInvocation","1,81",29
"org.eclipse.jdt.core.dom.SuperFieldAccess","1,67",25
"org.eclipse.jdt.core.dom.SuperMethodInvocation","2,00",38
"org.eclipse.jdt.core.dom.SuperMethodReference","1,71",29
"org.eclipse.jdt.core.dom.SwitchCase","1,46",19
"org.eclipse.jdt.core.dom.SwitchStatement","1,57",22
"org.eclipse.jdt.core.dom.SynchronizedStatement","1,93",27
"org.eclipse.jdt.core.dom.TagElement","1,27",19
"org.eclipse.jdt.core.dom.TextElement","1,42",17
"org.eclipse.jdt.core.dom.ThisExpression","1,33",16
"org.eclipse.jdt.core.dom.ThrowStatement","1,58",19
"org.eclipse.jdt.core.dom.TryStatement","2,12",36
"org.eclipse.jdt.core.dom.Type","1,00",12
"org.eclipse.jdt.core.dom.TypeBinding","3,99",279
"org.eclipse.jdt.core.dom.TypeBinding.LocalTypeBinding","1,00",2
"org.eclipse.jdt.core.dom.TypeDeclaration","2,41",82
"org.eclipse.jdt.core.dom.TypeDeclarationStatement","1,72",31
"org.eclipse.jdt.core.dom.TypeLiteral","1,58",19
"org.eclipse.jdt.core.dom.TypeMethodReference","1,88",32
"org.eclipse.jdt.core.dom.TypeParameter","2,00",32
"org.eclipse.jdt.core.dom.UnionType","1,18",13
"org.eclipse.jdt.core.dom.VariableBinding","3,57",82
"org.eclipse.jdt.core.dom.VariableDeclaration","1,44",26
"org.eclipse.jdt.core.dom.VariableDeclarationExpression","2,11",40
"org.eclipse.jdt.core.dom.VariableDeclarationFragment","1,88",30
"org.eclipse.jdt.core.dom.VariableDeclarationStatement","2,11",40
"org.eclipse.jdt.core.dom.WhileStatement","1,93",27
"org.eclipse.jdt.core.dom.WildcardType","1,67",30
"org.eclipse.jdt.core.dom.rewrite.ASTRewrite","3,10",93
"org.eclipse.jdt.core.dom.rewrite.ImportRewrite","3,81",206
"org.eclipse.jdt.core.dom.rewrite.ImportRewrite.ImportRewriteContext",n/a,0
"org.eclipse.jdt.core.dom.rewrite.ListRewrite","1,86",41
"org.eclipse.jdt.core.dom.rewrite.TargetSourceRangeComputer","1,50",3
"org.eclipse.jdt.core.dom.rewrite.TargetSourceRangeComputer.SourceRange","1,00",3
"org.eclipse.jdt.core.formatter.CodeFormatter","1,00",2
"org.eclipse.jdt.core.formatter.CodeFormatterApplication","5,00",40
"org.eclipse.jdt.core.formatter.CodeFormatterApplication.Messages","1,00",4
"org.eclipse.jdt.core.formatter.DefaultCodeFormatterConstants","4,40",44
"org.eclipse.jdt.core.formatter.IndentManipulation","3,86",54
"org.eclipse.jdt.core.index.JavaIndexer","1,00",1
"org.eclipse.jdt.core.index.JavaIndexerApplication","4,00",20
"org.eclipse.jdt.core.index.JavaIndexerApplication.Messages","1,00",4
"org.eclipse.jdt.core.jdom.DOMException","1,00",2
"org.eclipse.jdt.core.jdom.DOMFactory","1,44",26
"org.eclipse.jdt.core.search.FieldDeclarationMatch","1,00",1
"org.eclipse.jdt.core.search.FieldReferenceMatch","1,00",3
"org.eclipse.jdt.core.search.LocalVariableDeclarationMatch","1,00",1
"org.eclipse.jdt.core.search.LocalVariableReferenceMatch","1,00",3
"org.eclipse.jdt.core.search.MethodDeclarationMatch","1,00",1
"org.eclipse.jdt.core.search.MethodReferenceMatch","1,00",6
"org.eclipse.jdt.core.search.PackageDeclarationMatch","1,00",1
"org.eclipse.jdt.core.search.PackageReferenceMatch","1,00",1
"org.eclipse.jdt.core.search.ReferenceMatch","1,00",3
"org.eclipse.jdt.core.search.SearchDocument","1,27",14
"org.eclipse.jdt.core.search.SearchEngine","1,21",41
"org.eclipse.jdt.core.search.SearchEngine.ResultCollectorAdapter","1,00",4
"org.eclipse.jdt.core.search.SearchEngine.SearchPatternAdapter","1,00",1
"org.eclipse.jdt.core.search.SearchEngine.TypeNameRequestorAdapter","1,50",3
"org.eclipse.jdt.core.search.SearchMatch","1,28",32
"org.eclipse.jdt.core.search.SearchParticipant","1,38",11
"org.eclipse.jdt.core.search.SearchPattern","8,84",283
"org.eclipse.jdt.core.search.SearchRequestor","1,00",4
"org.eclipse.jdt.core.search.TypeDeclarationMatch","1,00",1
"org.eclipse.jdt.core.search.TypeNameMatch","1,17",7
"org.eclipse.jdt.core.search.TypeNameMatchRequestor",n/a,0
"org.eclipse.jdt.core.search.TypeNameRequestor","1,00",1
"org.eclipse.jdt.core.search.TypeParameterDeclarationMatch","1,00",1
"org.eclipse.jdt.core.search.TypeParameterReferenceMatch","1,00",1
"org.eclipse.jdt.core.search.TypeReferenceMatch","1,00",3
"org.eclipse.jdt.core.util.ByteCodeVisitorAdapter","1,00",207
"org.eclipse.jdt.core.util.ClassFileBytesDisassembler",n/a,0
"org.eclipse.jdt.core.util.ClassFormatException","1,00",3
"org.eclipse.jdt.core.util.CompilationUnitSorter","1,80",9
"org.eclipse.jdt.core.util.ExternalAnnotationUtil","4,10",86
"org.eclipse.jdt.core.util.ExternalAnnotationUtil.MergeStrategy",n/a,0
"org.eclipse.jdt.core.util.OpcodeStringValues",n/a,0
"org.eclipse.jdt.internal.codeassist.CompletionElementNotifier","4,45",49
"org.eclipse.jdt.internal.codeassist.CompletionEngine","9,13",2.255
"org.eclipse.jdt.internal.codeassist.CompletionEngine.AcceptedConstructor","1,00",2
"org.eclipse.jdt.internal.codeassist.CompletionEngine.AcceptedType","1,00",2
"org.eclipse.jdt.internal.codeassist.CompletionEngine.CompletionProblemFactory","2,33",14
"org.eclipse.jdt.internal.codeassist.CompletionRequestorWrapper","11,20",56
"org.eclipse.jdt.internal.codeassist.CompletionUnitStructureRequestor","2,86",40
"org.eclipse.jdt.internal.codeassist.InternalCompletionContext","1,53",46
"org.eclipse.jdt.internal.codeassist.InternalCompletionProposal","2,56",159
"org.eclipse.jdt.internal.codeassist.InternalExtendedCompletionContext","7,30",168
"org.eclipse.jdt.internal.codeassist.MissingTypesGuesser","4,32",82
"org.eclipse.jdt.internal.codeassist.MissingTypesGuesser.ResolutionCleaner","1,05",21
"org.eclipse.jdt.internal.codeassist.SelectionEngine","6,69",281
"org.eclipse.jdt.internal.codeassist.SelectionEngine.InheritDocVisitor","3,75",15
"org.eclipse.jdt.internal.codeassist.SelectionEngine.SelectionTypeNameMatchRequestorWrapper","4,50",18
"org.eclipse.jdt.internal.codeassist.SelectionEngine.SelectionTypeNameMatchRequestorWrapper.AcceptedType","1,00",1
"org.eclipse.jdt.internal.codeassist.ThrownExceptionFinder","2,44",39
"org.eclipse.jdt.internal.codeassist.UnresolvedReferenceNameFinder","2,78",100
"org.eclipse.jdt.internal.codeassist.complete.CompletionJavadoc","7,44",67
"org.eclipse.jdt.internal.codeassist.complete.CompletionJavadocParser","6,71",161
"org.eclipse.jdt.internal.codeassist.complete.CompletionNodeDetector","1,05",92
