Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.argouml.cognitive.checklist.CheckManager",0,2,4,6,0,0,0,2,37,27,0,0,0,"2,00",2,4,8
"org.argouml.cognitive.checklist.Checklist",0,2,12,14,0,0,0,2,68,42,0,0,0,"1,17",5,12,14
"org.argouml.cognitive.checklist.ChecklistStatus",0,2,9,11,0,0,0,1,51,38,0,0,0,"1,22",5,9,11
"org.argouml.cognitive.checklist.ui.TabChecklist",1,5,8,13,1,0,0,3,84,69,0,0,0,"1,25",2,10,10
"org.argouml.cognitive.checklist.ui.TableModelChecklist",1,2,17,19,1,0,0,13,92,81,0,0,0,"2,00",6,18,34
"org.argouml.cognitive.critics.Agency",0,6,16,22,0,0,0,1,285,146,0,0,0,"2,00",5,16,32
"org.argouml.cognitive.critics.AndCM",2,1,2,3,1,1,0,1,10,10,1,1,0,"3,00",1,1,3
"org.argouml.cognitive.critics.CompositeCM",3,1,1,2,0,0,0,1,6,6,2,0,0,"1,00",0,1,1
"org.argouml.cognitive.critics.CompoundCritic",0,1,23,24,0,0,0,11,135,110,0,0,0,"1,43",12,23,33
"org.argouml.cognitive.critics.ControlMech",0,0,2,2,0,0,0,1,11,6,0,0,0,"1,00",1,2,2
"org.argouml.cognitive.critics.CrNodesOverlap",0,1,5,6,0,0,0,1,90,78,0,0,0,"4,00",4,5,20
"org.argouml.cognitive.critics.CrZeroLengthEdge",0,1,2,3,0,0,0,1,35,26,0,0,0,"2,00",1,2,4
"org.argouml.cognitive.critics.Critic",0,33,68,101,0,0,0,21,510,262,0,0,0,"1,18",42,68,80
"org.argouml.cognitive.critics.CurDecisionCM",1,0,1,1,0,0,0,1,5,5,0,0,0,"1,00",1,1,1
"org.argouml.cognitive.critics.DesignGoalsCM",1,0,1,1,0,0,0,1,5,5,0,0,0,"1,00",1,1,1
"org.argouml.cognitive.critics.EnabledCM",0,0,1,1,0,0,0,1,5,5,0,0,0,"1,00",1,1,1
"org.argouml.cognitive.critics.HistoryItemCritique",0,0,2,2,0,0,0,0,13,9,0,0,0,"1,50",1,2,3
"org.argouml.cognitive.critics.NotSnoozedCM",1,0,1,1,0,0,0,1,5,5,0,0,0,"1,00",1,1,1
"org.argouml.cognitive.critics.OrCM",1,1,2,3,1,1,0,1,10,10,0,1,0,"3,00",1,1,3
"org.argouml.cognitive.critics.SnoozeOrder",0,4,6,10,0,0,0,1,57,31,0,0,0,"1,33",2,6,8
"org.argouml.cognitive.critics.StandardCM",5,1,3,4,5,2,0,0,8,8,0,2,0,"1,00",0,2,1
"org.argouml.cognitive.critics.ui.CriticBrowserDialog",1,24,13,37,1,0,0,2,312,225,0,0,0,"2,69",0,15,35
"org.argouml.cognitive.critics.ui.TableModelCritics",1,1,11,12,0,0,0,7,62,50,0,0,0,"2,27",6,11,25
"org.argouml.cognitive.ui.AddToDoItemDialog",0,7,2,9,0,0,0,1,93,83,0,0,0,"3,50",0,2,7
"org.argouml.cognitive.ui.DesignIssuesDialog",0,7,4,11,0,0,0,2,139,96,0,0,0,"1,75",0,4,7
"org.argouml.cognitive.ui.DismissToDoItemDialog",0,8,4,12,0,0,0,1,92,77,0,0,0,"2,00",0,4,8
"org.argouml.cognitive.ui.GoListToDecisionsToItems",0,0,12,12,0,0,0,8,88,78,0,0,0,"2,17",8,12,26
"org.argouml.cognitive.ui.GoListToGoalsToItems",0,0,12,12,0,0,0,8,110,78,0,0,0,"2,17",8,12,26
"org.argouml.cognitive.ui.GoListToOffenderToItem",0,0,12,12,0,0,0,8,59,56,0,0,0,"1,75",8,12,21
"org.argouml.cognitive.ui.GoListToPosterToItem",0,0,12,12,0,0,0,8,59,56,0,0,0,"1,75",8,12,21
"org.argouml.cognitive.ui.GoListToPriorityToItem",0,0,11,11,0,0,0,10,83,81,0,0,0,"2,45",7,11,27
"org.argouml.cognitive.ui.GoListToTypeToItem",0,0,11,11,0,0,0,10,86,78,0,0,0,"2,27",7,11,25
"org.argouml.cognitive.ui.GoalsDialog",0,7,4,11,0,0,0,2,139,96,0,0,0,"1,75",0,4,7
"org.argouml.cognitive.ui.KnowledgeTypeNode",1,2,4,6,0,0,0,2,34,26,0,0,0,"1,25",3,4,5
"org.argouml.cognitive.ui.PriorityNode",1,3,5,8,0,0,0,3,29,21,0,0,0,"1,20",4,5,6
"org.argouml.cognitive.ui.TabToDo",0,8,7,15,0,0,0,1,115,59,0,0,0,"1,71",1,7,12
"org.argouml.cognitive.ui.TabToDoTarget",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.argouml.cognitive.ui.ToDoByDecision",0,0,5,5,0,0,0,4,140,89,0,0,0,"4,20",0,5,21
