Class,OCavg,WMC
"org.apache.lucene.analysis.fr.ElisionFilter","1,62",13
"org.apache.lucene.analysis.fr.FrenchAnalyzer","1,50",15
"org.apache.lucene.analysis.fr.FrenchAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.fr.FrenchLightStemFilter","2,00",4
"org.apache.lucene.analysis.fr.FrenchLightStemmer","25,50",51
"org.apache.lucene.analysis.fr.FrenchMinimalStemFilter","2,00",4
"org.apache.lucene.analysis.fr.FrenchMinimalStemmer","9,00",9
"org.apache.lucene.analysis.fr.FrenchStemFilter","1,80",9
"org.apache.lucene.analysis.fr.FrenchStemmer","5,05",101
"org.apache.lucene.analysis.fr.TestElision","1,25",5
"org.apache.lucene.analysis.fr.TestFrenchAnalyzer","1,00",10
"org.apache.lucene.analysis.fr.TestFrenchLightStemFilter","1,00",6
"org.apache.lucene.analysis.fr.TestFrenchMinimalStemFilter","1,00",6
"org.apache.lucene.analysis.ga.IrishAnalyzer","1,20",6
"org.apache.lucene.analysis.ga.IrishAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.ga.IrishLowerCaseFilter","3,00",9
"org.apache.lucene.analysis.ga.TestIrishAnalyzer","1,00",6
"org.apache.lucene.analysis.ga.TestIrishLowerCaseFilter","1,00",3
"org.apache.lucene.analysis.gl.GalicianAnalyzer","1,20",6
"org.apache.lucene.analysis.gl.GalicianAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.gl.GalicianMinimalStemFilter","2,00",4
"org.apache.lucene.analysis.gl.GalicianMinimalStemmer","1,00",1
"org.apache.lucene.analysis.gl.GalicianStemFilter","2,00",4
"org.apache.lucene.analysis.gl.GalicianStemmer","9,00",9
"org.apache.lucene.analysis.gl.TestGalicianAnalyzer","1,00",4
"org.apache.lucene.analysis.gl.TestGalicianMinimalStemFilter","1,00",6
"org.apache.lucene.analysis.gl.TestGalicianStemFilter","1,00",4
"org.apache.lucene.analysis.hi.HindiAnalyzer","1,40",7
"org.apache.lucene.analysis.hi.HindiAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.hi.HindiNormalizationFilter","2,00",4
"org.apache.lucene.analysis.hi.HindiNormalizer","38,00",38
"org.apache.lucene.analysis.hi.HindiStemFilter","2,00",4
"org.apache.lucene.analysis.hi.HindiStemmer","6,00",6
"org.apache.lucene.analysis.hi.TestHindiAnalyzer","1,00",4
"org.apache.lucene.analysis.hi.TestHindiNormalizer","1,00",5
"org.apache.lucene.analysis.hi.TestHindiStemmer","1,00",7
"org.apache.lucene.analysis.hu.HungarianAnalyzer","1,20",6
"org.apache.lucene.analysis.hu.HungarianAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.hu.HungarianLightStemFilter","2,00",4
"org.apache.lucene.analysis.hu.HungarianLightStemmer","8,00",48
