Class,OCavg,WMC
"org.hsqldb.server.Servlet","3,00",12
"org.hsqldb.server.WebServer","1,57",11
"org.hsqldb.server.WebServerConnection","4,33",39
"org.hsqldb.store.BaseHashMap","8,07",218
"org.hsqldb.store.BaseHashMap.BaseHashIterator","2,70",27
"org.hsqldb.store.BaseHashMap.MultiValueKeyIterator","1,25",10
"org.hsqldb.store.BaseHashMap.ValuesIterator","1,43",10
"org.hsqldb.store.BitMap","3,07",89
"org.hsqldb.store.HashIndex","2,40",24
"org.hsqldb.store.ObjectCacheHashMap","1,43",10
"org.hsqldb.store.ObjectCacheHashMap.ObjectCacheIterator",n/a,0
"org.hsqldb.store.ReusableObjectCache","1,00",6
"org.hsqldb.store.ValuePool","1,71",24
"org.hsqldb.store.ValuePoolHashMap","5,33",48
"org.hsqldb.test.AllSimpleTests","1,00",4
"org.hsqldb.test.AllTests","1,00",2
"org.hsqldb.test.BlaineTrig","1,00",2
"org.hsqldb.test.BlankParsedSection","1,00",2
"org.hsqldb.test.ClearTests","1,00",1
"org.hsqldb.test.CountParsedSection","1,75",7
"org.hsqldb.test.DisplaySection","2,50",5
"org.hsqldb.test.ExceptionParsedSection","2,00",6
"org.hsqldb.test.HSQLBug","2,00",2
"org.hsqldb.test.HsqldbTestCase","5,00",10
"org.hsqldb.test.IgnoreParsedSection","1,00",2
"org.hsqldb.test.JDBCBench","7,42",89
"org.hsqldb.test.JDBCBench.ClientThread","6,67",20
"org.hsqldb.test.JDBCBench.MemoryWatcherThread","1,75",7
"org.hsqldb.test.ParsedSection","1,88",15
"org.hsqldb.test.ProceedSection","2,33",7
"org.hsqldb.test.ResultSetParsedSection","3,75",15
"org.hsqldb.test.SilentParsedSection","1,00",3
"org.hsqldb.test.TestAcl","2,47",42
"org.hsqldb.test.TestAll","1,00",1
"org.hsqldb.test.TestAllTypes","3,50",28
"org.hsqldb.test.TestAnother","1,33",4
"org.hsqldb.test.TestAny","2,00",6
"org.hsqldb.test.TestBase","2,14",15
"org.hsqldb.test.TestBatchBug","2,60",13
"org.hsqldb.test.TestBatchExecution","1,40",14
"org.hsqldb.test.TestBug1191815","1,33",4
"org.hsqldb.test.TestBug778213","2,00",6
"org.hsqldb.test.TestBug785429","2,00",6
"org.hsqldb.test.TestBug808460","1,33",4
"org.hsqldb.test.TestCacheSize","2,67",64
"org.hsqldb.test.TestCascade","1,29",9
"org.hsqldb.test.TestCollation","2,62",21
"org.hsqldb.test.TestDataStructures","5,00",55
"org.hsqldb.test.TestDatabaseMetaData","3,67",11
"org.hsqldb.test.TestDateTime","1,00",5
"org.hsqldb.test.TestDbBackup","2,76",58
"org.hsqldb.test.TestDima","2,00",6
"org.hsqldb.test.TestGroupByHaving","2,08",25
"org.hsqldb.test.TestHSQLDB","2,00",2
"org.hsqldb.test.TestHarness","1,43",20
"org.hsqldb.test.TestHashStructures","2,67",64
"org.hsqldb.test.TestINPredicateParameterizationAndCorrelation","1,67",5
"org.hsqldb.test.TestInstantiation","1,50",3
"org.hsqldb.test.TestJDBCGeneratedColumns","3,00",6
"org.hsqldb.test.TestJDBCSavepoints","2,20",11
"org.hsqldb.test.TestKarl","3,00",18
"org.hsqldb.test.TestLibSpeed","9,00",18
"org.hsqldb.test.TestLikePredicateOptimizations","1,67",5
"org.hsqldb.test.TestLobs","1,00",5
"org.hsqldb.test.TestMerge","1,20",18
"org.hsqldb.test.TestMultiInsert","1,50",9
"org.hsqldb.test.TestMultipleConnections","1,33",4
"org.hsqldb.test.TestNitin","7,00",7
"org.hsqldb.test.TestObjectSize","2,00",4
"org.hsqldb.test.TestPreparedSubQueries","3,00",9
"org.hsqldb.test.TestPreparedSubQueries.sqlStmt","1,00",1
"org.hsqldb.test.TestQuotes","2,67",8
"org.hsqldb.test.TestSchemaParse","1,62",42
"org.hsqldb.test.TestScript","1,00",3
"org.hsqldb.test.TestScriptRunner","6,00",42
"org.hsqldb.test.TestScriptRunner.ScriptRun","1,25",5
"org.hsqldb.test.TestScripts","4,80",24
"org.hsqldb.test.TestSelf","4,58",55
"org.hsqldb.test.TestSql","3,50",42
"org.hsqldb.test.TestSqlPersistent","1,83",11
"org.hsqldb.test.TestStoredProcedure","1,25",5
"org.hsqldb.test.TestStressInsert","1,60",8
"org.hsqldb.test.TestSubQueriesInPreparedStatements","5,00",10
"org.hsqldb.test.TestSubselect","1,14",24
"org.hsqldb.test.TestTextTable","1,20",18
"org.hsqldb.test.TestTextTable.TextTableDescriptor","1,40",14
"org.hsqldb.test.TestTextTables","1,00",5
"org.hsqldb.test.TestUtil","4,56",41
"org.hsqldb.test.TestUtil.TestRuntimeException","1,00",3
"org.hsqldb.test.TestViewAsterisks","1,57",33
"org.hsqldb.test.UpdateParsedSection","1,25",5
"org.hsqldb.test.WaitSection","3,00",9
"org.hsqldb.test.Waiter","2,00",12
"org.hsqldb.types.BinaryData","1,38",36
"org.hsqldb.types.BinaryType","4,12",132
"org.hsqldb.types.BitType","3,41",92
"org.hsqldb.types.BlobDataID","1,00",22
"org.hsqldb.types.BlobDataRemoteClient","1,07",29
"org.hsqldb.types.BlobInputStream","2,00",16
"org.hsqldb.types.BlobType","2,06",33
"org.hsqldb.types.BooleanType","2,78",50
"org.hsqldb.types.CharacterType","4,94",178
"org.hsqldb.types.Charset","1,00",10
"org.hsqldb.types.ClobDataID","1,00",24
"org.hsqldb.types.ClobDataMemory","1,21",35
"org.hsqldb.types.ClobDataRemoteClient","1,07",30
"org.hsqldb.types.ClobInputStream","2,25",18
"org.hsqldb.types.ClobType","2,12",36
"org.hsqldb.types.DTIType","6,75",81
"org.hsqldb.types.DateTimeType","6,78",278
"org.hsqldb.types.IntervalMonthData","1,62",13
"org.hsqldb.types.IntervalSecondData","1,77",23
"org.hsqldb.types.IntervalType","6,00",294
"org.hsqldb.types.JavaObjectData","1,00",6
"org.hsqldb.types.NullType","1,00",16
"org.hsqldb.types.NumberType","7,33",330
"org.hsqldb.types.OtherType","1,55",31
"org.hsqldb.types.TimeData","1,75",14
"org.hsqldb.types.TimestampData","1,44",13
"org.hsqldb.types.Type","1,95",115
"org.hsqldb.types.UserTypeModifier","1,74",33
"org.hsqldb.util.CSVWriter","2,00",12
"org.hsqldb.util.CodeSwitcher","5,25",63
"org.hsqldb.util.CommonSwing","3,83",23
"org.hsqldb.util.ConnectionDialog","2,10",21
"org.hsqldb.util.ConnectionDialogCommon","3,67",22
"org.hsqldb.util.ConnectionDialogSwing","2,44",22
"org.hsqldb.util.ConnectionSetting","1,44",13
"org.hsqldb.util.DataAccessPoint","1,00",19
"org.hsqldb.util.DataAccessPointException","1,00",2
"org.hsqldb.util.DatabaseManager","5,47",164
"org.hsqldb.util.DatabaseManagerCommon","2,38",19
"org.hsqldb.util.DatabaseManagerSwing","4,43",270
"org.hsqldb.util.DatabaseManagerSwing.DBMPrefs","9,33",28
"org.hsqldb.util.DatabaseManagerSwing.StatementExecRunnable","2,00",2
"org.hsqldb.util.FontDialogSwing","1,58",19
"org.hsqldb.util.Grid","2,17",50
"org.hsqldb.util.GridSwing","1,79",25
"org.hsqldb.util.HelperFactory","4,00",8
"org.hsqldb.util.HsqldbTransferHelper","1,38",11
"org.hsqldb.util.InformixTransferHelper","1,80",9
"org.hsqldb.util.JDBCTypes","1,00",4
"org.hsqldb.util.MainInvoker","3,33",10
"org.hsqldb.util.McKoiTransferHelper","1,40",7
"org.hsqldb.util.OracleTransferHelper","2,00",16
"org.hsqldb.util.PostgresTransferHelper","2,29",16
"org.hsqldb.util.SQLStatements",n/a,0
"org.hsqldb.util.SqlServerTransferHelper","3,00",18
"org.hsqldb.util.TableSorter","1,86",54
"org.hsqldb.util.TableSorter.Arrow","2,25",9
"org.hsqldb.util.TableSorter.Directive","1,00",1
"org.hsqldb.util.TableSorter.MouseHandler","4,00",4
"org.hsqldb.util.TableSorter.Row","4,00",8
"org.hsqldb.util.TableSorter.SortableHeaderRenderer","1,50",3
"org.hsqldb.util.TableSorter.TableModelHandler","4,00",4
"org.hsqldb.util.Transfer","4,27",128
"org.hsqldb.util.TransferCommon","2,33",7
"org.hsqldb.util.TransferDb","5,06",91
"org.hsqldb.util.TransferHelper","1,47",25
"org.hsqldb.util.TransferResultSet","2,38",19
"org.hsqldb.util.TransferSQLText","6,92",90
"org.hsqldb.util.TransferSQLText.ColumnDef","1,00",1
"org.hsqldb.util.TransferTable","7,00",49
"org.hsqldb.util.Tree","2,35",40
"org.hsqldb.util.ZaurusChoice","1,36",15
"org.hsqldb.util.ZaurusConnectionDialog","1,90",19
"org.hsqldb.util.ZaurusDatabaseManager","8,78",79
"org.hsqldb.util.ZaurusEditor","3,85",50
"org.hsqldb.util.ZaurusTableForm","4,36",109
"org.hsqldb.util.ZaurusTextField","1,11",10
"org.hsqldb.util.preprocessor.AntResolver","1,00",3
"org.hsqldb.util.preprocessor.BasicResolver","1,33",4
