Method,ev(G),iv(G),v(G)
"org.apache.karaf.bundle.command.TestBundleFactory.createBundleContext()",1,1,1
"org.apache.karaf.bundle.command.TestBundleFactory.createBundles()",1,1,1
"org.apache.karaf.bundle.command.TestBundleFactory.createServiceRef(Object...)",2,2,3
"org.apache.karaf.bundle.command.Uninstall.Uninstall()",1,1,1
"org.apache.karaf.bundle.command.Uninstall.executeOnBundle(Bundle)",1,1,1
"org.apache.karaf.bundle.command.Update.doExecute(Bundle)",1,4,4
"org.apache.karaf.bundle.command.Update.update(Bundle,URL)",1,1,1
"org.apache.karaf.bundle.command.Watch.execute()",2,17,18
"org.apache.karaf.bundle.command.Watch.setBundleWatcher(BundleWatcher)",1,1,1
"org.apache.karaf.bundle.command.bundletree.Node.Node(T)",1,1,1
"org.apache.karaf.bundle.command.bundletree.Node.Node(T,Node<T>)",1,1,1
"org.apache.karaf.bundle.command.bundletree.Node.addChild(T)",1,1,1
"org.apache.karaf.bundle.command.bundletree.Node.concat(boolean[],boolean)",1,1,2
"org.apache.karaf.bundle.command.bundletree.Node.flatten()",1,2,2
"org.apache.karaf.bundle.command.bundletree.Node.getChildren()",1,1,1
"org.apache.karaf.bundle.command.bundletree.Node.getValue()",1,1,1
"org.apache.karaf.bundle.command.bundletree.Node.hasAncestor(T)",2,3,3
"org.apache.karaf.bundle.command.bundletree.Node.hasChild(T)",3,2,3
"org.apache.karaf.bundle.command.bundletree.Node.hasNextSibling()",2,3,3
"org.apache.karaf.bundle.command.bundletree.Node.write(PrintWriter,Converter<T>,boolean...)",1,3,4
"org.apache.karaf.bundle.command.bundletree.Tree.Tree(T)",1,1,1
"org.apache.karaf.bundle.command.bundletree.Tree.write(PrintStream)",1,1,1
"org.apache.karaf.bundle.command.bundletree.Tree.write(PrintStream,Converter<T>)",1,1,1
"org.apache.karaf.bundle.command.bundletree.Tree.write(PrintWriter)",1,1,1
"org.apache.karaf.bundle.command.bundletree.Tree.write(PrintWriter,Converter<T>)",1,2,2
"org.apache.karaf.bundle.command.bundletree.TreeTest.flattenTree()",1,1,1
"org.apache.karaf.bundle.command.bundletree.TreeTest.hasAncestor()",1,1,1
"org.apache.karaf.bundle.command.bundletree.TreeTest.read(Tree<String>)",1,1,1
"org.apache.karaf.bundle.command.bundletree.TreeTest.writeTreeWithChildAndGrandChild()",1,1,1
"org.apache.karaf.bundle.command.bundletree.TreeTest.writeTreeWithOneChild()",1,1,1
"org.apache.karaf.bundle.command.bundletree.TreeTest.writeTreeWithOneChildAndNodeConverter()",1,1,1
"org.apache.karaf.bundle.command.bundletree.TreeTest.writeTreeWithTwoChildrenAndOneGrandchild()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.BundleInfoImpl(Bundle,BundleState)",1,3,3
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.getBundleId()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.getBundleState(Bundle)",1,1,2
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.getFragmentHosts()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.getFragmentHosts(BundleRevision)",1,4,4
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.getFragments()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.getFragments(BundleRevision)",1,3,3
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.getName()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.getRevisions()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.getStartLevel()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.getState()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.getSymbolicName()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.getUpdateLocation()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.getVersion()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.isFragment()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.populateFragementInfos(Bundle)",2,3,4
"org.apache.karaf.bundle.core.internal.BundleInfoImpl.populateRevisions(Bundle)",2,1,3
"org.apache.karaf.bundle.core.internal.BundleSelectorImpl.BundleSelectorImpl(BundleContext)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleSelectorImpl.addBundle(Bundle,String,List<Bundle>)",1,2,2
"org.apache.karaf.bundle.core.internal.BundleSelectorImpl.addMatchingBundles(String,List<Bundle>)",3,8,8
"org.apache.karaf.bundle.core.internal.BundleSelectorImpl.getBundleById(String)",1,1,2
"org.apache.karaf.bundle.core.internal.BundleSelectorImpl.getBundleByName(String)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleSelectorImpl.getBundleByNameAndVersion(String,String)",3,12,13
"org.apache.karaf.bundle.core.internal.BundleSelectorImpl.getBundlesByLocation(String)",1,3,3
"org.apache.karaf.bundle.core.internal.BundleSelectorImpl.selectBundles(List<String>,boolean)",4,5,6
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.BundleServiceImpl(BundleContext)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.canBeSatisfied(BundleRequirement)",5,4,5
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.disableDynamicImports(Bundle)",1,5,5
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.doGetBundle(BundleContext,String)",4,3,4
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.doGetBundleContext(String)",5,4,6
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.doSelectBundles(BundleContext,List<String>,boolean)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.enableDynamicImports(Bundle)",1,2,2
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.explode(Set<String>)",2,3,4
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.filter(List<Bundle>)",2,3,4
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.getBundle(String)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.getBundle(String,String)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.getDiag(Bundle)",1,5,5
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.getInfo(Bundle)",1,2,3
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.getSystemBundleThreshold()",1,2,3
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.getUnsatisfiedRequirements(Bundle,String)",1,4,4
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.getWiredBundles(Bundle)",1,6,6
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.isDynamicImport(Bundle)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.registerBundleStateService(BundleStateService)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.selectBundles(List<String>,boolean)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.selectBundles(String,List<String>,boolean)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleServiceImpl.unregisterBundleStateService(BundleStateService)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.BundleWatcherImpl(BundleContext,MavenConfigService,BundleService)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.add(String)",1,4,4
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.bundleChanged(BundleEvent)",1,3,3
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.getBundleExternalLocation(File,Bundle)",1,2,2
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.getBundlesByURL(String)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.getInterval()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.getLocation(Bundle)",1,2,2
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.getWatchURLs()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.isMavenSnapshotUrl(String)",1,2,2
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.isRunning()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.remove(String)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.run()",1,18,18
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.setInterval(long)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.setWatchURLs(List<String>)",1,1,1
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.start()",1,3,3
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.stop()",1,1,1
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl.updateBundleIfNecessary(File,List<Bundle>,Bundle)",1,6,6
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.BundlesMBeanImpl(BundleContext,BundleService)",1,1,1
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.getBundleContext()",1,1,1
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.getBundleStartLevel(Bundle)",1,1,1
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.getBundles()",1,4,4
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.getDiag(long)",2,1,2
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.getFrameworkWiring()",1,1,1
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.getStartLevel(String)",2,2,3
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.install(String)",1,1,1
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.install(String,boolean)",1,3,3
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.refresh()",1,1,1
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.refresh(String)",1,3,3
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.resolve()",1,1,1
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.resolve(String)",1,2,2
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.restart(String)",1,3,3
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.selectBundles(String)",1,1,1
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.setBundleContext(BundleContext)",1,1,1
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.setStartLevel(String,int)",1,3,3
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.start(String)",1,3,3
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.stop(String)",1,3,3
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.uninstall(String)",1,3,3
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.update(String)",1,1,1
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl.update(String,String)",3,4,5
"org.apache.karaf.bundle.core.internal.MavenConfigService.MavenConfigService(ConfigurationAdmin)",1,1,1
"org.apache.karaf.bundle.core.internal.MavenConfigService.getLocalRepoFromConfig(Dictionary<String, Object>)",1,9,9
"org.apache.karaf.bundle.core.internal.MavenConfigService.getLocalRepository()",2,5,5
"org.apache.karaf.bundle.core.internal.MavenConfigServiceTest.testLocalRepoEmpty()",1,1,1
"org.apache.karaf.bundle.core.internal.MavenConfigServiceTest.testLocalRepoExplicit()",1,1,1
"org.apache.karaf.bundle.core.internal.MavenConfigServiceTest.testLocalRepoFromSettings()",1,1,1
"org.apache.karaf.bundle.core.internal.MavenConfigServiceTest.testLocalRepoFromSettingsNs()",1,1,1
"org.apache.karaf.bundle.core.internal.osgi.Activator.doStart()",2,1,2
"org.apache.karaf.bundle.core.internal.osgi.Activator.doStop()",1,3,3
"org.apache.karaf.bundle.state.blueprint.internal.Activator.start(BundleContext)",1,1,1
"org.apache.karaf.bundle.state.blueprint.internal.Activator.stop(BundleContext)",1,1,1
"org.apache.karaf.bundle.state.blueprint.internal.BlueprintStateService.BlueprintStateService()",1,1,1
