Chidamber-Kemerer metrics,Qua, 13 dez 2017 16:00:49 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.hsqldb.ParserDDL",64,4,2,1,331,607
"org.hsqldb.ParserDML",47,2,1,1,93,127
"org.hsqldb.ParserDQL",64,1,1,1,281,627
"org.hsqldb.ParserDQL.CompileContext",32,0,1,0,30,29
"org.hsqldb.ParserRoutine",46,3,1,1,125,188
"org.hsqldb.QueryExpression",48,0,7,1,99,104
"org.hsqldb.QuerySpecification",60,1,1,0,202,280
"org.hsqldb.RangeVariable",48,0,1,0,77,89
"org.hsqldb.RangeVariable.FullRangeIterator",13,2,2,0,12,7
"org.hsqldb.RangeVariable.JoinedRangeIterator",6,2,3,0,7,8
"org.hsqldb.RangeVariable.RangeIteratorBase",15,0,3,1,16,17
"org.hsqldb.RangeVariable.RangeIteratorMain",18,1,2,2,35,41
"org.hsqldb.RangeVariableResolver",24,0,1,0,67,89
"org.hsqldb.Routine",37,0,9,0,78,101
"org.hsqldb.RoutineSchema",18,0,5,0,26,38
"org.hsqldb.Row",43,0,11,1,31,33
"org.hsqldb.RowAction",14,1,1,0,24,100
"org.hsqldb.RowActionBase",9,0,0,1,2,1
"org.hsqldb.Scanner",42,0,1,0,103,309
"org.hsqldb.Schema",19,0,7,0,30,26
"org.hsqldb.SchemaManager",58,0,1,0,184,238
"org.hsqldb.SchemaObject",n/a,n/a,n/a,n/a,9,n/a
"org.hsqldb.SchemaObject.ParameterModes",n/a,n/a,n/a,n/a,0,n/a
"org.hsqldb.SchemaObject.ViewCheckModes",n/a,n/a,n/a,n/a,0,n/a
"org.hsqldb.SchemaObjectSet",23,0,1,0,47,67
"org.hsqldb.Session",140,0,10,0,247,239
"org.hsqldb.SessionContext",31,0,1,0,32,25
"org.hsqldb.SessionData",47,0,2,0,74,41
"org.hsqldb.SessionInterface",n/a,n/a,n/a,n/a,29,n/a
"org.hsqldb.SessionManager",25,0,1,0,38,22
"org.hsqldb.SetFunction",15,0,1,0,25,96
"org.hsqldb.SortAndSlice",11,0,2,0,20,18
"org.hsqldb.SqlInvariants",30,0,2,0,13,7
"org.hsqldb.Statement",30,0,27,6,32,30
"org.hsqldb.StatementCommand",34,1,1,0,100,115
"org.hsqldb.StatementCompound",23,1,5,0,64,100
"org.hsqldb.StatementDML",48,2,1,0,114,138
"org.hsqldb.StatementDMQL",43,1,2,4,85,90
"org.hsqldb.StatementHandler",13,1,2,0,27,28
"org.hsqldb.StatementInsert",29,2,1,0,42,20
"org.hsqldb.StatementManager",14,0,1,0,44,31
"org.hsqldb.StatementProcedure",22,2,3,0,31,22
"org.hsqldb.StatementQuery",18,2,2,0,14,11
"org.hsqldb.StatementSchema",40,1,2,1,111,142
"org.hsqldb.StatementSchemaDefinition",23,2,1,0,34,23
"org.hsqldb.StatementSimple",19,1,5,0,30,43
"org.hsqldb.StatementTypes",n/a,n/a,n/a,n/a,0,n/a
"org.hsqldb.SubQuery",32,0,1,0,41,34
"org.hsqldb.Table",96,1,8,2,313,397
"org.hsqldb.TableBase",66,0,5,1,69,71
"org.hsqldb.TableDerived",24,2,4,1,22,20
"org.hsqldb.TableUtil",17,0,2,0,25,13
"org.hsqldb.TableWorks",36,0,1,0,136,122
"org.hsqldb.TextTable",26,2,4,0,54,42
"org.hsqldb.Token",19,0,1,0,11,19
"org.hsqldb.Tokens",64,0,2,0,13,9
"org.hsqldb.TransactionManager",41,0,3,0,121,152
"org.hsqldb.Trigger",n/a,n/a,n/a,n/a,1,n/a
"org.hsqldb.TriggerDef",25,0,11,1,46,58
"org.hsqldb.TriggerDef.DefaultTrigger",2,0,1,0,1,1
"org.hsqldb.TriggerDef.TriggerData",2,0,0,0,2,1
"org.hsqldb.TriggerDefSQL",14,1,5,0,14,23
"org.hsqldb.Types",53,0,2,0,19,115
"org.hsqldb.View",28,3,5,0,37,24
"org.hsqldb.cmdline.SqlFile",22,0,1,0,118,746
"org.hsqldb.cmdline.SqlFile.BadSpecial",2,1,0,0,4,4
"org.hsqldb.cmdline.SqlFile.BadSubst",1,0,0,0,1,1
"org.hsqldb.cmdline.SqlFile.BooleanBucket",1,0,1,0,3,3
"org.hsqldb.cmdline.SqlFile.BreakException",2,2,0,0,4,2
"org.hsqldb.cmdline.SqlFile.ContinueException",2,2,0,0,4,2
"org.hsqldb.cmdline.SqlFile.QuitNow",2,2,0,0,4,2
"org.hsqldb.cmdline.SqlFile.RowError",2,1,0,0,5,3
"org.hsqldb.cmdline.SqlFile.ToolLogger",3,0,3,0,19,25
"org.hsqldb.cmdline.SqlTool",11,0,1,0,27,79
"org.hsqldb.cmdline.SqlTool.BadCmdline",1,0,0,0,1,1
"org.hsqldb.cmdline.SqlTool.PrivateException",1,0,0,0,2,2
"org.hsqldb.cmdline.SqlTool.SqlToolException",2,0,0,0,3,3
"org.hsqldb.cmdline.SqlToolError",7,1,0,3,6,4
"org.hsqldb.cmdline.SqlToolSprayer",3,0,1,0,2,19
"org.hsqldb.cmdline.SqltoolRB",5,1,1,0,3,12
"org.hsqldb.cmdline.sqltool.SqlFileScanner",7,0,6,0,48,185
"org.hsqldb.cmdline.sqltool.Token",4,0,1,0,9,23
"org.hsqldb.cmdline.sqltool.TokenList",3,0,2,0,4,5
"org.hsqldb.cmdline.sqltool.TokenSource",n/a,n/a,n/a,n/a,1,n/a
"org.hsqldb.dbinfo.DINameSpace",14,0,6,0,22,20
"org.hsqldb.dbinfo.DIProcedureInfo",11,0,2,0,41,73
"org.hsqldb.dbinfo.DITableInfo",14,0,9,0,79,82
"org.hsqldb.dbinfo.DITypeInfo",6,0,4,0,56,176
"org.hsqldb.dbinfo.DatabaseInformation",9,0,5,1,10,8
"org.hsqldb.dbinfo.DatabaseInformationFull",57,2,1,0,253,348
"org.hsqldb.dbinfo.DatabaseInformationMain",42,1,1,1,224,146
"org.hsqldb.index.BaseMemoryNode",5,1,2,2,16,16
"org.hsqldb.index.DiskNode",9,1,1,0,32,39
"org.hsqldb.index.Index",45,0,7,0,93,205
"org.hsqldb.index.Index.IndexRowIterator",9,0,1,0,9,9
"org.hsqldb.index.MemoryNode",3,2,2,0,3,3
"org.hsqldb.index.Node",16,0,16,2,17,0
"org.hsqldb.index.PointerNode",6,2,2,0,7,6
"org.hsqldb.jdbc.JDBCBlob",6,0,2,0,22,52
"org.hsqldb.jdbc.JDBCBlobClient",8,0,2,0,28,14
"org.hsqldb.jdbc.JDBCCallableStatement",11,2,5,0,166,124
"org.hsqldb.jdbc.JDBCClob",6,0,1,1,21,48
"org.hsqldb.jdbc.JDBCClobClient",5,0,8,0,22,14
"org.hsqldb.jdbc.JDBCColumnMetaData",2,0,1,0,2,4
"org.hsqldb.jdbc.JDBCConnection",33,0,2,0,105,128
"org.hsqldb.jdbc.JDBCDataSource",3,0,5,0,17,18
"org.hsqldb.jdbc.JDBCDataSourceFactory",1,0,1,0,5,2
"org.hsqldb.jdbc.JDBCDatabaseMetaData",11,0,134,0,195,225
"org.hsqldb.jdbc.JDBCDriver",11,0,5,1,15,18
"org.hsqldb.jdbc.JDBCNClob",3,1,0,0,4,2
"org.hsqldb.jdbc.JDBCParameterMetaData",5,0,2,0,24,26
"org.hsqldb.jdbc.JDBCPreparedStatement",37,1,43,1,194,239
"org.hsqldb.jdbc.JDBCResultSet",39,0,42,0,294,333
"org.hsqldb.jdbc.JDBCResultSetMetaData",11,0,2,0,48,43
"org.hsqldb.jdbc.JDBCRowId",4,0,1,0,13,11
"org.hsqldb.jdbc.JDBCSQLXML",9,0,3,0,78,96
"org.hsqldb.jdbc.JDBCSQLXML.Exceptions",3,0,3,0,11,10
"org.hsqldb.jdbc.JDBCSQLXML.SAX2DOMBuilder",1,0,1,0,21,28
"org.hsqldb.jdbc.JDBCSQLXML.SAX2XMLStreamWriter",2,0,1,0,20,25
"org.hsqldb.jdbc.JDBCSQLXML.SAX2XMLStreamWriter.QualifiedName",1,0,0,0,1,1
"org.hsqldb.jdbc.JDBCSavepoint",2,0,1,0,8,10
"org.hsqldb.jdbc.JDBCStatement",10,1,17,0,74,68
"org.hsqldb.jdbc.StatementBase",9,0,1,2,19,26
"org.hsqldb.jdbc.Util",26,0,3,0,31,28
"org.hsqldb.jdbc.pool.BaseConnectionWrapper",4,0,1,2,52,51
