Class,OCavg,WMC
"fr.jayasoft.ivy.repository.vfs.VfsRepository","2,00",16
"fr.jayasoft.ivy.repository.vfs.VfsResource","1,36",19
"fr.jayasoft.ivy.repository.vsftp.VsftpRepository","2,25",108
"fr.jayasoft.ivy.repository.vsftp.VsftpResource","1,00",4
"fr.jayasoft.ivy.resolver.AbstractResolver","1,46",57
"fr.jayasoft.ivy.resolver.AbstractResourceResolver","1,74",40
"fr.jayasoft.ivy.resolver.AbstractSshBasedResolver","1,20",12
"fr.jayasoft.ivy.resolver.ApacheHttpURLLister","1,00",3
"fr.jayasoft.ivy.resolver.BasicResolver","2,94",144
"fr.jayasoft.ivy.resolver.CacheResolver","1,69",22
"fr.jayasoft.ivy.resolver.ChainResolver","2,53",48
"fr.jayasoft.ivy.resolver.ChainResolver.ResolvedModuleRevisionArtifactInfo","1,00",3
"fr.jayasoft.ivy.resolver.DualResolver","1,57",22
"fr.jayasoft.ivy.resolver.FileSystemResolver","1,00",5
"fr.jayasoft.ivy.resolver.FileURLLister","1,80",9
"fr.jayasoft.ivy.resolver.IBiblioResolver","1,62",39
"fr.jayasoft.ivy.resolver.IvyRepResolver","1,75",49
"fr.jayasoft.ivy.resolver.MDResolvedResource","1,00",2
"fr.jayasoft.ivy.resolver.ModuleEntry","1,00",5
"fr.jayasoft.ivy.resolver.OrganisationEntry","1,00",3
"fr.jayasoft.ivy.resolver.RepositoryResolver","2,33",42
"fr.jayasoft.ivy.resolver.ResolvedModuleRevisionProxy","1,22",11
"fr.jayasoft.ivy.resolver.ResolvedResource","1,00",5
"fr.jayasoft.ivy.resolver.ResolverHelper","5,50",33
"fr.jayasoft.ivy.resolver.RevisionEntry","1,00",7
"fr.jayasoft.ivy.resolver.SFTPResolver","1,00",3
"fr.jayasoft.ivy.resolver.SshResolver","1,17",7
"fr.jayasoft.ivy.resolver.URLResolver","1,00",2
"fr.jayasoft.ivy.resolver.VfsResolver","1,50",6
"fr.jayasoft.ivy.resolver.VsftpResolver","1,00",12
"fr.jayasoft.ivy.status.Status","1,00",6
"fr.jayasoft.ivy.status.StatusManager","2,08",27
"fr.jayasoft.ivy.tools.analyser.JarJarDependencyAnalyser","2,33",7
"fr.jayasoft.ivy.tools.analyser.JarModule","1,00",4
"fr.jayasoft.ivy.tools.analyser.JarModuleFinder","2,67",8
"fr.jayasoft.ivy.tools.analyser.RepositoryAnalyser","2,00",4
"fr.jayasoft.ivy.url.AbstractURLHandler","1,00",6
"fr.jayasoft.ivy.url.ApacheURLLister","2,50",10
"fr.jayasoft.ivy.url.BasicURLHandler","3,80",19
"fr.jayasoft.ivy.url.CredentialsStore","1,33",4
