Class,CBO,Command,CSA,CSO,CSOA,Cyclic,DIT,Dpt,Inner,Inner,LCOM,LOC,MPC,NAAC,NAIC,NCLOC,NOAC,NOC,NOIC,NOOC,NTP,OCavg,OCmax,OPavg,OSavg,OSmax,Query,RFC,STAT,SUB,WMC
"org.apache.tools.ant.helper.IgnoreDependenciesExecutor",6,1,1,16,17,0,1,0,0,1,2,39,4,1,0,29,2,0,11,0,0,"3,00",5,"1,00","8,00",15,1,7,16,0,6
"org.apache.tools.ant.helper.ProjectHelper2",25,6,9,34,43,294,2,8,6,0,4,292,46,7,2,199,10,0,16,3,0,"2,54",1,"1,08","9,31",1,7,86,121,0,33
"org.apache.tools.ant.helper.ProjectHelper2.AntHandler",7,5,0,18,18,294,1,6,0,0,6,98,4,0,0,24,6,4,11,0,0,"1,17",2,"3,67","0,67",3,1,11,4,4,7
"org.apache.tools.ant.helper.ProjectHelper2.ElementHandler",11,3,0,23,23,294,2,1,0,0,4,142,46,0,0,70,0,0,13,4,0,"2,60",9,"3,40","8,60",39,1,45,43,0,13
"org.apache.tools.ant.helper.ProjectHelper2.MainHandler",4,0,0,19,19,294,2,1,0,0,1,31,6,0,0,15,0,0,16,1,0,"3,00",3,"5,00","5,00",5,1,4,5,0,3
"org.apache.tools.ant.helper.ProjectHelper2.ProjectHandler",10,1,0,20,20,294,2,1,0,0,2,179,75,0,0,118,0,0,15,2,0,"14,00",26,"5,00","35,00",69,1,44,70,0,28
"org.apache.tools.ant.helper.ProjectHelper2.RootHandler",5,6,3,56,59,294,2,1,0,4,1,141,32,3,0,65,1,0,21,7,0,"1,33",3,"2,00","3,56",15,2,35,32,0,12
"org.apache.tools.ant.helper.ProjectHelper2.TargetHandler",10,2,0,22,22,294,2,1,0,0,3,207,75,0,0,152,1,0,14,3,0,"9,00",30,"3,50","23,25",82,2,53,93,0,36
"org.apache.tools.ant.helper.ProjectHelperImpl",16,3,9,25,34,294,2,9,8,0,1,140,9,7,2,84,2,0,18,1,0,"2,75",3,"2,25","12,00",5,0,48,48,0,11
"org.apache.tools.ant.helper.ProjectHelperImpl.AbstractHandler",7,3,2,45,47,294,2,6,0,4,1,93,4,2,0,21,0,6,22,3,0,"1,25",2,"2,00","2,00",3,0,9,8,6,5
"org.apache.tools.ant.helper.ProjectHelperImpl.DataTypeHandler",7,3,5,49,54,294,3,1,0,4,1,83,7,3,2,29,1,0,24,2,0,"1,25",2,"2,50","3,00",8,0,15,12,0,5
"org.apache.tools.ant.helper.ProjectHelperImpl.DescriptionHandler",3,1,2,47,49,294,3,1,0,4,1,33,4,0,2,15,0,0,26,1,0,"1,50",2,"2,50","3,00",5,0,6,6,0,3
"org.apache.tools.ant.helper.ProjectHelperImpl.NestedElementHandler",12,3,7,49,56,294,3,2,0,4,1,125,15,5,2,54,1,0,24,2,0,"1,75",2,"3,00","6,25",15,0,22,25,0,7
"org.apache.tools.ant.helper.ProjectHelperImpl.ProjectHandler",7,3,2,49,51,294,3,1,0,4,1,120,28,0,2,66,2,0,26,1,0,"4,00",12,"2,00","10,00",35,0,25,40,0,16
"org.apache.tools.ant.helper.ProjectHelperImpl.RootHandler",4,2,1,45,46,294,2,1,0,4,1,72,14,1,0,39,0,0,22,3,0,"1,75",3,"1,50","4,50",13,1,20,18,0,7
"org.apache.tools.ant.helper.ProjectHelperImpl.TargetHandler",7,2,3,48,51,294,3,1,0,4,1,98,22,1,2,58,1,0,26,1,0,"4,67",12,"2,00","13,67",39,0,22,41,0,14
"org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler",12,3,7,49,56,294,3,2,0,4,1,125,15,5,2,47,1,0,24,2,0,"1,75",3,"3,00","5,75",15,0,21,23,0,7
"org.apache.tools.ant.helper.SingleCheckExecutor",5,1,0,16,16,294,1,2,0,1,2,18,3,0,0,10,2,0,11,0,0,"1,00",1,"1,00","1,00",1,1,5,2,0,2
"org.apache.tools.ant.input.DefaultInputHandler",11,1,0,17,17,294,1,6,0,1,1,88,21,0,0,60,3,4,11,0,0,"3,00",7,"0,50","8,75",19,2,22,35,4,12
"org.apache.tools.ant.input.GreedyInputHandler",6,1,0,19,19,0,2,1,0,1,1,51,13,0,0,36,0,0,13,1,0,"2,00",3,"0,50","10,00",20,0,19,20,0,4
"org.apache.tools.ant.input.InputHandler",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.input.InputRequest",7,2,3,19,22,0,1,7,0,0,4,64,0,3,0,29,6,1,11,0,0,"1,14",2,"0,43","1,29",3,4,8,9,1,8
"org.apache.tools.ant.input.MultipleChoiceInputRequest",3,0,4,22,26,0,2,2,0,0,1,32,6,1,3,16,1,0,16,1,0,"1,33",2,"0,67","2,00",4,2,11,6,0,4
"org.apache.tools.ant.input.PropertyFileInputHandler",7,2,2,16,18,0,1,4,0,1,1,58,10,2,0,36,2,0,11,0,0,"2,33",3,"0,33","5,00",8,0,14,15,0,7
"org.apache.tools.ant.input.SecureInputHandler",5,1,0,19,19,0,2,1,0,1,1,35,7,0,0,19,0,0,13,1,0,"1,50",2,"0,50","4,00",8,0,10,8,0,3
"org.apache.tools.ant.launch.AntMain",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.launch.LaunchException",1,0,6,44,50,0,3,1,0,1,0,17,1,1,5,6,0,0,26,0,0,"1,00",1,"1,00","1,00",1,0,2,1,0,1
"org.apache.tools.ant.launch.Launcher",7,4,10,22,32,0,1,3,0,0,1,341,99,10,0,230,9,0,11,0,0,"4,60",21,"1,60","14,80",87,5,54,148,0,46
"org.apache.tools.ant.launch.Locator",10,0,13,24,37,0,1,9,0,0,1,471,101,13,0,269,11,0,11,0,0,"4,08",12,"1,00","13,62",39,11,63,177,0,53
"org.apache.tools.ant.listener.AnsiColorLogger",2,2,21,43,64,0,2,0,0,3,1,208,23,16,5,105,1,0,27,1,0,"8,50",9,"1,50","28,50",29,0,15,57,0,17
"org.apache.tools.ant.listener.BigProjectLogger",8,7,10,61,71,0,4,0,0,4,2,151,29,4,6,81,6,0,25,6,0,"1,50",3,"0,67","2,58",5,5,27,31,0,18
"org.apache.tools.ant.listener.CommonsLoggingListener",7,12,6,37,43,0,1,0,0,3,3,272,84,6,0,194,13,0,11,0,0,"3,14",10,"1,21","8,00",31,1,29,112,0,44
"org.apache.tools.ant.listener.Log4jListener",5,7,2,27,29,0,1,0,0,2,1,137,61,2,0,98,7,0,11,0,0,"3,38",10,"0,88","7,25",26,0,18,58,0,27
"org.apache.tools.ant.listener.MailLogger",15,4,7,47,54,0,2,0,1,3,1,250,85,2,5,158,4,0,26,2,0,"3,83",7,"1,83","14,83",31,2,102,89,0,23
"org.apache.tools.ant.listener.MailLogger.Values",1,0,15,42,57,0,1,1,0,0,15,122,0,15,0,122,30,0,11,0,0,"1,00",1,"0,50","1,50",2,30,30,45,0,30
"org.apache.tools.ant.listener.ProfileLogger",5,6,6,47,53,0,2,0,0,3,1,77,28,1,5,44,2,0,24,4,0,"1,17",2,"1,67","4,17",8,0,18,25,0,7
"org.apache.tools.ant.listener.SilentLogger",3,6,5,47,52,294,2,1,0,3,6,33,2,0,5,23,0,0,22,6,0,"1,17",2,"1,00","0,33",2,0,8,2,0,7
"org.apache.tools.ant.listener.SimpleBigProjectLogger",4,0,6,47,53,0,3,1,0,3,1,22,2,0,6,11,0,1,31,1,0,"2,00",2,"1,00","5,00",5,1,3,5,1,2
"org.apache.tools.ant.listener.TimestampedLogger",2,0,6,43,49,0,2,1,0,3,1,27,4,1,5,9,0,0,26,2,0,"1,00",1,"0,00","1,00",1,2,5,2,0,2
"org.apache.tools.ant.loader.AntClassLoader2",1,0,22,128,150,0,3,0,0,3,0,9,0,0,22,4,0,0,81,0,0,"1,00",1,"0,00","0,00",0,0,1,0,0,1
"org.apache.tools.ant.loader.AntClassLoader5",4,1,22,132,154,0,3,1,0,5,2,34,3,0,22,12,1,0,80,1,0,"1,00",1,"1,67","1,00",1,1,6,3,0,3
"org.apache.tools.ant.property.GetProperty",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.property.LocalProperties",11,4,1,39,40,294,3,5,0,3,3,112,20,0,1,46,9,0,20,1,0,"1,09",2,"0,91","1,36",6,6,24,15,0,12
"org.apache.tools.ant.property.LocalPropertyStack",3,3,2,20,22,294,1,1,0,0,1,124,13,2,0,70,8,0,11,0,0,"2,00",3,"1,25","4,38",7,5,18,35,0,16
"org.apache.tools.ant.property.NullReturn",2,0,1,14,15,0,1,2,0,0,0,17,0,1,0,8,0,0,10,1,0,"1,00",1,"0,00","0,50",1,1,2,1,0,2
"org.apache.tools.ant.property.ParseNextProperty",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a
"org.apache.tools.ant.property.ParseProperties",7,0,3,21,24,294,1,3,0,1,1,165,33,3,0,87,6,0,11,0,0,"3,00",6,"1,43","7,29",19,6,21,51,0,21
"org.apache.tools.ant.property.PropertyExpander",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.property.ResolvePropertyMap",7,3,7,18,25,294,1,2,0,1,1,111,12,7,0,56,4,0,11,0,0,"2,20",5,"2,00","5,60",16,1,17,28,0,11
"org.apache.tools.ant.taskdefs.AbstractCvsTask",20,30,34,96,130,0,3,4,1,1,1,715,n/a,25,9,388,43,4,45,1,0,"2,00",1,"0,73","4,31",2,14,113,194,4,90
"org.apache.tools.ant.taskdefs.AbstractCvsTask.Module",3,1,1,14,15,0,1,3,0,0,1,9,0,1,0,9,2,0,11,0,0,"1,00",1,"0,50","1,00",1,1,2,2,0,2
"org.apache.tools.ant.taskdefs.AbstractJarSignerTask",20,18,25,76,101,0,3,4,0,1,4,353,n/a,16,9,160,25,2,46,0,0,"1,56",5,"0,72","2,96",14,7,68,74,3,39
"org.apache.tools.ant.taskdefs.Ant",21,22,23,80,103,0,3,3,3,1,1,645,0,14,9,391,20,0,39,7,0,"2,90",1,"0,76","7,10",1,5,127,206,0,84
"org.apache.tools.ant.taskdefs.Ant.PropertyType",1,0,3,13,16,0,1,1,0,0,0,6,0,3,0,6,0,0,11,0,0,"1,00",1,"0,00","0,00",0,0,1,0,0,1
"org.apache.tools.ant.taskdefs.Ant.Reference",4,1,3,24,27,0,2,3,0,0,1,30,1,1,2,13,2,0,17,0,0,"1,00",1,"0,33","1,00",1,1,4,3,0,3
"org.apache.tools.ant.taskdefs.Ant.TargetElement",3,1,1,15,16,0,1,3,0,0,1,28,0,1,0,11,2,0,11,0,0,"1,00",1,"0,33","0,67",1,1,3,2,0,3
"org.apache.tools.ant.taskdefs.AntStructure",6,3,12,56,68,1,3,1,2,1,3,99,149,3,9,58,4,0,45,1,0,"2,00",6,"0,80","4,60",19,2,31,23,0,10
"org.apache.tools.ant.taskdefs.AntStructure.DTDPrinter",8,6,4,24,28,1,1,1,0,1,1,262,147,4,0,228,8,0,11,0,0,"4,88",24,"2,12","20,38",95,2,45,163,0,39
"org.apache.tools.ant.taskdefs.AntStructure.StructurePrinter",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a
"org.apache.tools.ant.taskdefs.Antlib",12,4,13,58,71,294,3,1,0,2,2,137,37,4,9,90,5,0,45,1,0,"2,33",5,"1,00","8,33",29,2,41,50,0,14
"org.apache.tools.ant.taskdefs.AntlibDefinition",11,2,11,55,66,294,3,8,0,1,2,52,2,2,9,22,4,4,46,0,0,"1,50",3,"0,50","2,00",5,2,7,8,10,6
"org.apache.tools.ant.taskdefs.Apt",11,7,53,221,274,2,5,2,1,2,9,176,16,9,44,81,12,0,164,4,0,"1,24",2,"0,35","1,59",3,9,35,27,0,21
"org.apache.tools.ant.taskdefs.Apt.Option",2,2,2,17,19,0,1,2,0,0,2,39,0,2,0,18,4,0,11,0,0,"1,00",1,"0,40","0,80",1,2,5,4,0,5
"org.apache.tools.ant.taskdefs.AttributeNamespaceDef",6,1,11,56,67,0,4,0,0,1,1,25,12,0,11,14,0,0,49,1,0,"1,00",1,"0,00","8,00",8,0,13,8,0,1
"org.apache.tools.ant.taskdefs.AugmentReference",5,5,10,62,72,0,3,0,0,2,3,65,21,1,9,44,5,0,45,1,0,"1,83",3,"0,33","4,00",8,1,19,24,0,11
"org.apache.tools.ant.taskdefs.Available",15,14,23,73,96,294,3,1,1,2,1,419,4,14,9,270,20,0,45,1,0,"2,95",4,"0,81","6,62",19,7,70,139,0,62
"org.apache.tools.ant.taskdefs.Available.FileDir",2,0,3,23,26,294,2,1,0,0,3,30,4,1,2,12,3,0,17,0,0,"1,00",1,"0,00","1,00",1,3,5,3,0,3
"org.apache.tools.ant.taskdefs.BUnzip2",8,1,14,66,80,0,4,0,0,1,3,75,20,2,12,48,2,0,53,1,0,"2,33",5,"0,00","10,00",28,2,21,30,0,7
"org.apache.tools.ant.taskdefs.BZip2",5,1,12,66,78,0,4,0,0,1,2,43,9,0,12,21,1,0,55,1,0,"1,00",1,"0,00","5,50",10,1,14,11,0,2
"org.apache.tools.ant.taskdefs.Basename",4,4,12,55,67,0,3,0,0,1,1,79,11,3,9,32,3,0,45,1,0,"2,00",5,"0,75","3,50",11,0,13,14,0,8
"org.apache.tools.ant.taskdefs.BindTargets",8,5,12,56,68,0,3,0,0,1,1,51,18,3,9,48,4,0,45,1,0,"2,20",5,"0,80","4,40",10,0,24,22,0,11
"org.apache.tools.ant.taskdefs.BuildNumber",5,3,13,56,69,0,3,0,0,1,1,142,25,4,9,94,4,0,45,1,0,"2,20",5,"0,40","9,60",18,2,30,48,0,11
"org.apache.tools.ant.taskdefs.CVSPass",5,4,13,57,70,0,3,0,0,1,1,122,21,4,9,86,4,0,45,1,0,"2,17",7,"0,67","6,17",27,1,29,37,0,13
"org.apache.tools.ant.taskdefs.CallTarget",9,12,13,65,78,0,3,0,0,1,1,213,29,4,9,97,7,0,39,7,0,"1,86",3,"0,93","3,14",8,2,39,44,0,26
"org.apache.tools.ant.taskdefs.Checksum",17,16,31,141,172,294,4,1,2,3,1,565,7,21,10,364,23,0,86,1,0,"3,04",2,"0,83","7,68",4,8,99,192,0,76
"org.apache.tools.ant.taskdefs.Checksum.FileUnion",6,1,8,67,75,294,5,1,0,3,1,11,3,1,7,11,0,0,55,1,0,"1,00",1,"0,50","2,00",3,0,6,4,0,2
"org.apache.tools.ant.taskdefs.Checksum.FormatElement",2,0,6,24,30,294,2,1,0,0,2,43,7,4,2,25,3,0,17,0,0,"1,00",1,"0,00","2,25",3,3,11,9,0,4
"org.apache.tools.ant.taskdefs.Chmod",14,13,52,146,198,0,5,0,0,1,6,211,52,3,49,104,8,0,105,9,0,"1,33",4,"0,61","2,61",14,4,55,47,0,24
"org.apache.tools.ant.taskdefs.Classloader",9,8,15,61,76,0,3,0,0,1,1,189,32,6,9,99,8,0,45,1,0,"2,50",14,"0,70","5,00",38,1,32,50,0,25
"org.apache.tools.ant.taskdefs.CloseResources",7,2,10,53,63,0,3,0,0,1,1,27,5,1,9,18,1,0,45,1,0,"2,00",3,"0,50","3,50",6,0,8,7,0,4
"org.apache.tools.ant.taskdefs.CommandLauncherTask",4,3,11,54,65,0,3,0,0,1,1,29,4,2,9,23,2,0,45,1,0,"2,00",3,"0,67","2,67",4,0,7,8,0,6
"org.apache.tools.ant.taskdefs.Componentdef",1,0,25,92,117,0,6,0,0,1,0,19,1,0,25,5,0,0,81,0,0,"1,00",1,"0,00","1,00",1,0,2,1,0,1
"org.apache.tools.ant.taskdefs.Concat",31,25,32,90,122,2,3,2,4,3,4,496,69,23,9,272,31,0,47,1,0,"1,86",10,"0,70","3,69",18,7,72,129,0,65
"org.apache.tools.ant.taskdefs.Concat.ConcatResource",7,0,11,81,92,2,4,1,0,4,1,51,12,1,10,51,0,0,63,2,0,"4,33",10,"0,33","9,67",27,2,16,29,0,13
"org.apache.tools.ant.taskdefs.Concat.MultiReader",4,3,8,36,44,2,2,1,0,3,1,151,28,6,2,120,7,0,18,1,1,"3,33",12,"0,67","8,00",34,5,18,72,0,30
"org.apache.tools.ant.taskdefs.Concat.ReaderFactory",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.taskdefs.Concat.TextElement",7,6,8,30,38,0,2,2,0,1,2,115,11,5,3,77,8,0,20,0,0,"2,25",9,"0,75","4,75",22,2,25,38,0,18
"org.apache.tools.ant.taskdefs.ConditionTask",7,6,8,53,61,0,3,1,0,1,1,97,19,3,5,45,6,0,42,0,0,"1,71",6,"0,71","2,86",14,0,18,20,0,12
"org.apache.tools.ant.taskdefs.Copy",29,30,38,100,138,0,3,5,0,1,1,977,221,29,9,650,47,2,45,1,0,"3,00",24,"0,96","6,72",90,18,148,336,2,150
"org.apache.tools.ant.taskdefs.CopyPath",9,8,18,60,78,0,3,0,0,1,2,158,23,9,9,90,8,0,45,1,0,"2,22",7,"0,67","5,22",30,1,30,47,0,20
"org.apache.tools.ant.taskdefs.Copydir",7,7,16,123,139,0,4,0,0,2,1,119,30,6,10,82,6,0,86,1,0,"2,43",8,"1,14","5,57",23,0,32,39,0,17
"org.apache.tools.ant.taskdefs.Copyfile",4,5,13,56,69,0,3,0,0,1,1,77,15,4,9,46,4,0,45,1,0,"2,00",6,"0,80","3,60",14,0,19,18,0,10
"org.apache.tools.ant.taskdefs.Cvs",2,0,31,97,128,0,4,1,0,1,0,20,0,0,31,4,0,0,88,0,0,"1,00",1,"0,00","0,00",0,0,1,0,0,1
"org.apache.tools.ant.taskdefs.DefBase",13,5,13,68,81,294,4,4,0,1,2,127,n/a,2,11,56,12,3,49,1,0,"1,23",3,"0,31","1,62",6,8,27,21,6,16
"org.apache.tools.ant.taskdefs.DefaultExcludes",6,5,14,56,70,0,3,0,0,1,1,82,14,5,9,47,4,0,45,1,0,"2,20",7,"0,80","4,60",19,0,15,23,0,11
"org.apache.tools.ant.taskdefs.Definer",19,17,27,92,119,294,5,4,2,1,1,486,n/a,14,13,326,23,2,61,1,0,"2,60",13,"0,88","6,92",36,7,83,173,3,65
"org.apache.tools.ant.taskdefs.Definer.Format",2,0,4,21,25,294,2,1,0,0,1,16,0,2,2,6,1,0,17,0,0,"1,00",1,"0,00","1,00",1,1,1,1,0,1
"org.apache.tools.ant.taskdefs.Definer.OnError",3,0,10,23,33,294,2,2,0,0,1,45,2,8,2,16,1,0,17,0,0,"1,00",1,"0,33","1,00",1,1,5,3,0,3
"org.apache.tools.ant.taskdefs.Delete",50,40,26,163,189,0,4,5,1,2,1,690,162,16,10,438,17,1,57,30,0,"2,34",16,"0,91","4,62",42,7,129,231,1,117
"org.apache.tools.ant.taskdefs.Delete.ReverseDirs",6,0,4,22,26,0,1,1,0,2,2,21,2,4,0,21,3,0,13,0,0,"1,00",1,"0,75","1,60",4,3,6,8,0,5
"org.apache.tools.ant.taskdefs.Deltree",4,3,10,54,64,0,3,0,0,1,1,74,19,1,9,49,2,0,45,1,0,"3,67",5,"0,67","8,67",13,0,13,26,0,11
"org.apache.tools.ant.taskdefs.DependSet",25,9,16,131,147,1,4,1,2,2,1,206,58,6,10,124,14,0,86,1,0,"2,07",6,"1,13","4,53",23,6,47,68,0,31
"org.apache.tools.ant.taskdefs.DependSet.HideMissingBasedir",6,0,1,23,24,0,1,1,0,2,2,21,6,1,0,20,4,0,13,0,0,"1,40",2,"0,20","1,20",2,4,9,6,0,7
"org.apache.tools.ant.taskdefs.DependSet.NonExistent",3,0,7,66,73,1,5,1,0,3,0,6,2,0,7,6,0,0,56,0,0,"1,00",1,"1,00","2,00",2,0,3,2,0,1
"org.apache.tools.ant.taskdefs.DiagnosticsTask",3,1,10,52,62,0,3,0,0,1,1,15,1,1,9,6,0,0,45,1,0,"1,00",1,"0,00","1,00",1,0,2,1,0,1
"org.apache.tools.ant.taskdefs.Dirname",4,3,11,54,65,0,3,0,0,1,1,53,5,2,9,21,2,0,45,1,0,"1,67",3,"0,67","2,67",6,0,8,8,0,5
"org.apache.tools.ant.taskdefs.Ear",10,6,62,232,294,0,6,0,0,2,3,114,18,4,58,62,3,0,169,3,0,"1,57",3,"1,14","3,43",7,0,26,24,0,11
"org.apache.tools.ant.taskdefs.Echo",17,9,16,60,76,0,3,4,1,1,1,118,0,7,9,52,8,0,45,1,0,"1,67",1,"0,89","1,78",1,0,22,16,0,15
"org.apache.tools.ant.taskdefs.Echo.EchoLevel",2,0,2,24,26,0,3,1,0,0,0,5,0,0,2,2,0,0,19,0,0,n/a,n/a,"0,00",n/a,n/a,0,0,0,0,0
"org.apache.tools.ant.taskdefs.EchoXML",7,4,9,32,41,0,3,0,1,2,1,66,5,4,5,38,4,0,23,0,0,"1,50",3,"0,75","4,00",13,0,15,16,0,6
"org.apache.tools.ant.taskdefs.EchoXML.NamespacePolicy",5,0,6,24,30,0,2,1,0,0,1,29,5,4,2,28,2,0,17,0,0,"1,75",4,"0,25","2,50",8,2,8,10,0,7
"org.apache.tools.ant.taskdefs.Exec",6,8,15,61,76,1,3,1,1,1,1,180,5,6,9,111,8,0,45,1,0,"2,20",2,"0,80","5,80",2,1,38,58,0,22
"org.apache.tools.ant.taskdefs.Exec.StreamPumper",1,2,28,69,97,1,2,1,0,1,1,37,5,4,24,33,1,0,42,1,0,"2,00",3,"0,67","4,33",6,0,9,13,0,6
"org.apache.tools.ant.taskdefs.ExecTask",31,32,32,97,129,0,3,14,0,1,1,634,101,23,9,334,43,1,45,1,0,"1,80",14,"0,74","3,57",32,12,113,164,7,83
"org.apache.tools.ant.taskdefs.Execute",65,13,15,43,58,294,1,50,0,0,2,639,145,15,0,355,28,1,11,0,0,"2,50",10,"0,77","5,78",35,15,107,185,1,80
"org.apache.tools.ant.taskdefs.ExecuteJava",25,10,9,26,35,0,1,6,0,2,2,275,64,9,0,193,12,0,11,0,0,"2,50",10,"0,92","9,00",52,2,75,108,0,30
"org.apache.tools.ant.taskdefs.ExecuteOn",36,22,49,129,178,0,4,6,1,1,1,658,0,18,31,431,28,4,83,4,0,"3,03",3,"1,22","7,62",6,10,101,244,6,97
"org.apache.tools.ant.taskdefs.ExecuteOn.FileDirBoth",2,0,4,21,25,0,2,1,0,0,1,17,0,2,2,7,1,0,17,0,0,"1,00",1,"0,00","1,00",1,1,1,1,0,1
"org.apache.tools.ant.taskdefs.ExecuteStreamHandler",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a,n/a,n/a
"org.apache.tools.ant.taskdefs.ExecuteWatchdog",10,5,5,22,27,294,1,7,0,1,1,137,9,5,0,63,7,0,11,0,0,"1,44",3,"0,44","3,11",9,2,19,28,0,13
"org.apache.tools.ant.taskdefs.Exit",8,8,14,64,78,0,3,0,1,1,1,180,30,5,9,90,12,0,45,1,0,"1,92",10,"0,54","2,92",18,5,27,38,0,25
"org.apache.tools.ant.taskdefs.Exit.NestedCondition",4,0,5,48,53,0,3,1,0,2,1,9,4,0,5,9,1,0,42,0,0,"2,00",2,"0,00","3,00",3,1,6,3,0,2
"org.apache.tools.ant.taskdefs.Expand",21,17,24,75,99,0,3,2,0,1,1,430,101,15,9,284,21,1,45,1,0,"2,42",18,"1,12","6,08",69,5,89,146,1,58
"org.apache.tools.ant.taskdefs.Filter",5,5,12,56,68,0,3,0,0,1,1,66,9,3,9,35,4,0,45,1,0,"1,60",4,"0,60","2,60",8,0,12,13,0,8
"org.apache.tools.ant.taskdefs.FixCRLF",19,16,21,134,155,0,4,2,3,3,1,319,0,11,10,163,16,0,86,1,0,"2,24",9,"0,88","4,41",25,1,57,75,0,38
"org.apache.tools.ant.taskdefs.FixCRLF.AddAsisRemove",2,0,2,21,23,0,2,1,0,0,1,9,0,0,2,5,1,0,17,0,0,"1,00",1,"0,00","1,00",1,1,1,1,0,1
"org.apache.tools.ant.taskdefs.FixCRLF.CrLf",3,0,2,21,23,0,2,2,0,0,1,13,0,0,2,6,1,0,17,0,0,"1,00",1,"0,00","1,00",1,1,1,1,0,1
"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner",5,3,13,22,35,1,1,1,1,1,2,172,9,13,0,124,7,0,11,0,0,"3,25",2,"0,25","8,38",2,4,32,67,0,26
"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine",2,4,5,31,36,1,1,1,0,0,6,68,9,5,0,68,18,0,11,0,0,"1,00",1,"0,53","1,16",4,14,25,22,0,19
"org.apache.tools.ant.taskdefs.GUnzip",7,1,14,66,80,0,4,0,0,1,3,64,15,2,12,37,2,0,53,1,0,"1,67",3,"0,00","7,00",19,2,18,21,0,5
"org.apache.tools.ant.taskdefs.GZip",4,1,12,66,78,0,4,0,0,1,2,39,7,0,12,17,1,0,55,1,0,"1,00",1,"0,00","4,00",7,1,12,8,0,2
"org.apache.tools.ant.taskdefs.GenerateKey",6,12,21,64,85,0,3,0,2,1,1,232,69,12,9,150,12,0,45,1,0,"2,31",15,"0,85","6,54",62,1,30,85,0,30
"org.apache.tools.ant.taskdefs.GenerateKey.DistinguishedName",2,0,1,16,17,0,1,1,0,0,2,68,21,1,0,43,3,0,10,1,0,"2,00",3,"0,25","7,50",14,4,19,30,0,8
"org.apache.tools.ant.taskdefs.GenerateKey.DnameParam",1,2,2,16,18,0,1,1,0,0,2,36,0,2,0,16,4,0,11,0,0,"1,00",1,"0,50","1,00",1,2,4,4,0,4
"org.apache.tools.ant.taskdefs.Get",20,19,34,73,107,2,3,3,5,1,6,409,60,25,9,237,20,0,43,2,0,"2,27",1,"1,09","5,00",1,3,68,110,0,50
"org.apache.tools.ant.taskdefs.Get.Base64Converter",2,0,0,14,14,0,2,1,0,0,0,6,0,0,0,3,0,0,13,0,0,n/a,n/a,"0,00",n/a,n/a,0,0,0,0,0
"org.apache.tools.ant.taskdefs.Get.DownloadProgress",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a
"org.apache.tools.ant.taskdefs.Get.GetThread",7,3,38,76,114,2,2,1,0,1,1,254,60,14,24,214,8,0,42,1,0,"3,90",12,"1,10","11,90",40,6,49,119,0,39
"org.apache.tools.ant.taskdefs.Get.NullProgress",2,3,0,18,18,0,1,1,0,1,3,21,0,0,0,8,3,0,11,0,0,"1,00",1,"0,00","0,00",0,0,3,0,0,3
