Class,OCavg,WMC
"org.apache.karaf.features.internal.download.impl.MavenDownloadManager.MavenDownloader","3,00",18
"org.apache.karaf.features.internal.download.impl.MavenDownloadManager.MavenDownloader.ChainedDownloadTask","1,00",4
"org.apache.karaf.features.internal.download.impl.MavenDownloadTask","1,00",2
"org.apache.karaf.features.internal.download.impl.SimpleDownloadTask","2,50",10
"org.apache.karaf.features.internal.management.FeaturesServiceMBeanImpl","1,78",57
"org.apache.karaf.features.internal.management.StandardEmitterMBean","1,12",9
"org.apache.karaf.features.internal.model.Bundle","2,25",27
"org.apache.karaf.features.internal.model.Capability","2,00",10
"org.apache.karaf.features.internal.model.Conditional","1,80",9
"org.apache.karaf.features.internal.model.Config","1,38",11
"org.apache.karaf.features.internal.model.ConfigFile","1,17",7
"org.apache.karaf.features.internal.model.Content","1,50",12
"org.apache.karaf.features.internal.model.Dependency","1,11",10
"org.apache.karaf.features.internal.model.Feature","1,60",56
"org.apache.karaf.features.internal.model.Features","1,57",11
"org.apache.karaf.features.internal.model.JaxbUtil","2,67",24
"org.apache.karaf.features.internal.model.JaxbUtil.NoSourceAndNamespaceFilter","1,20",6
"org.apache.karaf.features.internal.model.Library","1,12",9
"org.apache.karaf.features.internal.model.ObjectFactory","1,00",8
"org.apache.karaf.features.internal.model.Requirement","2,00",10
"org.apache.karaf.features.internal.model.ScopeFilter","1,00",5
"org.apache.karaf.features.internal.model.Scoping","1,40",7
"org.apache.karaf.features.internal.osgi.Activator","2,67",24
"org.apache.karaf.features.internal.region.AbstractRegionDigraphVisitor","2,40",12
"org.apache.karaf.features.internal.region.CandidateComparator","9,00",27
"org.apache.karaf.features.internal.region.DigraphHelper","3,80",19
"org.apache.karaf.features.internal.region.OfflineResolver","2,88",23
"org.apache.karaf.features.internal.region.Subsystem","2,85",94
"org.apache.karaf.features.internal.region.Subsystem.DependencyInfo","1,00",4
"org.apache.karaf.features.internal.region.SubsystemResolveContext","3,64",51
"org.apache.karaf.features.internal.region.SubsystemResolveContext.SubsystemRepository","3,33",10
"org.apache.karaf.features.internal.region.SubsystemResolveContext.Visitor","1,67",5
"org.apache.karaf.features.internal.region.SubsystemResolver","3,00",93
"org.apache.karaf.features.internal.region.SubsystemTest","1,47",22
"org.apache.karaf.features.internal.repository.AggregateRepository","3,00",6
"org.apache.karaf.features.internal.repository.BaseRepository","2,40",12
"org.apache.karaf.features.internal.repository.JsonRepository","1,57",11
"org.apache.karaf.features.internal.repository.RepositoryTest","1,00",6
"org.apache.karaf.features.internal.repository.StaxParser","6,46",84
"org.apache.karaf.features.internal.repository.StaxParser.Referral",n/a,0
"org.apache.karaf.features.internal.repository.StaxParser.XmlRepository",n/a,0
"org.apache.karaf.features.internal.repository.UrlLoader","5,00",10
"org.apache.karaf.features.internal.repository.XmlRepository","2,30",23
"org.apache.karaf.features.internal.repository.XmlRepository.XmlLoader","1,00",3
"org.apache.karaf.features.internal.resolver.BaseClause","7,00",21
"org.apache.karaf.features.internal.resolver.CapabilityImpl","1,50",9
"org.apache.karaf.features.internal.resolver.CapabilitySet","5,33",96
"org.apache.karaf.features.internal.resolver.FeatureResource","3,17",19
"org.apache.karaf.features.internal.resolver.RequirementImpl","1,00",9
"org.apache.karaf.features.internal.resolver.ResolverUtil","2,29",16
"org.apache.karaf.features.internal.resolver.ResourceBuilder","6,33",190
"org.apache.karaf.features.internal.resolver.ResourceBuilder.ParsedHeaderClause",n/a,0
"org.apache.karaf.features.internal.resolver.ResourceImpl","1,89",17
"org.apache.karaf.features.internal.resolver.ResourceUtils","2,58",31
"org.apache.karaf.features.internal.resolver.SimpleFilter","6,19",99
"org.apache.karaf.features.internal.service.Blacklist","3,44",31
"org.apache.karaf.features.internal.service.BlacklistTest","2,25",9
"org.apache.karaf.features.internal.service.BootFeaturesInstaller","2,57",18
"org.apache.karaf.features.internal.service.BootFeaturesInstallerTest","1,00",4
"org.apache.karaf.features.internal.service.BundleComparator","4,00",4
"org.apache.karaf.features.internal.service.Deployer","9,35",243
"org.apache.karaf.features.internal.service.Deployer.Deployment",n/a,0
"org.apache.karaf.features.internal.service.Deployer.DeploymentRequest",n/a,0
"org.apache.karaf.features.internal.service.Deployer.DeploymentState",n/a,0
"org.apache.karaf.features.internal.service.Deployer.PartialDeploymentException","1,00",2
"org.apache.karaf.features.internal.service.Deployer.RegionDeployment",n/a,0
"org.apache.karaf.features.internal.service.DeployerTest","1,29",9
"org.apache.karaf.features.internal.service.DeployerTest.FeatureEventMatcher","1,25",5
"org.apache.karaf.features.internal.service.EventAdminListener","3,67",11
"org.apache.karaf.features.internal.service.FeatureConfigInstaller","3,11",28
"org.apache.karaf.features.internal.service.FeatureConfigInstallerTest","1,00",2
"org.apache.karaf.features.internal.service.FeatureFinder","2,50",10
"org.apache.karaf.features.internal.service.FeatureValidationUtil","1,00",2
"org.apache.karaf.features.internal.service.FeaturesServiceImpl","2,46",209
"org.apache.karaf.features.internal.service.FeaturesServiceImplTest","1,00",9
"org.apache.karaf.features.internal.service.FeaturesServiceImplTest.Storage","1,00",2
"org.apache.karaf.features.internal.service.FeaturesValidationTest","1,00",11
"org.apache.karaf.features.internal.service.Overrides","3,50",14
"org.apache.karaf.features.internal.service.OverridesTest","1,44",13
"org.apache.karaf.features.internal.service.OverridesTest.Builder","1,00",3
"org.apache.karaf.features.internal.service.RepositoryImpl","1,25",10
"org.apache.karaf.features.internal.service.RepositoryImpl.InterruptibleInputStream","1,50",3
"org.apache.karaf.features.internal.service.RequirementSort","3,50",14
"org.apache.karaf.features.internal.service.ResourceComparator","3,00",3
"org.apache.karaf.features.internal.service.State","1,33",4
"org.apache.karaf.features.internal.service.StateStorage","2,00",22
"org.apache.karaf.features.internal.service.StateStorageTest","1,00",1
"org.apache.karaf.features.internal.service.StateStorageTest.TestStorage","1,50",3
"org.apache.karaf.features.internal.support.TestBundle","1,07",43
"org.apache.karaf.features.internal.support.TestDownloadManager","1,33",8
"org.apache.karaf.features.internal.support.TestDownloadManager.TestProvider","1,25",5
"org.apache.karaf.features.internal.util.ChecksumUtils","1,50",3
"org.apache.karaf.features.internal.util.ChecksumUtils.CRCInputStream","1,50",6
"org.apache.karaf.features.internal.util.JsonReader","2,71",76
"org.apache.karaf.features.internal.util.JsonWriter","3,33",30
"org.apache.karaf.features.internal.util.Macro","6,25",25
"org.apache.karaf.features.internal.util.MapUtils","2,33",49
"org.apache.karaf.features.internal.util.MultiException","1,83",11
"org.apache.karaf.features.management.codec.JmxFeature","1,42",27
"org.apache.karaf.features.management.codec.JmxFeatureEvent","2,00",6
"org.apache.karaf.features.management.codec.JmxRepository","1,57",11
"org.apache.karaf.features.management.codec.JmxRepositoryEvent","2,00",6
"org.apache.karaf.http.command.ServletListCommand","1,50",3
"org.apache.karaf.http.core.ServletInfo","1,54",20
"org.apache.karaf.http.core.internal.HttpMBeanImpl","1,50",3
"org.apache.karaf.http.core.internal.HttpMBeanImplTest","1,00",1
"org.apache.karaf.http.core.internal.ServletEventHandler","1,67",5
"org.apache.karaf.http.core.internal.ServletServiceImpl","4,00",8
"org.apache.karaf.http.core.internal.osgi.Activator","1,33",4
"org.apache.karaf.instance.command.ChangeOptsCommand","1,00",1
"org.apache.karaf.instance.command.ChangeRmiRegistryPortCommand","1,00",1
