Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.hadoop.hive.ql.io.orc.OrcProto.ColumnStatisticsOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.DateStatisticsOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.DecimalStatisticsOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.DoubleStatisticsOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.FooterOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.IntegerStatisticsOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.MetadataOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.PostScriptOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.RowIndexEntryOrBuilder",0,0,0,1,22
"org.apache.hadoop.hive.ql.io.orc.OrcProto.RowIndexOrBuilder",0,0,0,1,3
"org.apache.hadoop.hive.ql.io.orc.OrcProto.StreamOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.StringStatisticsOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.StripeFooterOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.StripeInformationOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.StripeStatisticsOrBuilder",0,0,0,1,21
"org.apache.hadoop.hive.ql.io.orc.OrcProto.TimestampStatisticsOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.TypeOrBuilder",0,0,0,1,23
"org.apache.hadoop.hive.ql.io.orc.OrcProto.UserMetadataItemOrBuilder",0,0,0,1,22
"org.apache.hadoop.hive.ql.io.orc.OutStream.OutputReceiver",0,0,0,1,1
"org.apache.hadoop.hive.ql.io.orc.PositionProvider",0,0,0,0,0
"org.apache.hadoop.hive.ql.io.orc.PositionRecorder",0,0,0,0,0
"org.apache.hadoop.hive.ql.io.orc.Reader",0,3,1.736,0,0
