Class,OCavg,WMC
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingTupleWritableComparator","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigIntWritableComparator","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigLongWritableComparator","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigSecondaryKeyGroupComparator","6,50",13
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigTupleWritableComparator","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigWritableComparator","1,00",2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.KeyTypeDiscoveryVisitor","4,50",9
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.KeyTypeDiscoveryVisitor.PhyPlanKeyTypeVisitor","1,00",2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.LimitAdjuster","5,20",26
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.LocalExecType","1,33",8
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompiler","4,57",242
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompiler.FindKeyTypeVisitor","1,00",2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompiler.FindStoreNameVisitor","1,50",3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompiler.LastInputStreamingOptimizer","9,00",27
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException","1,00",12
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRConfiguration",n/a,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRExecType","1,33",8
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRExecutionEngine","1,00",3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRTaskContext","1,75",14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRUtil","1,00",2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceLauncher","6,62",86
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper","1,36",87
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.OPER_FEATURE",n/a,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReducePOStoreImpl","1,40",7
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MergeJoinIndexer","3,67",22
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MultiQueryOptimizer","4,41",150
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.NativeMapReduceOper","1,50",12
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.NoopFilterRemover","1,00",2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.NoopFilterRemover.PhysicalRemover","3,00",12
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.NoopStoreRemover","2,00",6
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.NoopStoreRemover.PhysicalRemover","2,40",12
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.NoopStoreRemover.RemovableStore",n/a,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.POToChange","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PhyPlanSetter","1,02",53
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigBigDecimalRawComparator","2,80",14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigBigIntegerRawComparator","2,80",14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigBooleanRawComparator","3,20",16
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigBytesRawComparator","5,00",25
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigCombiner",n/a,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigCombiner.Combine","3,86",27
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigDateTimeRawComparator","2,80",14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigDoubleRawComparator","2,80",14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigFileInputFormat","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigFloatRawComparator","2,80",14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapBase","4,43",31
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapReduce","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapReduce.Map","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapReduce.MapWithComparator","2,00",2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapReduce.MapWithPartitionIndex","5,50",11
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapReduce.Reduce","5,67",34
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapReduce.ReduceWithComparator","4,50",9
