,commit,instance,antecedants,support,confidence,lift
100,b1dd73f2e03c602c3380f4bbdd74eab9922a9fca,org.apache.james.mime4j.message.TempFileTextBody,org.apache.james.mime4j.message.TempFileTextBody,0.0410958904109589,0.7777777777777778,24.333333333333332
101,316528d2b46815338c65049ddfb8bf33df670f64,org.apache.james.mime4j.message.TempFileTextBody,org.apache.james.mime4j.message.TempFileTextBody,0.0410958904109589,0.7777777777777778,24.333333333333332
102,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.message.TempFileTextBody,org.apache.james.mime4j.message.TempFileTextBody,0.0410958904109589,0.7777777777777778,24.333333333333332
103,f71467c17e54f730a7631a7b30d72d57cfc79c42,org.apache.james.mime4j.message.TempFileTextBody,org.apache.james.mime4j.message.TempFileTextBody,0.0410958904109589,0.7777777777777778,24.333333333333332
104,1adde0a03e003bc9513ac5aefcf287bf11888392,org.apache.james.mime4j.message.MessageParserTest,org.apache.james.mime4j.message.MessageParserTest,0.0273972602739726,0.5,36.5
105,3ebdaba293b326d0eb913fe1e4bb2db960f661c4,org.apache.james.mime4j.message.MessageParserTest,org.apache.james.mime4j.message.MessageParserTest,0.0273972602739726,0.5,36.5
106,3a78b0720d12a25fd2a328b169f136fcd66c24df,org.apache.james.mime4j.message.MessageParserTest,org.apache.james.mime4j.message.MessageParserTest,0.0273972602739726,0.5,36.5
107,afb89b428b70c01c4316379fe5be1e42d62a29d6,org.apache.james.mime4j.message.MessageParserTest,org.apache.james.mime4j.message.MessageParserTest,0.0273972602739726,0.5,36.5
108,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.message.MessageParserTest,org.apache.james.mime4j.message.MessageParserTest,0.0273972602739726,0.5,36.5
109,e183124e9205688bb8f2eba24fcb44f390669841,org.apache.james.mime4j.message.MessageParserTest,org.apache.james.mime4j.message.MessageParserTest,0.0273972602739726,0.5,36.5
110,6ef0a45a50e53942b06b3a47ba2442b2f610d5b1,org.apache.james.mime4j.message.Entity,org.apache.james.mime4j.message.Entity,0.0502283105022831,0.2727272727272727,19.90909090909091
111,677da8d87385be83e10b9bf8e0a479a20e9284e7,org.apache.james.mime4j.message.Entity,org.apache.james.mime4j.message.Entity,0.0502283105022831,0.2727272727272727,19.90909090909091
112,b1dd73f2e03c602c3380f4bbdd74eab9922a9fca,org.apache.james.mime4j.message.Entity,org.apache.james.mime4j.message.Entity,0.0502283105022831,0.2727272727272727,19.90909090909091
113,316528d2b46815338c65049ddfb8bf33df670f64,org.apache.james.mime4j.message.Entity,org.apache.james.mime4j.message.Entity,0.0502283105022831,0.2727272727272727,19.90909090909091
114,c8e2d6b0cfdaa6b647715ea6e2d997d7ae115a1c,org.apache.james.mime4j.message.Entity,org.apache.james.mime4j.message.Entity,0.0502283105022831,0.2727272727272727,19.90909090909091
115,3b0b19fd99ba347e2883a435375351a98472dd72,org.apache.james.mime4j.message.Entity,org.apache.james.mime4j.message.Entity,0.0502283105022831,0.2727272727272727,19.90909090909091
116,aff532e2f40b137bcd7f2d7f384d09705405cb6c,org.apache.james.mime4j.message.Entity,org.apache.james.mime4j.message.Entity,0.0502283105022831,0.2727272727272727,19.90909090909091
117,1cc0295258cb5c924bf5d2681fd491385cc7fe5c,org.apache.james.mime4j.message.Entity,org.apache.james.mime4j.message.Entity,0.0502283105022831,0.2727272727272727,19.90909090909091
118,fc207b7b1c3a238b44acc98611434a689c10f7bd,org.apache.james.mime4j.message.Entity,org.apache.james.mime4j.message.Entity,0.0502283105022831,0.2727272727272727,19.90909090909091
119,ec7a5ce58bb60dec90378f1abcf6e6790cbb24a5,org.apache.james.mime4j.message.Entity,org.apache.james.mime4j.message.Entity,0.0502283105022831,0.2727272727272727,19.90909090909091
120,1f0cc76322aff64605e6276dffb2c686311ed3f4,org.apache.james.mime4j.message.Entity,org.apache.james.mime4j.message.Entity,0.0502283105022831,0.2727272727272727,19.90909090909091
121,8e6c18914b7e303535899095b203830afca92162,org.apache.james.mime4j.io.BufferedLineReaderInputStream,org.apache.james.mime4j.io.BufferedLineReaderInputStream,0.0273972602739726,0.5,36.5
122,afb89b428b70c01c4316379fe5be1e42d62a29d6,org.apache.james.mime4j.io.BufferedLineReaderInputStream,org.apache.james.mime4j.io.BufferedLineReaderInputStream,0.0273972602739726,0.5,36.5
123,4097b06566751662e5a3d661768e886a558d6eeb,org.apache.james.mime4j.io.BufferedLineReaderInputStream,org.apache.james.mime4j.io.BufferedLineReaderInputStream,0.0273972602739726,0.5,36.5
124,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.io.BufferedLineReaderInputStream,org.apache.james.mime4j.io.BufferedLineReaderInputStream,0.0273972602739726,0.5,36.5
125,c844424ba1f80c4dacf892c497d8323af01ec4f3,org.apache.james.mime4j.io.BufferedLineReaderInputStream,org.apache.james.mime4j.io.BufferedLineReaderInputStream,0.0273972602739726,0.5,36.5
126,3caff3d91781cd681dba79027bc63a00debadcfe,org.apache.james.mime4j.io.BufferedLineReaderInputStream,org.apache.james.mime4j.io.BufferedLineReaderInputStream,0.0273972602739726,0.5,36.5
127,afb89b428b70c01c4316379fe5be1e42d62a29d6,org.apache.james.mime4j.message.ExampleMessagesRoundtripTest,org.apache.james.mime4j.message.ExampleMessagesRoundtripTest,0.0182648401826484,0.75,54.75
128,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.message.ExampleMessagesRoundtripTest,org.apache.james.mime4j.message.ExampleMessagesRoundtripTest,0.0182648401826484,0.75,54.75
129,6fce73d9d22035214a6d1ef5d489af7d0dab4e83,org.apache.james.mime4j.message.ExampleMessagesRoundtripTest,org.apache.james.mime4j.message.ExampleMessagesRoundtripTest,0.0182648401826484,0.75,54.75
130,e183124e9205688bb8f2eba24fcb44f390669841,org.apache.james.mime4j.message.ExampleMessagesRoundtripTest,org.apache.james.mime4j.message.ExampleMessagesRoundtripTest,0.0182648401826484,0.75,54.75
131,afb89b428b70c01c4316379fe5be1e42d62a29d6,org.apache.james.mime4j.parser.MimeEntity,org.apache.james.mime4j.parser.MimeEntity,0.0273972602739726,0.5,36.5
132,31420b00e7d20c5d3be737ee944fc186d80417e6,org.apache.james.mime4j.parser.MimeEntity,org.apache.james.mime4j.parser.MimeEntity,0.0273972602739726,0.5,36.5
133,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.parser.MimeEntity,org.apache.james.mime4j.parser.MimeEntity,0.0273972602739726,0.5,36.5
134,c844424ba1f80c4dacf892c497d8323af01ec4f3,org.apache.james.mime4j.parser.MimeEntity,org.apache.james.mime4j.parser.MimeEntity,0.0273972602739726,0.5,36.5
135,1cc0295258cb5c924bf5d2681fd491385cc7fe5c,org.apache.james.mime4j.parser.MimeEntity,org.apache.james.mime4j.parser.MimeEntity,0.0273972602739726,0.5,36.5
136,e183124e9205688bb8f2eba24fcb44f390669841,org.apache.james.mime4j.parser.MimeEntity,org.apache.james.mime4j.parser.MimeEntity,0.0273972602739726,0.5,36.5
137,afb89b428b70c01c4316379fe5be1e42d62a29d6,org.apache.james.mime4j.parser.MimeStreamParser,org.apache.james.mime4j.parser.MimeStreamParser,0.0273972602739726,0.5,21.900000000000002
138,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.parser.MimeStreamParser,org.apache.james.mime4j.parser.MimeStreamParser,0.0273972602739726,0.5,21.900000000000002
139,d50b3c2c35360e67b3537e1433b0a1832b76abbb,org.apache.james.mime4j.parser.MimeStreamParser,org.apache.james.mime4j.parser.MimeStreamParser,0.0273972602739726,0.5,21.900000000000002
140,465575adc12b1b9df20dd7c71dcfe26d59619009,org.apache.james.mime4j.parser.MimeStreamParser,org.apache.james.mime4j.parser.MimeStreamParser,0.0273972602739726,0.5,21.900000000000002
141,918d08d09fb0446cb0b8bd36f0f7abe39a440341,org.apache.james.mime4j.parser.MimeStreamParser,org.apache.james.mime4j.parser.MimeStreamParser,0.0273972602739726,0.5,21.900000000000002
142,162fc322fee94e1b2bae0a5d69658a344ce52d09,org.apache.james.mime4j.parser.MimeStreamParser,org.apache.james.mime4j.parser.MimeStreamParser,0.0273972602739726,0.5,21.900000000000002
143,afb89b428b70c01c4316379fe5be1e42d62a29d6,org.apache.james.mime4j.parser.MimeTokenStream,org.apache.james.mime4j.parser.MimeTokenStream,0.0228310502283105,0.6,43.800000000000004
144,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.parser.MimeTokenStream,org.apache.james.mime4j.parser.MimeTokenStream,0.0228310502283105,0.6,43.800000000000004
145,942fc3eba9c3cd6643b39b2002fe33b4a4e93d85,org.apache.james.mime4j.parser.MimeTokenStream,org.apache.james.mime4j.parser.MimeTokenStream,0.0228310502283105,0.6,43.800000000000004
146,c844424ba1f80c4dacf892c497d8323af01ec4f3,org.apache.james.mime4j.parser.MimeTokenStream,org.apache.james.mime4j.parser.MimeTokenStream,0.0228310502283105,0.6,43.800000000000004
147,465575adc12b1b9df20dd7c71dcfe26d59619009,org.apache.james.mime4j.parser.MimeTokenStream,org.apache.james.mime4j.parser.MimeTokenStream,0.0228310502283105,0.6,43.800000000000004
148,afb89b428b70c01c4316379fe5be1e42d62a29d6,org.apache.james.mime4j.io.LineReaderInputStreamAdaptor,org.apache.james.mime4j.io.LineReaderInputStreamAdaptor,0.0136986301369863,1.0,36.5
