,instance,commit_superclass
128,org.apache.cassandra.cache.<name>CacheSerializer,d2c67a1cb95264e8a839bdcfc0a727c892f1fc1dCacheKey
129,org.apache.cassandra.hadoop.cql3.CqlRecordWriter,2ce932761afd9f0b0949dcd97d360927c3a2c007<name>AbstractColumnFamilyRecordWriter
130,org.apache.cassandra.cql3.functions.TokenFct,8bedb57207d54c4e88a762221d20d814fc351b1fAbstractFunction
131,org.apache.cassandra.db.index.PerRowSecondaryIndex,fd129664ca482181d2c794a68bbd5a5bcc2b01beSecondaryIndex
132,org.apache.cassandra.db.MockColumnIndex,fd129664ca482181d2c794a68bbd5a5bcc2b01beorg.apache.cassandra.db.index.PerColumnSecondaryIndex
133,org.apache.cassandra.db.index.PerRowSecondaryIndexTest,fd129664ca482181d2c794a68bbd5a5bcc2b01beorg.apache.cassandra.SchemaLoader
134,org.apache.cassandra.db.RangeSliceCommand,4f5242cfbfb302e8099cb514ea78f134fef84d45AbstractRangeCommand
135,org.apache.cassandra.db.SliceByNamesReadCommand,4f5242cfbfb302e8099cb514ea78f134fef84d45ReadCommand
136,org.apache.cassandra.db.SliceFromReadCommand,4f5242cfbfb302e8099cb514ea78f134fef84d45ReadCommand
137,org.apache.cassandra.net.IncomingTcpConnection,4f5242cfbfb302e8099cb514ea78f134fef84d45Thread
138,org.apache.cassandra.db.compaction.SplittingCompactionTask,52678a284382d4da911c007fe8bc84b47057925fCompactionTask
139,org.apache.cassandra.db.compaction.SplitController,52678a284382d4da911c007fe8bc84b47057925fCompactionController
140,org.apache.cassandra.cql3.statements.CreateTriggerStatement,edc753127311fefa8de47fb9cc42a30cd783c24aSchemaAlteringStatement
141,org.apache.cassandra.cql3.statements.DropTriggerStatement,edc753127311fefa8de47fb9cc42a30cd783c24aSchemaAlteringStatement
142,org.apache.cassandra.transport.messages.RegisterMessage,06dc4d0fd278ce0b4b8f86eaca1ff45269c0da17Message.Request.Message.Request
143,org.apache.cassandra.cql3.statements.CreateIndexStatement,4e52e0d2add1358c5d80bf9bf805a987dfb4dc5dSchemaAlteringStatement
144,org.apache.cassandra.db.AbstractRangeCommand,4e52e0d2add1358c5d80bf9bf805a987dfb4dc5dorg.apache.cassandra.db.AbstractRangeCommand
145,org.apache.cassandra.db.PagedRangeCommand,4e52e0d2add1358c5d80bf9bf805a987dfb4dc5dorg.apache.cassandra.db.AbstractRangeCommand
146,org.apache.cassandra.db.filter.EmptyClauseFilter,4e52e0d2add1358c5d80bf9bf805a987dfb4dc5dExtendedFilter
147,org.apache.cassandra.db.index.AbstractSimplePerColumnSecondaryIndex,4e52e0d2add1358c5d80bf9bf805a987dfb4dc5dPerColumnSecondaryIndex
148,org.apache.cassandra.db.index.keys.KeysSearcher,4e52e0d2add1358c5d80bf9bf805a987dfb4dc5dorg.apache.cassandra.db.index.SecondaryIndexSearcher
149,org.apache.cassandra.db.CleanupTest,4e52e0d2add1358c5d80bf9bf805a987dfb4dc5dorg.apache.cassandra.SchemaLoader
150,org.apache.cassandra.db.RangeTombstoneTest,4e52e0d2add1358c5d80bf9bf805a987dfb4dc5dorg.apache.cassandra.SchemaLoader
151,org.apache.cassandra.db.compaction.LongCompactionsTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
152,org.apache.cassandra.db.CommitLogTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
153,org.apache.cassandra.db.HintedHandOffTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
154,org.apache.cassandra.db.KeyCacheTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
155,org.apache.cassandra.db.KeyspaceTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
156,org.apache.cassandra.db.NameSortTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
157,org.apache.cassandra.db.RemoveColumnFamilyTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
158,org.apache.cassandra.db.RemoveColumnFamilyWithFlush1Test,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
159,org.apache.cassandra.db.RemoveColumnFamilyWithFlush2Test,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
160,org.apache.cassandra.db.RemoveColumnTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
161,org.apache.cassandra.db.RemoveSubColumnTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
162,org.apache.cassandra.db.RowIterationTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
163,org.apache.cassandra.db.RowTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
164,org.apache.cassandra.db.compaction.BlacklistingCompactionsTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
165,org.apache.cassandra.db.compaction.CompactionsPurgeTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
166,org.apache.cassandra.db.compaction.OneCompactionTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
167,org.apache.cassandra.dht.<name>PartitionerTestCase,83a43f121485a66c6862baca52e740cc479910e0Token
168,org.apache.cassandra.io.LazilyCompactedRowTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
169,org.apache.cassandra.io.PreCompactingController,83a43f121485a66c6862baca52e740cc479910e0CompactionController
170,org.apache.cassandra.io.sstable.SSTableLoaderTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
171,org.apache.cassandra.io.sstable.SSTableScannerTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
172,org.apache.cassandra.repair.ValidatorTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
173,org.apache.cassandra.service.RowResolverTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
174,org.apache.cassandra.tools.SSTableExportTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
175,org.apache.cassandra.tools.SSTableImportTest,83a43f121485a66c6862baca52e740cc479910e0org.apache.cassandra.SchemaLoader
176,org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutor,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6DebuggableThreadPoolExecutor
177,org.apache.cassandra.locator.DynamicEndpointSnitch,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6AbstractEndpointSnitch
178,org.apache.cassandra.stress.StressAction,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6Thread
179,org.apache.cassandra.stress.Consumer,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6Thread
180,org.apache.cassandra.stress.operations.CounterAdder,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6org.apache.cassandra.stress.util.Operation
181,org.apache.cassandra.stress.operations.CounterGetter,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6org.apache.cassandra.stress.util.Operation
182,org.apache.cassandra.stress.operations.CqlCounterAdder,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6CQLOperation
183,org.apache.cassandra.stress.operations.CqlCounterGetter,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6CQLOperation
184,org.apache.cassandra.stress.operations.CqlIndexedRangeSlicer,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6CQLOperation
185,org.apache.cassandra.stress.operations.CqlInserter,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6CQLOperation
186,org.apache.cassandra.stress.operations.CqlRangeSlicer,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6CQLOperation
187,org.apache.cassandra.stress.operations.CqlReader,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6CQLOperation
188,org.apache.cassandra.stress.operations.IndexedRangeSlicer,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6org.apache.cassandra.stress.util.Operation
189,org.apache.cassandra.stress.operations.Inserter,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6org.apache.cassandra.stress.util.Operation
190,org.apache.cassandra.stress.operations.MultiGetter,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6org.apache.cassandra.stress.util.Operation
191,org.apache.cassandra.stress.operations.RangeSlicer,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6org.apache.cassandra.stress.util.Operation
192,org.apache.cassandra.stress.operations.Reader,3205e5dbbc8fb8f365b72137cf1c1ea50f15cab6org.apache.cassandra.stress.util.Operation
193,org.apache.cassandra.net.OutboundTcpConnection,14da6bca01754fc4b4cee1398f5f603a1c5543f6Thread
194,org.apache.cassandra.net.RetriedQueuedMessage,14da6bca01754fc4b4cee1398f5f603a1c5543f6QueuedMessage
195,org.apache.cassandra.thrift.AuthenticationException,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.TException
196,org.apache.cassandra.thrift.AuthenticationExceptionStandardScheme,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12<name>StandardScheme
197,org.apache.cassandra.thrift.AuthenticationExceptionTupleScheme,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12<name>TupleScheme
198,org.apache.cassandra.thrift.AuthenticationRequest,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.scheme.IScheme
199,org.apache.cassandra.thrift.AuthenticationRequestStandardScheme,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12<name>StandardScheme
200,org.apache.cassandra.thrift.AuthenticationRequestTupleScheme,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12<name>TupleScheme
201,org.apache.cassandra.thrift.AuthorizationException,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.TException
202,org.apache.cassandra.thrift.AuthorizationExceptionStandardScheme,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12<name>StandardScheme
203,org.apache.cassandra.thrift.AuthorizationExceptionTupleScheme,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12<name>TupleScheme
204,org.apache.cassandra.thrift.CASResult,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.scheme.IScheme
205,org.apache.cassandra.thrift.CASResultStandardScheme,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12<name>StandardScheme
206,org.apache.cassandra.thrift.CASResultTupleScheme,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12<name>TupleScheme
207,org.apache.cassandra.thrift.Client,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.TServiceClient.org.apache.thrift.TServiceClient
208,org.apache.cassandra.thrift.AsyncClient,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncClient.org.apache.thrift.async.TAsyncClient
209,org.apache.cassandra.thrift.login_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
210,org.apache.cassandra.thrift.set_keyspace_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
211,org.apache.cassandra.thrift.get_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
212,org.apache.cassandra.thrift.get_slice_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
213,org.apache.cassandra.thrift.get_count_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
214,org.apache.cassandra.thrift.multiget_slice_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
215,org.apache.cassandra.thrift.multiget_count_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
216,org.apache.cassandra.thrift.get_range_slices_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
217,org.apache.cassandra.thrift.get_paged_slice_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
218,org.apache.cassandra.thrift.get_indexed_slices_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
219,org.apache.cassandra.thrift.insert_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
220,org.apache.cassandra.thrift.add_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
221,org.apache.cassandra.thrift.cas_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
222,org.apache.cassandra.thrift.remove_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
223,org.apache.cassandra.thrift.remove_counter_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
224,org.apache.cassandra.thrift.batch_mutate_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
225,org.apache.cassandra.thrift.atomic_batch_mutate_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
226,org.apache.cassandra.thrift.truncate_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
227,org.apache.cassandra.thrift.describe_schema_versions_call,bffd9ea8eb5358b5f138cbad8a387d5037d1ac12org.apache.thrift.async.TAsyncMethodCall.org.apache.thrift.async.TAsyncMethodCall
