,commit,instance
142,64,uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataManagerTest.DatabaseMetadataManagerTest()
143,64,uk.ac.ed.ph.aardvark.cms.internal.AbstractMetadataManagerTest.checkCreate()
144,65,uk.ac.ed.ph.aardvark.commons.xml.XMLPipelineTest.testNonReusable()
145,68,uk.ac.ed.ph.aardvark.cms.domain.MetadataValidator.getTemplateValidationErrors()
146,70,uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImpl.checkoutNode()
147,70,uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.ensureNotNull()
148,70,uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.saveResource()
149,70,uk.ac.ed.ph.aardvark.cms.internal.filesystem.FilesystemMetadataManager.deleteNodeMetadata()
150,70,uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.SimpleFilesystemResourceManager()
151,70,uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataReader.getFullMetadata()
152,70,uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataReader.getCoreMetadata()
153,70,uk.ac.ed.ph.aardvark.cms.internal.filesystem.MetadataIndex.ensureNotNull()
154,70,uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataManager.updateNodeMetadata()
156,70,uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.ensureNotNull()
157,70,uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataReader.existsNodeMetadata()
158,70,uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataReader.getNodeInternalId()
159,70,uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImpl.saveResource()
160,70,uk.ac.ed.ph.aardvark.cms.internal.filesystem.FilesystemMetadataManager.createNodeMetadata()
165,70,uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataManager.createNodeMetadata()
166,70,uk.ac.ed.ph.aardvark.cms.internal.filesystem.FilesystemMetadataManager.updateNodeMetadata()
167,76,uk.ac.ed.ph.aardvark.commons.xml.ClassPathEntityResolver.findClassPathEntity()
168,76,uk.ac.ed.ph.aardvark.commons.xml.FilesystemEntityResolver.findLocalEntity()
169,77,uk.ac.ed.ph.aardvark.core.databinding.MCQSourceReaderStrategy.embeddedObject()
170,77,uk.ac.ed.ph.aardvark.core.databinding.MCQSourceReaderStrategy.endContainerElement()
171,77,uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
172,77,uk.ac.ed.ph.aardvark.core.databinding.Marshaller.Marshaller()
173,77,uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshallingTest.testPrototypeObject()
174,77,uk.ac.ed.ph.aardvark.core.databinding.CoreDatabindingTestSuite.suite()
175,78,uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshaller.writeObject()
176,80,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.convertNodeType()
177,80,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyMarshaller.LegacyMarshaller()
178,80,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.convertNodePath()
179,80,uk.ac.ed.ph.aardvark.core.globals.NodeType.getResourceTypes()
180,82,uk.ac.ed.ph.aardvark.commons.util.LambdaMap.apply()
182,84,uk.ac.ed.ph.aardvark.commons.util.StringUtilities.fromYesNo()
183,90,uk.ac.ed.ph.aardvark.commons.xml.SAXErrorHandler.SAXErrorHandler()
184,91,uk.ac.ed.ph.aardvark.commons.xml.XMLPipelineTest.testBadSource()
185,97,uk.ac.ed.ph.aardvark.core.databinding.MCQSourceReaderStrategy.startContainerElement()
186,97,uk.ac.ed.ph.aardvark.core.databinding.MCQSourceWriterStrategy.fireDocumentEvents()
187,97,uk.ac.ed.ph.aardvark.core.databinding.CoreDatabindingTestSuite.suite()
188,97,uk.ac.ed.ph.aardvark.core.databinding.MCQSourceMarshallingTest.checkSampleData()
189,100,uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.SimpleFilesystemResourceManager()
