,instance,commit_superclass
4307,org.eclipse.jdt.apt.ui.internal.AptUIPlugin,01f85cc0028419108a8c2674f959c91e35c89d29org.eclipse.ui.plugin.AbstractUIPlugin
4308,org.eclipse.jdt.apt.ui.internal.Messages,01f85cc0028419108a8c2674f959c91e35c89d29org.eclipse.osgi.util.NLS
4309,org.eclipse.jdt.apt.ui.internal.Messages,01f85cc0028419108a8c2674f959c91e35c89d29org.eclipse.osgi.util.NLSorg.eclipse.osgi.util.NLS
4310,org.eclipse.jdt.apt.ui.internal.preferences.AptPreferencePage,01f85cc0028419108a8c2674f959c91e35c89d29org.eclipse.jdt.apt.ui.internal.preferences.BasePreferencePage
4311,org.eclipse.jdt.apt.ui.internal.preferences.BasePreferencePage,01f85cc0028419108a8c2674f959c91e35c89d29org.eclipse.jdt.internal.ui.preferences.PropertyAndPreferencePage
4312,org.eclipse.jdt.apt.ui.internal.preferences.FactoryPathConfigurationBlock,01f85cc0028419108a8c2674f959c91e35c89d29BaseConfigurationBlock
4313,org.eclipse.jdt.apt.ui.internal.preferences.FactoryPathLabelProvider,01f85cc0028419108a8c2674f959c91e35c89d29org.eclipse.jface.viewers.LabelProvider
4314,org.eclipse.jdt.apt.ui.internal.preferences.FactoryPathPreferencePage,01f85cc0028419108a8c2674f959c91e35c89d29org.eclipse.jdt.apt.ui.internal.preferences.BasePreferencePage
4315,org.eclipse.jdt.apt.ui.internal.preferences.ProcessorOptionInputDialog,01f85cc0028419108a8c2674f959c91e35c89d29org.eclipse.jface.dialogs.StatusDialog
4316,org.eclipse.jdt.apt.ui.internal.preferences.AptConfigurationBlock,56552d350148e2ab4cbba4b03b104736092d3f86BaseConfigurationBlock
4317,org.eclipse.jdt.apt.ui.internal.preferences.ProcessorOptionSorter,56552d350148e2ab4cbba4b03b104736092d3f86org.eclipse.jface.viewers.ViewerComparator
4318,org.eclipse.jdt.apt.ui.internal.preferences.ProcessorOptionsLabelProvider,56552d350148e2ab4cbba4b03b104736092d3f86org.eclipse.jface.viewers.LabelProvider
4319,org.eclipse.jdt.apt.core.internal.JarFactoryContainer,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.core.internal.util.FactoryContainer
4320,org.eclipse.jdt.apt.core.internal.PluginFactoryContainer,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.core.internal.util.FactoryContainer
4321,org.eclipse.jdt.apt.core.internal.declaration.ASTBasedAnnotationElementDeclarationImpl,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.core.internal.declaration.ASTBasedMethodDeclarationImpl
4322,org.eclipse.jdt.apt.core.internal.declaration.ASTBasedMethodDeclarationImpl,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.core.internal.declaration.ASTBasedExecutableDeclarationImpl
4323,org.eclipse.jdt.apt.core.internal.declaration.ClassDeclarationImpl,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.core.internal.declaration.TypeDeclarationImpl
4324,org.eclipse.jdt.apt.core.internal.declaration.MethodDeclarationImpl,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.core.internal.declaration.ExecutableDeclarationImpl
